Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542348	542349	14	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	15	16	1	1	
5	542343	542344	16	17	3	3	1	1	0	0	0	0	0	0	0	0	0	0	5	6	20	21	3	3	
6	542336	542337	20	21	5	6	1	2	0	0	0	0	0	0	0	0	0	0	6	7	27	28	5	6	
7	542328	542329	23	25	8	9	2	3	0	0	0	0	0	0	0	0	0	0	7	8	35	36	8	9	
8	542318	542320	29	31	11	12	3	4	0	0	0	0	0	0	0	0	0	0	9	10	44	46	11	12	
9	542306	542309	34	37	15	17	4	5	0	0	0	0	0	0	0	0	0	0	11	12	55	58	15	16	
10	542291	542295	41	45	19	21	6	7	0	0	0	0	0	0	1	1	0	0	14	15	69	73	20	21	
11	542274	542279	50	54	23	24	7	8	0	1	0	0	0	0	3	4	0	0	16	18	85	90	26	28	
12	542254	542260	59	64	27	30	9	10	1	1	0	0	0	0	6	6	0	0	18	20	104	110	33	35	
13	542230	542238	71	77	32	35	11	12	2	2	0	0	0	0	9	10	0	0	22	25	126	134	42	44	
14	542201	542211	84	91	39	44	13	14	2	3	0	0	0	0	12	13	0	0	27	30	153	163	52	55	
15	542168	542180	99	106	48	53	15	17	3	4	0	0	0	0	17	18	0	0	30	33	184	196	65	69	
16	542132	542146	114	123	57	63	19	20	5	5	0	0	0	0	22	23	0	0	33	37	218	232	79	84	
17	542088	542106	131	142	68	76	22	24	5	6	0	1	0	1	28	30	0	0	40	44	258	276	96	103	
18	542036	542058	152	165	82	91	25	28	7	8	1	1	1	1	36	38	0	0	47	52	306	328	118	126	
19	541976	542002	178	193	96	106	31	34	8	9	1	1	1	1	45	48	0	0	56	61	362	388	141	150	
20	541907	541938	208	225	111	123	36	40	10	11	1	2	1	1	57	61	0	0	63	69	426	457	167	178	
21	541826	541863	243	263	128	142	42	46	12	14	2	2	1	1	71	75	0	0	75	81	501	538	197	211	
22	541730	541774	284	307	150	166	49	54	15	16	2	2	1	1	86	92	0	0	89	96	590	634	234	251	
23	541620	541673	329	356	174	194	58	64	17	20	2	3	1	2	106	113	0	0	101	110	691	744	278	298	
24	541493	541555	383	415	201	224	68	74	21	23	3	3	2	2	129	138	0	0	118	128	809	871	327	351	
25	541343	541417	446	483	234	261	79	86	24	27	3	4	2	2	156	166	0	0	138	150	947	1021	385	414	
26	541171	541257	517	560	275	307	92	100	28	31	4	5	2	3	185	198	0	0	159	173	1107	1193	454	488	
27	540971	541073	600	649	320	356	108	118	32	36	4	5	2	3	220	236	0	1	184	200	1291	1393	531	572	
28	540738	540857	697	755	371	413	126	137	37	41	5	6	2	3	262	281	1	1	215	234	1507	1626	621	669	
29	540467	540607	809	877	430	480	148	160	44	48	6	7	3	3	311	334	1	1	250	272	1757	1897	727	783	
30	540154	540317	939	1017	502	559	171	186	51	55	7	8	3	4	366	394	1	1	289	313	2047	2210	850	916	
31	539792	539982	1090	1180	582	648	199	216	59	64	8	9	4	5	431	465	1	1	334	363	2382	2572	991	1068	
32	539369	539592	1265	1370	673	752	232	252	70	75	10	11	4	5	508	547	1	1	390	423	2772	2995	1155	1246	
33	538879	539141	1466	1588	782	874	269	293	81	87	11	13	5	6	597	644	1	1	451	490	3223	3485	1345	1452	
34	538312	538617	1700	1843	909	1015	312	339	94	102	13	15	6	7	699	754	1	2	524	568	3747	4052	1567	1692	
35	537657	538010	1972	2136	1055	1177	362	392	110	119	16	18	7	8	819	883	1	2	606	656	4354	4707	1824	1970	
36	536891	537301	2290	2479	1224	1367	420	455	128	139	19	21	8	10	957	1033	2	2	708	766	5063	5473	2125	2295	
37	536003	536482	2659	2876	1424	1590	484	525	149	161	22	24	10	11	1117	1206	2	2	819	887	5882	6361	2473	2674	
38	534981	535537	3079	3331	1652	1845	561	608	174	189	26	28	12	13	1303	1408	2	3	944	1023	6827	7383	2876	3111	
39	533790	534436	3573	3867	1918	2139	649	702	203	220	30	33	13	15	1520	1643	2	3	1101	1192	7928	8574	3344	3616	
40	532417	533168	4133	4474	2227	2483	754	816	236	255	35	38	16	18	1771	1914	3	3	1268	1373	9196	9947	3888	4204	
41	530832	531698	4784	5172	2586	2884	874	945	273	295	41	45	19	21	2064	2230	3	4	1470	1586	10666	11532	4520	4888	
42	528993	529996	5540	5989	3042	3386	967	1047	316	342	48	52	22	24	2404	2598	4	4	1701	1840	12368	13371	5291	5724	
43	526874	528035	6400	6917	3580	3975	1076	1163	367	398	56	61	25	28	2795	3023	4	5	1961	2120	14329	15490	6194	6700	
44	524441	525778	7389	7977	4199	4656	1195	1293	425	460	65	71	30	33	3252	3517	5	5	2256	2433	16586	17923	7235	7827	
45	521628	523169	8528	9205	4912	5437	1339	1448	492	533	75	82	35	38	3780	4088	5	6	2609	2813	19195	20736	8440	9126	
46	518389	520164	9831	10605	5736	6342	1500	1623	572	618	87	95	40	45	4396	4754	6	7	3004	3240	22200	23975	9835	10632	
47	514673	516714	11321	12201	6680	7378	1690	1828	665	719	101	110	47	52	5107	5525	7	8	3450	3716	25650	27691	11441	12368	
48	510429	512763	13015	14012	7721	8520	1950	2109	771	834	116	126	55	60	5930	6415	8	9	3950	4245	29601	31935	13282	14352	
49	505570	508241	14927	16058	8916	9831	2250	2432	896	969	135	146	63	69	6887	7449	9	11	4522	4859	34123	36794	15415	16650	
50	500035	503078	17085	18354	10290	11337	2598	2807	1034	1119	156	169	73	80	7994	8647	11	12	5162	5536	39286	42329	17865	19293	
51	493750	497204	19509	20924	11858	13058	2994	3232	1196	1295	180	196	84	92	9276	10028	13	14	5873	6285	45160	48614	20680	22325	
52	486615	490526	22236	23814	13637	14997	3447	3716	1385	1501	209	227	97	106	10757	11628	15	17	6677	7136	51838	55749	23903	25788	
53	478564	482976	25264	27007	15665	17207	3959	4266	1604	1737	243	264	113	123	12463	13472	17	19	7549	8052	59388	63800	27595	29752	
54	469534	474480	28598	30502	17971	19713	4538	4884	1851	2001	282	306	132	142	14430	15596	20	22	8496	9031	67884	72830	31812	34272	
55	459436	464960	32243	34315	20558	22511	5193	5580	2134	2305	329	356	153	165	16708	18051	23	25	9519	10098	77404	82928	36609	39405	
56	448209	454347	36177	38408	23468	25649	5930	6363	2467	2663	381	413	176	191	19323	20872	27	29	10612	11229	88017	94155	42062	45232	
57	435799	442573	40401	42767	26724	29146	6748	7229	2842	3065	440	477	204	221	22335	24115	31	34	11773	12411	99791	106565	48234	51816	
58	422214	429628	44849	47323	30337	33004	7656	8182	3264	3516	512	555	236	255	25787	27826	36	39	12943	13587	112736	120150	55181	59202	
59	407406	415465	49490	52035	34314	37227	8651	9223	3746	4033	595	645	273	296	29738	32072	41	45	14160	14811	126899	134958	62972	67469	
60	391446	400123	54218	56770	38645	41805	9745	10363	4297	4624	687	744	315	342	34252	36911	48	52	15339	15964	142241	150918	71656	76661	
61	374364	383614	58950	61444	43343	46733	10922	11585	4910	5277	796	862	366	396	39396	42417	56	61	16505	17086	158750	168000	81302	86829	
62	356286	366053	63563	65939	48342	51920	12170	12867	5601	6010	919	994	422	456	45252	48677	64	70	17556	18082	176311	186078	91912	97971	
63	337428	347629	67820	69994	53623	57350	13486	14210	6377	6830	1059	1145	487	526	51875	55746	74	81	18415	18868	194735	204936	103534	110130	
64	317883	328416	71683	73586	59087	62904	14854	15599	7247	7746	1219	1317	559	605	59330	63676	86	94	19200	19558	213948	224481	116130	123238	
65	297948	308698	74880	76452	64670	68488	16257	17004	8199	8739	1402	1512	644	695	67701	72569	100	109	19696	19957	233666	244416	129697	137287	
66	277833	288648	77345	78514	70245	73969	17636	18367	9238	9824	1608	1734	738	797	77053	82473	116	127	20001	20164	253716	264531	144158	152183	
67	257844	268585	78930	79698	77440	80962	17132	17781	10360	10989	1842	1983	845	912	87453	93448	134	146	19939	20112	273779	284520	161184	169621	
68	238248	248765	79358	79929	84424	87641	16462	17016	11551	12215	2105	2264	966	1042	98922	105504	156	169	19571	19845	293599	304116	178970	187733	
69	219298	229450	78533	79365	90880	93676	15612	16058	12803	13497	2400	2578	1104	1189	111513	118690	180	196	18934	19330	312914	323066	197251	206240	
70	201228	210893	76535	77824	96694	98960	14552	14882	14098	14810	2735	2931	1259	1352	125198	132953	208	226	18058	18569	331471	341136	215874	224948	
71	184223	193290	73575	75341	101571	103249	13256	13473	15430	16148	3103	3317	1426	1527	139973	148277	241	262	16997	17611	349074	358141	234555	243584	
72	168442	176862	69774	71934	105339	106435	11720	11833	16743	17441	3511	3745	1614	1726	155775	164592	279	302	15776	16433	365502	373922	253067	261913	
73	153996	161716	65279	67758	105922	106741	11776	11869	18013	18672	3949	4203	1816	1936	172447	181716	321	349	14441	15151	380648	388368	270802	279329	
74	140919	147905	60293	63004	104765	105977	11653	11783	19198	19805	4426	4696	2034	2161	189948	199586	370	401	13075	13813	394459	401445	287871	295966	
75	129205	135460	55007	57841	102163	104047	11367	11556	20252	20783	4939	5226	2269	2404	208040	217953	427	462	11712	12447	406904	413159	304090	311651	
76	118837	124377	49597	52494	98261	100794	10936	11184	21121	21553	5479	5778	2518	2658	226615	236681	490	529	10366	11085	417987	423527	319248	326225	
77	109739	114601	44252	47121	93264	96391	10378	10685	21773	22088	6056	6365	2786	2930	245370	255475	564	608	9097	9777	427763	432625	333257	339602	
78	101817	106055	39097	41855	87375	90988	9734	10091	22192	22401	6635	6946	3050	3194	264092	274105	647	697	7921	8547	436309	440547	346053	351735	
79	94975	98643	34227	36820	80857	84820	9007	9399	22306	22467	7220	7527	3318	3460	282564	292359	740	797	6841	7412	443721	447389	357615	362636	
80	89093	92251	29742	32128	73917	78095	8241	8655	22085	22318	7785	8082	3577	3714	300557	310027	845	908	5882	6393	450113	453271	367938	372310	
81	84064	86769	25673	27834	66791	71041	7458	7883	21545	21903	8326	8607	3828	3960	317900	326936	964	1034	5028	5483	455595	458300	377056	380812	
82	79803	82105	22013	23952	59729	63950	6663	7090	20750	21230	8816	9069	4054	4173	334371	342915	1098	1176	4260	4665	460259	462561	385060	388248	
83	76197	78152	18776	20494	52899	56982	5900	6312	19712	20303	9261	9477	4257	4358	349853	357843	1241	1327	3604	3954	464212	466167	392022	394685	
84	73150	74802	15941	17451	46441	50297	5176	5566	18471	19150	9630	9805	4425	4509	364281	371669	1402	1496	3047	3351	467562	469214	398036	400229	
85	70592	71983	13470	14788	40438	44013	4510	4871	17097	17844	9899	10028	4551	4613	377579	384355	1580	1681	2558	2820	470381	471772	403203	404978	
86	68452	69618	11349	12489	34961	38220	3899	4226	15625	16413	10071	10159	4628	4674	389722	395878	1770	1878	2139	2366	472746	473912	407612	409012	
87	66658	67639	9537	10515	30041	32969	3344	3636	14115	14916	10095	10171	4636	4679	400735	406285	1977	2093	1793	1980	474725	475706	411351	412433	
88	65155	65979	7993	8825	25665	28269	2863	3123	12621	13414	9990	10096	4591	4647	410625	415597	2195	2318	1503	1661	476385	477209	414523	415329	
89	63902	64594	6688	7391	21824	24118	2436	2666	11177	11941	9757	9911	4481	4558	419458	423889	2423	2552	1252	1385	477770	478462	417196	417772	
90	62859	63441	5590	6179	18471	20478	2062	2263	9812	10536	9419	9622	4326	4424	427305	431237	2660	2793	1041	1154	478923	479505	419433	419820	
91	61994	62484	4662	5158	15576	17315	1735	1909	8548	9215	8985	9237	4126	4246	434247	437719	2904	3040	864	958	479880	480370	421298	421560	
92	61276	61691	3875	4291	13107	14599	1460	1609	7385	7992	8480	8771	3892	4030	440350	443403	3152	3288	716	795	480673	481088	422828	423052	
93	60681	61033	3216	3566	11000	12274	1226	1353	6351	6898	7898	8218	3627	3776	445700	448376	3401	3536	593	660	481331	481683	424069	424329	
94	60182	60481	2672	2966	9207	10290	1024	1130	5427	5915	7276	7614	3343	3501	450389	452728	3648	3780	497	554	481883	482182	425085	425414	
95	59768	60025	2219	2466	7692	8605	855	944	4616	5049	6632	6981	3046	3207	454467	456507	3887	4014	411	458	482339	482596	425922	426320	
