Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542349	14	1	0	0	0	0	0	0	4	15	1	
5	542343	17	3	1	0	0	0	0	0	5	21	3	
6	542337	20	5	2	0	0	0	0	0	7	27	5	
7	542329	24	9	3	0	0	0	0	0	8	35	9	
8	542319	30	12	4	0	0	0	0	0	10	45	12	
9	542308	35	16	5	0	0	0	0	0	11	56	16	
10	542293	43	20	7	0	0	0	1	0	14	71	21	
11	542277	52	23	8	1	0	0	3	0	17	87	27	
12	542257	62	28	10	1	0	0	6	0	19	107	34	
13	542234	74	34	11	2	0	0	9	0	23	130	43	
14	542206	88	41	14	3	0	0	13	0	28	158	54	
15	542174	103	50	16	4	0	0	17	0	32	190	67	
16	542139	118	60	20	5	0	0	23	0	35	225	81	
17	542097	137	72	23	6	1	1	29	0	42	267	99	
18	542047	158	86	27	7	1	1	37	0	50	317	122	
19	541989	185	101	32	8	1	1	47	0	59	375	146	
20	541923	216	117	38	10	1	1	59	0	66	441	172	
21	541844	253	135	44	13	2	1	73	0	78	520	204	
22	541752	295	158	52	16	2	1	89	0	92	612	243	
23	541646	343	184	61	18	2	1	109	0	106	718	288	
24	541524	399	212	71	22	3	2	134	0	123	840	339	
25	541380	465	247	82	26	3	2	161	0	144	984	400	
26	541214	538	291	96	30	4	2	191	0	166	1150	471	
27	541022	624	338	113	34	5	2	228	1	192	1342	552	
28	540798	726	392	132	39	5	3	271	1	224	1566	645	
29	540537	843	455	154	46	6	3	322	1	261	1827	755	
30	540236	978	531	178	53	8	4	380	1	301	2128	883	
31	539887	1135	615	208	62	9	4	448	1	349	2477	1029	
32	539481	1317	713	242	73	10	5	528	1	407	2884	1201	
33	539010	1527	828	281	84	12	6	620	1	470	3354	1399	
34	538464	1772	962	326	98	14	7	727	1	546	3900	1630	
35	537833	2054	1116	377	114	17	8	851	2	631	4531	1897	
36	537096	2385	1295	438	134	20	9	995	2	737	5268	2210	
37	536243	2768	1507	505	155	23	10	1162	2	853	6121	2574	
38	535259	3205	1749	585	181	27	12	1356	2	983	7105	2994	
39	534113	3720	2029	676	211	31	14	1582	3	1146	8251	3480	
40	532792	4303	2355	785	246	37	17	1843	3	1320	9572	4046	
41	531265	4978	2735	909	284	43	20	2147	3	1528	11099	4704	
42	529495	5765	3214	1007	329	50	23	2501	4	1770	12869	5507	
43	527454	6659	3778	1120	382	58	27	2909	4	2040	14910	6447	
44	525110	7683	4427	1244	442	68	31	3385	5	2345	17254	7531	
45	522398	8867	5175	1394	513	79	37	3934	6	2711	19966	8783	
46	519276	10218	6039	1562	595	91	43	4575	7	3122	23088	10234	
47	515693	11761	7029	1759	692	106	49	5316	8	3583	26671	11905	
48	511596	13514	8120	2029	802	121	57	6173	9	4097	30768	13817	
49	506906	15492	9374	2341	933	140	66	7168	10	4690	35458	16033	
50	501557	17720	10813	2703	1077	163	76	8321	12	5349	40807	18579	
51	495477	20216	12458	3113	1246	188	88	9652	13	6079	46887	21502	
52	488571	23025	14317	3581	1443	218	102	11192	16	6907	53793	24845	
53	480770	26136	16436	4112	1671	254	118	12967	18	7801	61594	28673	
54	472007	29550	18842	4711	1926	294	137	15013	21	8763	70357	33042	
55	462198	33279	21535	5386	2220	343	159	17379	24	9808	80166	38007	
56	451278	37293	24559	6147	2565	397	184	20097	28	10920	91086	43647	
57	439186	41584	27935	6988	2954	459	212	23225	33	12092	103178	50025	
58	425921	46086	31670	7919	3390	534	245	26806	38	13265	116443	57192	
59	411436	50763	35771	8937	3890	620	284	30905	43	14485	130928	65221	
60	395784	55494	40225	10054	4460	716	329	35581	50	15651	146580	74159	
61	378989	60197	45038	11253	5094	829	381	40906	58	16796	163375	84066	
62	361170	64751	50131	12519	5806	956	439	46964	67	17819	181194	94941	
63	342528	68907	55486	13848	6604	1102	506	53810	78	18641	199836	106832	
64	323150	72635	60996	15227	7497	1268	582	61503	90	19379	219214	119684	
65	303323	75666	66579	16631	8469	1457	669	70135	105	19827	239041	133492	
66	283240	77929	72107	18001	9531	1671	768	79763	121	20083	259124	148170	
67	263214	79314	79201	17457	10674	1913	878	90451	140	20026	279150	165402	
68	243506	79643	86032	16739	11883	2184	1004	102213	162	19708	298858	183352	
69	224374	78949	92278	15835	13150	2489	1147	115102	188	19132	317990	201745	
70	206061	77180	97827	14717	14454	2833	1305	129076	217	18313	336303	220411	
71	188757	74458	102410	13364	15789	3210	1476	144125	252	17304	353607	239070	
72	172652	70854	105887	11776	17092	3628	1670	160184	291	16105	369712	257490	
73	157856	66518	106332	11823	18343	4076	1876	177082	335	14796	384508	275065	
74	144412	61649	105371	11718	19501	4561	2097	194767	386	13444	397952	291918	
75	132333	56424	103105	11461	20518	5082	2337	212997	444	12079	410031	307870	
76	121607	51045	99528	11060	21337	5629	2588	231648	510	10726	420757	322737	
77	112170	45686	94827	10531	21930	6211	2858	250422	586	9437	430194	336429	
78	103936	40476	89182	9913	22297	6791	3122	269099	672	8234	438428	348894	
79	96809	35523	82839	9203	22387	7373	3389	287461	769	7127	445555	360126	
80	90672	30935	76006	8448	22201	7934	3645	305292	877	6137	451692	370124	
81	85416	26754	68916	7671	21724	8466	3894	322418	999	5256	456948	378934	
82	80954	22982	61839	6877	20990	8942	4114	338643	1137	4462	461410	386654	
83	77175	19635	54940	6106	20007	9369	4308	353848	1284	3779	465189	393353	
84	73976	16696	48369	5371	18810	9718	4467	367975	1449	3199	468388	399132	
85	71287	14129	42225	4691	17471	9964	4582	380967	1631	2689	471077	404091	
86	69035	11919	36590	4063	16019	10115	4651	392800	1824	2252	473329	408312	
87	67149	10026	31505	3490	14516	10133	4657	403510	2035	1886	475215	411892	
88	65567	8409	26967	2993	13017	10043	4619	413111	2257	1582	476797	414926	
89	64248	7039	22971	2551	11559	9834	4520	421674	2488	1319	478116	417484	
90	63150	5885	19475	2163	10174	9521	4375	429271	2727	1098	479214	419626	
91	62239	4910	16446	1822	8882	9111	4186	435983	2972	911	480125	421429	
92	61484	4083	13853	1534	7688	8625	3961	441877	3220	755	480880	422940	
93	60857	3391	11637	1289	6625	8058	3702	447038	3469	627	481507	424199	
94	60331	2819	9748	1077	5671	7445	3422	451559	3714	526	482033	425249	
95	59897	2342	8149	899	4832	6807	3127	455487	3951	435	482467	426121	
96	59533	1950	6803	748	4100	6152	2826	458896	4181	363	482831	426845	
97	59236	1621	5667	624	3462	5510	2531	461848	4396	298	483128	427445	
98	58986	1345	4716	520	2918	4890	2246	464394	4595	250	483378	427948	
99	58782	1114	3920	431	2453	4302	1975	466583	4779	204	483582	428365	
100	58611	922	3258	359	2054	3755	1725	468460	4945	171	483753	428712	
101	58470	766	2704	299	1716	3253	1493	470060	5096	141	483894	428997	
102	58353	633	2248	250	1430	2799	1285	471424	5228	117	484011	429236	
103	58255	527	1866	208	1188	2401	1102	472574	5343	98	484109	429432	
104	58174	437	1547	173	989	2048	940	473551	5444	82	484190	429596	
105	58106	364	1283	144	823	1735	796	474377	5532	68	484258	429731	
106	58052	301	1061	120	686	1467	673	475069	5608	54	484312	429843	
107	58005	250	881	99	568	1236	567	475650	5675	46	484359	429936	
108	57966	208	730	82	472	1039	476	476137	5729	39	484398	430014	
109	57935	170	608	68	393	872	400	476542	5775	31	484429	430080	
110	57909	143	503	56	326	731	334	476882	5814	27	484455	430132	
111	57886	119	418	47	270	610	278	477167	5848	22	484478	430176	
112	57869	97	348	39	224	508	231	477403	5876	18	484495	430214	
113	57854	81	288	32	188	422	192	477599	5900	15	484510	430244	
114	57842	67	239	26	157	350	159	477764	5919	13	484522	430269	
115	57832	55	197	22	130	292	134	477901	5935	10	484532	430291	
116	57823	46	164	18	107	243	110	478013	5949	9	484541	430307	
117	57816	38	136	15	89	200	91	478108	5961	7	484548	430322	
118	57811	31	112	12	74	166	75	478188	5970	6	484553	430334	
119	57806	26	93	10	61	138	63	478251	5978	5	484558	430343	
120	57802	21	77	9	50	115	52	478306	5984	4	484562	430352	
121	57798	18	63	7	42	95	43	478351	5990	3	484566	430358	
122	57796	15	52	6	35	79	36	478387	5994	3	484568	430364	
123	57793	12	44	5	29	66	30	478417	5997	2	484571	430369	
124	57791	10	36	4	24	55	25	478443	6000	2	484573	430372	
125	57790	9	30	3	19	46	20	478464	6003	2	484574	430375	
126	57788	7	25	3	16	38	17	478482	6005	2	484576	430378	
127	57787	6	20	2	13	32	14	478497	6007	1	484577	430380	
128	57786	5	17	2	11	26	12	478508	6008	1	484578	430382	
129	57785	5	14	2	9	21	10	478519	6009	1	484579	430384	
130	57785	4	12	1	8	17	8	478527	6010	1	484579	430385	
131	57784	3	10	1	6	15	7	478534	6011	1	484580	430386	
132	57783	3	9	1	5	12	6	478539	6012	1	484581	430387	
133	57783	2	7	1	4	10	5	478544	6012	0	484581	430388	
134	57783	2	6	1	3	8	4	478548	6013	0	484581	430389	
135	57782	2	5	1	3	7	3	478551	6013	0	484582	430389	
136	57782	2	5	1	2	6	3	478554	6013	0	484582	430390	
137	57782	1	4	0	2	4	2	478557	6014	0	484583	430390	
138	57781	1	3	0	2	4	2	478559	6014	0	484583	430391	
139	57781	1	3	0	2	3	1	478560	6014	0	484583	430391	
140	57781	1	3	0	1	3	1	478561	6014	0	484583	430392	
141	57780	1	2	0	1	2	1	478562	6014	0	484584	430392	
