Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39827e+006	468	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	168	468	472	0	0	
4	8.39804e+006	8.39806e+006	661	676	16	16	0	0	0	0	0	0	0	0	0	0	0	0	207	222	677	692	16	16	
5	8.39777e+006	8.39779e+006	789	811	119	128	32	41	0	0	0	0	0	0	0	0	0	0	267	284	949	971	119	128	
6	8.39742e+006	8.39745e+006	979	1016	226	238	66	78	0	0	0	0	0	0	0	0	0	0	329	354	1283	1320	226	238	
7	8.39697e+006	8.39703e+006	1233	1293	350	365	106	120	0	0	0	0	0	0	0	0	0	0	416	448	1703	1764	350	365	
8	8.39641e+006	8.39649e+006	1562	1638	505	528	159	176	0	0	0	0	0	0	0	0	0	0	533	568	2243	2326	507	527	
9	8.39571e+006	8.39582e+006	1961	2057	709	739	226	246	0	0	0	0	0	0	0	0	0	0	663	707	2915	3023	711	736	
10	8.39481e+006	8.39495e+006	2495	2615	947	991	305	328	0	0	0	0	0	0	16	16	0	0	861	915	3784	3930	968	1002	
11	8.39371e+006	8.3939e+006	3123	3272	1152	1219	374	402	24	32	0	0	0	0	128	136	0	0	1043	1105	4833	5029	1290	1341	
12	8.39237e+006	8.39262e+006	3871	4049	1458	1547	461	495	50	61	0	0	0	0	243	254	0	0	1279	1349	6121	6368	1708	1774	
13	8.39069e+006	8.391e+006	4812	5027	1834	1951	585	627	81	93	0	0	0	0	376	390	0	0	1602	1686	7734	8044	2217	2304	
14	8.38862e+006	8.38903e+006	5918	6193	2317	2466	753	809	121	137	0	0	0	0	546	565	0	0	1966	2082	9710	10115	2874	2984	
15	8.38608e+006	8.38659e+006	7301	7634	2890	3085	949	1017	172	191	0	0	0	0	766	791	0	0	2422	2550	12143	12654	3673	3819	
16	8.38296e+006	8.3836e+006	9007	9417	3609	3845	1178	1254	241	262	0	0	0	0	1032	1068	0	0	2978	3139	15137	15777	4667	4855	
17	8.37912e+006	8.37992e+006	11077	11579	4499	4778	1474	1559	291	316	14	18	13	16	1388	1440	0	0	3671	3848	18818	19614	5895	6132	
18	8.37444e+006	8.37544e+006	13572	14194	5547	5901	1853	1955	372	402	23	28	18	21	1837	1907	0	0	4460	4697	23292	24299	7394	7704	
19	8.36862e+006	8.36989e+006	16696	17471	6844	7278	2306	2430	477	508	31	37	22	26	2395	2490	0	0	5548	5825	28851	30113	9254	9644	
20	8.36165e+006	8.36324e+006	20350	21322	8412	8943	2849	2997	599	639	44	51	27	31	3126	3255	0	0	6635	6987	35497	37089	11522	12011	
21	8.3531e+006	8.35508e+006	24828	26032	10381	11023	3496	3671	743	792	59	69	35	41	4014	4185	0	0	8148	8559	43658	45634	14346	14952	
22	8.34261e+006	8.34505e+006	30381	31837	12706	13513	4332	4551	926	981	76	88	43	51	5103	5316	0	0	10014	10502	53685	56124	17728	18490	
23	8.32969e+006	8.33267e+006	37202	38944	15619	16626	5338	5603	1169	1234	98	111	52	61	6447	6717	0	0	12366	12934	66064	69046	21950	22909	
24	8.314e+006	8.31769e+006	45538	47662	19080	20328	6520	6832	1443	1514	129	144	66	77	8119	8476	0	0	14969	15708	81045	84740	27000	28214	
25	8.29481e+006	8.29935e+006	55721	58298	23356	24900	7922	8317	1776	1865	164	180	82	94	10185	10627	0	0	18331	19195	99390	103922	33244	34736	
26	8.27152e+006	8.27707e+006	67975	71103	28591	30475	9677	10152	2207	2322	212	231	104	119	12698	13244	0	0	22268	23307	121670	127216	40895	42753	
27	8.24279e+006	8.24965e+006	83013	86909	35043	37326	11874	12434	2733	2861	252	274	115	131	15799	16486	13	16	27406	28738	149088	155943	50339	52619	
28	8.2081e+006	8.21647e+006	101210	105913	42901	45701	14455	15139	3356	3520	317	345	143	163	19579	20438	16	19	33167	34711	182268	190641	61822	64643	
29	8.16593e+006	8.17618e+006	123152	128900	52419	55815	17648	18467	4105	4319	399	431	179	202	24305	25364	18	22	40272	42183	222554	232810	75833	79305	
30	8.11465e+006	8.12716e+006	149892	156881	64060	68164	21534	22542	5012	5276	495	530	225	249	29946	31281	21	25	49009	51286	271576	284084	92867	97101	
31	8.05249e+006	8.06762e+006	182018	190318	78365	83416	26373	27584	6129	6448	622	666	280	309	36860	38514	25	29	59535	62172	331120	346247	113826	119086	
32	7.97734e+006	7.99563e+006	220828	230772	95628	101763	32126	33584	7494	7860	769	822	350	382	45369	47433	28	34	71976	75167	403109	421400	139227	145663	
