Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39825e+006	8.39826e+006	478	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	180	478	484	0	0	
4	8.39791e+006	8.39793e+006	790	814	16	16	0	0	0	0	0	0	0	0	0	0	0	0	325	348	806	830	16	16	
5	8.39738e+006	8.39744e+006	1137	1193	119	128	32	41	0	0	0	0	0	0	0	0	0	0	486	529	1297	1353	119	128	
6	8.39666e+006	8.39675e+006	1687	1773	226	238	66	78	0	0	0	0	0	0	0	0	0	0	685	733	1991	2077	226	238	
7	8.3955e+006	8.39564e+006	2618	2751	357	373	109	123	0	0	0	0	0	0	0	0	0	0	1099	1164	3099	3232	357	373	
8	8.39376e+006	8.39399e+006	3936	4155	600	632	192	211	0	0	0	0	0	0	0	0	0	0	1641	1753	4747	4979	604	628	
9	8.39118e+006	8.39152e+006	5914	6213	973	1034	309	334	0	0	0	0	0	0	0	0	0	0	2461	2591	7218	7559	980	1027	
10	8.38723e+006	8.38776e+006	8977	9437	1477	1570	477	512	0	0	0	0	0	0	16	16	0	0	3744	3960	10973	11508	1506	1573	
11	8.38125e+006	8.38207e+006	13562	14261	2196	2340	712	763	24	32	0	0	0	0	128	136	0	0	5677	5996	16665	17489	2346	2450	
12	8.37247e+006	8.37372e+006	20264	21294	3311	3556	1086	1164	50	61	0	0	0	0	243	254	0	0	8339	8790	25017	26267	3586	3758	
13	8.35924e+006	8.36113e+006	30378	31940	5031	5387	1646	1751	82	96	0	0	0	0	385	399	0	0	12574	13237	37602	39493	5457	5713	
14	8.33931e+006	8.34218e+006	45569	47931	7559	8103	2516	2668	147	166	0	0	0	0	648	675	0	0	18936	19951	56552	59430	8275	8677	
15	8.30958e+006	8.31388e+006	68187	71673	11391	12203	3846	4064	247	271	0	0	0	0	1038	1093	0	0	28295	29738	84860	89155	12539	13163	
16	8.26538e+006	8.27178e+006	101929	107096	17055	18274	5786	6101	385	416	0	0	0	0	1593	1673	0	0	42081	44213	126953	133356	18814	19757	
17	8.19928e+006	8.20889e+006	152236	159971	25551	27373	8696	9144	572	612	14	18	13	16	2499	2616	0	0	62881	66112	189848	199453	28287	29723	
18	8.10152e+006	8.11584e+006	226333	237793	38407	41147	13017	13685	864	923	23	28	18	21	3846	4042	0	0	93033	97773	282894	297213	42590	44769	
19	7.95765e+006	7.97859e+006	335274	351942	57589	61680	19486	20481	1308	1389	31	38	22	26	5865	6146	0	0	137236	143886	420142	441088	63928	67171	
20	7.74768e+006	7.77826e+006	493514	517713	86062	92134	29075	30556	1969	2083	50	60	30	36	8938	9381	0	0	200324	209982	620478	651058	95639	100466	
21	7.44566e+006	7.4894e+006	719480	753629	128639	137702	43316	45490	2969	3146	75	88	43	50	13602	14274	0	0	288844	302030	909335	953075	143112	150398	
22	7.01925e+006	7.07997e+006	1.03587e+006	1.08228e+006	191627	205108	64421	67668	4464	4711	116	131	60	70	20418	21443	0	0	409415	426430	1.31877e+006	1.37949e+006	213355	224187	
23	6.43465e+006	6.51684e+006	1.46174e+006	1.52301e+006	284183	303846	95670	100436	6710	7080	178	197	89	103	30695	32235	0	0	563107	584623	1.8819e+006	1.96409e+006	316787	332615	
24	5.66778e+006	5.77318e+006	2.00506e+006	2.07992e+006	419010	447602	140972	147970	10094	10632	273	296	130	147	46167	48520	0	0	743627	766901	2.62556e+006	2.73096e+006	468034	491070	
25	4.72042e+006	4.84661e+006	2.64274e+006	2.72529e+006	612651	653360	206196	216188	15136	15921	413	445	193	216	69292	72808	0	0	926502	947431	3.55213e+006	3.67832e+006	685988	718902	
26	3.64097e+006	3.77813e+006	3.30172e+006	3.3784e+006	886122	942163	297970	311691	22612	23757	629	675	292	320	103692	108944	0	0	1.06824e+006	1.07969e+006	4.62061e+006	4.75776e+006	995136	1.04087e+006	
27	2.54383e+006	2.67529e+006	3.84116e+006	3.89121e+006	1.25876e+006	1.33365e+006	422946	441329	33756	35473	927	993	422	460	155131	162994	13	16	1.09645e+006	1.10353e+006	5.72344e+006	5.85491e+006	1.42067e+006	1.48261e+006	
28	1.57437e+006	1.68202e+006	4.08655e+006	4.09802e+006	1.74424e+006	1.83821e+006	585475	608490	50243	52808	1387	1476	640	688	231227	242932	16	19	969255	993477	6.71672e+006	6.82437e+006	1.98314e+006	2.06269e+006	
29	851553	925207	3.86819e+006	3.92208e+006	2.33418e+006	2.44275e+006	782909	809379	74479	78198	2088	2220	973	1045	343531	360673	19	22	722729	756900	7.47353e+006	7.54718e+006	2.68449e+006	2.78005e+006	
