Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39827e+006	465	0	0	0	0	0	0	0	161	465	0	
4	8.39811e+006	606	16	0	0	0	0	0	0	157	622	16	
5	8.39794e+006	635	124	36	0	0	0	0	0	173	795	124	
6	8.39776e+006	674	232	72	0	0	0	0	0	183	978	232	
7	8.39756e+006	712	353	112	0	0	0	0	0	198	1176	353	
8	8.39735e+006	765	470	152	0	0	0	0	0	211	1387	470	
9	8.39712e+006	823	599	196	0	0	0	0	0	231	1618	599	
10	8.39688e+006	876	721	241	0	0	0	16	0	236	1854	737	
11	8.39663e+006	934	767	249	28	0	0	132	0	257	2111	897	
12	8.39636e+006	989	819	264	56	0	0	248	0	265	2376	1058	
13	8.39608e+006	1036	874	279	86	0	0	379	0	278	2654	1238	
14	8.39581e+006	1077	930	301	116	0	0	506	0	276	2931	1418	
15	8.39551e+006	1112	999	317	149	0	0	646	0	292	3222	1625	
16	8.39521e+006	1148	1065	333	184	0	0	794	0	301	3523	1836	
17	8.3949e+006	1186	1120	357	194	16	15	966	0	316	3840	2052	
18	8.39458e+006	1227	1169	374	209	25	20	1153	0	318	4157	2271	
19	8.39424e+006	1269	1209	395	222	34	24	1362	0	334	4492	2495	
20	8.39403e+006	1183	1263	407	235	43	27	1575	0	215	4706	2735	
21	8.39382e+006	1079	1300	429	259	54	33	1798	0	213	4919	2980	
22	8.39361e+006	973	1336	446	278	64	37	2034	0	212	5130	3233	
23	8.3934e+006	847	1377	460	296	74	43	2284	0	208	5338	3506	
24	8.39318e+006	846	1326	450	308	86	49	2536	0	214	5552	3682	
25	8.39298e+006	835	1269	428	321	98	54	2803	0	201	5754	3861	
26	8.39279e+006	821	1203	404	335	109	59	3079	0	197	5951	4033	
27	8.39258e+006	818	1124	374	340	108	52	3378	14	205	6156	4204	
28	8.3924e+006	788	1048	347	344	114	54	3681	18	184	6340	4381	
29	8.39222e+006	766	949	313	352	120	56	4000	20	180	6520	4552	
30	8.39205e+006	739	944	301	340	128	60	4216	23	170	6690	4716	
31	8.39188e+006	700	937	300	324	134	62	4436	25	167	6857	4877	
32	8.39173e+006	670	912	298	307	138	65	4659	27	153	7010	5022	
33	8.39157e+006	641	891	291	284	145	69	4880	29	152	7162	5165	
34	8.39142e+006	629	858	280	266	151	70	5103	32	158	7319	5305	
35	8.39127e+006	605	833	270	241	158	73	5320	35	143	7462	5440	
36	8.39113e+006	597	798	261	238	159	74	5516	38	145	7607	5566	
37	8.39099e+006	582	759	246	241	159	74	5715	42	137	7743	5688	
38	8.39086e+006	562	744	236	237	155	72	5903	45	138	7881	5817	
39	8.39073e+006	543	717	225	236	150	70	6084	49	124	8005	5933	
40	8.3906e+006	533	696	220	227	143	68	6266	54	134	8140	6049	
41	8.39048e+006	515	674	213	221	138	65	6440	58	119	8258	6159	
42	8.39036e+006	491	665	206	211	136	61	6602	62	114	8372	6273	
43	8.39025e+006	485	646	198	200	131	58	6764	66	119	8491	6375	
44	8.39013e+006	469	632	188	196	123	56	6930	70	118	8609	6488	
45	8.39002e+006	460	619	177	182	118	53	7088	75	109	8718	6589	
46	8.38991e+006	453	599	167	179	114	51	7237	77	108	8826	6686	
47	8.38981e+006	440	591	157	172	107	47	7384	80	105	8931	6787	
48	8.3897e+006	425	578	150	168	105	47	7525	83	104	9034	6887	
49	8.38961e+006	410	570	143	160	107	49	7654	84	94	9128	6978	
50	8.38951e+006	399	549	137	153	105	47	7796	86	96	9224	7069	
51	8.38942e+006	388	536	136	154	101	45	7914	89	94	9318	7156	
52	8.38932e+006	386	528	133	145	97	44	8038	93	102	9420	7241	
53	8.38922e+006	386	504	134	143	91	40	8161	95	94	9514	7316	
54	8.38914e+006	376	485	130	142	87	38	8281	98	86	9600	7398	
55	8.38905e+006	369	472	128	138	82	35	8396	102	87	9687	7475	
56	8.38896e+006	358	467	127	132	79	34	8511	104	92	9779	7560	
57	8.38887e+006	352	458	126	125	76	34	8624	105	87	9866	7637	
58	8.38879e+006	351	443	123	126	74	33	8728	107	85	9951	7709	
59	8.3887e+006	346	443	116	122	71	31	8826	109	81	10033	7784	
60	8.38863e+006	329	440	114	113	70	31	8929	111	75	10108	7862	
61	8.38855e+006	326	436	112	109	70	32	9027	113	84	10191	7934	
62	8.38847e+006	318	423	108	108	67	31	9130	116	78	10269	8005	
63	8.38839e+006	313	416	103	108	65	31	9223	118	77	10346	8073	
64	8.38831e+006	316	408	100	103	66	31	9312	119	77	10424	8135	
65	8.38824e+006	308	408	97	99	64	31	9404	120	76	10499	8207	
66	8.38816e+006	305	394	97	100	62	32	9495	122	75	10574	8270	
67	8.38809e+006	299	396	85	99	60	29	9583	124	72	10645	8344	
68	8.38802e+006	292	397	75	100	60	29	9667	125	70	10716	8415	
69	8.38795e+006	288	399	67	100	57	27	9748	127	71	10787	8486	
70	8.38788e+006	287	406	61	98	54	25	9827	129	74	10860	8554	
71	8.38781e+006	285	399	55	96	52	23	9913	130	70	10930	8622	
72	8.38774e+006	283	400	46	93	51	23	9993	132	68	10998	8686	
73	8.38768e+006	275	395	46	90	51	23	10072	133	63	11061	8752	
74	8.38761e+006	265	391	46	86	50	23	10152	135	64	11125	8819	
75	8.38754e+006	265	386	45	82	50	23	10231	136	70	11196	8883	
76	8.38748e+006	259	379	45	83	50	22	10303	137	62	11257	8943	
77	8.38741e+006	262	372	44	82	51	24	10374	139	66	11324	9003	
78	8.38735e+006	261	367	43	83	49	23	10444	140	63	11386	9061	
79	8.38729e+006	256	365	44	85	46	22	10513	142	65	11451	9124	
80	8.38722e+006	258	354	43	86	45	22	10586	143	64	11515	9181	
81	8.38716e+006	252	352	41	85	46	22	10655	144	61	11576	9244	
82	8.3871e+006	252	349	39	84	46	21	10722	145	62	11638	9302	
83	8.38704e+006	248	352	38	85	44	21	10785	148	61	11699	9363	
84	8.38698e+006	241	353	37	82	44	20	10852	148	58	11757	9422	
85	8.38692e+006	244	345	35	80	42	19	10924	149	63	11820	9478	
86	8.38686e+006	240	345	36	78	44	20	10986	150	58	11878	9535	
