Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	124	36	0	0	0	0	0	400	1162	124	
6	8.39703e+006	1400	232	72	0	0	0	0	0	542	1704	232	
7	8.39625e+006	2015	361	115	0	0	0	0	0	786	2491	361	
8	8.39512e+006	2857	574	189	0	0	0	0	0	1129	3619	574	
9	8.39354e+006	4030	879	283	0	0	0	0	0	1573	5192	879	
10	8.39131e+006	5725	1271	418	0	0	0	16	0	2237	7429	1287	
11	8.38815e+006	8097	1765	566	28	0	0	132	0	3158	10587	1895	
12	8.38377e+006	11346	2498	817	56	0	0	248	0	4378	14966	2737	
13	8.3777e+006	15839	3554	1162	88	0	0	388	0	6066	21032	3926	
14	8.3691e+006	22209	5028	1638	145	0	0	618	0	8606	29638	5628	
15	8.35715e+006	31001	7080	2345	224	0	0	939	0	11950	41588	8000	
16	8.34052e+006	43250	9936	3325	334	0	0	1370	0	16627	58215	11289	
17	8.31711e+006	60595	13875	4666	462	16	15	2012	0	23411	81626	15869	
18	8.28463e+006	84471	19460	6559	654	25	20	2940	0	32482	114108	22364	
19	8.2394e+006	117747	27215	9181	914	35	24	4244	0	45227	159335	31379	
20	8.17692e+006	163606	38012	12775	1302	52	31	6075	0	62486	221821	43957	
21	8.09051e+006	226601	53199	17840	1825	74	43	8688	0	86406	308227	61636	
22	7.97147e+006	313160	74291	24852	2567	105	56	12293	0	119042	427268	86195	
23	7.80902e+006	430386	103686	34617	3620	149	77	17262	0	162452	589721	120435	
24	7.58884e+006	588074	144166	48017	5077	209	106	24352	0	220174	809894	167764	
25	7.29429e+006	796217	200035	66604	7112	292	146	34183	0	294550	1.10444e+006	233147	
26	6.90708e+006	1.06439e+006	276738	92316	9933	425	203	47857	0	387209	1.49165e+006	323171	
27	6.40892e+006	1.40009e+006	381063	127032	13875	583	269	67154	14	498159	1.98981e+006	446173	
28	5.78944e+006	1.7994e+006	521754	174032	19338	825	380	93928	18	619483	2.6093e+006	612781	
29	5.04975e+006	2.24455e+006	708760	236349	26882	1165	539	131268	20	739697	3.34899e+006	835884	
30	4.21158e+006	2.69551e+006	952240	317593	37440	1636	764	182721	24	838169	4.18716e+006	1.12937e+006	
31	3.32414e+006	3.08479e+006	1.26121e+006	420380	51973	2282	1069	253942	29	887440	5.0746e+006	1.50736e+006	
32	2.4603e+006	3.32914e+006	1.63673e+006	545293	71787	3173	1482	352273	36	863838	5.93844e+006	1.97782e+006	
33	1.69586e+006	3.35388e+006	2.06945e+006	689825	98813	4434	2069	486428	47	764433	6.70287e+006	2.54035e+006	
34	1.08766e+006	3.12392e+006	2.53295e+006	844317	135294	6192	2875	668347	62	608205	7.31108e+006	3.17962e+006	
35	653462	2.67067e+006	2.97737e+006	992790	183861	8628	4000	911873	82	434197	7.74527e+006	3.85918e+006	
36	373895	2.0864e+006	3.33511e+006	1.11167e+006	246990	12013	5532	1.23254e+006	114	279567	8.02484e+006	4.52625e+006	
37	208370	1.48749e+006	3.53433e+006	1.17873e+006	327074	16700	7696	1.64588e+006	157	165525	8.19037e+006	5.12352e+006	
38	116485	971174	3.52576e+006	1.17602e+006	424411	23085	10630	2.16158e+006	219	91885	8.28225e+006	5.60974e+006	
39	66975	586486	3.29679e+006	1.0995e+006	536766	31832	14628	2.78009e+006	305	49510	8.33176e+006	5.97158e+006	
40	40718	333177	2.87803e+006	959654	656947	43605	20044	3.48618e+006	428	26257	8.35802e+006	6.2221e+006	
41	26567	181802	2.33683e+006	778940	772234	59466	27371	4.24231e+006	595	14151	8.37217e+006	6.38897e+006	
42	18875	97610	1.76229e+006	581524	864978	80188	36876	4.99246e+006	816	7692	8.37986e+006	6.50438e+006	
43	14491	52485	1.2289e+006	399993	916709	106662	49045	5.67837e+006	1127	4385	8.38425e+006	6.58113e+006	
44	12000	28718	793776	253164	914372	139466	64088	6.25568e+006	1559	2491	8.38674e+006	6.63182e+006	
45	10549	16018	479500	147394	855028	178290	81962	6.70979e+006	2169	1451	8.38819e+006	6.66451e+006	
46	9701	9174	275861	79159	746467	221465	101865	7.05391e+006	3003	848	8.38904e+006	6.68419e+006	
47	9160	5331	155228	38651	605931	266156	122384	7.31411e+006	4167	542	8.38958e+006	6.69578e+006	
48	8822	3178	83621	20864	455727	307772	141498	7.51298e+006	5774	337	8.38991e+006	6.70136e+006	
49	8588	1961	45184	11243	316716	341452	156985	7.66561e+006	7984	234	8.39015e+006	6.70445e+006	
50	8427	1274	24841	6176	203731	363152	166923	7.78015e+006	10983	161	8.39031e+006	6.70615e+006	
51	8304	855	13945	3462	121893	370828	170405	7.86447e+006	14983	123	8.39043e+006	6.70713e+006	
52	8211	611	8066	1987	68985	364839	167698	7.92582e+006	20216	93	8.39053e+006	6.70771e+006	
53	8132	456	4723	1179	37775	346244	159134	7.97329e+006	26934	79	8.3906e+006	6.70807e+006	
54	8068	359	2863	710	20363	316776	145624	8.01434e+006	35262	65	8.39067e+006	6.7083e+006	
55	8008	297	1802	443	10979	278211	127868	8.05378e+006	45218	60	8.39073e+006	6.70846e+006	
56	7956	256	1193	297	6048	232976	107049	8.09345e+006	56560	52	8.39078e+006	6.70857e+006	
57	7918	215	821	206	3411	184206	84647	8.13343e+006	68532	38	8.39082e+006	6.70866e+006	
58	7889	179	600	154	1970	136389	62677	8.17134e+006	80220	29	8.39085e+006	6.70872e+006	
59	7864	144	467	114	1156	93860	43143	8.20463e+006	90502	25	8.39087e+006	6.70877e+006	
60	7851	105	378	93	698	60043	27623	8.23095e+006	98621	12	8.39089e+006	6.70882e+006	
61	7842	76	311	76	443	35915	16531	8.2496e+006	104475	9	8.39089e+006	6.70886e+006	
62	7835	53	257	66	295	20304	9328	8.26167e+006	108260	7	8.3909e+006	6.70888e+006	
63	7832	31	214	55	202	11152	5127	8.26877e+006	110475	3	8.3909e+006	6.7089e+006	
64	7830	21	172	45	148	6019	2769	8.27277e+006	111735	2	8.39091e+006	6.70892e+006	
