Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	472	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	173	472	477	0	0	
4	8.39801e+006	8.39803e+006	690	707	16	16	0	0	0	0	0	0	0	0	0	0	0	0	232	249	706	723	16	16	
5	8.3977e+006	8.39773e+006	847	875	119	128	32	41	0	0	0	0	0	0	0	0	0	0	296	317	1007	1035	119	128	
6	8.39736e+006	8.3974e+006	1033	1076	226	238	66	78	0	0	0	0	0	0	0	0	0	0	324	350	1337	1380	226	238	
7	8.39696e+006	8.39703e+006	1237	1299	352	368	107	122	0	0	0	0	0	0	0	0	0	0	368	399	1711	1773	352	368	
8	8.39656e+006	8.39663e+006	1393	1460	527	551	167	184	0	0	0	0	0	0	0	0	0	0	386	412	2103	2178	529	550	
9	8.39617e+006	8.39626e+006	1460	1533	754	789	239	260	0	0	0	0	0	0	0	0	0	0	365	389	2474	2562	758	786	
10	8.39573e+006	8.39584e+006	1556	1629	991	1039	316	339	0	0	0	0	0	0	16	16	0	0	418	448	2899	3003	1012	1050	
11	8.39521e+006	8.39533e+006	1689	1764	1157	1227	375	405	24	32	0	0	0	0	128	136	0	0	501	534	3406	3531	1296	1348	
12	8.39465e+006	8.3948e+006	1828	1911	1352	1433	429	461	50	61	0	0	0	0	243	254	0	0	524	560	3939	4082	1601	1661	
13	8.39407e+006	8.39423e+006	2022	2112	1501	1596	477	513	81	94	0	0	0	0	380	394	0	0	556	593	4504	4667	1884	1955	
14	8.39342e+006	8.39361e+006	2218	2322	1644	1749	520	560	128	145	0	0	0	0	569	588	0	0	615	657	5125	5317	2217	2301	
15	8.3927e+006	8.39292e+006	2400	2517	1787	1905	578	623	185	204	0	0	0	0	812	842	0	0	681	730	5814	6040	2605	2703	
16	8.39195e+006	8.3922e+006	2594	2709	1934	2058	632	681	251	273	0	0	0	0	1076	1117	0	0	715	755	6540	6784	3025	3134	
17	8.39113e+006	8.39141e+006	2817	2944	2078	2202	679	728	292	317	14	18	13	16	1393	1448	0	0	779	828	7328	7602	3462	3585	
18	8.39026e+006	8.39057e+006	3035	3171	2240	2381	745	794	344	373	23	28	18	21	1723	1791	0	0	834	883	8171	8477	3947	4092	
19	8.38935e+006	8.38968e+006	3224	3366	2482	2643	819	873	383	412	31	38	22	26	2046	2126	0	0	871	925	9052	9391	4490	4665	
20	8.38846e+006	8.38884e+006	3345	3508	2705	2873	892	952	417	449	45	54	28	33	2420	2516	0	0	834	898	9897	10279	5069	5258	
21	8.38748e+006	8.3879e+006	3495	3671	2920	3100	957	1018	462	499	60	72	35	42	2865	2979	0	0	929	991	10836	11261	5690	5903	
22	8.38646e+006	8.38693e+006	3624	3809	3153	3344	1033	1096	491	530	78	90	43	51	3350	3482	0	0	961	1023	11807	12273	6349	6585	
23	8.38537e+006	8.38588e+006	3793	3987	3385	3592	1116	1180	530	569	98	112	53	62	3855	4006	0	0	1037	1106	12856	13367	7034	7299	
24	8.38422e+006	8.38478e+006	4053	4252	3542	3771	1176	1245	574	615	118	135	60	71	4412	4588	0	0	1093	1165	13960	14521	7697	7995	
25	8.38299e+006	8.38361e+006	4282	4493	3709	3950	1257	1327	637	682	140	157	71	82	5017	5221	0	0	1157	1233	15129	15743	8417	8749	
26	8.38172e+006	8.38239e+006	4524	4753	3891	4150	1319	1396	699	745	162	179	81	94	5660	5880	0	0	1205	1280	16345	17012	9179	9540	
27	8.3804e+006	8.38113e+006	4736	4984	4081	4357	1386	1469	753	800	176	196	81	95	6365	6613	13	16	1251	1336	17607	18337	9996	10391	
28	8.37899e+006	8.37977e+006	4987	5244	4269	4564	1457	1544	814	867	192	213	88	102	7125	7402	16	19	1342	1427	18962	19751	10857	11293	
29	8.37755e+006	8.37841e+006	5181	5458	4466	4783	1541	1637	875	932	215	238	98	113	7919	8225	19	22	1351	1446	20323	21187	11752	12229	
30	8.376e+006	8.37693e+006	5448	5743	4747	5071	1635	1728	915	974	237	261	108	124	8699	9044	22	25	1471	1567	21806	22741	12697	13216	
31	8.37436e+006	8.37537e+006	5740	6054	5005	5354	1692	1796	967	1026	259	284	117	134	9561	9946	25	30	1543	1648	23362	24376	13699	14262	
32	8.37265e+006	8.37375e+006	6011	6352	5286	5659	1790	1897	1006	1069	280	307	127	146	10468	10884	30	36	1614	1724	24987	26089	14753	15364	
33	8.37173e+006	8.37288e+006	5516	5830	5512	5915	1870	1988	1053	1119	309	336	138	158	11436	11894	35	41	858	922	25854	27002	15816	16484	
