Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	124	36	0	0	0	0	0	400	1162	124	
6	8.39703e+006	1400	232	72	0	0	0	0	0	542	1704	232	
7	8.39625e+006	2015	361	115	0	0	0	0	0	786	2491	361	
8	8.39512e+006	2857	574	189	0	0	0	0	0	1129	3619	574	
9	8.39354e+006	4030	879	283	0	0	0	0	0	1573	5192	879	
10	8.39131e+006	5725	1271	418	0	0	0	16	0	2237	7429	1287	
11	8.38815e+006	8097	1765	566	28	0	0	132	0	3158	10587	1895	
12	8.38377e+006	11346	2498	817	56	0	0	248	0	4378	14966	2737	
13	8.3777e+006	15839	3554	1162	88	0	0	388	0	6066	21032	3926	
14	8.3691e+006	22209	5028	1638	145	0	0	618	0	8606	29638	5628	
15	8.35715e+006	31001	7080	2345	224	0	0	939	0	11950	41588	8000	
16	8.34218e+006	41590	9936	3325	334	0	0	1370	0	14967	56556	11289	
17	8.32341e+006	54294	13875	4666	462	16	15	2012	0	18770	75326	15869	
18	8.3006e+006	68500	19460	6559	654	25	20	2940	0	22812	98138	22364	
19	8.27425e+006	82901	27215	9181	914	35	24	4244	0	26352	124490	31379	
20	8.24523e+006	96950	36759	12367	1302	52	31	6075	0	29016	153506	42705	
21	8.21541e+006	107996	48471	16268	1825	74	43	8688	0	29816	183322	56908	
22	8.18754e+006	113060	62326	20847	2567	105	56	12293	0	27875	211197	74230	
23	8.165e+006	109247	77555	25903	3620	149	77	17262	0	22539	233737	94304	
24	8.13857e+006	106657	92874	30994	5077	209	106	24352	0	26427	260163	116472	
25	8.10908e+006	106337	106348	35386	7112	292	146	34183	0	29495	289659	139460	
26	8.07789e+006	109652	116023	38619	9602	425	203	46529	0	31190	320849	161120	
27	8.04492e+006	120078	118873	39538	12653	583	269	62075	14	32965	353814	178948	
28	8.01018e+006	128397	121548	40478	16252	825	380	81043	18	34746	388560	199840	
29	7.97424e+006	134839	123943	41226	20164	1165	539	103140	20	35937	424498	223273	
30	7.93729e+006	140594	125564	41779	24115	1636	764	127730	24	36945	461443	248045	
31	7.89945e+006	145474	127844	42648	27580	2282	1069	153431	29	37845	499288	274153	
32	7.86065e+006	149528	132987	44376	30097	3078	1434	177987	36	38801	538089	301590	
33	7.82066e+006	153579	142977	47784	30840	4092	1902	198757	47	39988	578077	329602	
34	7.77825e+006	159048	150919	50360	31514	5314	2467	223273	62	42413	620490	358634	
35	7.73421e+006	165242	157107	52523	32135	6703	3112	250739	82	44040	664530	388415	
36	7.68889e+006	171756	162855	54385	32582	8198	3810	279955	114	45315	709845	419021	
37	7.642e+006	178660	168184	56078	33185	9666	4471	310806	157	46891	756736	450621	
38	7.59363e+006	184619	173956	57973	34453	10990	5072	342898	219	48373	805110	484116	
39	7.54399e+006	190215	180064	59969	37038	11924	5489	375231	305	49636	854745	518893	
40	7.49277e+006	196124	186288	62115	39085	12919	5941	409011	428	51224	905970	554655	
41	7.44016e+006	201841	193044	64405	40682	13880	6377	444131	595	52608	958577	591616	
42	7.38625e+006	207376	202659	64362	42224	14807	6811	480264	793	53908	1.01249e+006	632258	
43	7.33079e+006	213202	212350	64318	43578	15579	7169	517874	1046	55462	1.06795e+006	673918	
44	7.27369e+006	219075	221497	63982	45090	16231	7456	557817	1352	57097	1.12505e+006	716947	
45	7.21547e+006	224690	230546	63501	46686	16784	7700	599351	1711	58223	1.18327e+006	761167	
46	7.15598e+006	230266	239704	62936	48291	17216	7898	642237	2101	59484	1.24275e+006	806479	
47	7.12552e+006	205268	248995	62216	50070	17679	8125	686493	2495	30464	1.27322e+006	853174	
48	7.09438e+006	179307	256000	63936	51885	18297	8405	732043	2884	31137	1.30435e+006	900764	
49	7.06262e+006	152846	262860	65662	53819	19256	8851	778480	3190	31761	1.33611e+006	949265	
50	7.03237e+006	123616	269447	67335	55565	20134	9251	826723	3547	30254	1.36637e+006	998793	
51	7.00358e+006	121944	251790	62848	57203	20961	9636	876473	3940	28792	1.39516e+006	1.02521e+006	
52	6.97624e+006	118142	233576	58291	58879	21737	9977	927492	4377	27335	1.42249e+006	1.05218e+006	
53	6.95054e+006	112080	214579	53587	60557	22487	10307	980090	4814	25699	1.44819e+006	1.07972e+006	
54	6.92686e+006	105512	193053	48269	62222	23277	10680	1.03428e+006	5270	23686	1.47188e+006	1.10611e+006	
55	6.90512e+006	98455	169494	42398	63886	24044	11050	1.08957e+006	5772	21735	1.49361e+006	1.1314e+006	
56	6.88575e+006	90491	143812	35930	65450	24839	11432	1.1462e+006	6259	19371	1.51299e+006	1.15562e+006	
57	6.86884e+006	81707	140003	34975	61136	25667	11817	1.17964e+006	6769	16915	1.5299e+006	1.1774e+006	
58	6.85256e+006	74301	134064	33463	56780	26494	12215	1.21378e+006	7299	16280	1.54618e+006	1.19759e+006	
59	6.83718e+006	67941	126019	31482	52215	27360	12623	1.24871e+006	7830	15375	1.56156e+006	1.21622e+006	
60	6.82294e+006	62814	117336	29282	46952	28202	13013	1.28281e+006	8401	14244	1.5758e+006	1.23293e+006	
61	6.80969e+006	59150	107844	26897	41202	29027	13367	1.31594e+006	8988	13251	1.58905e+006	1.24759e+006	
62	6.7974e+006	55153	98997	24688	34984	29826	13742	1.34807e+006	9614	12283	1.60133e+006	1.26169e+006	
63	6.78608e+006	51100	90711	22651	34079	28913	13320	1.37494e+006	10263	11323	1.61266e+006	1.27501e+006	
64	6.77573e+006	47208	83149	20771	32546	27956	12891	1.40046e+006	10921	10351	1.62301e+006	1.28731e+006	
65	6.76607e+006	43616	76400	19036	30566	26955	12429	1.42451e+006	11582	9659	1.63267e+006	1.29879e+006	
66	6.75723e+006	40172	70712	17636	28502	25759	11846	1.44645e+006	12274	8839	1.6415e+006	1.30938e+006	
67	6.74912e+006	36960	67368	15388	26165	24444	11246	1.4663e+006	12995	8111	1.64962e+006	1.32021e+006	
