Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.39808e+006	8.39809e+006	643	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	211	643	659	0	0	
4	8.39786e+006	8.39789e+006	531	556	238	250	70	82	0	0	0	0	0	0	0	0	0	0	203	222	851	876	238	250	
5	8.39762e+006	8.39766e+006	693	729	286	299	85	98	0	0	0	0	0	0	0	0	0	0	220	244	1077	1113	286	299	
6	8.39729e+006	8.39735e+006	942	996	333	348	100	115	0	0	0	0	0	0	0	0	0	0	306	336	1390	1444	333	348	
7	8.39687e+006	8.39694e+006	1147	1212	480	504	151	167	0	0	0	0	0	0	0	0	0	0	397	431	1795	1866	482	502	
8	8.39635e+006	8.39644e+006	1437	1519	635	667	202	222	0	0	0	0	0	0	0	0	0	0	490	532	2295	2389	639	663	
9	8.39567e+006	8.39579e+006	1862	1963	807	849	256	278	0	0	0	0	0	0	0	0	0	0	644	689	2946	3071	812	845	
10	8.39485e+006	8.39501e+006	2333	2454	803	861	254	276	51	60	0	0	0	0	260	269	0	0	775	828	3729	3891	1062	1108	
11	8.39391e+006	8.39413e+006	2809	2972	1052	1129	341	371	64	74	0	0	0	0	310	320	0	0	875	948	4611	4831	1365	1423	
12	8.39272e+006	8.39299e+006	3441	3631	1390	1490	437	471	76	88	0	0	0	0	360	372	0	0	1121	1192	5742	6013	1755	1831	
13	8.39122e+006	8.39156e+006	4224	4449	1721	1848	551	595	113	128	0	0	0	0	521	540	0	0	1422	1512	7176	7513	2246	2346	
14	8.38939e+006	8.38983e+006	5168	5467	2143	2306	693	750	152	170	0	0	0	0	689	715	0	0	1718	1847	8904	9349	2847	2970	
15	8.38716e+006	8.38772e+006	6403	6754	2629	2838	859	926	198	219	0	0	0	0	870	904	0	0	2107	2239	11020	11579	3519	3684	
16	8.38438e+006	8.38507e+006	7916	8352	3235	3479	1067	1142	205	227	24	29	18	22	1151	1198	0	0	2633	2792	13665	14358	4383	4591	
17	8.38102e+006	8.38188e+006	9671	10214	4004	4299	1319	1406	267	293	27	34	20	23	1490	1551	0	0	3180	3371	16855	17720	5477	5735	
18	8.37692e+006	8.37801e+006	11811	12475	4901	5280	1641	1749	353	383	30	38	21	25	1898	1982	0	0	3859	4106	20724	21817	6796	7136	
19	8.37185e+006	8.37321e+006	14497	15315	5985	6448	2011	2140	444	479	40	48	26	31	2447	2558	0	0	4792	5078	25528	26883	8424	8848	
20	8.36571e+006	8.36741e+006	17653	18680	7368	7934	2476	2626	553	597	52	63	32	38	3107	3248	0	0	5791	6155	31327	33030	10447	10977	
21	8.35823e+006	8.36032e+006	21547	22798	9059	9744	3076	3254	676	731	65	77	38	44	3853	4040	0	0	7073	7490	38412	40508	12863	13529	
22	8.3491e+006	8.35168e+006	26317	27830	11077	11943	3768	3997	828	891	81	94	44	52	4817	5044	0	0	8630	9138	47052	49635	15808	16640	
23	8.33782e+006	8.34101e+006	32192	34048	13553	14623	4636	4910	1032	1102	103	117	55	65	6025	6311	0	0	10668	11296	57730	60921	19446	20480	
24	8.32409e+006	8.32801e+006	39393	41625	16551	17869	5676	6007	1258	1343	132	149	69	81	7497	7875	0	0	12991	13732	70731	74643	23844	25145	
25	8.30742e+006	8.31223e+006	48088	50817	20236	21849	6917	7319	1543	1645	167	187	85	99	9294	9763	0	0	15765	16686	86508	91317	29240	30838	
26	8.28707e+006	8.29296e+006	58717	62035	24696	26670	8403	8895	1898	2025	185	206	81	97	11547	12126	17	19	19260	20354	105777	111662	35852	37825	
27	8.26226e+006	8.26949e+006	71512	75566	30255	32679	10271	10870	2363	2513	228	254	104	122	14226	14953	18	20	23464	24826	129251	136478	44000	46445	
28	8.232e+006	8.24087e+006	87128	92105	37071	40001	12527	13234	2910	3089	283	312	129	149	17491	18416	18	21	28609	30269	157868	166739	53960	56967	
29	8.19534e+006	8.20613e+006	106091	112085	45240	48822	15244	16109	3567	3787	360	391	162	184	21559	22705	19	23	34731	36663	192609	203392	66030	69721	
30	8.1509e+006	8.16408e+006	128869	136180	55235	59574	18610	19664	4358	4627	441	478	197	223	26484	27921	21	26	42036	44452	234656	247832	80740	85252	
31	8.09693e+006	8.11297e+006	156499	165341	67410	72721	22692	23987	5320	5651	556	602	250	278	32488	34249	25	30	51095	53986	285762	301807	98703	104242	
32	8.03166e+006	8.051e+006	189859	200348	82237	88734	27691	29257	6504	6892	678	732	308	340	39816	42002	28	35	61967	65279	347739	367076	120602	127410	
33	7.95307e+006	7.97641e+006	229702	242287	100124	107966	33691	35569	7975	8436	840	904	383	419	48854	51564	35	42	74571	78605	422322	445669	147205	155491	
34	7.85847e+006	7.88664e+006	277428	292447	121660	131234	40952	43268	9742	10310	1027	1103	468	512	59896	63205	42	50	89759	94613	512093	540270	179390	189495	
35	7.74505e+006	7.77875e+006	334215	351894	147855	159465	49799	52625	11900	12580	1261	1353	579	629	73272	77351	49	59	107881	113434	619986	653691	218481	230757	
36	7.61005e+006	7.65026e+006	400723	421625	179570	193464	60477	63865	14541	15362	1529	1644	714	775	89622	94613	59	70	128473	135012	748473	788690	265882	280671	
37	7.4498e+006	7.49739e+006	479013	503281	217495	234140	73287	77339	17762	18750	1880	2008	881	949	109516	115660	71	83	152861	160260	901344	948940	322923	340783	
38	7.26109e+006	7.31682e+006	569808	597391	262887	282826	88578	93465	21614	22841	2306	2459	1081	1157	133839	141366	84	97	180556	188721	1.08191e+006	1.13765e+006	391634	413184	
39	7.04041e+006	7.10536e+006	673381	704647	317253	340933	106825	112665	26313	27804	2826	3011	1318	1410	163339	172486	104	119	211452	220692	1.29338e+006	1.35833e+006	474290	500037	
40	6.78477e+006	6.85988e+006	790362	825291	381471	409398	128458	135348	31979	33817	3451	3676	1605	1717	199070	210222	128	144	245453	255658	1.53885e+006	1.61396e+006	572727	603454	
41	6.49184e+006	6.5776e+006	919771	957983	457070	489635	154011	161998	38827	41050	4215	4481	1965	2092	242532	256128	158	178	282268	292954	1.82114e+006	1.9069e+006	689718	726115	
42	6.16052e+006	6.25699e+006	1.0598e+006	1.1006e+006	554622	592087	174624	183413	47087	49744	5171	5481	2405	2553	295257	311667	192	216	320583	331347	2.14175e+006	2.23822e+006	837127	880177	
43	5.79165e+006	5.89842e+006	1.20689e+006	1.24881e+006	667553	710271	198145	207746	56977	60162	6316	6677	2935	3111	358762	378602	233	261	358521	368911	2.50032e+006	2.60709e+006	1.01003e+006	1.06067e+006	
44	5.38768e+006	5.50389e+006	1.35592e+006	1.39716e+006	796231	844342	224741	235139	68863	72651	7697	8145	3575	3782	435211	459190	287	318	394476	404020	2.89484e+006	3.01105e+006	1.21084e+006	1.26987e+006	
45	4.95404e+006	5.07799e+006	1.49951e+006	1.53789e+006	940785	994057	254196	265322	83031	87511	9379	9925	4335	4588	527194	555900	350	386	425841	433700	3.32075e+006	3.44469e+006	1.442e+006	1.50979e+006	
46	4.49818e+006	4.62748e+006	1.62934e+006	1.6625e+006	1.10077e+006	1.15827e+006	286077	297687	99888	105126	11429	12097	5247	5558	636698	671035	424	466	450364	456008	3.77126e+006	3.90055e+006	1.70485e+006	1.78152e+006	
47	4.02942e+006	4.16095e+006	1.73719e+006	1.76251e+006	1.27303e+006	1.33347e+006	319392	331223	119627	125788	13895	14693	6372	6743	767261	807920	526	575	466201	469094	4.23778e+006	4.36932e+006	1.9991e+006	2.0844e+006	
