Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39842e+006	320	0	0	0	0	0	0	0	0	320	0	
1	8.39835e+006	384	0	0	0	0	0	0	0	64	384	0	
2	8.39829e+006	448	0	0	0	0	0	0	0	64	448	0	
3	8.39802e+006	712	0	0	0	0	0	0	0	264	712	0	
4	8.39775e+006	670	244	76	0	0	0	0	0	279	990	244	
5	8.39743e+006	924	292	92	0	0	0	0	0	318	1308	292	
6	8.39694e+006	1352	340	108	0	0	0	0	0	492	1800	340	
7	8.39626e+006	1767	537	174	0	0	0	0	0	678	2479	537	
8	8.39538e+006	2362	747	243	0	0	0	0	0	874	3352	747	
9	8.39422e+006	3213	992	316	0	0	0	0	0	1168	4521	992	
10	8.39262e+006	4317	1115	365	55	0	0	265	0	1597	6118	1368	
11	8.39067e+006	5588	1590	504	69	0	0	315	0	1949	8066	1894	
12	8.38797e+006	7416	2193	711	82	0	0	366	0	2702	10768	2546	
13	8.38431e+006	9906	2870	939	132	0	0	580	0	3659	14427	3430	
14	8.37967e+006	12946	3870	1258	184	0	0	806	0	4637	19063	4652	
15	8.37352e+006	17152	5085	1673	249	0	0	1059	0	6155	25218	6128	
16	8.36527e+006	22699	6737	2231	285	26	20	1488	0	8249	33467	8167	
17	8.35442e+006	29886	8957	2991	400	30	22	2048	0	10845	44313	10942	
18	8.34019e+006	39483	11759	3952	565	34	23	2753	0	14233	58546	14456	
19	8.32134e+006	52183	15480	5217	739	48	30	3733	0	18855	77401	19106	
20	8.29664e+006	68626	20435	6915	994	63	37	5061	0	24692	102093	25337	
21	8.26425e+006	90177	27097	9150	1305	81	45	6680	0	32396	134490	33543	
22	8.22153e+006	118660	35750	12028	1746	105	57	8917	0	42716	177206	44334	
23	8.1659e+006	155432	47161	15814	2328	142	75	11956	0	55627	232833	58657	
24	8.09321e+006	203437	62229	20801	3067	192	98	15804	0	72697	305530	77410	
