Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	519	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	188	519	524	0	0	
4	8.39793e+006	8.39795e+006	788	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	283	788	805	0	0	
5	8.39754e+006	8.39758e+006	1159	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	392	1159	1192	0	0	
6	8.39705e+006	8.39711e+006	1626	1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	498	1626	1685	0	0	
7	8.39637e+006	8.39646e+006	2263	2350	16	16	0	0	0	0	0	0	0	0	0	0	0	0	646	688	2279	2366	16	16	
8	8.39544e+006	8.39556e+006	2999	3121	131	140	36	45	0	0	0	0	0	0	0	0	0	0	887	941	3175	3297	131	140	
9	8.39434e+006	8.39451e+006	3889	4060	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1041	1109	4225	4396	251	262	
10	8.3929e+006	8.39314e+006	5078	5317	372	388	118	134	0	0	0	0	0	0	16	16	0	0	1366	1451	5599	5839	388	404	
11	8.39099e+006	8.39131e+006	6638	6945	452	476	149	165	27	35	0	0	0	0	141	149	0	0	1819	1918	7430	7745	595	617	
12	8.38857e+006	8.38901e+006	8567	8979	614	653	196	215	56	67	0	0	0	0	269	280	0	0	2291	2430	9731	10165	882	913	
13	8.38548e+006	8.38605e+006	11057	11583	824	888	265	291	89	103	0	0	0	0	418	433	0	0	2948	3106	12691	13260	1239	1288	
14	8.38148e+006	8.38223e+006	14222	14902	1120	1206	346	379	140	158	0	0	0	0	637	657	0	0	3803	4014	16508	17259	1754	1825	
15	8.37645e+006	8.37744e+006	18114	18999	1501	1610	485	525	215	235	0	0	0	0	933	967	0	0	4777	5041	21296	22290	2438	2536	
16	8.37002e+006	8.37133e+006	23175	24334	1931	2067	631	682	308	332	0	0	0	0	1309	1362	0	0	6102	6443	27410	28720	3248	3377	
17	8.36177e+006	8.3635e+006	29624	31137	2461	2637	820	877	406	436	15	19	14	17	1847	1921	0	0	7813	8256	35234	36965	4312	4496	
18	8.35129e+006	8.35354e+006	37751	39711	3167	3382	1042	1112	553	592	25	30	19	22	2583	2690	0	0	9945	10493	45192	47445	5755	5995	
19	8.33803e+006	8.34097e+006	48018	50558	4087	4378	1363	1447	721	769	34	40	23	27	3454	3603	0	0	12557	13279	57764	60709	7522	7853	
20	8.32112e+006	8.32492e+006	61111	64376	5257	5617	1766	1871	934	994	49	58	30	36	4599	4804	0	0	16042	16922	73819	77618	9802	10235	
21	8.2998e+006	8.30473e+006	77484	81698	6698	7169	2296	2430	1220	1288	71	81	40	47	6122	6393	0	0	20178	21334	94010	98939	12712	13287	
22	8.27277e+006	8.27914e+006	98274	103705	8552	9152	2910	3076	1557	1643	98	110	53	61	8058	8431	0	0	25571	27045	119594	125971	16405	17163	
23	8.23831e+006	8.24657e+006	124736	131732	10874	11665	3718	3923	2002	2107	132	149	68	79	10537	11023	0	0	32563	34470	152170	160428	21096	22098	
24	8.19506e+006	8.2057e+006	157772	166745	13847	14881	4723	4982	2567	2706	182	201	91	104	13739	14372	0	0	40847	43271	193037	203679	27122	28463	
25	8.14066e+006	8.15436e+006	199149	210672	17695	19022	6000	6335	3313	3492	241	263	118	134	17720	18556	0	0	51321	54420	244378	258080	34848	36580	
26	8.0719e+006	8.08943e+006	251506	266166	22505	24217	7601	8019	4235	4466	317	344	151	169	22837	23932	0	0	64912	68775	309308	326838	44560	46841	
27	7.98573e+006	8.00801e+006	316863	335436	28650	30811	9630	10146	5397	5704	405	437	181	204	29396	30832	13	16	81395	86195	390731	413004	56981	59940	
28	7.87835e+006	7.90675e+006	397926	421498	36226	39018	12199	12870	6928	7318	521	560	235	262	37706	39568	17	20	101238	107400	491991	520382	72629	76455	
29	7.74462e+006	7.78061e+006	498462	528216	45847	49421	15476	16348	8805	9291	690	738	312	343	48230	50678	19	22	126104	133766	618123	654121	92412	97349	
30	7.5797e+006	7.62482e+006	621658	658697	58105	62743	19590	20724	11185	11801	881	940	401	436	61710	64874	21	25	155751	164959	773916	819038	117623	124022	
31	7.37788e+006	7.43391e+006	771687	817273	73489	79418	24726	26134	14187	14978	1130	1203	518	561	78643	82749	26	33	190871	201853	964823	1.02085e+006	149278	157554	
32	7.1329e+006	7.20165e+006	952584	1.00788e+006	92598	100195	31148	32952	17961	18952	1459	1557	674	725	100116	105445	34	41	232212	245033	1.19709e+006	1.26584e+006	189002	199650	
33	6.8396e+006	6.92282e+006	1.16646e+006	1.23245e+006	116549	126168	39252	41578	22705	23994	1863	1984	865	931	127536	134424	42	51	278791	293345	1.47592e+006	1.55914e+006	239262	252858	
34	6.49397e+006	6.59264e+006	1.41521e+006	1.49192e+006	146507	158582	49478	52452	28745	30397	2373	2520	1108	1182	161840	170722	55	64	330140	345668	1.8061e+006	1.90476e+006	302285	319533	
35	6.09331e+006	6.20797e+006	1.6986e+006	1.78523e+006	183537	198785	61905	65688	36278	38423	3000	3183	1394	1485	205006	216422	67	78	384631	400705	2.19077e+006	2.30543e+006	380782	402732	
36	5.63975e+006	5.76941e+006	2.011e+006	2.10507e+006	228959	248128	77137	81875	45795	48505	3808	4047	1771	1884	259589	274213	87	101	438497	453619	2.62933e+006	2.75899e+006	478581	506386	
37	5.13889e+006	5.28129e+006	2.34333e+006	2.44101e+006	284077	307776	95769	101596	57630	61040	4851	5137	2256	2392	328111	346731	111	126	488045	500930	3.11745e+006	3.25984e+006	599240	634110	
38	4.60229e+006	4.75354e+006	2.68016e+006	2.77582e+006	350539	379197	118295	125274	72321	76654	6147	6502	2854	3020	413352	437095	141	160	527577	536779	3.6452e+006	3.79645e+006	747254	790612	
39	4.04502e+006	4.19964e+006	3.00176e+006	3.08814e+006	429398	463383	144795	153102	90573	95986	7767	8231	3608	3819	519566	549726	186	208	553410	557760	4.1991e+006	4.35372e+006	927694	980884	
40	3.48816e+006	3.64014e+006	3.28229e+006	3.35183e+006	520914	560408	175570	185212	112819	119544	9847	10439	4553	4818	650985	688832	231	257	556243	560117	4.7586e+006	4.91058e+006	1.14429e+006	1.20878e+006	
41	2.95404e+006	3.09778e+006	3.49406e+006	3.54073e+006	624956	669133	210161	220937	139939	148202	12462	13231	5740	6085	812088	859132	296	326	533851	542627	5.30095e+006	5.4447e+006	1.40126e+006	1.47788e+006	
42	2.46165e+006	2.59216e+006	3.61329e+006	3.63417e+006	758642	805965	228978	239693	172561	182568	15756	16705	7260	7691	1.00834e+006	1.06618e+006	388	423	492233	505778	5.80658e+006	5.93709e+006	1.72036e+006	1.81047e+006	
43	2.02606e+006	2.14042e+006	3.61078e+006	3.6319e+006	900908	948627	246831	256894	210955	222881	19878	21081	9148	9693	1.24456e+006	1.31467e+006	495	539	435478	451849	6.25831e+006	6.37268e+006	2.08493e+006	2.18774e+006	
44	1.65631e+006	1.7533e+006	3.48142e+006	3.52915e+006	1.04418e+006	1.08903e+006	262207	271007	255471	269278	24968	26495	11485	12194	1.52499e+006	1.60835e+006	631	682	369662	387211	6.64544e+006	6.74243e+006	2.49126e+006	2.60501e+006	
45	1.35389e+006	1.43415e+006	3.24768e+006	3.32011e+006	1.15928e+006	1.19699e+006	290914	298267	305884	321374	31325	33234	14386	15275	1.85272e+006	1.95e+006	796	858	302319	319249	6.96459e+006	7.04484e+006	2.92849e+006	3.05005e+006	
46	1.11384e+006	1.17925e+006	2.93062e+006	3.02094e+006	1.25232e+006	1.27857e+006	314241	319373	361095	377753	39100	41450	17950	19043	2.22808e+006	2.33874e+006	1010	1089	239933	255015	7.21949e+006	7.28489e+006	3.38849e+006	3.51338e+006	
