Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	515	0	0	0	0	0	0	0	179	515	0	
4	8.39802e+006	715	0	0	0	0	0	0	0	200	715	0	
5	8.39779e+006	947	0	0	0	0	0	0	0	232	947	0	
6	8.39752e+006	1216	0	0	0	0	0	0	0	269	1216	0	
7	8.39721e+006	1510	16	0	0	0	0	0	0	310	1526	16	
8	8.39686e+006	1699	136	40	0	0	0	0	0	349	1875	136	
9	8.39647e+006	1926	256	80	0	0	0	0	0	387	2262	256	
10	8.39607e+006	2154	374	124	0	0	0	16	0	407	2669	390	
11	8.39562e+006	2407	404	135	31	0	0	145	0	452	3121	546	
12	8.39512e+006	2667	458	153	61	0	0	275	0	493	3614	722	
13	8.39458e+006	2940	531	171	95	0	0	420	0	543	4156	933	
14	8.39403e+006	3176	619	193	134	0	0	581	0	546	4702	1180	
15	8.39344e+006	3421	701	227	180	0	0	767	0	594	5296	1449	
16	8.39281e+006	3665	798	248	235	0	0	982	0	632	5927	1763	
17	8.39212e+006	3946	863	279	261	17	15	1248	0	687	6614	2080	
18	8.3914e+006	4217	946	300	299	28	20	1548	0	724	7338	2437	
19	8.39063e+006	4490	1012	340	346	36	25	1880	0	765	8103	2822	
20	8.38996e+006	4621	1114	374	387	48	29	2234	0	674	8777	3255	
21	8.38924e+006	4799	1181	400	437	63	38	2621	0	723	9501	3695	
22	8.38848e+006	4958	1262	420	479	78	45	3056	0	753	10254	4165	
23	8.38768e+006	5128	1334	437	525	94	52	3537	0	801	11056	4666	
24	8.38687e+006	5255	1444	468	562	113	60	4027	0	813	11869	5214	
25	8.38605e+006	5349	1537	505	595	136	71	4565	0	818	12687	5785	
26	8.38522e+006	5414	1638	538	638	158	81	5132	0	830	13517	6388	
