Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	529	0	0	0	0	0	0	0	193	529	0	
4	8.39783e+006	903	0	0	0	0	0	0	0	374	903	0	
5	8.39728e+006	1456	0	0	0	0	0	0	0	554	1456	0	
6	8.3965e+006	2240	0	0	0	0	0	0	0	784	2240	0	
7	8.39525e+006	3471	16	0	0	0	0	0	0	1247	3487	16	
8	8.39339e+006	5167	136	40	0	0	0	0	0	1855	5343	136	
9	8.39083e+006	7571	256	80	0	0	0	0	0	2564	7907	256	
10	8.38697e+006	11237	385	128	0	0	0	16	0	3860	11766	401	
11	8.38116e+006	16678	545	181	31	0	0	145	0	5815	17581	688	
12	8.37284e+006	24440	850	270	61	0	0	275	0	8316	25897	1114	
13	8.36064e+006	35852	1300	412	97	0	0	432	0	12196	38092	1713	
14	8.34264e+006	52608	1951	633	167	0	0	736	0	18003	56095	2663	
15	8.31636e+006	77034	2921	965	280	0	0	1177	0	26282	82377	4081	
16	8.27828e+006	112551	4258	1409	433	0	0	1808	0	38081	120458	6045	
17	8.22254e+006	164429	6208	2071	646	17	15	2824	0	55738	176196	9003	
18	8.14189e+006	239264	9153	3085	971	28	20	4344	0	80649	256845	13432	
19	8.02584e+006	346995	13438	4552	1447	37	25	6423	0	116047	372892	19759	
20	7.85942e+006	501223	19676	6650	2120	58	35	9588	0	166424	539316	29043	
21	7.62365e+006	718992	28835	9679	3152	90	50	14339	0	235771	775087	42825	
22	7.29433e+006	1.02203e+006	42316	14164	4617	133	70	21146	0	329317	1.1044e+006	62926	
23	6.8446e+006	1.43368e+006	61767	20598	6749	202	103	31141	0	449736	1.55414e+006	92098	
24	6.24866e+006	1.97388e+006	90124	29977	9947	306	149	45842	0	595936	2.15008e+006	134858	
