Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	520	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	189	520	525	0	0	
4	8.39793e+006	8.39795e+006	791	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	286	791	809	0	0	
5	8.39756e+006	8.39759e+006	1142	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	370	1142	1174	0	0	
6	8.39714e+006	8.39719e+006	1546	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	430	1546	1598	0	0	
7	8.39662e+006	8.39669e+006	2029	2102	16	16	0	0	0	0	0	0	0	0	0	0	0	0	492	528	2045	2118	16	16	
8	8.39602e+006	8.39612e+006	2444	2543	131	140	36	45	0	0	0	0	0	0	0	0	0	0	568	607	2620	2719	131	140	
9	8.39539e+006	8.39551e+006	2886	3006	251	262	74	85	0	0	0	0	0	0	0	0	0	0	593	631	3222	3342	251	262	
10	8.39477e+006	8.39491e+006	3300	3441	373	389	118	134	0	0	0	0	0	0	16	16	0	0	592	632	3822	3964	389	405	
11	8.39411e+006	8.39428e+006	3665	3826	454	478	150	166	27	35	0	0	0	0	141	149	0	0	631	673	4460	4631	597	619	
12	8.39334e+006	8.39355e+006	4042	4224	602	640	192	210	56	67	0	0	0	0	269	280	0	0	721	769	5189	5392	869	900	
13	8.39251e+006	8.39275e+006	4437	4636	767	824	242	265	89	103	0	0	0	0	420	434	0	0	792	844	5991	6226	1182	1227	
14	8.39161e+006	8.39188e+006	4801	5012	941	1011	291	321	141	158	0	0	0	0	640	661	0	0	854	906	6855	7122	1575	1635	
15	8.39065e+006	8.39096e+006	5150	5378	1104	1187	351	381	212	231	0	0	0	0	920	953	0	0	915	976	7781	8087	2024	2104	
16	8.38962e+006	8.38996e+006	5540	5787	1242	1332	405	440	292	315	0	0	0	0	1245	1293	0	0	981	1042	8772	9118	2489	2585	
17	8.3885e+006	8.3889e+006	5999	6286	1312	1404	434	472	365	393	15	19	14	17	1653	1718	0	0	1051	1130	9833	10238	2963	3072	
18	8.3873e+006	8.38775e+006	6510	6824	1355	1451	452	494	450	483	25	30	19	22	2132	2219	0	0	1144	1210	10985	11439	3478	3607	
19	8.38602e+006	8.38653e+006	7006	7344	1455	1561	481	520	534	573	34	40	23	27	2639	2744	0	0	1215	1291	12211	12720	4067	4220	
20	8.38479e+006	8.38535e+006	7375	7741	1615	1729	523	562	593	637	49	58	30	35	3162	3288	0	0	1159	1242	13382	13950	4699	4881	
21	8.38345e+006	8.38409e+006	7779	8185	1783	1905	577	620	649	693	69	80	40	47	3725	3874	0	0	1257	1351	14650	15291	5383	5587	
22	8.38201e+006	8.38272e+006	8215	8657	1926	2063	625	673	718	763	91	104	50	58	4363	4543	0	0	1350	1447	16013	16725	6118	6352	
23	8.38052e+006	8.38131e+006	8633	9116	2057	2200	684	733	766	813	119	134	62	73	5088	5298	0	0	1401	1500	17425	18215	6890	7157	
24	8.37899e+006	8.37986e+006	9023	9531	2198	2367	741	789	826	876	153	170	77	90	5857	6095	0	0	1440	1546	18877	19748	7721	8033	
25	8.37735e+006	8.37832e+006	9407	9966	2350	2530	812	865	877	931	186	206	92	107	6697	6971	0	0	1526	1646	20415	21383	8612	8960	
26	8.37564e+006	8.37673e+006	9770	10400	2525	2724	864	927	952	1010	219	240	108	122	7580	7890	0	0	1581	1723	22008	23093	9576	9964	
27	8.37386e+006	8.37506e+006	10264	10961	2615	2809	887	951	1023	1089	239	262	109	125	8532	8897	13	16	1657	1798	23676	24881	10500	10937	
28	8.372e+006	8.37332e+006	10730	11478	2692	2913	920	992	1105	1169	272	296	121	138	9570	9978	17	20	1723	1870	25412	26738	11482	11974	
29	8.37085e+006	8.37226e+006	10429	11191	2786	3030	959	1032	1182	1255	305	332	136	155	10680	11135	19	22	1052	1157	26472	27886	12554	13104	
30	8.36964e+006	8.37115e+006	10133	10910	2964	3230	1017	1096	1247	1325	338	367	150	171	11753	12256	21	25	1109	1216	27588	29095	13671	14286	
31	8.36836e+006	8.36998e+006	9853	10651	3113	3388	1050	1132	1326	1413	366	397	164	185	12910	13472	26	32	1162	1285	28757	30372	14822	15496	
32	8.36712e+006	8.36884e+006	9455	10255	3253	3552	1083	1172	1404	1500	397	428	176	198	14159	14781	31	38	1132	1247	29896	31613	16046	16797	
33	8.36592e+006	8.36773e+006	8975	9742	3372	3718	1136	1235	1483	1583	425	459	188	212	15457	16150	37	46	1100	1209	31004	32814	17309	18153	
34	8.36471e+006	8.36663e+006	8413	9164	3519	3901	1205	1307	1534	1644	459	496	205	229	16813	17579	45	55	1098	1218	32109	34025	18616	19556	
35	8.36355e+006	8.36557e+006	7735	8464	3647	4060	1269	1375	1603	1717	492	533	218	245	18239	19095	54	65	1046	1169	33164	35184	19988	21022	
36	8.36246e+006	8.36457e+006	7675	8405	3261	3637	1132	1227	1678	1801	525	570	237	264	19716	20675	62	73	991	1098	34165	36274	20858	21971	
37	8.36139e+006	8.36359e+006	7539	8272	2869	3214	978	1065	1750	1881	558	604	251	278	21272	22341	70	82	972	1083	35144	37349	21776	22965	
38	8.36037e+006	8.36267e+006	7285	8010	2461	2779	831	908	1810	1951	589	637	270	297	22909	24083	79	92	910	1022	36062	38363	22730	24007	
39	8.3594e+006	8.36179e+006	7031	7741	2510	2840	859	941	1735	1877	630	680	289	317	23995	25253	87	101	878	979	36947	39334	23624	24984	
40	8.35845e+006	8.36093e+006	6782	7491	2494	2827	864	951	1681	1828	658	709	300	328	25125	26468	100	114	852	958	37806	40285	24505	25942	
41	8.35749e+006	8.36007e+006	6535	7238	2439	2770	854	942	1603	1756	695	747	318	348	26326	27767	110	126	854	962	38665	41242	25385	26904	
42	8.35659e+006	8.35926e+006	6287	6982	2432	2770	776	861	1506	1654	735	792	341	374	27507	29049	125	141	800	911	39473	42144	26278	27886	
43	8.35573e+006	8.3585e+006	6055	6752	2404	2740	698	778	1391	1530	772	832	358	393	28679	30320	139	155	761	867	40241	43004	27124	28807	
44	8.35489e+006	8.35774e+006	5832	6519	2372	2694	609	683	1275	1410	795	861	369	404	29861	31602	156	174	751	848	40998	43846	27964	29730	
45	8.35409e+006	8.35702e+006	5633	6308	2267	2581	579	649	1283	1421	786	853	367	404	30900	32743	172	192	713	810	41717	44649	28740	30589	
46	8.35331e+006	8.35632e+006	5442	6119	2184	2492	549	617	1255	1389	787	856	365	403	31910	33844	188	209	689	788	42413	45430	29491	31413	
47	8.35258e+006	8.35568e+006	5229	5894	2080	2382	537	599	1223	1355	783	854	364	402	32910	34937	204	226	639	732	43058	46156	30210	32213	
48	8.35182e+006	8.35501e+006	5039	5695	2029	2331	529	593	1184	1315	776	850	360	401	33859	35978	220	243	664	763	43730	46912	30927	33014	
49	8.35111e+006	8.35437e+006	4867	5506	1958	2274	518	587	1158	1289	754	826	352	395	34773	36979	239	262	627	722	44364	47626	31610	33774	
50	8.35043e+006	8.35376e+006	4713	5331	1896	2212	488	558	1114	1241	735	811	351	393	35674	37974	259	282	605	692	44978	48310	32259	34501	
51	8.34978e+006	8.35319e+006	4528	5136	1822	2128	459	528	1079	1205	706	783	337	376	36575	38971	283	307	567	653	45550	48958	32903	35218	
52	8.34915e+006	8.35263e+006	4365	4959	1755	2048	441	506	1033	1160	674	747	319	356	37437	39929	305	331	549	632	46106	49584	33508	35892	
53	8.34855e+006	8.35209e+006	4212	4784	1698	1984	426	491	989	1116	635	706	300	335	38266	40851	327	354	536	614	46649	50190	34097	36553	
54	8.34796e+006	8.35156e+006	4090	4645	1610	1890	405	466	963	1085	595	661	281	315	39066	41741	351	382	517	594	47173	50777	34646	37174	
