Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	841	0	0	0	0	0	0	0	317	841	0	
5	8.39746e+006	1281	0	0	0	0	0	0	0	440	1281	0	
6	8.39686e+006	1874	0	0	0	0	0	0	0	593	1874	0	
7	8.39599e+006	2734	16	0	0	0	0	0	0	877	2750	16	
8	8.39476e+006	3801	136	40	0	0	0	0	0	1226	3977	136	
9	8.39317e+006	5231	256	80	0	0	0	0	0	1590	5567	256	
10	8.39099e+006	7219	382	126	0	0	0	16	0	2175	7742	398	
11	8.38792e+006	9973	499	166	31	0	0	145	0	3072	10814	641	
12	8.38378e+006	13671	713	232	61	0	0	275	0	4138	14952	976	
13	8.37825e+006	18613	1018	332	96	0	0	427	0	5535	20487	1428	
14	8.37063e+006	25361	1446	464	156	0	0	685	0	7625	28111	2110	
15	8.36026e+006	34502	2030	666	249	0	0	1032	0	10368	38479	3048	
16	8.34639e+006	46782	2778	916	361	0	0	1513	0	13870	52349	4266	
17	8.32739e+006	63600	3756	1236	504	17	15	2229	0	18993	71342	5961	
18	8.30178e+006	86138	5126	1712	708	28	20	3241	0	25610	96952	8316	
19	8.26729e+006	116493	7018	2367	989	37	25	4541	0	34493	131445	11482	
20	8.22076e+006	157494	9522	3223	1352	56	34	6335	0	46535	177980	15717	
21	8.15838e+006	212244	12928	4369	1854	82	47	8878	0	62376	240356	21547	
22	8.07464e+006	285615	17588	5939	2548	116	63	12288	0	83738	324094	29488	
23	7.96323e+006	383159	23854	8008	3460	168	87	16859	0	111414	435508	40176	
24	7.81529e+006	512108	32404	10827	4708	234	117	23169	0	147942	583450	54785	
25	7.62088e+006	680905	43860	14613	6402	330	160	31747	0	194407	777857	74486	
