Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	830	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	0	0	
5	8.39743e+006	8.39748e+006	1260	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	455	1260	1302	0	0	
6	8.39683e+006	8.3969e+006	1839	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	613	1839	1908	0	0	
7	8.39593e+006	8.39604e+006	2681	2788	16	16	0	0	0	0	0	0	0	0	0	0	0	0	850	903	2697	2804	16	16	
8	8.39468e+006	8.39484e+006	3721	3881	131	140	36	45	0	0	0	0	0	0	0	0	0	0	1190	1263	3897	4057	131	140	
9	8.39313e+006	8.39337e+006	5033	5269	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1465	1555	5369	5605	251	262	
10	8.39117e+006	8.39149e+006	6728	7039	374	390	119	134	0	0	0	0	0	0	16	16	0	0	1870	1970	7251	7563	390	406	
11	8.38866e+006	8.38909e+006	8810	9233	485	512	157	175	27	35	0	0	0	0	141	149	0	0	2384	2527	9646	10079	629	653	
12	8.38569e+006	8.38625e+006	11217	11755	690	736	222	242	56	67	0	0	0	0	269	280	0	0	2828	2980	12483	13050	958	995	
13	8.38223e+006	8.38296e+006	13932	14601	981	1056	317	347	90	103	0	0	0	0	420	435	0	0	3280	3468	15778	16502	1401	1456	
14	8.37841e+006	8.3793e+006	16728	17525	1393	1498	444	483	147	165	0	0	0	0	673	697	0	0	3643	3830	19432	20322	2067	2152	
15	8.37435e+006	8.37544e+006	19388	20337	1960	2100	639	693	238	259	0	0	0	0	1012	1052	0	0	3849	4076	23293	24385	2988	3108	
16	8.37027e+006	8.37157e+006	21784	22869	2626	2814	865	922	347	374	0	0	0	0	1482	1543	0	0	3862	4088	27165	28463	4118	4298	
17	8.36647e+006	8.36795e+006	23526	24718	3390	3618	1117	1189	487	521	15	19	14	17	2182	2276	0	0	3613	3818	30789	32270	5588	5828	
18	8.36246e+006	8.36416e+006	24917	26213	4271	4573	1422	1506	685	732	25	30	19	22	3171	3310	0	0	3778	4019	34576	36279	7445	7778	
19	8.35805e+006	8.35997e+006	26265	27659	5270	5634	1774	1880	943	1002	34	40	23	27	4379	4577	0	0	4174	4427	38766	40690	9637	10071	
20	8.35356e+006	8.35573e+006	27205	28696	6288	6736	2156	2286	1252	1321	51	60	31	36	5932	6198	0	0	4224	4501	43004	45177	12165	12717	
21	8.34886e+006	8.35131e+006	27965	29579	7236	7731	2460	2602	1620	1707	77	88	44	51	7931	8303	0	0	4405	4713	47423	49875	15020	15698	
22	8.34389e+006	8.34666e+006	28750	30494	7985	8559	2722	2880	2056	2167	109	123	58	68	10297	10781	0	0	4634	4989	52073	54849	18025	18860	
23	8.3387e+006	8.34181e+006	29723	31613	8424	9045	2856	3023	2545	2682	159	177	80	93	13055	13663	0	0	4836	5206	56924	60040	21082	22088	
24	8.33326e+006	8.33673e+006	31173	33249	8381	9017	2874	3033	3034	3196	223	246	110	125	16151	16904	0	0	5065	5452	62006	65475	23964	25122	
25	8.32759e+006	8.33145e+006	32657	34921	8331	8987	2849	3010	3501	3689	311	339	148	167	19458	20380	0	0	5264	5688	67290	71143	26989	28329	
26	8.32161e+006	8.32588e+006	34026	36497	8572	9244	2922	3090	3881	4100	416	447	194	216	22847	23937	0	0	5550	5996	72852	77128	30309	31822	
27	8.31544e+006	8.32018e+006	35486	38180	9028	9781	3057	3255	4121	4356	531	567	240	266	26102	27352	13	16	5685	6182	78555	83292	33665	35368	
28	8.30899e+006	8.31422e+006	37021	39947	9520	10350	3175	3398	4304	4559	683	729	309	339	29549	30995	17	20	5937	6483	84517	89750	37184	39106	
29	8.30223e+006	8.30801e+006	38572	41738	9836	10773	3310	3547	4472	4733	854	909	388	421	33399	35048	19	22	6188	6777	90722	96509	40858	43040	
30	8.29515e+006	8.30152e+006	40211	43636	10286	11319	3460	3718	4592	4874	1046	1110	475	513	37321	39191	22	26	6476	7102	97221	103589	44715	47171	
31	8.28772e+006	8.29473e+006	41909	45631	10739	11853	3658	3932	4685	4991	1234	1315	565	612	41448	43563	28	35	6765	7446	104006	111015	48718	51456	
32	8.2799e+006	8.28763e+006	43728	47790	11214	12396	3807	4095	4862	5176	1418	1512	656	706	45731	48144	35	43	7085	7845	111110	118840	52917	55961	
33	8.27182e+006	8.28032e+006	45462	49892	11748	13012	3976	4280	5099	5441	1571	1677	727	784	50180	52892	47	56	7287	8097	118419	126915	57333	60712	
34	8.26334e+006	8.27266e+006	47411	52219	12211	13590	4116	4450	5352	5725	1721	1836	799	861	54841	57868	64	75	7636	8506	126078	135398	61868	65607	
35	8.25447e+006	8.26469e+006	49421	54628	12708	14210	4273	4643	5562	5959	1861	1985	871	936	59753	63133	83	96	7950	8889	134048	144268	66600	70722	
36	8.24912e+006	8.25991e+006	47999	53213	13161	14815	4431	4845	5799	6227	2000	2130	938	1004	64918	68678	107	121	4768	5359	138829	149614	71525	76076	
37	8.24348e+006	8.25491e+006	46508	51765	13708	15499	4651	5104	6079	6529	2112	2255	990	1061	70197	74381	139	155	4986	5654	143831	155252	76662	81659	
38	8.23759e+006	8.24967e+006	44957	50229	14290	16223	4878	5363	6319	6816	2204	2357	1033	1108	75785	80412	177	196	5215	5909	149062	161145	82021	87525	
39	8.232e+006	8.24474e+006	42792	47994	14931	17042	5110	5636	6611	7151	2286	2451	1070	1151	81573	86700	219	240	4922	5608	153999	166738	87650	93725	
40	8.22653e+006	8.23991e+006	40318	45381	15535	17833	5295	5860	6886	7468	2362	2541	1105	1193	87670	93320	270	293	4813	5483	158830	172203	93460	100134	
41	8.22132e+006	8.23536e+006	37213	42102	16183	18677	5492	6104	7191	7835	2443	2627	1138	1226	94016	100233	325	350	4531	5228	163380	177412	99529	106856	
42	8.21645e+006	8.23112e+006	33478	38108	17232	19904	5306	5925	7480	8186	2530	2728	1176	1269	100690	107552	377	407	4215	4895	167612	182290	106247	114322	
43	8.21195e+006	8.22724e+006	32575	37263	15631	18072	4435	4972	7766	8536	2648	2856	1234	1330	107547	115095	426	459	3866	4513	171494	186788	110431	118991	
44	8.20762e+006	8.22351e+006	31302	35956	13951	16173	3519	3963	8073	8899	2773	2995	1291	1396	114729	123022	475	511	3714	4347	175223	191118	114808	123926	
45	8.20349e+006	8.21997e+006	29610	34193	11773	13747	2993	3377	8392	9292	2903	3148	1347	1463	122189	131283	534	575	3523	4145	178762	195247	119289	128971	
46	8.19961e+006	8.21666e+006	27981	32480	11879	13950	3033	3432	8046	8938	3029	3293	1404	1531	127131	136776	593	637	3296	3893	182073	199125	123419	133648	
47	8.19592e+006	8.21353e+006	26281	30709	11727	13803	3001	3419	7688	8569	3171	3449	1466	1602	132289	142558	655	704	3114	3710	185203	202820	127478	138234	
48	8.19239e+006	8.21056e+006	24711	29021	11199	13275	2846	3265	7332	8203	3315	3615	1531	1677	137670	148586	716	770	2962	3539	188179	206345	131331	142640	
49	8.18908e+006	8.20776e+006	23278	27456	10647	12716	2695	3108	6871	7725	3445	3765	1592	1745	142876	154440	779	836	2784	3328	190977	209659	134917	146773	
50	8.1859e+006	8.20512e+006	22039	26131	9888	11935	2507	2918	6345	7157	3581	3929	1649	1815	148030	160233	847	910	2628	3188	193620	212832	138212	150580	
51	8.18289e+006	8.20261e+006	20820	24808	9236	11220	2345	2749	5674	6436	3734	4115	1723	1903	153027	165908	917	982	2494	3024	196129	215842	141364	154233	
52	8.18003e+006	8.20023e+006	19657	23546	8665	10593	2228	2621	5583	6366	3700	4088	1707	1889	157312	170806	987	1060	2359	2882	198502	218710	144348	157718	
