Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	841	0	0	0	0	0	0	0	317	841	0	
5	8.39746e+006	1281	0	0	0	0	0	0	0	440	1281	0	
6	8.39686e+006	1874	0	0	0	0	0	0	0	593	1874	0	
7	8.39599e+006	2734	16	0	0	0	0	0	0	877	2750	16	
8	8.39476e+006	3801	136	40	0	0	0	0	0	1226	3977	136	
9	8.39325e+006	5151	256	80	0	0	0	0	0	1510	5487	256	
10	8.39133e+006	6883	382	126	0	0	0	16	0	1920	7407	398	
11	8.38887e+006	9021	499	166	31	0	0	145	0	2455	9862	641	
12	8.38597e+006	11486	713	232	61	0	0	275	0	2904	12766	976	
13	8.3826e+006	14267	1018	332	96	0	0	427	0	3374	16140	1428	
14	8.37886e+006	17126	1446	464	156	0	0	685	0	3737	19877	2110	
15	8.3749e+006	19863	2030	666	249	0	0	1032	0	3962	23839	3048	
16	8.37092e+006	22327	2720	894	361	0	0	1513	0	3975	27814	4208	
17	8.36721e+006	24122	3504	1153	504	17	15	2229	0	3715	31529	5708	
18	8.36331e+006	25565	4422	1464	708	28	20	3241	0	3898	35428	7612	
19	8.35901e+006	26962	5452	1827	972	37	25	4478	0	4301	39728	9854	
20	8.35465e+006	27950	6512	2221	1287	56	34	6065	0	4362	44090	12441	
21	8.35009e+006	28772	7484	2531	1663	82	47	8117	0	4559	48649	15359	
22	8.34528e+006	29622	8272	2801	2112	116	63	10539	0	4812	53461	18443	
23	8.34025e+006	30668	8735	2939	2613	168	87	13359	0	5021	58482	21585	
24	8.335e+006	32211	8699	2953	3115	234	117	16527	0	5258	63740	24543	
25	8.32952e+006	33789	8659	2930	3595	325	157	19919	0	5476	69216	27659	
