Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.39798e+006	8.39799e+006	727	743	16	16	0	0	0	0	0	0	0	0	0	0	0	0	231	247	743	759	16	16	
5	8.39766e+006	8.39769e+006	869	896	131	140	36	45	0	0	0	0	0	0	0	0	0	0	297	319	1045	1072	131	140	
6	8.39728e+006	8.39733e+006	1074	1118	251	262	74	85	0	0	0	0	0	0	0	0	0	0	359	388	1410	1454	251	262	
7	8.3968e+006	8.39687e+006	1355	1422	381	396	116	131	0	0	0	0	0	0	0	0	0	0	451	487	1867	1934	381	396	
8	8.39619e+006	8.39628e+006	1706	1790	554	578	175	194	0	0	0	0	0	0	0	0	0	0	578	618	2453	2544	555	577	
9	8.39541e+006	8.39553e+006	2159	2261	785	819	246	267	0	0	0	0	0	0	0	0	0	0	748	793	3209	3328	788	817	
10	8.39445e+006	8.3946e+006	2715	2842	1045	1095	334	358	0	0	0	0	0	0	16	16	0	0	910	973	4132	4289	1065	1106	
11	8.39324e+006	8.39346e+006	3403	3573	1263	1336	410	440	27	35	0	0	0	0	141	149	0	0	1137	1219	5279	5499	1414	1470	
12	8.39173e+006	8.392e+006	4273	4468	1587	1686	508	544	56	67	0	0	0	0	269	280	0	0	1442	1519	6734	7004	1863	1938	
13	8.38993e+006	8.39027e+006	5249	5488	2021	2148	650	695	88	101	0	0	0	0	411	424	0	0	1720	1817	8466	8808	2436	2532	
14	8.38765e+006	8.38811e+006	6488	6808	2530	2692	817	879	131	148	0	0	0	0	601	622	0	0	2153	2290	10629	11087	3142	3259	
15	8.38486e+006	8.38544e+006	8012	8391	3151	3366	1038	1105	192	211	0	0	0	0	843	872	0	0	2660	2804	13301	13880	4013	4179	
16	8.38142e+006	8.38215e+006	9848	10322	3969	4225	1300	1380	266	290	0	0	0	0	1133	1174	0	0	3274	3454	16591	17317	5130	5341	
17	8.3773e+006	8.37821e+006	12054	12641	4921	5228	1616	1707	321	347	15	19	14	17	1519	1579	0	0	3927	4134	20530	21439	6451	6715	
18	8.37218e+006	8.3733e+006	14791	15480	6070	6470	2033	2146	407	436	25	30	19	22	2008	2091	0	0	4887	5131	25432	26555	8091	8442	
19	8.36581e+006	8.36724e+006	18179	19059	7483	7980	2520	2660	523	556	33	40	23	27	2639	2746	0	0	6047	6384	31493	32925	10138	10577	
20	8.35825e+006	8.36003e+006	22101	23178	9226	9837	3129	3295	658	701	45	54	29	34	3410	3552	0	0	7197	7572	38704	40483	12630	13182	
21	8.34901e+006	8.35123e+006	26966	28305	11300	12039	3825	4027	819	872	63	73	37	43	4380	4571	0	0	8790	9263	47511	49729	15644	16332	
22	8.33759e+006	8.34034e+006	32952	34602	13832	14737	4718	4962	1035	1095	82	94	45	53	5598	5834	0	0	10873	11428	58397	61145	19365	20213	
23	8.32357e+006	8.32691e+006	40325	42250	17028	18180	5819	6117	1271	1347	108	120	57	66	7066	7363	0	0	13416	14036	71830	75163	23966	25056	
24	8.30663e+006	8.31078e+006	49239	51631	20775	22165	7090	7440	1574	1662	141	156	73	84	8895	9287	0	0	16109	16954	87954	92103	29445	30798	
25	8.28607e+006	8.29115e+006	60061	62953	25358	27083	8592	9025	1934	2044	183	202	91	104	11162	11655	0	0	19612	20585	107584	112670	36195	37878	
26	8.26081e+006	8.26701e+006	73321	76793	31012	33129	10482	11011	2404	2543	233	253	114	127	13934	14541	0	0	24132	25269	131730	137924	44510	46605	
27	8.22993e+006	8.2376e+006	89288	93657	38074	40602	12868	13480	2962	3116	283	306	129	147	17248	18026	13	16	29387	30896	161132	168806	54765	57323	
28	8.19287e+006	8.20216e+006	108609	113780	46454	49598	15630	16388	3621	3811	358	384	161	182	21412	22365	17	20	35427	37080	196576	205869	67127	70302	
29	8.14763e+006	8.159e+006	132137	138446	56527	60318	19044	19947	4462	4696	441	472	197	220	26548	27758	19	22	43140	45251	239734	251103	82105	86011	
30	8.09276e+006	8.1066e+006	160394	168066	69148	73728	23238	24353	5450	5743	557	594	249	275	32652	34145	21	25	52389	54888	292141	305973	100585	105329	
31	8.02653e+006	8.04321e+006	194382	203419	84446	90092	28406	29755	6659	7015	689	732	310	341	40115	41977	24	29	63373	66252	355530	372209	123073	128966	
32	7.94657e+006	7.96666e+006	235480	246316	102729	109503	34524	36147	8121	8531	856	909	389	421	49367	51693	29	35	76523	79979	432072	452169	150200	157336	
33	7.85046e+006	7.8748e+006	284192	297187	124827	133142	41932	43943	9986	10486	1050	1111	480	518	60733	63550	36	42	91853	96122	523941	548276	183250	191958	
34	7.73534e+006	7.76462e+006	341963	357432	151782	161799	51011	53465	12187	12804	1291	1370	593	639	74405	77906	43	51	110165	115128	634118	663392	223338	233903	
35	7.59827e+006	7.63306e+006	410134	428271	184319	196313	61956	64896	14829	15568	1580	1685	734	789	91094	95381	54	63	131544	137091	765679	800466	271792	284544	
36	7.43557e+006	7.47673e+006	489921	511006	223273	237646	75081	78587	18124	18994	1943	2066	909	974	111573	116816	64	74	156311	162713	922007	963162	330339	345705	
37	7.24408e+006	7.29241e+006	582374	606391	269672	286897	90739	94972	22136	23225	2370	2512	1102	1174	136522	143003	79	91	184299	191513	1.10633e+006	1.15465e+006	400626	419237	
38	7.02033e+006	7.07651e+006	688094	715032	325320	345978	109326	114441	26952	28282	2876	3045	1342	1427	166618	174457	100	115	215883	223773	1.32223e+006	1.37841e+006	485104	507455	
39	6.76132e+006	6.82623e+006	806803	836973	391050	415255	131506	137497	32719	34352	3544	3744	1650	1750	203320	212902	120	136	250252	259032	1.5725e+006	1.63742e+006	585830	612405	
40	6.46467e+006	6.53867e+006	938037	970927	468383	496606	157553	164513	39734	41667	4334	4572	2022	2140	247890	259594	152	171	287540	296673	1.86007e+006	1.93406e+006	705556	736984	
41	6.12931e+006	6.2125e+006	1.07988e+006	1.1148e+006	558536	591219	187721	195766	48274	50579	5287	5571	2456	2593	301746	315882	189	211	326134	335394	2.18623e+006	2.26943e+006	846870	883818	
42	5.75651e+006	5.84853e+006	1.22794e+006	1.26386e+006	673507	710655	211764	220468	58460	61228	6446	6780	2997	3158	366898	383939	233	258	363934	372841	2.55021e+006	2.64223e+006	1.02327e+006	1.06673e+006	
43	5.34881e+006	5.44881e+006	1.37738e+006	1.41256e+006	804572	846263	238740	248129	70636	73915	7881	8297	3655	3847	445102	465781	289	316	399668	407749	2.94993e+006	3.04992e+006	1.22808e+006	1.27872e+006	
44	4.91233e+006	5.01874e+006	1.51986e+006	1.55241e+006	951655	997499	268795	278675	85116	89003	9600	10103	4435	4667	539011	563930	357	389	430007	436542	3.38e+006	3.48641e+006	1.46352e+006	1.52169e+006	
45	4.45385e+006	4.56455e+006	1.64784e+006	1.67556e+006	1.11383e+006	1.16339e+006	300968	311331	102285	106824	11712	12299	5377	5651	651209	680903	438	475	454067	458597	3.83418e+006	3.94488e+006	1.73096e+006	1.79672e+006	
46	3.98371e+006	4.096e+006	1.75233e+006	1.773e+006	1.28791e+006	1.33992e+006	334476	344960	122455	127830	14229	14928	6528	6860	784737	819853	547	589	468248	470450	4.30274e+006	4.41503e+006	2.02983e+006	2.103e+006	
47	3.51511e+006	3.62601e+006	1.8224e+006	1.8341e+006	1.46946e+006	1.52224e+006	368440	378727	145883	152122	17291	18127	7956	8340	942448	983723	669	718	468275	470313	4.77272e+006	4.88363e+006	2.35838e+006	2.43833e+006	
48	3.06168e+006	3.16796e+006	1.8485e+006	1.85293e+006	1.64075e+006	1.6921e+006	411427	421484	172989	180067	20978	21989	9635	10104	1.12741e+006	1.17553e+006	807	865	453316	458164	5.23078e+006	5.33706e+006	2.71071e+006	2.79612e+006	
