Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	512	0	0	0	0	0	0	0	176	512	0	
4	8.39802e+006	696	16	0	0	0	0	0	0	200	712	16	
5	8.39779e+006	768	136	40	0	0	0	0	0	232	944	136	
6	8.39752e+006	880	256	80	0	0	0	0	0	272	1216	256	
7	8.39721e+006	1012	388	124	0	0	0	0	0	308	1524	388	
8	8.39686e+006	1161	537	175	0	0	0	0	0	349	1873	537	
9	8.39645e+006	1343	712	231	0	0	0	0	0	413	2286	712	
10	8.39597e+006	1550	904	295	0	0	0	16	0	480	2766	920	
11	8.39542e+006	1790	1020	327	31	0	0	145	0	548	3314	1163	
12	8.3948e+006	2066	1159	378	61	0	0	275	0	625	3939	1423	
13	8.39414e+006	2314	1348	426	94	0	0	418	0	661	4600	1749	
14	8.3934e+006	2571	1559	495	133	0	0	579	0	737	5337	2117	
15	8.39257e+006	2849	1793	577	178	0	0	766	0	826	6162	2539	
16	8.39166e+006	3142	2051	672	232	0	0	984	0	918	7081	3016	
17	8.39063e+006	3503	2313	764	261	17	15	1246	0	1023	8103	3527	
18	8.3895e+006	3901	2609	854	299	28	20	1546	0	1134	9238	4100	
19	8.38824e+006	4337	2913	963	348	36	25	1902	0	1262	10500	4742	
20	8.38696e+006	4693	3240	1074	405	47	29	2314	0	1274	11774	5463	
21	8.3856e+006	5036	3602	1188	471	62	37	2781	0	1366	13140	6268	
22	8.38405e+006	5444	3984	1315	533	77	44	3328	0	1542	14682	7142	
23	8.38235e+006	5884	4424	1475	604	94	51	3902	0	1703	16384	8118	
24	8.38054e+006	6422	4815	1622	680	113	60	4544	0	1811	18196	9097	
25	8.37857e+006	7023	5216	1762	754	138	72	5271	0	1967	20163	10154	
