Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	512	0	0	0	0	0	0	0	176	512	0	
4	8.39785e+006	872	16	0	0	0	0	0	0	376	888	16	
5	8.39729e+006	1275	136	40	0	0	0	0	0	564	1451	136	
6	8.39653e+006	1872	256	80	0	0	0	0	0	756	2208	256	
7	8.39531e+006	2911	388	124	0	0	0	0	0	1215	3423	388	
8	8.39348e+006	4368	671	217	0	0	0	0	0	1833	5255	671	
9	8.39074e+006	6542	1101	350	0	0	0	0	0	2737	7993	1101	
10	8.38656e+006	9966	1661	531	0	0	0	16	0	4181	12173	1677	
11	8.3802e+006	15118	2448	799	31	0	0	145	0	6367	18541	2590	
12	8.37099e+006	22487	3702	1217	61	0	0	275	0	9202	27743	3966	
13	8.35691e+006	33838	5636	1845	94	0	0	418	0	14088	41831	6036	
14	8.33598e+006	50583	8474	2812	164	0	0	724	0	20926	62756	9173	
15	8.30465e+006	75542	12796	4294	279	0	0	1172	0	31326	94083	13950	
16	8.25789e+006	113107	19097	6438	428	0	0	1780	0	46767	140850	20859	
17	8.1884e+006	168504	28734	9674	631	17	15	2775	0	69484	210334	31476	
18	8.08577e+006	250206	43061	14440	952	28	20	4276	0	102628	312962	47266	
19	7.93437e+006	370284	64482	21608	1463	36	25	6493	0	151404	464367	70870	
20	7.71386e+006	544022	96435	32242	2195	58	36	9920	0	220505	684872	106124	
21	7.39807e+006	790329	143801	47992	3340	90	51	15110	0	315792	1.00066e+006	158553	
22	6.95367e+006	1.1321e+006	213937	71283	4990	132	70	22620	0	444402	1.44507e+006	236016	
23	6.34742e+006	1.58695e+006	316877	105659	7503	201	102	34127	0	606251	2.05132e+006	350195	
24	5.55823e+006	2.15564e+006	466524	155591	11256	303	148	51198	0	789194	2.84051e+006	516588	
