Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.39795e+006	8.39797e+006	754	774	16	16	0	0	0	0	0	0	0	0	0	0	0	0	258	278	770	790	16	16	
5	8.39759e+006	8.39763e+006	932	967	131	140	36	45	0	0	0	0	0	0	0	0	0	0	332	359	1108	1143	131	140	
6	8.39723e+006	8.39728e+006	1125	1174	251	262	74	85	0	0	0	0	0	0	0	0	0	0	346	374	1461	1510	251	262	
7	8.3968e+006	8.39686e+006	1360	1428	381	396	116	131	0	0	0	0	0	0	0	0	0	0	404	437	1872	1940	381	396	
8	8.39634e+006	8.39643e+006	1531	1608	574	602	183	201	0	0	0	0	0	0	0	0	0	0	427	460	2306	2393	576	600	
9	8.39594e+006	8.39604e+006	1586	1665	832	873	262	283	0	0	0	0	0	0	0	0	0	0	385	417	2700	2801	836	870	
10	8.39544e+006	8.39556e+006	1707	1792	1083	1138	347	372	0	0	0	0	0	0	16	16	0	0	468	501	3176	3294	1104	1148	
11	8.39487e+006	8.39501e+006	1851	1938	1267	1341	411	441	27	35	0	0	0	0	141	149	0	0	547	585	3730	3871	1418	1474	
12	8.39427e+006	8.39443e+006	1990	2078	1480	1573	470	504	56	67	0	0	0	0	269	280	0	0	565	601	4305	4462	1755	1825	
13	8.39363e+006	8.39381e+006	2219	2318	1639	1748	525	565	88	101	0	0	0	0	411	424	0	0	615	657	4927	5111	2054	2134	
14	8.3929e+006	8.39312e+006	2430	2546	1801	1917	574	618	136	153	0	0	0	0	624	647	0	0	679	729	5614	5832	2425	2519	
15	8.39213e+006	8.39237e+006	2624	2745	1952	2080	635	683	206	226	0	0	0	0	892	926	0	0	738	786	6362	6607	2854	2963	
16	8.39131e+006	8.39158e+006	2847	2976	2115	2250	689	743	274	299	0	0	0	0	1176	1221	0	0	786	835	7160	7430	3303	3422	
17	8.39041e+006	8.39072e+006	3081	3224	2270	2411	748	797	326	352	15	19	14	17	1520	1580	0	0	847	905	8018	8324	3784	3926	
18	8.38947e+006	8.38981e+006	3301	3449	2454	2610	816	866	381	411	25	30	19	22	1888	1964	0	0	900	954	8928	9268	4325	4496	
19	8.38847e+006	8.38885e+006	3509	3677	2722	2893	899	956	426	458	33	40	23	27	2228	2316	0	0	948	1013	9886	10270	4918	5111	
20	8.38749e+006	8.38791e+006	3649	3834	2958	3139	981	1041	471	506	48	56	30	35	2643	2747	0	0	926	990	10823	11250	5546	5756	
21	8.38643e+006	8.3869e+006	3807	3995	3188	3386	1050	1117	506	541	68	79	39	45	3140	3268	0	0	1003	1068	11839	12305	6222	6455	
22	8.38533e+006	8.38584e+006	3952	4151	3436	3651	1137	1204	550	590	86	98	47	55	3649	3794	0	0	1043	1111	12893	13405	6932	7196	
23	8.38415e+006	8.38471e+006	4133	4331	3678	3916	1227	1297	587	628	106	120	56	66	4213	4384	0	0	1125	1198	14031	14590	7674	7972	
24	8.38288e+006	8.3835e+006	4399	4614	3851	4105	1298	1373	645	689	132	147	67	78	4817	5016	0	0	1190	1275	15232	15854	8406	8736	
25	8.38157e+006	8.38224e+006	4640	4874	4041	4306	1374	1453	705	753	152	168	76	88	5486	5707	0	0	1246	1327	16492	17167	9190	9549	
26	8.38021e+006	8.38094e+006	4890	5141	4235	4518	1436	1518	772	823	180	198	90	104	6187	6431	0	0	1295	1375	17798	18531	10017	10413	
27	8.37877e+006	8.37957e+006	5117	5390	4441	4736	1508	1594	831	885	192	212	88	103	6958	7235	13	16	1353	1446	19164	19965	10910	11344	
28	8.37728e+006	8.37815e+006	5343	5613	4633	4959	1601	1699	884	939	218	240	99	114	7786	8092	17	20	1413	1500	20589	21453	11825	12307	
29	8.37573e+006	8.37667e+006	5557	5849	4870	5204	1665	1763	954	1012	243	267	110	126	8646	8993	19	22	1463	1560	22063	23002	12812	13339	
30	8.37407e+006	8.37509e+006	5829	6147	5153	5500	1749	1854	989	1047	269	294	122	140	9520	9907	21	25	1565	1674	23642	24662	13837	14402	
31	8.37236e+006	8.37346e+006	6097	6433	5424	5804	1823	1933	1041	1104	288	316	130	150	10458	10879	26	32	1620	1734	25278	26380	14911	15533	
32	8.37053e+006	8.37173e+006	6402	6772	5690	6094	1922	2037	1081	1144	319	348	141	161	11438	11900	31	38	1717	1840	27008	28207	16026	16696	
33	8.36956e+006	8.37081e+006	5848	6194	5921	6356	2020	2147	1141	1213	346	374	154	175	12484	12984	36	43	912	980	27928	29179	17170	17898	
34	8.36855e+006	8.36985e+006	5232	5544	6209	6664	2108	2237	1211	1290	368	399	166	188	13588	14139	42	50	951	1021	28890	30189	18399	19191	
35	8.36747e+006	8.36882e+006	4625	4902	6484	6973	2201	2342	1275	1355	404	438	181	204	14743	15343	46	55	1016	1090	29917	31268	19694	20547	
36	8.36643e+006	8.36783e+006	3882	4114	6787	7312	2323	2463	1353	1435	428	465	190	215	15939	16592	54	63	974	1051	30902	32309	21044	21978	
37	8.36544e+006	8.36691e+006	3889	4132	6445	6952	2222	2360	1424	1512	458	496	205	230	17197	17911	61	70	919	998	31831	33297	21799	22773	
38	8.36444e+006	8.36596e+006	3876	4118	6103	6594	2104	2237	1495	1588	478	518	212	238	18520	19295	68	79	938	1007	32779	34294	22589	23603	
39	8.36351e+006	8.36506e+006	3744	3974	5773	6243	1988	2117	1559	1657	509	552	231	257	19891	20732	76	89	886	943	33674	35229	23425	24480	
40	8.36261e+006	8.36421e+006	3611	3831	5345	5787	1827	1948	1631	1731	532	576	240	265	21366	22284	85	99	843	907	34528	36125	24241	25338	
41	8.36178e+006	8.36342e+006	3468	3673	4823	5234	1652	1760	1700	1801	563	611	257	284	22893	23887	95	109	775	841	35314	36955	25014	26158	
42	8.36101e+006	8.36269e+006	3249	3445	4300	4657	1402	1500	1777	1885	588	637	271	299	24510	25591	106	121	721	779	36045	37723	25852	27041	
43	8.36032e+006	8.36203e+006	3016	3206	4327	4677	1351	1442	1689	1792	617	666	284	313	25480	26613	118	132	653	704	36706	38419	26612	27837	
44	8.35964e+006	8.36139e+006	2807	2990	4291	4634	1279	1369	1603	1713	650	701	299	327	26484	27653	130	147	634	692	37351	39099	27343	28605	
45	8.35896e+006	8.36074e+006	2663	2832	4162	4498	1169	1254	1506	1606	674	728	310	342	27568	28799	143	161	630	684	37992	39772	28026	29325	
46	8.35835e+006	8.36016e+006	2517	2674	4007	4323	1075	1152	1395	1491	711	768	327	361	28613	29900	157	175	574	621	38576	40383	28656	29984	
47	8.35776e+006	8.35959e+006	2426	2574	3829	4120	988	1059	1261	1353	744	803	343	375	29628	30976	171	191	559	607	39146	40978	29211	30571	
48	8.35719e+006	8.35905e+006	2317	2457	3588	3870	924	995	1119	1200	781	843	365	399	30668	32073	185	206	528	572	39682	41542	29763	31154	
49	8.35664e+006	8.35853e+006	2201	2335	3387	3659	873	942	1121	1201	767	827	358	394	31561	33006	199	221	514	562	40207	42093	30311	31730	
50	8.35614e+006	8.35804e+006	2101	2231	3179	3436	814	877	1094	1171	759	821	354	391	32431	33922	216	238	476	516	40693	42599	30816	32257	
51	8.35565e+006	8.35758e+006	1987	2126	3012	3246	769	830	1057	1136	741	799	345	382	33257	34790	233	256	449	497	41152	43085	31306	32768	
52	8.35521e+006	8.35716e+006	1871	2006	2866	3087	723	780	1004	1077	717	778	337	374	34046	35616	253	277	413	452	41574	43528	31768	33254	
53	8.35477e+006	8.35674e+006	1771	1896	2769	2987	682	737	945	1015	693	755	325	364	34770	36378	272	297	413	451	41997	43970	32217	33726	
54	8.35435e+006	8.35634e+006	1682	1811	2647	2850	645	698	885	957	670	729	316	351	35479	37121	292	316	386	432	42395	44390	32640	34165	
