Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.3979e+006	8.39792e+006	798	825	16	16	0	0	0	0	0	0	0	0	0	0	0	0	302	329	814	841	16	16	
5	8.39744e+006	8.39749e+006	1074	1123	131	140	36	45	0	0	0	0	0	0	0	0	0	0	428	466	1250	1299	131	140	
6	8.39684e+006	8.39691e+006	1486	1565	251	262	74	85	0	0	0	0	0	0	0	0	0	0	564	611	1822	1901	251	262	
7	8.39596e+006	8.39608e+006	2143	2264	381	396	116	131	0	0	0	0	0	0	0	0	0	0	821	887	2655	2776	381	396	
8	8.3947e+006	8.39489e+006	3029	3197	609	642	192	212	0	0	0	0	0	0	0	0	0	0	1180	1270	3849	4032	612	639	
9	8.39295e+006	8.39321e+006	4268	4495	936	991	299	323	0	0	0	0	0	0	0	0	0	0	1664	1768	5525	5787	942	985	
10	8.39047e+006	8.39085e+006	6053	6370	1346	1432	440	473	0	0	0	0	0	0	16	16	0	0	2344	2490	7885	8262	1374	1437	
11	8.38689e+006	8.38745e+006	8627	9081	1854	1983	599	644	27	35	0	0	0	0	141	149	0	0	3390	3603	11290	11850	2014	2108	
12	8.382e+006	8.38279e+006	12086	12718	2617	2811	858	922	56	67	0	0	0	0	269	280	0	0	4637	4907	15944	16740	2909	3047	
13	8.37528e+006	8.37641e+006	16789	17680	3740	4014	1227	1307	88	101	0	0	0	0	411	424	0	0	6367	6730	22325	23457	4177	4377	
14	8.36559e+006	8.36724e+006	23599	24893	5269	5647	1734	1842	144	163	0	0	0	0	660	688	0	0	9148	9709	31493	33145	5966	6255	
15	8.35226e+006	8.35457e+006	32866	34632	7458	8006	2488	2639	233	255	0	0	0	0	1007	1053	0	0	12652	13348	44165	46472	8529	8955	
16	8.33557e+006	8.3387e+006	44083	46439	10473	11235	3525	3728	343	371	0	0	0	0	1471	1538	0	0	15854	16714	60036	63170	12025	12634	
17	8.31464e+006	8.31884e+006	57563	60650	14568	15632	4937	5213	478	512	15	19	14	17	2152	2255	0	0	19848	20941	79901	84094	16843	17701	
18	8.28915e+006	8.29462e+006	72613	76455	20454	21991	6966	7346	675	722	25	30	19	22	3135	3293	0	0	24202	25509	104116	109590	23750	25007	
19	8.25978e+006	8.26671e+006	87849	92494	28614	30748	9715	10249	974	1035	33	40	23	27	4506	4725	0	0	27894	29380	132024	138956	33343	35086	
20	8.22761e+006	8.23619e+006	102495	107964	38634	41497	13115	13814	1378	1458	50	59	31	37	6441	6761	0	0	30506	32179	162542	171123	45332	47707	
21	8.19451e+006	8.20469e+006	114139	120141	50853	54619	17237	18146	1951	2059	74	85	43	50	9246	9724	0	0	31494	33116	194051	204224	60363	63546	
22	8.16347e+006	8.17524e+006	119370	125693	65409	70248	22098	23266	2748	2898	107	121	58	68	13069	13741	0	0	29437	31057	223501	235268	78757	82917	
23	8.13853e+006	8.15151e+006	115195	121265	81387	87392	27484	28936	3847	4048	152	169	77	89	18306	19260	0	0	23718	24953	247230	260210	99989	105253	
24	8.10924e+006	8.12364e+006	112545	118384	97317	104480	32751	34478	5382	5684	219	241	109	123	25870	27241	0	0	27854	29300	275099	289495	123360	129897	
25	8.07671e+006	8.09271e+006	111966	117820	111314	119438	37473	39413	7535	7950	318	345	152	170	36291	38199	0	0	30921	32546	306031	322031	147607	155394	
26	8.04242e+006	8.06e+006	115223	121060	121434	130352	40816	42961	10154	10696	443	477	206	228	49418	52018	0	0	32692	34298	338736	356316	170513	179531	
27	8.00631e+006	8.02561e+006	125885	132230	124306	133385	41778	43976	13355	14078	628	672	286	315	65883	69350	13	16	34380	36124	373127	392428	189272	199241	
28	7.9684e+006	7.9895e+006	134122	140852	127008	136238	42698	44945	17159	18069	875	932	397	434	86044	90590	17	20	36092	37921	409232	430336	211334	222415	
29	7.92939e+006	7.95233e+006	140364	147331	129277	138659	43420	45725	21319	22455	1227	1306	560	606	109436	115196	19	22	37160	39028	446405	469351	235886	248213	
30	7.88949e+006	7.9143e+006	145691	152942	130892	140204	43998	46293	25508	26893	1719	1831	799	859	135271	142397	21	26	38019	39909	484440	509244	261902	275513	
31	7.84889e+006	7.87556e+006	150031	157436	132979	142430	44762	47109	29133	30706	2412	2558	1124	1200	162455	170953	26	32	38715	40624	523172	549851	289191	304159	
32	7.80751e+006	7.83608e+006	153412	160907	137905	147567	46469	48859	31784	33537	3254	3445	1511	1609	188401	198272	34	42	39469	41396	562657	591231	317695	334098	
33	7.76504e+006	7.79551e+006	156803	164367	147942	158251	49788	52335	32552	34334	4305	4561	2004	2130	210302	221288	44	53	40551	42487	603224	633701	346776	364625	
34	7.72058e+006	7.75295e+006	161328	168934	155441	166208	52392	55048	33262	35065	5587	5905	2590	2741	236162	248482	61	72	42543	44477	645785	678161	376598	395890	
35	7.67443e+006	7.70877e+006	166776	174477	161238	172286	54356	57081	33830	35662	7050	7441	3266	3450	265038	278859	85	97	44167	46163	689968	724309	407134	427887	
36	7.62713e+006	7.66344e+006	172620	180396	166302	177675	56025	58835	34232	36013	8650	9143	4017	4242	295710	311062	113	129	45312	47316	735298	771606	438340	460587	
37	7.57848e+006	7.61677e+006	178720	186577	170982	182548	57486	60354	34806	36598	10194	10767	4715	4976	327935	344913	162	180	46649	48670	781966	820258	470461	494209	
38	7.52877e+006	7.56901e+006	183917	191828	175795	187475	59089	62020	36057	37886	11608	12261	5347	5650	361311	379975	224	246	47740	49727	829722	869969	504143	529376	
39	7.47782e+006	7.52002e+006	188734	196626	180947	192773	60900	63900	38634	40571	12594	13296	5802	6128	394835	415179	310	338	48982	50964	878719	920918	539054	565824	
40	7.42576e+006	7.46996e+006	193460	201396	186461	198396	62674	65691	40620	42668	13643	14389	6270	6618	429707	451750	435	473	50043	52081	928779	972981	574916	603257	
41	7.37285e+006	7.41899e+006	197757	205656	192387	204429	64686	67699	42124	44242	14630	15434	6718	7095	465772	489554	610	656	50946	52930	979746	1.02589e+006	611779	641704	
42	7.3188e+006	7.36677e+006	202216	209993	201013	213102	64369	67320	43484	45663	15595	16447	7178	7568	502726	528277	818	878	52195	54068	1.03196e+006	1.07994e+006	651938	683506	
43	7.2635e+006	7.31334e+006	206655	214343	209800	221904	64081	66926	44629	46870	16406	17291	7537	7946	541086	568427	1073	1144	53417	55318	1.0854e+006	1.13523e+006	693064	726291	
44	7.20707e+006	7.25868e+006	211246	218713	218012	230195	63436	66172	45877	48140	17064	17996	7831	8259	581415	610576	1395	1483	54628	56457	1.14006e+006	1.19167e+006	735198	770124	
45	7.14973e+006	7.20312e+006	215842	223142	225786	237923	62528	65125	47225	49497	17578	18540	8064	8515	623353	654419	1778	1885	55545	57357	1.19562e+006	1.249e+006	778131	814716	
46	7.09166e+006	7.14682e+006	219923	227168	233615	245599	61654	64127	48651	50950	17986	18949	8244	8705	666430	699411	2196	2332	56272	58098	1.25192e+006	1.30708e+006	822085	860230	
47	7.06205e+006	7.11804e+006	195262	201486	241512	253347	60592	62960	50210	52529	18415	19385	8430	8898	710698	745612	2607	2769	28755	29637	1.2807e+006	1.33669e+006	867131	906843	
48	7.03195e+006	7.08878e+006	169877	175149	247053	258714	61974	64287	51801	54169	18984	19961	8718	9186	755889	792680	3010	3197	29241	30121	1.30996e+006	1.36679e+006	912728	953961	
49	7.00153e+006	7.05913e+006	143953	148238	252302	263784	63325	65574	53515	55863	19886	20906	9113	9607	801949	840649	3332	3537	29617	30450	1.3396e+006	1.39721e+006	959025	1.00178e+006	
50	6.97274e+006	7.03108e+006	115707	118960	257258	268509	64636	66827	55027	57381	20673	21715	9492	9998	849331	889981	3713	3941	28032	28814	1.36766e+006	1.426e+006	1.00594e+006	1.0502e+006	
