Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	512	0	0	0	0	0	0	0	176	512	0	
4	8.39796e+006	764	16	0	0	0	0	0	0	268	780	16	
5	8.39761e+006	949	136	40	0	0	0	0	0	345	1125	136	
6	8.39725e+006	1149	256	80	0	0	0	0	0	360	1485	256	
7	8.39683e+006	1394	388	124	0	0	0	0	0	420	1906	388	
8	8.39639e+006	1570	588	192	0	0	0	0	0	444	2349	588	
9	8.39599e+006	1625	853	272	0	0	0	0	0	401	2750	853	
10	8.3955e+006	1750	1110	359	0	0	0	16	0	485	3235	1126	
11	8.39494e+006	1895	1304	426	31	0	0	145	0	566	3801	1446	
12	8.39435e+006	2034	1526	487	61	0	0	275	0	583	4383	1790	
13	8.39372e+006	2268	1694	545	94	0	0	418	0	636	5019	2094	
14	8.39301e+006	2488	1859	596	145	0	0	635	0	704	5723	2472	
15	8.39225e+006	2684	2016	659	216	0	0	909	0	762	6485	2909	
16	8.39144e+006	2912	2182	716	287	0	0	1199	0	810	7295	3362	
17	8.39057e+006	3152	2341	772	339	17	15	1550	0	876	8171	3855	
18	8.38964e+006	3375	2532	841	396	28	20	1926	0	927	9098	4411	
19	8.38866e+006	3593	2807	927	442	36	25	2272	0	980	10078	5014	
20	8.3877e+006	3741	3049	1011	488	52	33	2695	0	958	11036	5651	
21	8.38666e+006	3901	3287	1083	523	73	42	3204	0	1036	12072	6339	
22	8.38559e+006	4051	3544	1171	570	92	51	3721	0	1077	13149	7064	
23	8.38443e+006	4232	3797	1262	607	113	61	4299	0	1162	14311	7823	
24	8.38319e+006	4507	3978	1336	667	139	72	4916	0	1232	15543	8571	
25	8.38191e+006	4757	4174	1413	729	160	82	5596	0	1286	16829	9370	
