Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	515	0	0	0	0	0	0	0	179	515	0	
4	8.39802e+006	699	16	0	0	0	0	0	0	200	715	16	
5	8.39779e+006	771	56	120	0	0	0	0	0	232	947	56	
6	8.39752e+006	881	95	241	0	0	0	0	0	270	1217	95	
7	8.39721e+006	1012	139	376	0	0	0	0	0	310	1527	139	
8	8.39686e+006	1163	189	526	0	0	0	0	0	350	1877	189	
9	8.39644e+006	1353	247	700	0	0	0	0	0	423	2300	247	
10	8.39596e+006	1564	301	900	0	0	0	16	0	481	2781	317	
11	8.39541e+006	1804	336	1015	31	0	0	145	0	550	3331	416	
12	8.39478e+006	2077	381	1160	61	0	0	275	0	623	3955	520	
13	8.39413e+006	2308	453	1332	95	0	0	420	0	653	4608	661	
14	8.39339e+006	2567	521	1546	134	0	0	581	0	740	5348	811	
15	8.39256e+006	2849	601	1784	180	0	0	767	0	832	6180	986	
16	8.39164e+006	3145	687	2051	234	0	0	982	0	919	7100	1180	
17	8.39061e+006	3516	773	2308	261	17	15	1249	0	1025	8124	1385	
18	8.38948e+006	3906	874	2597	300	28	20	1550	0	1130	9254	1620	
19	8.38823e+006	4329	974	2907	352	36	25	1912	0	1255	10509	1896	
20	8.38695e+006	4690	1094	3224	407	48	29	2327	0	1280	11790	2209	
21	8.38557e+006	5045	1214	3579	469	63	38	2799	0	1380	13170	2549	
22	8.38402e+006	5457	1340	3960	536	78	45	3340	0	1542	14712	2924	
23	8.38231e+006	5915	1486	4416	603	94	52	3912	0	1712	16424	3324	
24	8.3805e+006	6451	1615	4827	681	113	61	4554	0	1817	18241	3744	
25	8.37853e+006	7040	1743	5246	752	138	72	5290	0	1968	20209	4197	
