Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	529	0	0	0	0	0	0	0	193	529	0	
4	8.39783e+006	887	16	0	0	0	0	0	0	374	903	16	
5	8.39728e+006	1281	56	120	0	0	0	0	0	554	1457	56	
6	8.3965e+006	1905	95	241	0	0	0	0	0	784	2241	95	
7	8.39525e+006	2958	142	387	0	0	0	0	0	1247	3487	142	
8	8.39338e+006	4455	236	667	0	0	0	0	0	1871	5358	236	
9	8.3906e+006	6682	376	1081	0	0	0	0	0	2781	8139	376	
10	8.38634e+006	10154	560	1665	0	0	0	16	0	4255	12394	576	
11	8.37992e+006	15324	835	2476	31	0	0	145	0	6417	18812	915	
12	8.37049e+006	22892	1262	3760	61	0	0	275	0	9439	28250	1401	
13	8.35629e+006	34308	1920	5690	97	0	0	432	0	14197	42448	2135	
14	8.33491e+006	51434	2877	8614	167	0	0	736	0	21381	63828	3242	
15	8.30309e+006	76838	4349	13005	280	0	0	1177	0	31821	95649	4933	
16	8.25556e+006	114931	6518	19491	432	0	0	1808	0	47532	143181	7411	
17	8.18496e+006	171329	9790	29171	646	17	15	2824	0	70595	213776	11184	
18	8.08051e+006	254401	14683	43788	974	28	20	4356	0	104453	318229	16809	
19	7.92682e+006	376268	21912	65598	1485	37	25	6617	0	153689	471918	25131	
20	7.70328e+006	552278	32766	98021	2235	58	35	10101	0	223542	695460	37650	
21	7.38275e+006	802214	48813	146152	3400	90	50	15322	0	320530	1.01599e+006	56242	
22	6.93189e+006	1.14862e+006	72636	217343	5089	133	70	23028	0	450860	1.46685e+006	83792	
23	6.3183e+006	1.60852e+006	107350	322120	7599	202	103	34646	0	613583	2.08043e+006	124126	
24	5.52024e+006	2.18304e+006	157752	473879	11447	307	150	52075	0	798064	2.8785e+006	183031	
