Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	174	473	478	0	0	
4	8.39799e+006	8.39801e+006	712	731	16	16	0	0	0	0	0	0	0	0	0	0	0	0	253	272	728	747	16	16	
5	8.39763e+006	8.39766e+006	916	950	49	56	104	111	0	0	0	0	0	0	0	0	0	0	343	369	1076	1110	49	56	
6	8.39718e+006	8.39724e+006	1195	1252	82	93	211	222	0	0	0	0	0	0	0	0	0	0	418	451	1499	1556	82	93	
7	8.39658e+006	8.39667e+006	1595	1676	121	136	340	353	0	0	0	0	0	0	0	0	0	0	562	604	2070	2152	122	136	
8	8.39582e+006	8.39594e+006	2067	2172	181	209	532	553	0	0	0	0	0	0	0	0	0	0	722	771	2800	2914	186	204	
9	8.39488e+006	8.39504e+006	2619	2750	258	305	796	827	0	0	0	0	0	0	0	0	0	0	892	949	3701	3854	271	292	
10	8.39374e+006	8.39396e+006	3276	3444	339	413	1111	1159	0	0	0	0	0	0	16	16	0	0	1074	1145	4781	4993	379	405	
11	8.39239e+006	8.39266e+006	4004	4201	435	540	1430	1496	24	32	0	0	0	0	128	136	0	0	1290	1363	6080	6346	546	577	
12	8.39085e+006	8.39117e+006	4758	4980	571	717	1863	1955	50	61	0	0	0	0	243	254	0	0	1470	1555	7564	7889	750	790	
13	8.38914e+006	8.38955e+006	5477	5749	734	931	2407	2532	82	95	0	0	0	0	380	394	0	0	1611	1717	9184	9597	999	1050	
14	8.38725e+006	8.38774e+006	6205	6500	910	1168	3031	3191	131	149	0	0	0	0	587	608	0	0	1799	1900	10994	11485	1308	1377	
15	8.38531e+006	8.38589e+006	6763	7085	1141	1450	3731	3920	199	218	0	0	0	0	867	901	0	0	1847	1948	12851	13424	1689	1778	
16	8.38338e+006	8.38403e+006	7133	7481	1393	1746	4525	4735	288	312	0	0	0	0	1202	1253	0	0	1842	1949	14705	15361	2133	2244	
17	8.38198e+006	8.3827e+006	6844	7166	1623	2051	5317	5569	373	400	14	18	13	16	1673	1743	0	0	1323	1402	16039	16752	2616	2755	
18	8.38044e+006	8.38121e+006	6519	6826	1857	2335	6147	6427	490	523	23	28	18	21	2277	2375	0	0	1478	1555	17526	18299	3165	3332	
19	8.37873e+006	8.37958e+006	6294	6594	2081	2614	6856	7169	626	671	31	38	22	26	3029	3160	0	0	1622	1716	19157	20006	3765	3958	
20	8.37711e+006	8.37803e+006	5990	6278	2259	2827	7438	7768	780	835	46	55	28	33	3937	4121	0	0	1537	1634	20704	21630	4377	4606	
21	8.37541e+006	8.37642e+006	6268	6582	2252	2826	7475	7812	963	1024	66	77	38	45	5035	5262	0	0	1602	1707	22318	23324	4886	5133	
22	8.37368e+006	8.37477e+006	6430	6771	2252	2830	7474	7816	1167	1233	90	103	49	57	6289	6571	0	0	1637	1746	23969	25057	5474	5742	
23	8.37191e+006	8.37308e+006	6481	6833	2266	2835	7472	7810	1367	1442	120	134	62	72	7680	8037	0	0	1671	1780	25652	26825	6130	6427	
24	8.37016e+006	8.37142e+006	6601	6956	2216	2789	7254	7596	1574	1659	161	177	80	92	9242	9666	0	0	1655	1760	27318	28573	6792	7120	
25	8.36842e+006	8.36975e+006	6653	7004	2141	2722	7077	7427	1759	1854	209	229	104	118	10865	11358	0	0	1656	1752	28983	30316	7460	7817	
26	8.3667e+006	8.36812e+006	6638	6995	2096	2677	6916	7271	1926	2029	268	293	130	146	12492	13057	0	0	1626	1733	30619	32039	8150	8538	
27	8.36501e+006	8.36651e+006	6560	6916	2169	2783	7179	7554	1936	2042	324	353	149	169	13747	14361	13	16	1595	1699	32225	33728	8757	9170	
28	8.3633e+006	8.36489e+006	6516	6872	2201	2841	7318	7706	1931	2038	400	432	180	203	15160	15830	16	19	1608	1718	33846	35433	9379	9824	
29	8.36155e+006	8.36322e+006	6521	6887	2194	2839	7357	7746	1936	2045	481	518	215	240	16699	17444	19	22	1657	1770	35518	37189	10018	10492	
30	8.35978e+006	8.36154e+006	6565	6932	2205	2864	7428	7827	1892	1996	574	615	258	284	18194	19015	22	26	1670	1779	37198	38957	10656	11162	
31	8.35803e+006	8.35987e+006	6627	6992	2202	2862	7425	7821	1849	1954	659	706	297	327	19763	20656	25	31	1656	1761	38869	40703	11286	11826	
32	8.35625e+006	8.35817e+006	6697	7073	2202	2865	7395	7791	1791	1889	737	789	334	365	21385	22364	31	38	1683	1793	40564	42485	11927	12498	
