Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	475	0	0	0	0	0	0	0	171	475	0	
4	8.398e+006	721	16	0	0	0	0	0	0	262	737	16	
5	8.39764e+006	933	52	108	0	0	0	0	0	356	1093	52	
6	8.39721e+006	1223	87	217	0	0	0	0	0	434	1527	87	
7	8.39663e+006	1636	129	347	0	0	0	0	0	583	2111	129	
8	8.39588e+006	2120	195	542	0	0	0	0	0	747	2857	195	
9	8.39496e+006	2684	281	812	0	0	0	0	0	920	3777	281	
10	8.39385e+006	3360	376	1135	0	0	0	16	0	1110	4887	392	
11	8.39252e+006	4103	488	1463	28	0	0	132	0	1326	6213	561	
12	8.39101e+006	4869	644	1909	56	0	0	248	0	1513	7726	770	
13	8.38935e+006	5613	833	2469	88	0	0	387	0	1664	9390	1024	
14	8.3875e+006	6352	1039	3111	140	0	0	597	0	1849	11240	1343	
15	8.3856e+006	6924	1295	3825	209	0	0	884	0	1898	13137	1734	
16	8.3837e+006	7307	1569	4630	300	0	0	1228	0	1896	15033	2188	
17	8.38234e+006	7005	1837	5443	386	16	15	1708	0	1363	16396	2686	
18	8.38082e+006	6673	2096	6287	506	25	20	2326	0	1516	17912	3248	
19	8.37915e+006	6444	2348	7012	648	35	24	3094	0	1669	19582	3861	
20	8.37757e+006	6134	2543	7603	807	51	31	4029	0	1585	21167	4492	
21	8.37592e+006	6425	2539	7643	993	71	42	5149	0	1654	22821	5010	
22	8.37422e+006	6600	2541	7645	1200	97	53	6430	0	1692	24513	5608	
23	8.3725e+006	6657	2551	7641	1405	127	67	7859	0	1726	26238	6279	
24	8.37079e+006	6779	2503	7425	1617	169	86	9454	0	1707	27946	6956	
25	8.36909e+006	6828	2432	7252	1806	219	111	11112	0	1704	29650	7639	
26	8.36741e+006	6816	2386	7094	1978	281	138	12775	0	1680	31329	8344	
27	8.36576e+006	6738	2476	7366	1989	339	159	14054	14	1647	32976	8964	
28	8.3641e+006	6694	2521	7512	1984	416	191	15495	18	1663	34639	9601	
29	8.36238e+006	6704	2517	7551	1991	500	228	17071	20	1714	36353	10255	
30	8.36066e+006	6748	2535	7628	1944	594	271	18605	24	1724	38078	10909	
31	8.35895e+006	6810	2532	7623	1902	682	312	20209	28	1708	39786	11556	
32	8.35721e+006	6885	2533	7593	1840	763	350	21875	35	1738	41524	12212	
33	8.35607e+006	6315	2538	7577	1914	813	373	23470	42	1144	42668	12898	
34	8.35489e+006	5766	2547	7585	1942	852	390	25100	52	1176	43844	13576	
35	8.35373e+006	5218	2561	7576	1947	892	409	26746	64	1160	45004	14261	
36	8.35264e+006	4570	2581	7614	1960	923	426	28369	77	1090	46094	14949	
37	8.35159e+006	4482	2460	7232	1953	939	432	29991	92	1055	47150	15472	
38	8.35057e+006	4325	2333	6871	1955	946	437	31627	112	1019	48169	16008	
39	8.34959e+006	4138	2193	6458	1950	954	444	33313	136	973	49142	16545	
40	8.34866e+006	3985	2026	5990	1966	940	442	35010	162	937	50079	17067	
41	8.3478e+006	3791	1855	5508	1983	925	434	36689	188	861	50941	17588	
42	8.347e+006	3572	1721	4924	1999	912	431	38400	214	801	51741	18144	
43	8.34626e+006	3330	1725	4749	1910	921	438	39606	231	731	52472	18601	
44	8.34554e+006	3115	1711	4525	1820	932	446	40841	251	722	53195	19053	
45	8.34485e+006	2945	1688	4249	1708	940	447	42084	272	691	53886	19486	
46	8.34421e+006	2782	1658	3989	1585	945	448	43271	293	637	54523	19883	
47	8.34358e+006	2680	1605	3718	1436	950	454	44450	314	629	55152	20241	
48	8.34301e+006	2536	1519	3507	1294	959	460	45581	334	578	55730	20600	
49	8.34247e+006	2385	1435	3309	1266	922	445	46594	360	541	56271	20943	
50	8.34193e+006	2288	1347	3097	1224	893	430	47579	383	540	56811	21272	
51	8.34143e+006	2157	1270	2941	1177	858	415	48502	404	498	57309	21582	
52	8.34095e+006	2055	1198	2791	1117	829	394	49369	427	476	57785	21862	
53	8.34052e+006	1947	1152	2648	1062	789	371	50174	448	433	58218	22131	
54	8.34008e+006	1847	1100	2516	1007	760	355	50959	470	439	58658	22396	
55	8.33966e+006	1764	1040	2383	948	717	333	51726	496	415	59073	22641	
56	8.33928e+006	1672	982	2280	882	670	310	52448	523	385	59458	22865	
57	8.3389e+006	1614	924	2143	832	621	284	53148	550	375	59833	23086	
58	8.33855e+006	1529	883	2044	784	564	255	53806	577	354	60186	23296	
59	8.33819e+006	1469	839	1963	744	539	242	54396	593	355	60542	23488	
60	8.33786e+006	1418	788	1859	697	514	227	54990	610	334	60875	23677	
61	8.33756e+006	1346	755	1768	655	495	218	55536	623	303	61178	23860	
62	8.33725e+006	1296	715	1686	624	469	210	56053	639	304	61483	24026	
63	8.33696e+006	1231	691	1632	580	457	207	56531	650	290	61773	24193	
64	8.33668e+006	1186	661	1556	556	420	192	57017	663	288	62061	24353	
65	8.33641e+006	1149	635	1470	528	396	183	57474	675	266	62328	24502	
66	8.33615e+006	1100	606	1419	507	372	172	57892	686	255	62583	24647	
67	8.33591e+006	1055	605	1335	489	355	166	58291	698	245	62828	24816	
68	8.33566e+006	1010	628	1247	463	340	158	58673	710	244	63072	24986	
69	8.33543e+006	978	622	1164	449	326	152	59045	721	234	63305	25138	
70	8.33521e+006	941	619	1089	434	304	144	59403	734	219	63524	25285	
71	8.33499e+006	924	625	1024	417	286	135	59733	743	227	63751	25423	
72	8.33478e+006	883	638	951	396	271	128	60064	751	203	63954	25564	
73	8.33449e+006	946	618	914	372	256	122	60385	760	297	64251	25691	
74	8.3342e+006	1009	579	884	358	252	118	60684	767	282	64533	25800	
75	8.33394e+006	1047	563	861	342	242	113	60968	776	265	64798	25919	
76	8.33368e+006	1098	542	829	322	234	110	61245	781	254	65053	26026	
77	8.33341e+006	1071	564	860	315	221	103	61504	788	269	65322	26179	
78	8.33314e+006	1065	573	889	309	208	98	61760	795	276	65598	26318	
79	8.33287e+006	1065	580	912	298	196	92	62012	800	265	65863	26448	
80	8.33259e+006	1089	603	926	282	190	88	62247	805	279	66142	26575	
