Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	88	72	0	0	0	0	0	400	1162	88	
6	8.39703e+006	1400	159	145	0	0	0	0	0	542	1704	159	
7	8.39625e+006	2015	243	232	0	0	0	0	0	786	2491	243	
8	8.39512e+006	2857	386	376	0	0	0	0	0	1129	3619	386	
9	8.39354e+006	4030	585	577	0	0	0	0	0	1573	5192	585	
10	8.39131e+006	5725	850	838	0	0	0	16	0	2237	7429	866	
11	8.38815e+006	8097	1184	1146	28	0	0	132	0	3158	10587	1284	
12	8.38378e+006	11342	1676	1639	56	0	0	248	0	4374	14961	1850	
13	8.37772e+006	15821	2381	2335	88	0	0	388	0	6052	21013	2658	
14	8.36913e+006	22180	3379	3288	145	0	0	618	0	8595	29609	3835	
15	8.3572e+006	30944	4743	4682	224	0	0	939	0	11923	41532	5439	
16	8.34063e+006	43145	6632	6625	334	0	0	1370	0	16574	58106	7662	
17	8.31731e+006	60408	9258	9265	462	16	15	2012	0	23316	81422	10767	
18	8.28494e+006	84187	12983	13007	654	25	20	2940	0	32374	113796	15171	
19	8.23992e+006	117286	18134	18206	914	35	24	4244	0	45022	158817	21254	
20	8.17773e+006	162897	25310	25367	1302	52	31	6075	0	62186	221003	29767	
21	8.09176e+006	225559	35378	35456	1825	74	43	8688	0	85977	306981	41693	
22	7.97338e+006	311560	49416	49418	2566	105	56	12290	0	118374	425355	58324	
23	7.81187e+006	428048	68863	68941	3615	149	77	17250	0	161510	586865	81388	
24	7.59312e+006	584612	95700	95694	5073	209	106	24327	0	218750	805615	113339	
25	7.30049e+006	791269	132739	132710	7102	292	146	34137	0	292635	1.09825e+006	157474	
26	6.91568e+006	1.0577e+006	183517	183732	9909	425	203	47772	0	384804	1.48305e+006	218228	
27	6.42113e+006	1.39075e+006	252613	252830	13833	583	269	66991	14	494557	1.97761e+006	301239	
28	5.8055e+006	1.78762e+006	345788	346032	19269	825	380	93683	18	615627	2.59324e+006	413748	
29	5.0699e+006	2.23059e+006	469520	469913	26780	1163	538	130854	20	735599	3.32884e+006	564231	
30	4.28172e+006	2.63397e+006	630799	631252	37206	1636	766	182136	24	788184	4.11702e+006	762677	
31	3.48347e+006	2.93766e+006	835202	835429	51624	2284	1072	253044	29	798246	4.91527e+006	1.01845e+006	
32	2.72802e+006	3.07748e+006	1.08391e+006	1.08398e+006	71341	3174	1481	350804	36	755453	5.67072e+006	1.33767e+006	
33	2.06842e+006	3.00148e+006	1.37074e+006	1.37123e+006	98233	4424	2060	484161	47	659599	6.33032e+006	1.72103e+006	
34	1.53384e+006	2.74788e+006	1.65546e+006	1.65595e+006	134448	6188	2872	664917	62	534581	6.8649e+006	2.13627e+006	
35	1.12765e+006	2.35582e+006	1.90818e+006	1.90884e+006	182615	8618	3994	906934	82	406184	7.27108e+006	2.56358e+006	
36	835063	1.89295e+006	2.09362e+006	2.09405e+006	245349	11965	5511	1.22563e+006	114	292589	7.56367e+006	2.97879e+006	
37	632427	1.43599e+006	2.17578e+006	2.17693e+006	324898	16611	7657	1.63595e+006	157	202636	7.76631e+006	3.35649e+006	
38	496182	1.03765e+006	2.13501e+006	2.13665e+006	421710	22975	10578	2.14833e+006	219	136245	7.90255e+006	3.68331e+006	
39	406858	720794	1.97038e+006	1.97187e+006	533157	31675	14565	2.7637e+006	308	89323	7.99188e+006	3.95787e+006	
40	349802	485261	1.72257e+006	1.72408e+006	643852	43361	19926	3.42938e+006	426	57057	8.04893e+006	4.18114e+006	
41	314436	317991	1.42497e+006	1.42607e+006	742179	59091	27198	4.11341e+006	592	35366	8.0843e+006	4.35989e+006	
42	293604	202578	1.12217e+006	1.10966e+006	814462	79663	36639	4.77578e+006	816	20832	8.10513e+006	4.50836e+006	
43	283186	123673	841783	819775	846269	105944	48720	5.37698e+006	1130	10419	8.11555e+006	4.62175e+006	
44	275720	74082	606056	577978	830346	138588	63697	5.89439e+006	1576	7466	8.12302e+006	4.70523e+006	
45	270531	43905	422545	390671	766205	177020	81384	6.32568e+006	2176	5189	8.12821e+006	4.76429e+006	
46	267058	26546	287676	253783	669933	217454	100017	6.67328e+006	3006	3473	8.13168e+006	4.80442e+006	
47	264772	18413	192058	157183	554162	257201	118251	6.95077e+006	4175	2286	8.13396e+006	4.82997e+006	
48	263283	12437	121127	99335	433495	292853	134663	7.17043e+006	5780	1489	8.13545e+006	4.84601e+006	
49	262370	8161	74817	61511	322794	320645	147414	7.34048e+006	7959	913	8.13637e+006	4.85663e+006	
50	261803	5256	45425	37318	230067	338197	155496	7.46972e+006	10951	567	8.13693e+006	4.86354e+006	
51	261447	3325	27262	22401	158227	344405	158246	7.56676e+006	14908	356	8.13729e+006	4.86788e+006	
52	261229	2054	16650	13671	105376	339235	155892	7.64039e+006	20131	219	8.13751e+006	4.87053e+006	
53	261100	1271	11442	9373	67944	322984	148428	7.69784e+006	26786	129	8.13764e+006	4.87195e+006	
54	261003	800	7641	6276	42925	296168	136129	7.74884e+006	35082	97	8.13773e+006	4.87289e+006	
55	260945	502	5003	4081	26544	260224	119594	7.79644e+006	44998	58	8.13779e+006	4.87355e+006	
56	260907	322	3212	2617	16087	219540	100872	7.84041e+006	55641	38	8.13783e+006	4.87397e+006	
57	260881	219	2030	1643	9630	176971	81342	7.88093e+006	66431	26	8.13786e+006	4.87424e+006	
58	260866	137	1263	1017	5839	135855	62418	7.91715e+006	76610	15	8.13787e+006	4.87441e+006	
59	260857	88	786	640	4011	99593	45782	7.94726e+006	85506	9	8.13788e+006	4.87452e+006	
60	260850	56	496	400	2686	70272	32293	7.97136e+006	92615	7	8.13789e+006	4.8746e+006	
61	260846	35	310	256	1741	47955	22087	7.98958e+006	98012	4	8.13789e+006	4.87464e+006	
62	260844	22	196	166	1109	31832	14668	8.00262e+006	101946	2	8.13789e+006	4.87467e+006	
63	260842	16	130	112	707	20633	9509	8.01161e+006	104685	2	8.13789e+006	4.87468e+006	
