Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39827e+006	465	0	0	0	0	0	0	0	161	465	0	
4	8.39811e+006	614	16	0	0	0	0	0	0	164	630	16	
5	8.39792e+006	656	88	72	0	0	0	0	0	186	816	88	
6	8.39772e+006	716	159	145	0	0	0	0	0	204	1020	159	
7	8.39749e+006	778	239	227	0	0	0	0	0	224	1244	239	
8	8.39724e+006	869	320	310	0	0	0	0	0	255	1498	320	
9	8.39697e+006	946	413	403	0	0	0	0	0	263	1762	413	
10	8.39668e+006	1036	499	504	0	0	0	16	0	294	2056	515	
11	8.39634e+006	1150	539	545	28	0	0	132	0	338	2394	638	
12	8.396e+006	1234	605	589	56	0	0	248	0	339	2733	779	
13	8.39564e+006	1338	655	642	86	0	0	379	0	367	3100	926	
14	8.39525e+006	1429	728	698	118	0	0	512	0	385	3485	1099	
15	8.39484e+006	1500	812	766	154	0	0	661	0	409	3894	1302	
16	8.3944e+006	1602	873	840	193	0	0	827	0	440	4335	1484	
17	8.39395e+006	1684	951	906	210	16	15	1017	0	450	4784	1699	
18	8.39349e+006	1761	1006	981	231	25	20	1243	0	461	5246	1911	
19	8.393e+006	1845	1081	1051	250	34	24	1478	0	493	5739	2137	
20	8.39259e+006	1808	1150	1128	287	44	28	1726	0	404	6143	2389	
21	8.39215e+006	1803	1193	1197	315	55	33	2024	0	444	6587	2640	
22	8.39169e+006	1796	1258	1256	341	66	39	2326	0	455	7042	2909	
23	8.39124e+006	1759	1320	1319	372	78	45	2650	0	456	7498	3205	
24	8.39076e+006	1837	1336	1322	397	91	50	2998	0	482	7980	3450	
25	8.39028e+006	1871	1359	1334	426	105	57	3363	0	478	8458	3710	
26	8.38978e+006	1912	1370	1338	441	124	66	3769	0	496	8954	3984	
27	8.38931e+006	1933	1380	1333	459	127	60	4184	14	477	9431	4259	
28	8.38882e+006	1940	1397	1337	486	137	64	4606	18	489	9920	4547	
29	8.3883e+006	1976	1382	1337	501	152	72	5065	20	514	10434	4824	
30	8.3878e+006	1982	1420	1391	514	162	77	5443	23	502	10936	5108	
31	8.38728e+006	2021	1429	1414	521	171	80	5869	26	516	11452	5381	
32	8.38676e+006	2053	1432	1445	531	185	86	6298	28	521	11973	5659	
33	8.38623e+006	2074	1450	1486	532	197	89	6737	31	535	12508	5944	
34	8.38571e+006	2091	1450	1506	528	212	98	7205	35	520	13027	6230	
35	8.38517e+006	2112	1462	1531	534	223	104	7661	39	536	13563	6527	
36	8.38464e+006	2128	1473	1546	547	230	105	8134	43	538	14101	6836	
37	8.38409e+006	2137	1505	1572	548	234	107	8602	47	544	14645	7148	
38	8.38355e+006	2163	1527	1580	546	243	109	9079	52	545	15190	7450	
39	8.38299e+006	2184	1554	1575	565	240	108	9570	58	557	15747	7775	
40	8.38241e+006	2225	1576	1589	571	246	113	10057	62	579	16326	8085	
41	8.38184e+006	2248	1607	1586	571	254	115	10559	68	566	16892	8413	
42	8.38127e+006	2272	1648	1569	575	259	119	11066	73	570	17462	8763	
43	8.3807e+006	2293	1686	1553	593	262	121	11574	78	578	18040	9122	
44	8.38011e+006	2304	1746	1553	598	262	120	12084	84	590	18630	9492	
45	8.37954e+006	2308	1778	1551	597	265	122	12610	91	570	19200	9846	
46	8.37894e+006	2329	1825	1536	608	269	123	13127	97	591	19792	10212	
47	8.37836e+006	2334	1860	1536	623	278	127	13641	103	583	20374	10579	
48	8.37776e+006	2345	1893	1547	626	280	128	14176	108	601	20976	10955	
49	8.37716e+006	2379	1901	1552	637	285	131	14711	114	604	21579	11320	
50	8.37656e+006	2388	1909	1556	660	290	132	15257	120	601	22180	11699	
51	8.37594e+006	2424	1918	1564	673	292	134	15802	126	618	22798	12065	
52	8.37532e+006	2439	1945	1568	683	292	133	16355	133	616	23415	12456	
53	8.3747e+006	2458	1960	1580	682	295	135	16923	140	622	24037	12834	
54	8.37406e+006	2492	1953	1596	687	297	137	17501	145	635	24672	13208	
55	8.37343e+006	2513	1969	1629	684	299	136	18064	154	639	25311	13591	
56	8.37279e+006	2529	1982	1641	677	306	141	18648	160	633	25944	13978	
57	8.37215e+006	2554	2000	1662	674	308	143	19224	168	647	26591	14362	
58	8.37152e+006	2544	2012	1684	670	314	146	19816	176	625	27216	14763	
59	8.37087e+006	2560	2036	1696	679	318	147	20400	183	655	27871	15170	
60	8.3702e+006	2597	2056	1708	688	322	149	20980	191	671	28541	15570	
61	8.36953e+006	2612	2076	1716	699	326	149	21575	198	661	29203	15976	
62	8.36887e+006	2653	2077	1724	707	327	149	22176	204	667	29869	16369	
63	8.3682e+006	2669	2093	1741	712	331	151	22782	212	670	30540	16769	
64	8.36753e+006	2662	2106	1763	731	333	153	23388	219	664	31203	17191	
65	8.36683e+006	2705	2116	1775	731	334	155	24020	226	705	31908	17608	
66	8.36615e+006	2721	2142	1784	735	330	155	24643	235	683	32591	18036	
67	8.36546e+006	2735	2229	1720	736	332	157	25278	244	684	33274	18531	
68	8.36476e+006	2772	2320	1668	733	333	158	25896	254	701	33975	19020	
69	8.36406e+006	2772	2420	1617	748	336	158	26527	260	704	34680	19532	
70	8.36333e+006	2811	2494	1556	744	336	158	27193	268	722	35402	20031	
71	8.36263e+006	2833	2581	1491	753	338	163	27834	277	706	36108	20538	
72	8.36191e+006	2852	2665	1440	761	343	166	28480	285	719	36827	21045	
73	8.36118e+006	2878	2676	1464	768	344	166	29134	294	731	37558	21538	
74	8.36045e+006	2889	2709	1490	776	344	167	29780	303	733	38291	22051	
75	8.3597e+006	2930	2719	1480	782	350	168	30464	311	746	39037	22558	
76	8.35897e+006	2937	2753	1484	791	352	166	31128	319	727	39764	23082	
77	8.35824e+006	2937	2780	1504	796	357	168	31795	327	731	40494	23602	
78	8.35748e+006	2967	2807	1509	806	357	167	32476	337	763	41258	24134	
79	8.35674e+006	2959	2838	1519	817	364	172	33154	345	739	41996	24664	
80	8.35599e+006	2982	2849	1513	834	368	177	33848	352	750	42746	25191	
81	8.35522e+006	3022	2867	1520	833	371	177	34544	359	770	43516	25718	
