Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39714e+006	8.39714e+006	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1600	0	0	
1	8.39698e+006	8.39698e+006	1760	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1760	1760	0	0	
2	8.39682e+006	8.39682e+006	1920	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1920	1920	0	0	
3	8.39592e+006	8.39596e+006	2779	2821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	901	2779	2821	0	0	
4	8.39495e+006	8.39501e+006	2124	2184	802	828	772	798	0	0	0	0	0	0	0	0	0	0	930	976	3724	3784	802	828	
5	8.3939e+006	8.39398e+006	3001	3080	880	907	853	880	0	0	0	0	0	0	0	0	0	0	1026	1067	4761	4840	880	907	
6	8.39245e+006	8.39256e+006	4257	4365	962	990	930	958	0	0	0	0	0	0	0	0	0	0	1401	1461	6177	6285	962	990	
7	8.39051e+006	8.39067e+006	5277	5416	1394	1458	1351	1398	0	0	0	0	0	0	0	0	0	0	1877	1955	8066	8228	1405	1448	
8	8.38812e+006	8.38832e+006	6681	6847	1863	1949	1817	1879	0	0	0	0	0	0	0	0	0	0	2329	2413	10415	10621	1880	1932	
9	8.38507e+006	8.38534e+006	8626	8840	2374	2477	2341	2408	0	0	0	0	0	0	0	0	0	0	2966	3065	13400	13667	2394	2457	
10	8.3811e+006	8.38144e+006	11106	11368	2265	2397	2262	2338	279	299	0	0	0	0	1301	1321	0	0	3875	3994	17296	17640	3249	3330	
11	8.37668e+006	8.37715e+006	13502	13845	3131	3321	3111	3210	306	327	0	0	0	0	1433	1454	0	0	4275	4430	21586	22054	4222	4328	
12	8.37095e+006	8.37156e+006	16751	17184	4196	4434	4224	4343	338	359	0	0	0	0	1561	1582	0	0	5578	5754	27181	27790	5393	5526	
13	8.36341e+006	8.3642e+006	21123	21681	5211	5495	5311	5449	512	541	0	0	0	0	2251	2297	0	0	7338	7561	34540	35330	6962	7124	
14	8.35419e+006	8.35522e+006	26204	26920	6684	7035	6770	6939	694	730	0	0	0	0	3013	3070	0	0	8959	9229	43517	44542	9017	9224	
15	8.34279e+006	8.3441e+006	33036	33913	8276	8749	8391	8623	893	932	0	0	0	0	3852	3923	0	0	11098	11432	54640	55949	11261	11530	
16	8.32834e+006	8.33002e+006	41519	42628	10295	10895	10518	10800	881	923	91	104	50	59	5183	5281	0	0	14059	14470	68717	70401	14160	14498	
17	8.31033e+006	8.31252e+006	51657	53093	12963	13717	13275	13622	1214	1268	98	111	53	62	6729	6874	0	0	17478	18025	86214	88407	17993	18428	
18	8.28802e+006	8.29082e+006	64380	66191	16240	17200	16570	17013	1634	1696	106	120	57	66	8648	8832	0	0	21682	22327	107915	110716	22706	23255	
19	8.26009e+006	8.26363e+006	80447	82711	20281	21495	20595	21151	2027	2098	155	172	78	91	11187	11428	0	0	27172	27945	135104	138643	28580	29284	
20	8.22558e+006	8.23002e+006	99979	102771	25242	26787	25725	26429	2623	2713	205	225	102	115	14435	14734	0	0	33589	34532	168713	173155	35970	36870	
21	8.18278e+006	8.18833e+006	124177	127563	31768	33751	32278	33184	3257	3364	265	286	129	143	18028	18439	0	0	41676	42817	210408	215953	45187	46338	
22	8.12952e+006	8.13645e+006	154354	158515	39698	42207	40307	41447	4052	4193	344	367	163	181	22752	23264	0	0	51855	53283	262284	269216	56552	58039	
23	8.06363e+006	8.07232e+006	191292	196476	49438	52560	50234	51645	5129	5300	447	475	210	232	28931	29587	0	0	64110	65906	326412	335103	70855	72726	
24	7.9826e+006	7.9933e+006	236706	242998	61489	65350	62624	64346	6461	6668	581	613	269	294	36444	37291	0	0	79002	81055	405435	416137	88483	90849	
25	7.883e+006	7.89617e+006	292141	299802	76533	81313	77894	80032	8054	8303	752	790	348	376	45799	46892	0	0	97114	99618	502568	515736	110473	113422	
26	7.76064e+006	7.7768e+006	359632	368902	95128	101056	96761	99436	10018	10308	876	925	397	430	57751	59166	34	40	119338	122392	621933	638101	137816	141460	
27	7.61187e+006	7.63166e+006	440642	451779	118028	125350	120109	123407	12575	12966	1113	1166	503	541	72449	74274	36	42	145120	148782	767073	786863	171562	176137	
28	7.43208e+006	7.45608e+006	537205	550540	146143	155034	148876	152888	15749	16220	1411	1477	648	690	90677	93015	37	44	175560	179820	942657	966659	213105	218708	
29	7.21582e+006	7.24467e+006	651481	667201	180621	191465	183777	188694	19572	20119	1782	1861	827	874	113661	116641	51	60	211386	216284	1.15407e+006	1.18292e+006	264297	271158	
30	6.95904e+006	6.99321e+006	783569	801622	222900	236104	226578	232584	24328	25008	2244	2335	1050	1105	142039	145777	63	74	251426	256813	1.40553e+006	1.4397e+006	327238	335657	
31	6.65708e+006	6.6972e+006	934437	954817	273827	289869	278290	285589	30288	31172	2807	2916	1304	1368	177198	181817	76	87	295980	301985	1.70153e+006	1.74166e+006	403950	414267	
32	6.3072e+006	6.35328e+006	1.10277e+006	1.12491e+006	334686	353867	340293	348971	37655	38747	3493	3623	1625	1700	220996	226783	95	108	343890	349910	2.04545e+006	2.09154e+006	496675	509260	
33	5.90756e+006	5.95992e+006	1.28472e+006	1.30828e+006	407348	429991	413949	424183	46724	48034	4376	4545	2031	2123	275141	282439	120	135	393325	399672	2.43882e+006	2.49117e+006	608597	623752	
34	5.46115e+006	5.51929e+006	1.47388e+006	1.49792e+006	492618	518957	500109	511970	57767	59343	5479	5680	2543	2651	341983	350999	151	169	440579	446463	2.87944e+006	2.93759e+006	741863	759891	
35	4.97341e+006	5.03631e+006	1.66085e+006	1.6837e+006	591012	621228	599546	613100	71374	73327	6797	7031	3159	3285	424147	435222	193	213	482921	487792	3.36242e+006	3.42532e+006	899422	920708	
36	4.45356e+006	4.51987e+006	1.83335e+006	1.8537e+006	702401	735905	711841	726811	88025	90383	8444	8721	3908	4054	525160	538783	246	271	516319	519977	3.87886e+006	3.94518e+006	1.08298e+006	1.10758e+006	
37	3.91607e+006	3.98387e+006	1.97596e+006	1.99159e+006	825568	862037	836073	852373	108103	110875	10548	10890	4855	5027	648060	664822	306	333	535786	537704	4.41487e+006	4.48266e+006	1.29358e+006	1.32161e+006	
38	3.37906e+006	3.44587e+006	2.07325e+006	2.08227e+006	957845	996060	968395	985413	132184	135525	13182	13584	6055	6260	796851	817198	380	411	536712	538304	4.95287e+006	5.01968e+006	1.53108e+006	1.56252e+006	
39	2.86079e+006	2.92432e+006	2.11094e+006	2.11367e+006	1.09354e+006	1.13166e+006	1.10429e+006	1.12126e+006	160842	164856	16330	16808	7518	7760	976354	1.00079e+006	485	523	518161	521653	5.47442e+006	5.53794e+006	1.79289e+006	1.82725e+006	
40	2.37912e+006	2.43732e+006	2.0742e+006	2.08279e+006	1.22655e+006	1.26254e+006	1.23687e+006	1.25286e+006	194437	199135	20198	20789	9266	9567	1.19022e+006	1.21918e+006	613	655	481600	487069	5.96142e+006	6.01962e+006	2.07538e+006	2.11205e+006	
41	1.94763e+006	1.99882e+006	1.96834e+006	1.98515e+006	1.34781e+006	1.37888e+006	1.3569e+006	1.37075e+006	233014	238422	25021	25741	11471	11830	1.44268e+006	1.47675e+006	761	808	431455	438532	6.39991e+006	6.45111e+006	2.37209e+006	2.41006e+006	
42	1.57512e+006	1.61857e+006	1.80386e+006	1.82738e+006	1.47367e+006	1.49704e+006	1.42723e+006	1.43762e+006	276846	282820	30942	31813	14180	14614	1.73666e+006	1.77597e+006	942	1000	372467	380298	6.78017e+006	6.82361e+006	2.70141e+006	2.73953e+006	
43	1.2646e+006	1.30038e+006	1.59615e+006	1.624e+006	1.56652e+006	1.57959e+006	1.46514e+006	1.47112e+006	325163	331719	38035	39045	17432	17933	2.07437e+006	2.11923e+006	1176	1244	310502	318215	7.09836e+006	7.13414e+006	3.0265e+006	3.06339e+006	
44	1.01298e+006	1.04171e+006	1.3661e+006	1.39565e+006	1.61554e+006	1.6198e+006	1.46312e+006	1.46554e+006	376649	383572	46630	47853	21443	22022	2.45462e+006	2.50468e+006	1478	1550	251595	258689	7.35703e+006	7.38576e+006	3.33725e+006	3.37175e+006	
45	814969	837475	1.13263e+006	1.16138e+006	1.60741e+006	1.62076e+006	1.41487e+006	1.42024e+006	429367	436284	57003	58475	26199	26894	2.87414e+006	2.92871e+006	1842	1926	197993	204250	7.56126e+006	7.58377e+006	3.62518e+006	3.65621e+006	
46	661978	679189	913115	939408	1.54929e+006	1.57459e+006	1.3228e+006	1.33307e+006	480941	487462	69138	70852	31766	32578	3.32643e+006	3.38457e+006	2278	2378	152970	158307	7.71955e+006	7.73676e+006	3.88474e+006	3.91184e+006	
47	545747	558789	718818	741617	1.44877e+006	1.48403e+006	1.19388e+006	1.2083e+006	527372	533073	83290	85279	38302	39243	3.80127e+006	3.86145e+006	2833	2957	116211	120420	7.83995e+006	7.85299e+006	4.11185e+006	4.13484e+006	
48	458440	468261	554512	573474	1.29033e+006	1.33216e+006	1.06537e+006	1.08239e+006	565040	569422	99501	101733	45760	46814	4.28467e+006	4.34495e+006	3544	3686	87288	90548	7.93048e+006	7.9403e+006	4.30077e+006	4.31978e+006	
49	393577	400875	421358	436633	1.11351e+006	1.1585e+006	921194	939460	589964	592603	117917	120408	54195	55365	4.76194e+006	4.82055e+006	4405	4567	64842	67407	7.99786e+006	8.00516e+006	4.45888e+006	4.4742e+006	
50	345638	351011	316301	328216	932683	977659	773297	791636	598695	599860	138143	140852	63484	64759	5.21856e+006	5.2738e+006	5465	5657	47914	49889	8.04773e+006	8.0531e+006	4.58846e+006	4.60053e+006	
51	310310	314272	235391	244564	760263	802169	631152	648334	588236	590753	159625	162459	73399	74734	5.64283e+006	5.69331e+006	6791	7018	35304	36764	8.08446e+006	8.08843e+006	4.6933e+006	4.70247e+006	
52	284378	287303	174005	181015	604885	641829	502558	517717	559682	564217	181761	184617	83596	84945	6.02582e+006	6.07061e+006	8402	8675	25902	26998	8.11143e+006	8.11436e+006	4.77643e+006	4.78325e+006	
53	265454	267633	128060	133307	471264	502601	391874	404780	515769	522090	203461	206240	93612	94906	6.36246e+006	6.40146e+006	10350	10678	18895	19701	8.1311e+006	8.13328e+006	4.84148e+006	4.84646e+006	
54	251560	253249	94007	97834	360610	386333	300251	310844	460107	467661	223720	226227	102871	104042	6.65287e+006	6.68633e+006	12743	13126	13861	14416	8.14549e+006	8.14718e+006	4.89162e+006	4.89515e+006	
