Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39568e+006	3060	0	0	0	0	0	0	0	1140	3060	0	
4	8.39448e+006	2660	815	785	0	0	0	0	0	1200	4260	815	
5	8.39316e+006	3817	893	867	0	0	0	0	0	1316	5577	893	
6	8.39109e+006	5724	976	944	0	0	0	0	0	2067	7644	976	
7	8.38833e+006	7347	1554	1506	0	0	0	0	0	2763	10407	1554	
8	8.38477e+006	9709	2159	2101	0	0	0	0	0	3563	13970	2159	
9	8.37987e+006	13286	2813	2763	0	0	0	0	0	4893	18863	2813	
10	8.37326e+006	17833	3052	2992	289	0	0	1311	0	6615	25477	4010	
11	8.36535e+006	22979	4339	4307	316	0	0	1444	0	7908	33386	5388	
12	8.35449e+006	30278	6025	6024	348	0	0	1572	0	10862	44248	7170	
13	8.33966e+006	40212	7910	7893	578	0	0	2482	0	14827	59075	9758	
14	8.32058e+006	52682	10599	10618	808	0	0	3453	0	19084	78160	13156	
15	8.29564e+006	69714	13874	13936	1062	0	0	4514	0	24941	103100	17218	
16	8.26242e+006	92073	18258	18346	1183	97	54	6364	0	33221	136321	22834	
17	8.21886e+006	120801	24338	24330	1674	104	57	8628	0	43556	179877	30536	
18	8.16209e+006	158488	32082	32108	2331	113	61	11526	0	56772	236648	40395	
19	8.08775e+006	207883	42124	42114	3082	177	91	15604	0	74335	310983	53368	
20	7.99119e+006	271227	55425	55419	4132	241	120	21105	0	96565	407548	70590	
21	7.86642e+006	352445	73235	73256	5405	318	154	27663	0	124774	532321	93095	
22	7.70504e+006	457048	96202	96198	7121	436	208	36691	0	161375	693696	122552	
23	7.49924e+006	588512	125939	125969	9487	589	280	49000	0	205799	899495	161211	
24	7.23888e+006	752313	164586	164802	12504	791	374	64865	0	260366	1.15986e+006	211217	
25	6.91425e+006	952161	214525	214696	16423	1078	504	85600	0	324622	1.48448e+006	276100	
26	6.51594e+006	1.1891e+006	278607	278769	21568	1345	622	113371	37	398315	1.8828e+006	359894	
27	6.03739e+006	1.46185e+006	359695	359923	28528	1783	832	149527	39	478546	2.36134e+006	466910	
28	5.47805e+006	1.76083e+006	461407	461806	37458	2385	1121	196764	41	559346	2.92069e+006	602572	
29	4.84597e+006	2.06828e+006	586502	586998	49070	3132	1462	258724	58	632074	3.55276e+006	772145	
30	4.15915e+006	2.35679e+006	737699	737551	64070	4124	1925	339282	72	686824	4.23959e+006	980802	
31	3.44876e+006	2.58864e+006	914369	914653	83390	5474	2549	443363	94	710393	4.94998e+006	1.23209e+006	
32	2.7538e+006	2.72425e+006	1.11339e+006	1.1136e+006	108334	7196	3352	578045	121	694958	5.64494e+006	1.5274e+006	
33	2.11469e+006	2.73129e+006	1.32636e+006	1.32691e+006	139822	9467	4381	750048	159	639112	6.28405e+006	1.8632e+006	
34	1.56384e+006	2.59531e+006	1.53959e+006	1.54014e+006	179466	12458	5744	967731	205	550843	6.83489e+006	2.23168e+006	
35	1.11962e+006	2.32914e+006	1.73243e+006	1.73307e+006	228139	16358	7549	1.23971e+006	274	444226	7.27912e+006	2.61842e+006	
36	783004	1.97079e+006	1.88054e+006	1.8816e+006	286681	21372	9841	1.57438e+006	361	336612	7.61573e+006	3.00445e+006	
37	540953	1.57373e+006	1.9608e+006	1.96191e+006	355500	27930	12827	1.97744e+006	470	242051	7.85778e+006	3.37042e+006	
38	374490	1.18935e+006	1.95623e+006	1.95798e+006	432922	36301	16671	2.45084e+006	622	166463	8.02425e+006	3.69986e+006	
39	263559	856057	1.86256e+006	1.8638e+006	515979	46933	21566	2.98904e+006	814	110931	8.13518e+006	3.98362e+006	
40	190943	592061	1.68755e+006	1.6886e+006	598807	60536	27845	3.57917e+006	1075	72616	8.20779e+006	4.21912e+006	
41	143811	397142	1.4534e+006	1.45441e+006	673799	77252	35523	4.19751e+006	1417	47131	8.25493e+006	4.40868e+006	
42	113217	261273	1.19747e+006	1.18183e+006	731667	97598	44868	4.81381e+006	1869	30594	8.28552e+006	4.56793e+006	
43	93378	170180	939029	912097	762978	121807	55999	5.3968e+006	2462	19839	8.30536e+006	4.69123e+006	
44	80542	110401	703803	669096	761482	149868	68890	5.92033e+006	3214	12836	8.31819e+006	4.78491e+006	
45	72294	71517	507574	468230	724705	181030	83210	6.36916e+006	4226	8248	8.32644e+006	4.8542e+006	
46	66942	46275	356085	313701	656640	213961	98414	6.73961e+006	5526	5352	8.33179e+006	4.90406e+006	
47	63509	29869	246051	201523	565643	246658	113464	7.03827e+006	7217	3433	8.33523e+006	4.93869e+006	
48	61318	19224	161569	132380	462975	276408	127070	7.27546e+006	9402	2191	8.33742e+006	4.96032e+006	
49	59928	12366	105139	86125	360202	300818	138277	7.46197e+006	12185	1390	8.33881e+006	4.9745e+006	
50	59040	7902	68197	55804	266963	316963	145658	7.60817e+006	15702	888	8.3397e+006	4.98377e+006	
51	58478	5031	44190	36112	189863	323611	148704	7.72137e+006	20077	562	8.34026e+006	4.98972e+006	
52	58119	3199	28545	23354	130367	320182	147132	7.80949e+006	25479	359	8.34062e+006	4.9936e+006	
53	57893	2035	18387	15063	87080	307116	141144	7.87925e+006	31915	226	8.34084e+006	4.99614e+006	
54	57738	1302	11814	9688	57150	285211	131121	7.93637e+006	39468	155	8.341e+006	4.9978e+006	
55	57640	838	7624	6192	37194	256054	117705	7.98518e+006	48019	98	8.3411e+006	4.99883e+006	
56	57578	541	4858	3965	24179	221766	101868	8.02854e+006	57308	63	8.34116e+006	4.99949e+006	
57	57534	359	3099	2516	15695	184716	84831	8.0679e+006	66916	44	8.3412e+006	4.99992e+006	
58	57507	232	1978	1602	10148	147688	67893	8.10335e+006	76232	28	8.34123e+006	5.0002e+006	
59	57487	153	1265	1023	6547	112942	51929	8.13444e+006	84883	19	8.34125e+006	5.00039e+006	
60	57476	102	810	653	4198	82858	38105	8.16038e+006	92261	11	8.34126e+006	5.00052e+006	
61	57469	65	518	426	2695	58528	26936	8.18085e+006	98188	7	8.34127e+006	5.0006e+006	
62	57464	43	345	268	1726	40075	18444	8.19613e+006	102691	5	8.34127e+006	5.00065e+006	
63	57460	27	229	177	1094	26700	12291	8.20707e+006	105976	4	8.34128e+006	5.00068e+006	
64	57459	17	148	114	707	17471	8022	8.21457e+006	108251	1	8.34128e+006	5.0007e+006	
65	57458	11	95	76	450	11356	5216	8.21956e+006	109735	1	8.34128e+006	5.00071e+006	
66	57456	8	64	49	291	7382	3406	8.22279e+006	110698	1	8.34128e+006	5.00072e+006	
67	57456	5	41	32	182	4770	2209	8.2249e+006	111352	1	8.34128e+006	5.00072e+006	
68	57455	4	28	20	118	3088	1414	8.22626e+006	111763	1	8.34128e+006	5.00072e+006	
69	57454	3	17	13	80	1994	913	8.22715e+006	112028	0	8.34128e+006	5.00073e+006	
70	57454	2	11	9	47	1282	588	8.22772e+006	112213	0	8.34128e+006	5.00073e+006	
71	57453	2	8	5	31	828	377	8.22809e+006	112322	1	8.34128e+006	5.00073e+006	
72	57453	2	6	4	22	526	241	8.22832e+006	112400	0	8.34128e+006	5.00073e+006	
73	57453	1	4	2	14	336	152	8.22848e+006	112445	0	8.34128e+006	5.00073e+006	
74	57453	1	4	1	9	218	97	8.22858e+006	112472	0	8.34128e+006	5.00073e+006	
75	57452	1	3	1	6	143	63	8.22864e+006	112490	0	8.34128e+006	5.00073e+006	
76	57452	1	2	1	4	95	43	8.22868e+006	112501	0	8.34128e+006	5.00073e+006	
77	57452	0	2	1	3	58	28	8.22871e+006	112511	0	8.34128e+006	5.00073e+006	
78	57452	1	1	1	2	36	17	8.22873e+006	112516	1	8.34128e+006	5.00073e+006	
79	57452	1	1	1	1	24	11	8.22874e+006	112518	0	8.34128e+006	5.00073e+006	
80	57452	1	1	1	1	16	7	8.22875e+006	112520	0	8.34128e+006	5.00073e+006	
