Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39714e+006	8.39714e+006	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1600	0	0	
1	8.39698e+006	8.39698e+006	1760	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1760	1760	0	0	
2	8.39682e+006	8.39682e+006	1920	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1920	1920	0	0	
3	8.39587e+006	8.39591e+006	2826	2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	949	2826	2869	0	0	
4	8.39496e+006	8.39502e+006	2119	2179	802	828	772	798	0	0	0	0	0	0	0	0	0	0	880	924	3719	3779	802	828	
5	8.39408e+006	8.39416e+006	2820	2894	880	907	853	880	0	0	0	0	0	0	0	0	0	0	850	886	4580	4654	880	907	
6	8.39305e+006	8.39314e+006	3676	3770	962	990	930	958	0	0	0	0	0	0	0	0	0	0	1006	1047	5596	5690	962	990	
7	8.39194e+006	8.39206e+006	3838	3940	1415	1480	1375	1424	0	0	0	0	0	0	0	0	0	0	1063	1123	6673	6799	1426	1469	
8	8.3909e+006	8.39105e+006	3961	4068	1860	1946	1815	1877	0	0	0	0	0	0	0	0	0	0	1006	1049	7690	7837	1877	1929	
9	8.39003e+006	8.3902e+006	3948	4061	2285	2386	2247	2315	0	0	0	0	0	0	0	0	0	0	835	881	8537	8706	2306	2366	
10	8.38902e+006	8.38921e+006	3921	4037	1975	2091	1977	2044	279	299	0	0	0	0	1301	1321	0	0	979	1022	9531	9713	2954	3028	
11	8.38809e+006	8.3883e+006	3748	3857	2439	2592	2418	2504	306	327	0	0	0	0	1433	1454	0	0	893	940	10434	10642	3520	3607	
12	8.38707e+006	8.3873e+006	3733	3847	2868	3040	2845	2934	338	359	0	0	0	0	1561	1582	0	0	990	1040	11437	11670	4048	4150	
13	8.38595e+006	8.38621e+006	3980	4095	2827	2997	2818	2906	521	551	0	0	0	0	2288	2335	0	0	1078	1133	12531	12786	4575	4685	
14	8.38481e+006	8.3851e+006	4090	4225	2869	3036	2878	2963	694	730	0	0	0	0	3009	3065	0	0	1091	1151	13635	13924	5149	5271	
15	8.38368e+006	8.38399e+006	4297	4430	2871	3053	2911	3007	856	894	0	0	0	0	3708	3776	0	0	1096	1148	14749	15055	5668	5804	
16	8.38249e+006	8.38283e+006	4453	4593	2857	3047	2909	3008	765	806	91	104	50	59	4717	4804	0	0	1147	1203	15908	16246	6259	6408	
17	8.38131e+006	8.38167e+006	4518	4659	2846	3030	2937	3032	954	1002	98	111	53	62	5598	5710	0	0	1144	1197	17066	17429	6893	7053	
18	8.38013e+006	8.38053e+006	4556	4700	2872	3080	2986	3094	1123	1175	106	120	57	66	6435	6567	0	0	1131	1189	18210	18605	7534	7712	
19	8.37891e+006	8.37933e+006	4637	4790	3014	3218	3111	3218	1098	1148	157	174	79	92	7257	7409	0	0	1179	1236	19403	19827	8179	8371	
20	8.37778e+006	8.37824e+006	4566	4725	3099	3317	3191	3302	1113	1164	205	225	102	115	8184	8354	0	0	1075	1139	20492	20952	8853	9064	
21	8.37663e+006	8.37713e+006	4524	4698	3245	3470	3293	3409	1126	1183	253	273	122	138	9027	9216	0	0	1102	1170	21609	22107	9516	9740	
22	8.37543e+006	8.37597e+006	4538	4716	3320	3554	3358	3476	1117	1172	310	334	147	162	9980	10193	0	0	1144	1209	22766	23303	10181	10419	
23	8.37425e+006	8.37482e+006	4493	4681	3364	3608	3408	3533	1114	1170	375	399	176	195	11013	11247	0	0	1136	1200	23914	24490	10881	11137	
24	8.37303e+006	8.37364e+006	4582	4771	3356	3607	3395	3526	1122	1181	432	460	204	225	12050	12313	0	0	1164	1228	25095	25702	11534	11807	
25	8.37184e+006	8.37248e+006	4622	4813	3344	3611	3411	3546	1183	1239	480	507	225	247	13055	13340	0	0	1145	1210	26252	26900	12192	12486	
26	8.37063e+006	8.37132e+006	4630	4829	3337	3619	3406	3553	1229	1287	436	465	194	215	14179	14484	34	40	1152	1223	27417	28110	12885	13200	
27	8.36942e+006	8.37016e+006	4647	4847	3317	3616	3414	3563	1287	1347	486	517	218	241	15227	15552	36	42	1149	1222	28580	29318	13560	13902	
28	8.36821e+006	8.36899e+006	4634	4845	3338	3636	3433	3575	1332	1393	532	562	237	261	16280	16635	37	44	1152	1226	29746	30530	14266	14629	
29	8.36696e+006	8.36779e+006	4674	4897	3320	3627	3414	3560	1335	1403	540	572	240	265	17441	17827	51	61	1184	1262	30945	31777	14950	15338	
30	8.36573e+006	8.36661e+006	4684	4915	3340	3662	3464	3617	1337	1402	550	584	245	270	18511	18927	62	72	1164	1240	32122	33004	15634	16042	
31	8.3645e+006	8.36542e+006	4709	4944	3359	3684	3493	3647	1338	1408	565	601	255	280	19599	20047	73	84	1177	1248	33312	34239	16321	16753	
32	8.36324e+006	8.36421e+006	4755	4993	3358	3691	3502	3656	1333	1402	573	610	262	285	20740	21227	86	97	1198	1275	34523	35501	17002	17463	
33	8.36199e+006	8.36302e+006	4753	4992	3380	3729	3521	3687	1326	1395	574	614	263	285	21877	22402	102	115	1181	1263	35718	36749	17710	18191	
34	8.36075e+006	8.36183e+006	4769	5006	3366	3734	3526	3703	1315	1389	584	625	266	290	23046	23595	116	129	1179	1255	36910	37991	18403	18910	
35	8.35949e+006	8.36061e+006	4795	5034	3387	3760	3537	3716	1312	1390	601	641	272	297	24178	24760	128	142	1202	1277	38128	39251	19106	19643	
36	8.35822e+006	8.35939e+006	4801	5041	3409	3793	3555	3740	1332	1413	605	647	277	302	25309	25927	139	154	1202	1284	39346	40519	19826	20396	
37	8.35694e+006	8.35817e+006	4825	5073	3430	3825	3562	3752	1336	1415	607	651	276	303	26452	27114	153	170	1210	1291	40565	41801	20545	21146	
38	8.35563e+006	8.35692e+006	4887	5138	3452	3848	3568	3757	1330	1410	620	663	284	312	27598	28301	168	185	1242	1319	41821	43106	21262	21888	
39	8.35436e+006	8.3557e+006	4892	5145	3459	3848	3583	3767	1342	1427	625	670	289	318	28761	29510	184	203	1207	1282	43040	44376	21986	22632	
40	8.35336e+006	8.35474e+006	4633	4871	3489	3879	3594	3778	1346	1433	635	681	294	323	29908	30704	199	219	944	1009	43996	45374	22711	23384	
41	8.35238e+006	8.3538e+006	4356	4580	3497	3906	3610	3802	1369	1455	629	680	290	321	31068	31904	212	233	932	1001	44941	46361	23436	24145	
42	8.35139e+006	8.35285e+006	4044	4258	3602	4008	3555	3738	1369	1451	632	680	294	324	32264	33151	228	250	932	995	45884	47345	24245	24993	
43	8.35044e+006	8.35195e+006	3730	3937	3675	4076	3511	3687	1377	1464	633	680	295	322	33433	34369	244	267	895	959	46791	48292	25024	25812	
44	8.34951e+006	8.35104e+006	3676	3878	3598	3992	3355	3523	1383	1469	630	678	294	321	34609	35591	259	283	890	950	47692	49231	25662	26482	
45	8.34861e+006	8.35019e+006	3588	3789	3516	3902	3169	3336	1373	1464	640	690	304	331	35814	36828	273	297	846	910	48550	50129	26299	27148	
46	8.34774e+006	8.34936e+006	3467	3668	3432	3798	2989	3145	1388	1482	642	693	307	336	36997	38063	287	313	810	875	49372	50992	26941	27822	
47	8.34688e+006	8.34854e+006	3383	3580	3320	3672	2785	2941	1394	1489	655	707	311	340	38184	39308	301	327	810	872	50192	51854	27559	28458	
48	8.34608e+006	8.34778e+006	3248	3449	3127	3469	2624	2777	1423	1519	655	708	313	341	39393	40570	317	343	757	817	50959	52661	28175	29098	
49	8.3453e+006	8.34704e+006	3129	3321	2936	3269	2453	2605	1417	1514	654	705	310	338	40597	41829	336	364	728	782	51698	53432	28753	29699	
50	8.34459e+006	8.34636e+006	2991	3167	2878	3209	2380	2528	1379	1470	647	698	308	339	41581	42859	353	381	671	722	52379	54143	29297	30273	
51	8.34389e+006	8.34568e+006	2846	3010	2816	3139	2325	2464	1336	1418	653	706	310	342	42548	43879	366	396	666	715	53057	54846	29830	30835	
52	8.3432e+006	8.34502e+006	2735	2892	2710	3031	2255	2395	1276	1353	655	709	309	341	43533	44907	382	413	646	698	53714	55532	30331	31358	
53	8.34254e+006	8.34439e+006	2632	2785	2627	2935	2177	2307	1208	1286	662	715	314	346	44486	45900	398	430	624	677	54351	56196	30816	31871	
54	8.34191e+006	8.34378e+006	2555	2708	2503	2804	2083	2208	1128	1203	664	714	315	346	45446	46904	415	448	594	644	54954	56830	31272	32348	
55	8.34129e+006	8.3432e+006	2464	2619	2412	2694	2000	2118	1068	1139	651	702	307	339	46359	47858	434	468	577	625	55541	57445	31730	32822	
56	8.34071e+006	8.34263e+006	2367	2518	2318	2590	1929	2046	1045	1115	641	694	300	332	47202	48736	447	483	550	596	56102	58030	32171	33284	
57	8.34014e+006	8.3421e+006	2272	2419	2219	2480	1843	1959	1022	1090	624	674	294	324	48045	49622	465	503	529	577	56641	58597	32592	33728	
58	8.33958e+006	8.34156e+006	2203	2347	2136	2388	1765	1876	991	1056	612	663	286	316	48838	50454	483	522	524	573	57176	59158	32994	34151	
59	8.33904e+006	8.34104e+006	2134	2272	2045	2294	1702	1815	959	1023	597	648	280	310	49609	51257	499	538	507	550	57693	59698	33383	34555	
60	8.33852e+006	8.34056e+006	2063	2201	1974	2218	1655	1763	912	976	586	635	270	299	50331	52011	516	554	480	524	58181	60214	33750	34940	
61	8.33802e+006	8.34007e+006	2006	2140	1879	2124	1612	1721	871	934	572	618	262	290	51044	52752	535	575	473	516	58666	60717	34097	35304	
62	8.33753e+006	8.3396e+006	1945	2070	1812	2050	1559	1666	832	888	548	592	249	279	51749	53494	551	592	462	503	59139	61210	34454	35674	
63	8.33706e+006	8.33915e+006	1875	1999	1757	1988	1497	1603	802	860	521	565	236	265	52424	54196	568	611	437	479	59586	61678	34810	36045	
64	8.3366e+006	8.33871e+006	1822	1943	1704	1934	1434	1539	764	822	497	541	224	252	53073	54876	584	628	428	467	60024	62136	35144	36396	
65	8.33616e+006	8.33828e+006	1765	1881	1660	1881	1378	1480	728	785	479	521	215	241	53697	55531	601	644	418	453	60452	62579	35467	36732	
66	8.33574e+006	8.33788e+006	1697	1805	1614	1829	1337	1437	706	763	464	505	206	231	54282	56142	613	657	392	428	60854	62997	35780	37055	
67	8.33533e+006	8.33749e+006	1639	1743	1618	1829	1241	1339	683	742	446	485	198	223	54852	56735	625	670	380	417	61244	63403	36116	37407	
