Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39714e+006	8.39714e+006	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1600	0	0	
1	8.39698e+006	8.39698e+006	1760	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1760	1760	0	0	
2	8.39682e+006	8.39682e+006	1920	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1920	1920	0	0	
3	8.39565e+006	8.3957e+006	3036	3084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1116	1164	3036	3084	0	0	
4	8.39444e+006	8.39451e+006	2625	2696	802	828	772	798	0	0	0	0	0	0	0	0	0	0	1176	1225	4225	4296	802	828	
5	8.39312e+006	8.3932e+006	3772	3861	880	907	853	880	0	0	0	0	0	0	0	0	0	0	1294	1339	5532	5621	880	907	
6	8.39102e+006	8.39116e+006	5654	5795	962	990	930	958	0	0	0	0	0	0	0	0	0	0	2027	2108	7574	7715	962	990	
7	8.38823e+006	8.38843e+006	7260	7434	1519	1590	1479	1532	0	0	0	0	0	0	0	0	0	0	2715	2810	10306	10507	1531	1578	
8	8.38463e+006	8.3849e+006	9602	9817	2110	2208	2067	2136	0	0	0	0	0	0	0	0	0	0	3510	3616	13838	14102	2129	2189	
9	8.37969e+006	8.38006e+006	13135	13436	2755	2872	2726	2801	0	0	0	0	0	0	0	0	0	0	4820	4966	18679	19046	2779	2848	
10	8.37301e+006	8.37351e+006	17633	18034	2968	3136	2947	3037	279	299	0	0	0	0	1301	1321	0	0	6522	6708	25224	25731	3960	4060	
11	8.365e+006	8.3657e+006	22710	23249	4223	4456	4248	4367	306	327	0	0	0	0	1433	1454	0	0	7786	8031	33032	33740	5323	5452	
12	8.35401e+006	8.35496e+006	29918	30638	5874	6177	5950	6098	338	359	0	0	0	0	1561	1582	0	0	10721	11003	43773	44723	7091	7249	
13	8.33901e+006	8.34031e+006	39726	40699	7713	8106	7797	7988	562	594	0	0	0	0	2457	2507	0	0	14626	15028	58424	59726	9649	9867	
14	8.31969e+006	8.32146e+006	52034	53331	10338	10860	10494	10741	789	826	0	0	0	0	3420	3486	0	0	18830	19339	77273	79046	13010	13302	
15	8.29442e+006	8.29686e+006	68832	70597	13510	14237	13768	14103	1041	1084	0	0	0	0	4475	4554	0	0	24586	25295	101881	104319	17023	17414	
16	8.2608e+006	8.26404e+006	90909	93237	17782	18734	18127	18565	1154	1212	91	104	50	59	6303	6425	0	0	32798	33643	134701	137941	22579	23090	
17	8.21672e+006	8.221e+006	119293	122310	23701	24976	24039	24622	1642	1706	98	111	53	62	8540	8717	0	0	43016	44095	177736	182017	30188	30884	
18	8.15929e+006	8.16489e+006	156556	160421	31213	32950	31711	32505	2292	2369	106	120	57	66	11409	11642	0	0	56088	57455	233847	239449	39929	40860	
19	8.08403e+006	8.09148e+006	205360	210406	40937	43310	41578	42650	3031	3133	168	186	84	97	15448	15759	0	0	73384	75285	307256	314710	52726	54011	
20	7.98632e+006	7.99606e+006	267957	274496	53871	56979	54715	56122	4065	4198	231	252	112	127	20892	21318	0	0	95394	97736	402675	412421	69744	71436	
21	7.86012e+006	7.87271e+006	348279	356611	71215	75254	72354	74158	5324	5486	306	330	146	162	27372	27953	0	0	123333	126215	526029	538614	91974	94216	
22	7.69693e+006	7.71315e+006	451723	462373	93580	98823	95030	97367	7020	7223	422	450	197	218	36300	37081	0	0	159526	163223	685586	701806	121081	124022	
23	7.48882e+006	7.50967e+006	581796	595228	122466	129412	124398	127540	9355	9618	572	606	267	292	48457	49542	0	0	203461	208136	889070	909920	159278	163143	
24	7.22567e+006	7.25208e+006	743965	760661	160093	169079	162771	166833	12338	12669	769	813	359	389	64131	65600	0	0	257558	263173	1.14666e+006	1.17306e+006	208698	213736	
25	6.8979e+006	6.93061e+006	942076	962246	208816	220235	212109	217283	16199	16646	1050	1106	487	521	84593	86606	0	0	321438	327806	1.46813e+006	1.50084e+006	272855	279345	
26	6.49603e+006	6.53584e+006	1.17728e+006	1.20092e+006	271302	285912	275447	282090	21288	21847	1313	1378	602	642	112024	114718	34	40	394740	401889	1.86289e+006	1.9027e+006	355735	364053	
27	6.01376e+006	6.06102e+006	1.44862e+006	1.47508e+006	350388	369002	355712	364135	28160	28895	1744	1822	810	854	147759	151295	36	42	474787	482306	2.33771e+006	2.38498e+006	461517	472302	
28	5.45075e+006	5.50535e+006	1.7467e+006	1.77496e+006	449719	473094	456513	467098	36983	37934	2337	2433	1094	1149	194452	199076	37	44	555630	563062	2.89339e+006	2.94799e+006	595748	609396	
29	4.81571e+006	4.87623e+006	2.05435e+006	2.08222e+006	572333	600670	580614	593381	48431	49708	3074	3191	1429	1495	255652	261795	53	62	629060	635089	3.5225e+006	3.58302e+006	763639	780652	
30	4.19117e+006	4.25545e+006	2.28035e+006	2.30491e+006	720857	754541	729996	745106	63236	64904	4051	4196	1887	1963	335273	343290	67	77	620671	624652	4.14329e+006	4.20757e+006	970381	991222	
31	3.60295e+006	3.66785e+006	2.3931e+006	2.41088e+006	894952	933787	905958	923348	82349	84432	5381	5567	2501	2598	438157	448569	88	100	587256	588564	4.73089e+006	4.79578e+006	1.21968e+006	1.24451e+006	
32	3.07377e+006	3.13708e+006	2.36811e+006	2.37713e+006	1.09193e+006	1.13486e+006	1.10405e+006	1.12316e+006	107016	109652	7086	7306	3296	3408	571317	584773	114	128	528999	530949	5.26165e+006	5.32497e+006	1.51293e+006	1.54187e+006	
33	2.62792e+006	2.68789e+006	2.18679e+006	2.18934e+006	1.30416e+006	1.34855e+006	1.31702e+006	1.33681e+006	138177	141466	9328	9605	4311	4451	741357	758738	152	166	445747	449290	5.71084e+006	5.77082e+006	1.84702e+006	1.87938e+006	
34	2.27364e+006	2.3293e+006	1.91738e+006	1.92631e+006	1.48627e+006	1.52864e+006	1.4987e+006	1.51752e+006	177369	181563	12286	12630	5655	5832	956742	978720	197	214	354235	358645	6.06944e+006	6.1251e+006	2.1821e+006	2.21699e+006	
35	2.00904e+006	2.06044e+006	1.59383e+006	1.60749e+006	1.62097e+006	1.65701e+006	1.63186e+006	1.64788e+006	225629	230649	16138	16578	7437	7661	1.22603e+006	1.25339e+006	262	285	264560	268897	6.3383e+006	6.3897e+006	2.5071e+006	2.54286e+006	
36	1.82609e+006	1.87389e+006	1.24761e+006	1.26326e+006	1.69145e+006	1.71788e+006	1.69996e+006	1.71174e+006	283687	289676	21086	21658	9697	9985	1.55771e+006	1.59106e+006	348	375	182913	186580	6.52485e+006	6.57264e+006	2.81071e+006	2.84644e+006	
37	1.71463e+006	1.75989e+006	913246	928059	1.68205e+006	1.69674e+006	1.68675e+006	1.69344e+006	352058	358942	27563	28297	12649	13006	1.95757e+006	1.99732e+006	454	486	111441	114034	6.63885e+006	6.68411e+006	3.08168e+006	3.11634e+006	
38	1.61509e+006	1.65778e+006	658504	671558	1.58589e+006	1.58977e+006	1.5876e+006	1.5899e+006	429064	436780	35853	36750	16449	16892	2.42779e+006	2.4739e+006	604	641	99510	102128	6.74096e+006	6.78365e+006	3.31486e+006	3.34807e+006	
39	1.53002e+006	1.57031e+006	478981	490167	1.39992e+006	1.41062e+006	1.40355e+006	1.40838e+006	511987	519970	46371	47495	21298	21834	2.96328e+006	3.01479e+006	791	837	85042	87501	6.82843e+006	6.86871e+006	3.51051e+006	3.54215e+006	
40	1.46089e+006	1.499e+006	365178	374921	1.17711e+006	1.19571e+006	1.1828e+006	1.19102e+006	582563	590123	59817	61255	27505	28186	3.49977e+006	3.55517e+006	1048	1102	69114	71329	6.89974e+006	6.93785e+006	3.66453e+006	3.69467e+006	
41	1.40571e+006	1.44187e+006	308897	318036	937972	960027	944272	954019	634167	640687	76383	78120	35112	35935	4.01885e+006	4.07563e+006	1385	1448	55166	57143	6.95687e+006	6.99303e+006	3.77848e+006	3.80725e+006	
42	1.36296e+006	1.39747e+006	252109	260329	727700	750764	724721	734796	660902	665699	96542	98655	44373	45364	4.50224e+006	4.55884e+006	1833	1905	42728	44415	7.00127e+006	7.03577e+006	3.88591e+006	3.91325e+006	
43	1.33053e+006	1.36373e+006	199478	206591	551744	573717	540233	549792	655915	658728	120572	123042	55421	56578	4.93175e+006	4.98673e+006	2414	2509	32423	33752	7.035e+006	7.06821e+006	3.97757e+006	4.00323e+006	
44	1.30641e+006	1.33852e+006	154466	160495	413480	433022	394063	402483	617292	618418	148442	151295	68216	69565	5.30004e+006	5.35262e+006	3154	3275	24106	25229	7.06022e+006	7.09233e+006	4.0517e+006	4.07587e+006	
45	1.28875e+006	1.32002e+006	116942	121870	312403	329328	286459	293710	545701	547706	179494	182565	82477	83943	5.60702e+006	5.65706e+006	4151	4300	17644	18515	7.07872e+006	7.10999e+006	4.10941e+006	4.13213e+006	
46	1.27575e+006	1.30638e+006	87195	91113	245054	259757	214276	220463	459991	463323	208810	211955	96030	97507	5.84729e+006	5.89506e+006	5436	5617	12985	13653	7.09236e+006	7.12298e+006	4.15199e+006	4.17343e+006	
47	1.26582e+006	1.29587e+006	64686	67879	207569	220857	173161	178664	367348	371262	234715	237731	107956	109348	6.02576e+006	6.07171e+006	7103	7330	9918	10514	7.10287e+006	7.13291e+006	4.18163e+006	4.2021e+006	
48	1.25777e+006	1.28738e+006	48625	51156	166684	178347	139048	143868	283746	287797	255461	258250	117514	118796	6.1884e+006	6.23214e+006	9263	9542	8044	8507	7.11136e+006	7.14097e+006	4.20442e+006	4.22407e+006	
49	1.25137e+006	1.2806e+006	37370	39425	130152	140091	108613	112708	213494	217361	269194	271568	123747	124880	6.3298e+006	6.37136e+006	12019	12352	6392	6782	7.11813e+006	7.14737e+006	4.22228e+006	4.24124e+006	
50	1.24641e+006	1.27534e+006	29327	31044	99633	107890	83413	86822	158029	161526	274756	276614	126252	127148	6.44786e+006	6.48739e+006	15504	15901	4943	5271	7.12339e+006	7.15232e+006	4.23603e+006	4.25447e+006	
51	1.24256e+006	1.27126e+006	23247	24630	75165	81900	63037	65781	117290	120319	271822	273174	124906	125601	6.54475e+006	6.58239e+006	19839	20315	3839	4099	7.12748e+006	7.15617e+006	4.24685e+006	4.26481e+006	
52	1.23971e+006	1.26821e+006	18049	19180	56490	61895	47357	49550	89882	92527	260159	261118	119525	120096	6.62315e+006	6.65924e+006	25189	25770	2847	3056	7.13053e+006	7.15903e+006	4.25544e+006	4.27299e+006	
