Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39589e+006	2847	0	0	0	0	0	0	0	927	2847	0	
4	8.39499e+006	2149	815	785	0	0	0	0	0	902	3749	815	
5	8.39412e+006	2857	893	867	0	0	0	0	0	868	4617	893	
6	8.39309e+006	3723	976	944	0	0	0	0	0	1026	5643	976	
7	8.392e+006	3889	1448	1400	0	0	0	0	0	1093	6736	1448	
8	8.39097e+006	4014	1903	1846	0	0	0	0	0	1027	7764	1903	
9	8.39011e+006	4005	2336	2281	0	0	0	0	0	858	8622	2336	
10	8.38911e+006	3979	2033	2010	289	0	0	1311	0	1000	9622	2991	
11	8.3882e+006	3802	2515	2461	316	0	0	1444	0	916	10538	3564	
12	8.38718e+006	3790	2954	2889	348	0	0	1572	0	1015	11554	4099	
13	8.38608e+006	4037	2912	2862	536	0	0	2311	0	1105	12659	4630	
14	8.38496e+006	4158	2952	2921	712	0	0	3037	0	1121	13780	5210	
15	8.38383e+006	4364	2962	2959	875	0	0	3742	0	1122	14902	5736	
16	8.38266e+006	4523	2952	2959	785	97	54	4761	0	1175	16077	6333	
17	8.38149e+006	4588	2938	2985	978	104	57	5654	0	1170	17247	6973	
18	8.38033e+006	4628	2976	3040	1149	113	61	6501	0	1160	18408	7623	
19	8.37912e+006	4713	3116	3164	1123	166	85	7333	0	1208	19615	8275	
20	8.37801e+006	4645	3208	3247	1138	215	108	8269	0	1107	20722	8958	
21	8.37688e+006	4611	3358	3351	1154	263	130	9121	0	1136	21858	9628	
22	8.3757e+006	4627	3437	3417	1145	322	155	10087	0	1176	23034	10300	
23	8.37453e+006	4587	3486	3470	1142	387	186	11130	0	1168	24202	11009	
24	8.37334e+006	4676	3482	3461	1152	446	214	12182	0	1196	25399	11671	
25	8.37216e+006	4718	3478	3479	1211	493	236	13197	0	1177	26576	12339	
26	8.37097e+006	4729	3478	3479	1258	451	204	14332	37	1188	27764	13042	
27	8.36979e+006	4747	3466	3489	1317	502	230	15389	39	1186	28949	13731	
28	8.3686e+006	4739	3487	3504	1362	547	249	16457	41	1189	30138	14448	
29	8.36738e+006	4785	3474	3487	1369	556	252	17634	56	1223	31361	15144	
30	8.36617e+006	4799	3501	3540	1369	567	258	18719	67	1202	32563	15838	
31	8.36496e+006	4826	3521	3570	1373	583	268	19823	79	1213	33776	16537	
32	8.36372e+006	4874	3525	3579	1368	592	273	20984	91	1236	35012	17233	
33	8.3625e+006	4873	3555	3604	1360	594	274	22139	108	1222	36234	17951	
34	8.36129e+006	4888	3550	3614	1352	604	278	23320	122	1217	37451	18656	
35	8.36005e+006	4914	3573	3626	1351	621	284	24469	135	1239	38690	19374	
36	8.3588e+006	4921	3601	3647	1373	626	289	25618	147	1243	39933	20111	
37	8.35755e+006	4949	3628	3657	1376	629	290	26783	162	1250	41183	20846	
38	8.35627e+006	5013	3650	3662	1370	642	298	27949	177	1280	42464	21575	
39	8.35503e+006	5018	3654	3675	1384	648	304	29136	193	1245	43708	22309	
40	8.35405e+006	4752	3684	3686	1389	658	308	30306	209	976	44685	23047	
41	8.35309e+006	4468	3702	3706	1412	655	306	31486	223	966	45651	23791	
42	8.35212e+006	4151	3805	3646	1410	656	309	32708	239	964	46615	24619	
43	8.35119e+006	3834	3875	3599	1420	657	308	33901	256	927	47542	25418	
44	8.35027e+006	3777	3795	3439	1426	654	307	35100	271	920	48462	26072	
45	8.3494e+006	3688	3709	3252	1418	665	317	36321	285	878	49340	26723	
46	8.34855e+006	3567	3615	3067	1435	668	321	37530	300	842	50182	27381	
47	8.34771e+006	3481	3496	2863	1441	681	325	38746	314	841	51023	28008	
48	8.34693e+006	3348	3298	2700	1471	681	327	39982	330	787	51810	28636	
49	8.34617e+006	3225	3102	2529	1465	680	324	41213	350	755	52565	29226	
50	8.34548e+006	3079	3043	2454	1425	673	323	42220	367	696	53261	29785	
51	8.34479e+006	2928	2978	2394	1377	680	326	43213	381	690	53951	30333	
52	8.34411e+006	2813	2870	2325	1315	682	325	44220	398	672	54623	30844	
53	8.34346e+006	2709	2781	2242	1247	688	330	45193	414	650	55273	31344	
54	8.34284e+006	2631	2654	2146	1166	689	330	46175	432	619	55892	31810	
55	8.34224e+006	2542	2553	2059	1104	677	323	47108	451	601	56493	32276	
56	8.34167e+006	2443	2454	1987	1080	668	316	47969	465	573	57066	32727	
57	8.34112e+006	2345	2349	1901	1056	649	309	48834	484	553	57619	33160	
58	8.34057e+006	2275	2262	1820	1024	637	301	49646	503	548	58167	33573	
59	8.34004e+006	2203	2170	1759	991	622	295	50433	518	528	58696	33969	
60	8.33954e+006	2132	2096	1709	944	611	285	51171	535	502	59198	34345	
61	8.33904e+006	2073	2001	1667	903	595	276	51898	555	494	59692	34700	
62	8.33856e+006	2008	1931	1612	860	570	264	52622	572	483	60175	35064	
63	8.3381e+006	1937	1872	1550	831	543	251	53310	590	458	60632	35427	
64	8.33766e+006	1882	1819	1487	793	519	238	53974	606	448	61080	35770	
65	8.33722e+006	1823	1770	1429	757	500	228	54614	623	435	61515	36100	
66	8.33681e+006	1751	1722	1387	735	484	218	55212	635	410	61925	36418	
67	8.33641e+006	1691	1723	1290	712	465	210	55794	647	398	62324	36761	
68	8.33602e+006	1636	1703	1210	694	444	202	56371	658	393	62716	37094	
69	8.33565e+006	1572	1684	1136	660	433	198	56931	672	370	63087	37422	
70	8.33527e+006	1540	1661	1067	641	409	188	57464	683	379	63465	37727	
71	8.33491e+006	1504	1647	984	622	390	180	57985	694	362	63828	38032	
72	8.33456e+006	1457	1632	910	601	375	172	58492	707	346	64173	38325	
73	8.33421e+006	1438	1578	876	586	355	165	58971	721	352	64525	38598	
74	8.33389e+006	1386	1540	846	565	346	161	59437	732	326	64851	38877	
75	8.33357e+006	1339	1490	822	548	332	154	59895	741	315	65166	39139	
76	8.33326e+006	1301	1456	792	526	321	150	60326	752	308	65474	39393	
77	8.33295e+006	1264	1424	778	505	314	146	60743	761	315	65789	39648	
78	8.33265e+006	1236	1381	754	489	307	140	61152	769	299	66088	39885	
79	8.33236e+006	1206	1345	734	466	296	133	61548	777	284	66372	40115	
80	8.33208e+006	1187	1301	708	452	293	132	61937	784	289	66661	40343	
81	8.3318e+006	1148	1272	690	442	285	130	62309	792	276	66937	40570	
82	8.33154e+006	1110	1238	677	431	278	126	62664	800	260	67197	40785	
83	8.33128e+006	1088	1195	652	422	269	121	63028	807	262	67460	40994	
84	8.33102e+006	1055	1172	638	410	253	116	63372	816	257	67716	41203	
85	8.33078e+006	1021	1148	623	404	241	111	63698	824	241	67958	41403	
86	8.33054e+006	1002	1116	608	391	235	108	64018	830	242	68200	41594	
87	8.3303e+006	975	1083	588	379	226	103	64345	838	235	68435	41784	
88	8.33006e+006	957	1061	568	376	217	100	64649	845	239	68674	41977	
89	8.32983e+006	945	1034	552	361	212	99	64947	852	229	68903	42152	
90	8.32962e+006	919	1006	532	357	202	95	65245	857	216	69119	42331	
91	8.32939e+006	909	977	521	350	194	90	65529	864	225	69344	42501	
92	8.32917e+006	894	960	516	344	190	88	65794	869	224	69568	42672	
93	8.32896e+006	878	940	503	330	190	87	66066	873	213	69781	42837	
94	8.32875e+006	864	907	495	315	189	85	66335	878	202	69983	42992	
95	8.32855e+006	845	893	493	307	187	84	66581	882	206	70189	43151	
96	8.32829e+006	879	885	484	300	188	86	66824	888	258	70447	43319	
97	8.32804e+006	920	871	475	292	182	84	67067	894	254	70701	43473	
98	8.32779e+006	967	845	464	283	177	83	67314	899	250	70950	43618	
99	8.32755e+006	1001	831	456	278	168	77	67554	903	240	71190	43764	
100	8.32729e+006	999	860	468	275	165	76	67772	907	256	71446	43949	
101	8.32703e+006	1001	887	469	276	161	76	67996	910	256	71702	44136	
102	8.32677e+006	1012	901	482	268	159	75	68227	915	260	71962	44313	
