Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39568e+006	3060	0	0	0	0	0	0	0	1140	3060	0	
4	8.39448e+006	2660	815	785	0	0	0	0	0	1200	4260	815	
5	8.39316e+006	3817	893	867	0	0	0	0	0	1316	5577	893	
6	8.39109e+006	5724	976	944	0	0	0	0	0	2067	7644	976	
7	8.38833e+006	7347	1554	1506	0	0	0	0	0	2763	10407	1554	
8	8.38477e+006	9709	2159	2101	0	0	0	0	0	3563	13970	2159	
9	8.37987e+006	13286	2813	2763	0	0	0	0	0	4893	18863	2813	
10	8.37326e+006	17833	3052	2992	289	0	0	1311	0	6615	25477	4010	
11	8.36535e+006	22979	4339	4307	316	0	0	1444	0	7908	33386	5388	
12	8.35449e+006	30278	6025	6024	348	0	0	1572	0	10862	44248	7170	
13	8.33966e+006	40212	7910	7893	578	0	0	2482	0	14827	59075	9758	
14	8.32058e+006	52682	10599	10618	808	0	0	3453	0	19084	78160	13156	
15	8.29564e+006	69714	13874	13936	1062	0	0	4514	0	24941	103100	17218	
16	8.26242e+006	92073	18258	18346	1183	97	54	6364	0	33221	136321	22834	
17	8.21886e+006	120801	24338	24330	1674	104	57	8628	0	43556	179877	30536	
18	8.16209e+006	158488	32082	32108	2331	113	61	11526	0	56772	236648	40395	
19	8.08775e+006	207883	42124	42114	3082	177	91	15604	0	74335	310983	53368	
20	7.99119e+006	271227	55425	55419	4132	241	120	21105	0	96565	407548	70590	
21	7.86642e+006	352445	73235	73256	5405	318	154	27663	0	124774	532321	93095	
22	7.70504e+006	457048	96202	96198	7121	436	208	36691	0	161375	693696	122552	
23	7.51964e+006	568115	125939	125969	9487	589	280	49000	0	185402	879098	161211	
24	7.30999e+006	681195	164586	164802	12504	791	374	64865	0	209644	1.08874e+006	211217	
25	7.07888e+006	787534	214525	214696	16423	1078	504	85600	0	231112	1.31986e+006	276100	
26	6.83736e+006	867677	278607	278769	21568	1345	622	113371	37	241518	1.56137e+006	359894	
27	6.59891e+006	920725	349529	349692	28528	1783	832	149527	39	238451	1.79982e+006	456744	
28	6.37878e+006	931212	425791	426303	37458	2385	1121	196764	41	220131	2.01996e+006	566956	
29	6.19247e+006	886414	504180	504692	49070	3132	1462	258724	58	186315	2.20627e+006	689824	
30	6.05652e+006	780843	576813	577012	64070	4124	1925	339282	72	135947	2.34222e+006	819916	
31	5.91255e+006	686363	633654	633848	83390	5474	2549	443363	94	143971	2.48619e+006	951379	
32	5.76709e+006	611697	663115	663144	108334	7196	3352	578045	121	145464	2.63165e+006	1.07712e+006	
33	5.62705e+006	565422	663483	663688	135866	9467	4381	733606	159	140040	2.77169e+006	1.18816e+006	
34	5.49387e+006	562651	626741	626732	165634	12458	5744	910445	205	133176	2.90487e+006	1.27634e+006	
35	5.36895e+006	543601	583172	583159	196088	16358	7549	1.10714e+006	274	124921	3.02979e+006	1.37087e+006	
36	5.25426e+006	512821	535141	535137	224318	21372	9841	1.31532e+006	361	114684	3.14447e+006	1.46704e+006	
37	5.14991e+006	477131	485973	485894	246428	27930	12827	1.525e+006	470	104350	3.24882e+006	1.56032e+006	
38	5.05625e+006	437616	442358	442555	257870	36301	16671	1.72516e+006	622	93661	3.34248e+006	1.64828e+006	
39	4.97218e+006	396773	411753	411766	258104	45802	21041	1.90155e+006	814	84078	3.42656e+006	1.72886e+006	
40	4.89538e+006	358886	401206	401050	243715	56541	26008	2.04089e+006	1075	76797	3.50336e+006	1.79947e+006	
41	4.82292e+006	326990	381228	381407	226795	68023	31270	2.18995e+006	1417	72454	3.57581e+006	1.86541e+006	
42	4.75563e+006	300624	360075	350757	208214	79654	36601	2.34192e+006	1869	67295	3.64311e+006	1.93112e+006	
43	4.69419e+006	277981	336108	318762	189203	90542	41620	2.48948e+006	2462	61435	3.70454e+006	1.99089e+006	
44	4.63819e+006	257192	311763	286728	172279	99553	45792	2.62982e+006	3214	56008	3.76055e+006	2.04606e+006	
45	4.58738e+006	235545	289129	256896	160256	105772	48650	2.75953e+006	4226	50808	3.81136e+006	2.09796e+006	
46	4.54139e+006	214242	268791	229844	156114	107956	49637	2.87488e+006	5526	45991	3.85735e+006	2.14615e+006	
47	4.49982e+006	194372	250553	205167	148384	109036	50150	2.98419e+006	7217	41566	3.89891e+006	2.19009e+006	
48	4.46206e+006	176125	229678	188389	138282	108198	49738	3.0866e+006	9402	37760	3.93668e+006	2.22902e+006	
49	4.42784e+006	159541	211536	173260	127327	105718	48612	3.18161e+006	11905	34224	3.9709e+006	2.2645e+006	
50	4.39669e+006	144696	194685	159306	116404	101345	46553	3.27086e+006	14749	31146	4.00204e+006	2.29662e+006	
51	4.36828e+006	131543	177714	145388	106248	95395	43854	3.35628e+006	17892	28413	4.03046e+006	2.32587e+006	
52	4.34252e+006	119542	161443	132125	97034	88358	40605	3.43651e+006	21203	25759	4.05622e+006	2.35256e+006	
53	4.31931e+006	108525	146404	119953	88731	80869	37171	3.51053e+006	24412	23208	4.07942e+006	2.37675e+006	
54	4.29824e+006	98456	132784	108710	81416	73889	33956	3.57783e+006	27414	21077	4.1005e+006	2.39884e+006	
55	4.27923e+006	89047	120419	98681	74960	68185	31322	3.63828e+006	29934	19003	4.1195e+006	2.41895e+006	
56	4.26213e+006	80387	109256	89612	68908	64939	29848	3.69175e+006	31750	17099	4.1366e+006	2.43714e+006	
57	4.2467e+006	72609	99151	81359	62897	60900	27999	3.74142e+006	33698	15430	4.15203e+006	2.45346e+006	
58	4.23265e+006	65583	89966	73860	57179	56508	25999	3.78734e+006	35652	14051	4.16608e+006	2.46838e+006	
59	4.21994e+006	59296	81685	66921	51885	52134	24002	3.82935e+006	37535	12717	4.1788e+006	2.48189e+006	
60	4.20848e+006	53656	73965	60594	47002	47864	22073	3.86782e+006	39363	11459	4.19026e+006	2.49401e+006	
61	4.2007e+006	46004	66783	54793	42635	43744	20145	3.90303e+006	41053	7777	4.19804e+006	2.50498e+006	
62	4.19371e+006	38944	60363	49505	38705	39896	18406	3.93499e+006	42626	6992	4.20503e+006	2.51499e+006	
63	4.18736e+006	32571	54682	44695	35096	36378	16761	3.9639e+006	44052	6343	4.21137e+006	2.52403e+006	
64	4.18183e+006	26650	49413	40346	31852	33262	15317	3.99007e+006	45315	5538	4.21691e+006	2.53221e+006	
65	4.17691e+006	23787	43225	35308	28801	30452	14019	4.0138e+006	46451	4914	4.22182e+006	2.53814e+006	
66	4.1726e+006	21108	37673	30752	26042	27870	12854	4.03519e+006	47500	4312	4.22614e+006	2.54347e+006	
67	4.16884e+006	18529	33346	25992	23525	25424	11732	4.05462e+006	48462	3764	4.2299e+006	2.54897e+006	
68	4.16559e+006	16233	29187	21638	21261	23119	10679	4.07233e+006	49375	3243	4.23314e+006	2.55379e+006	
69	4.16277e+006	14142	25308	17716	19280	20929	9652	4.08838e+006	50214	2823	4.23597e+006	2.55806e+006	
70	4.16037e+006	12227	21808	14069	17391	18963	8735	4.10293e+006	50975	2398	4.23836e+006	2.56187e+006	
71	4.15831e+006	10525	19984	11880	15246	17149	7909	4.11398e+006	51666	2062	4.24043e+006	2.565e+006	
72	4.15653e+006	9065	18242	9872	13293	15512	7139	4.12394e+006	52287	1783	4.24221e+006	2.56769e+006	
73	4.15493e+006	7841	15934	8660	11496	14081	6497	4.13296e+006	52841	1599	4.24381e+006	2.56994e+006	
74	4.15356e+006	6809	13910	7544	9857	12738	5883	4.14097e+006	53349	1366	4.24517e+006	2.57188e+006	
75	4.15235e+006	5960	12082	6520	8319	11557	5342	4.14814e+006	53805	1213	4.24639e+006	2.57354e+006	
76	4.1513e+006	5226	10427	5645	6926	10464	4831	4.15453e+006	54222	1048	4.24743e+006	2.57499e+006	
77	4.1504e+006	4533	9016	4891	6162	9288	4286	4.15985e+006	54606	906	4.24834e+006	2.57629e+006	
