Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542349	542350	13	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	4	14	15	1	1	
5	542346	542346	14	14	3	3	1	1	0	0	0	0	0	0	0	0	0	0	3	4	18	18	3	3	
6	542341	542342	15	16	5	6	1	2	0	0	0	0	0	0	0	0	0	0	4	5	22	23	5	6	
7	542337	542337	16	16	8	9	2	3	0	0	0	0	0	0	0	0	0	0	4	5	27	27	8	9	
8	542331	542332	17	18	11	12	3	4	0	0	0	0	0	0	0	0	0	0	5	5	32	33	11	12	
9	542326	542327	19	20	13	14	4	5	0	0	0	0	0	0	0	0	0	0	5	6	37	38	13	14	
10	542320	542321	20	21	16	17	5	6	0	0	0	0	0	0	1	1	0	0	5	6	43	44	17	18	
11	542313	542315	22	23	17	18	5	6	0	1	0	0	0	0	3	4	0	0	6	7	49	51	20	22	
12	542306	542309	24	25	18	20	6	7	1	1	0	0	0	0	6	6	0	0	6	7	55	58	24	25	
13	542300	542302	25	26	19	21	6	7	2	2	0	0	0	0	9	9	0	0	6	7	62	64	28	30	
14	542293	542295	26	28	21	22	7	8	2	3	0	0	0	0	12	12	0	0	7	7	69	71	32	34	
15	542285	542288	26	28	23	25	7	8	3	3	0	0	0	0	15	15	0	0	7	8	76	79	37	39	
16	542279	542283	25	28	24	26	8	9	4	4	0	0	0	0	18	19	0	0	5	6	81	85	42	44	
17	542273	542277	25	27	26	28	8	9	4	5	0	1	0	1	22	23	0	0	6	7	87	91	47	49	
18	542266	542271	24	27	27	30	9	10	4	5	1	1	1	1	26	27	0	0	6	7	93	98	53	55	
19	542260	542265	23	26	29	31	9	10	4	5	1	1	1	1	31	32	0	0	6	7	99	104	58	61	
20	542253	542259	24	26	29	32	9	10	5	6	1	2	1	1	36	37	0	0	6	7	105	111	63	66	
21	542246	542252	24	27	29	32	9	10	5	6	1	2	1	1	42	43	0	0	6	7	112	118	68	71	
22	542240	542246	24	26	28	32	9	10	6	7	2	2	1	1	48	49	0	0	6	7	118	124	73	77	
23	542233	542240	24	27	28	31	9	10	6	7	2	2	1	1	53	55	0	0	6	7	124	131	77	81	
24	542227	542234	24	27	27	31	9	10	7	8	2	2	1	2	59	62	0	0	6	7	130	137	82	86	
25	542220	542228	24	27	26	30	9	10	7	8	2	3	1	2	65	68	0	0	6	7	136	144	87	92	
26	542214	542222	24	27	27	30	9	10	7	8	3	3	2	2	71	74	0	0	6	7	142	150	92	97	
27	542207	542216	24	27	26	30	9	10	7	8	2	3	1	2	76	80	0	1	6	7	148	157	96	102	
28	542200	542210	24	27	27	30	9	10	7	8	2	3	1	1	82	87	1	1	6	7	154	164	101	108	
29	542194	542204	24	27	27	31	8	10	7	8	2	3	1	1	88	93	1	1	6	7	160	170	106	113	
30	542187	542197	24	27	27	31	8	10	7	8	3	3	1	2	94	99	1	1	6	7	167	177	112	118	
31	542180	542191	24	27	28	32	8	9	6	8	3	3	1	2	101	106	1	1	6	7	173	184	117	124	
32	542174	542185	24	27	27	31	8	10	7	8	3	3	1	2	106	112	1	1	6	7	179	190	121	129	
33	542167	542179	24	27	28	31	8	10	7	8	3	4	1	2	112	118	1	1	6	7	185	197	126	134	
34	542161	542173	24	27	27	31	8	10	7	8	3	4	1	2	118	125	1	1	6	7	191	203	131	140	
35	542154	542166	24	27	27	31	9	10	7	8	3	4	1	2	124	131	1	1	6	7	198	210	136	145	
36	542148	542160	24	27	27	30	9	10	7	8	3	4	1	2	130	138	1	2	6	7	204	216	141	150	
37	542141	542154	24	27	27	30	9	10	7	8	3	4	1	2	136	144	1	2	6	7	210	223	146	156	
38	542134	542148	24	27	27	30	9	10	7	8	3	4	1	2	142	151	1	2	6	7	216	230	151	161	
39	542128	542141	24	27	27	31	9	11	7	8	3	4	1	2	148	157	1	2	6	7	223	236	156	166	
40	542121	542135	24	27	26	30	9	10	7	8	3	4	1	2	154	164	2	2	6	7	229	243	162	171	
41	542115	542129	24	27	27	30	9	10	7	8	3	4	1	2	161	171	2	2	6	7	235	249	166	177	
42	542109	542123	24	27	27	31	9	10	7	8	3	4	1	2	167	177	2	2	6	7	241	255	172	183	
43	542102	542117	23	26	27	31	8	10	7	8	3	4	1	2	173	184	2	2	6	7	247	262	177	188	
44	542096	542111	24	26	28	32	8	9	7	8	3	4	1	2	179	190	2	2	6	7	253	268	183	194	
45	542089	542105	24	27	28	31	8	9	7	8	3	4	1	2	185	197	2	2	6	7	259	275	187	199	
46	542083	542099	24	27	28	32	8	9	7	8	3	4	1	2	191	203	2	2	6	7	265	281	193	204	
47	542076	542093	24	27	28	32	7	8	7	8	3	4	1	2	197	209	2	3	6	7	271	288	198	210	
48	542069	542087	24	27	28	32	7	8	7	8	3	4	1	2	203	216	2	3	6	7	277	295	203	215	
49	542063	542081	23	26	28	32	7	8	7	8	3	4	1	2	210	223	2	3	5	6	283	301	208	221	
50	542057	542075	23	26	28	32	7	8	6	8	3	4	1	2	216	229	2	3	6	7	289	307	213	227	
51	542051	542069	23	26	28	33	7	8	6	8	3	4	1	2	222	236	2	3	6	7	295	313	219	232	
52	542044	542063	23	26	28	33	7	8	7	8	3	4	1	2	228	242	2	3	6	7	301	320	224	237	
53	542037	542057	23	27	28	33	7	8	6	8	3	4	1	2	234	248	3	3	6	7	307	327	228	243	
54	542031	542051	23	26	28	32	7	8	7	8	3	4	1	2	240	255	3	3	6	7	313	333	233	248	
55	542024	542045	24	27	27	32	7	8	7	8	3	4	1	2	246	261	3	3	6	7	319	340	238	253	
56	542018	542039	24	27	27	32	7	8	7	8	3	4	1	2	251	267	3	3	6	7	325	346	243	259	
57	542011	542033	24	27	27	32	7	8	7	8	3	4	1	2	257	273	3	3	6	7	331	353	249	265	
58	542004	542027	24	27	27	32	7	8	7	8	3	4	1	2	264	280	3	4	6	7	337	360	253	270	
59	541998	542021	24	27	28	32	7	8	7	8	3	4	1	2	269	286	3	4	6	7	343	366	259	276	
60	541991	542014	24	27	28	33	7	8	7	8	3	4	1	2	275	293	3	4	6	7	350	373	264	281	
61	541985	542008	24	27	28	33	7	8	6	8	3	4	1	2	281	299	3	4	6	7	356	379	269	287	
62	541978	542002	24	27	28	33	7	8	6	8	3	4	1	2	287	306	3	4	6	7	362	386	274	292	
63	541972	541996	24	27	28	33	7	8	6	7	3	4	1	2	293	312	3	4	6	7	368	392	279	298	
64	541965	541990	24	27	29	33	7	8	6	7	3	4	1	2	299	319	3	4	6	7	374	399	285	303	
65	541958	541984	24	28	28	33	7	8	6	7	3	4	1	2	305	325	4	4	6	7	380	406	290	309	
66	541952	541978	24	27	28	33	7	8	6	7	3	4	1	2	311	332	4	4	6	7	386	412	294	314	
67	541945	541972	24	27	29	33	6	7	6	8	3	4	1	2	317	338	4	4	6	7	392	419	300	320	
68	541939	541966	24	27	30	34	6	7	6	8	3	4	1	2	323	345	4	4	6	7	398	425	306	327	
69	541933	541960	23	26	30	35	5	6	7	8	3	4	1	2	329	351	4	4	6	7	404	431	312	333	
70	541926	541954	23	26	31	35	5	5	7	8	3	4	1	2	335	357	4	4	6	7	410	438	318	339	
71	541920	541948	23	26	31	36	4	5	7	8	3	4	1	2	341	363	4	5	5	7	416	444	323	345	
72	541913	541942	23	26	32	36	3	4	7	9	3	4	1	2	346	369	4	5	6	7	422	451	329	351	
73	541907	541936	23	26	32	36	3	4	7	8	3	4	1	2	352	376	4	5	6	7	428	457	334	357	
74	541900	541930	23	26	32	36	3	4	7	9	3	4	1	2	358	382	4	5	6	7	434	464	340	363	
75	541894	541924	23	26	31	36	3	4	7	9	3	4	1	2	365	389	4	5	6	7	440	470	345	369	
76	541888	541918	23	26	31	36	3	4	7	8	3	4	1	2	371	396	4	5	6	7	446	476	351	375	
77	541882	541913	23	26	31	36	3	4	7	8	3	4	2	2	377	402	4	5	5	6	451	482	356	380	
78	541875	541906	23	26	31	36	3	4	6	8	3	4	2	2	383	409	4	5	6	7	458	489	361	386	
79	541868	541900	23	26	31	36	3	4	6	8	3	4	2	2	389	415	5	5	6	7	464	496	367	392	
80	541862	541894	23	27	31	35	3	4	6	8	3	4	2	2	395	422	5	5	6	7	470	502	372	398	
81	541856	541889	24	27	31	35	3	4	6	7	3	4	1	2	401	428	5	5	5	6	475	508	377	404	
82	541849	541882	23	27	31	35	3	4	6	7	3	4	1	2	407	434	5	6	6	7	482	515	383	410	
83	541842	541876	23	27	31	36	4	4	6	7	3	4	1	2	413	441	5	6	6	7	488	522	389	416	
84	541836	541870	23	27	31	36	3	4	6	7	3	4	1	2	419	447	5	6	6	7	494	528	394	422	
85	541830	541865	23	27	31	35	3	4	6	8	3	4	1	2	424	454	5	6	5	7	499	534	399	427	
86	541823	541859	23	26	31	36	3	4	6	8	3	4	1	2	430	460	5	6	6	7	505	541	405	434	
87	541817	541853	23	26	32	37	3	4	6	7	3	4	1	2	436	466	5	6	6	7	511	547	411	440	
88	541810	541846	23	26	32	37	3	4	6	7	3	4	1	2	442	473	5	6	6	7	518	554	416	446	
89	541804	541840	23	27	31	36	3	4	6	7	3	4	1	2	449	480	5	6	6	7	524	560	421	451	
90	541797	541835	23	27	31	36	3	4	6	7	3	4	1	2	454	486	5	6	6	7	529	567	427	457	
91	541791	541829	23	26	31	36	3	4	6	7	3	4	1	2	460	492	6	6	5	6	535	573	432	463	
92	541784	541823	23	26	31	36	3	4	6	7	3	4	1	2	466	499	6	6	6	7	541	580	438	469	
93	541778	541817	23	26	31	36	3	4	6	8	3	4	1	2	472	505	6	7	5	6	547	586	443	475	
94	541772	541811	23	26	31	36	3	4	6	8	3	4	1	2	478	511	6	7	5	7	553	592	449	481	
95	541766	541805	23	26	31	36	3	4	6	8	3	4	1	2	483	517	6	7	5	6	559	598	454	487	
96	541759	541799	23	26	31	36	3	4	6	8	3	4	1	2	489	524	6	7	6	7	565	605	460	493	
97	541753	541794	22	25	31	36	3	4	6	8	3	4	1	2	495	530	6	7	5	6	570	611	465	498	
98	541747	541788	23	26	31	35	3	4	6	7	3	4	1	2	501	537	6	7	6	7	576	617	470	504	
99	541741	541782	23	26	31	35	3	4	6	7	3	4	1	2	507	543	6	7	5	7	582	623	476	510	
100	541734	541776	23	26	31	35	3	4	6	8	3	4	1	2	513	549	6	7	6	7	588	630	481	516	
101	541728	541770	23	26	30	35	3	4	6	7	3	4	1	2	519	556	6	7	5	7	594	636	486	521	
102	541722	541764	23	26	30	35	3	4	6	7	3	4	1	2	525	562	6	7	5	7	600	642	491	527	
103	541716	541759	22	25	30	35	3	4	7	8	3	4	1	2	530	568	6	7	5	6	605	648	497	533	
104	541710	541753	22	25	30	35	3	4	7	8	3	4	1	2	536	574	6	7	6	7	611	654	502	539	
105	541703	541747	23	25	30	35	3	4	6	8	3	4	1	2	542	580	7	8	6	7	617	661	508	544	
106	541697	541741	23	26	30	35	3	4	6	7	3	4	1	2	548	587	7	8	6	7	623	667	513	550	
107	541690	541735	24	27	30	35	3	4	6	7	3	4	1	2	553	593	7	8	6	7	629	674	518	555	
108	541684	541729	23	26	30	35	3	4	6	7	3	4	1	2	559	599	7	8	6	7	635	680	524	561	
109	541677	541723	24	27	31	35	3	4	6	7	3	4	1	2	565	606	7	8	6	7	641	687	529	567	
110	541671	541717	23	26	31	35	3	4	6	7	3	4	1	2	571	612	7	8	5	6	647	693	534	573	
111	541665	541711	23	26	31	35	3	4	6	7	3	4	1	2	577	618	7	8	6	7	653	699	540	579	
112	541659	541705	23	26	31	35	3	4	6	7	3	4	1	2	582	624	7	8	6	7	659	705	546	585	
113	541652	541699	23	26	32	36	3	4	6	7	3	4	1	2	588	630	7	8	6	7	665	712	551	591	
114	541646	541693	23	26	31	36	3	4	6	7	3	4	1	2	594	636	7	8	5	6	671	718	556	597	
115	541640	541687	23	26	31	36	3	4	6	7	3	4	1	2	600	642	7	8	6	7	677	724	562	603	
116	541634	541681	23	26	31	35	3	4	6	7	3	4	1	2	606	649	7	8	5	6	683	730	567	608	
