Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542349	14	1	0	0	0	0	0	0	4	15	1	
5	542344	16	3	1	0	0	0	0	0	5	20	3	
6	542339	18	5	2	0	0	0	0	0	6	25	5	
7	542333	20	9	3	0	0	0	0	0	6	31	9	
8	542326	23	12	3	0	0	0	0	0	7	38	12	
9	542317	27	15	5	0	0	0	0	0	9	47	15	
10	542308	31	18	6	0	0	0	1	0	9	56	19	
11	542297	35	21	7	1	0	0	3	0	11	67	24	
12	542285	41	23	8	1	0	0	6	0	12	79	29	
13	542272	45	27	9	2	0	0	9	0	13	92	36	
14	542257	51	31	10	3	0	0	12	0	15	107	43	
15	542241	57	35	12	4	0	0	16	0	16	123	51	
16	542224	61	41	13	5	0	0	21	0	17	140	61	
17	542205	67	46	15	5	1	1	26	0	19	159	71	
18	542185	72	52	17	6	1	1	32	0	21	179	82	
19	542162	78	58	18	7	1	1	39	0	22	202	95	
20	542138	86	64	20	8	1	1	47	0	24	226	108	
21	542112	93	70	22	9	2	1	56	0	26	252	123	
22	542083	102	76	24	10	2	1	67	0	29	281	139	
23	542051	112	82	27	12	2	1	78	0	32	313	156	
24	542015	123	89	29	13	3	2	91	0	35	349	174	
25	541978	134	97	32	15	3	2	105	0	37	386	195	
26	541938	145	106	35	17	4	2	120	0	40	426	217	
27	541893	157	115	39	18	4	2	137	1	45	471	242	
28	541845	170	127	42	19	4	2	155	1	48	519	271	
29	541792	186	138	46	21	5	2	175	1	53	572	300	
30	541734	204	151	49	23	5	2	197	1	58	630	331	
31	541672	222	164	55	25	6	3	220	1	63	692	366	
32	541605	241	179	59	27	6	3	247	1	67	759	404	
33	541531	261	195	64	30	7	3	276	1	73	833	445	
34	541450	284	211	70	33	8	4	307	1	81	914	490	
35	541364	308	230	76	35	8	4	341	1	86	1001	538	
36	541269	336	250	84	38	9	4	377	2	95	1095	590	
37	541166	365	271	91	41	10	5	418	2	103	1198	646	
38	541057	393	295	100	45	11	5	462	2	109	1307	709	
39	540936	428	320	109	49	12	5	509	2	121	1428	776	
40	540806	463	348	118	52	13	6	562	2	130	1558	849	
41	540665	501	378	128	57	14	6	619	3	141	1699	929	
42	540511	546	415	132	62	16	7	679	3	154	1853	1020	
43	540343	593	457	138	68	17	8	745	3	167	2021	1119	
44	540161	645	501	144	75	18	8	818	3	183	2203	1227	
45	539968	697	548	151	81	20	9	896	4	193	2397	1343	
46	539756	755	600	159	89	22	10	981	4	212	2608	1471	
47	539527	817	655	167	97	24	11	1073	4	229	2837	1608	
48	539279	882	713	182	105	26	12	1171	5	248	3085	1758	
49	539010	958	772	197	114	28	13	1281	5	270	3354	1917	
50	538719	1037	837	212	124	30	14	1398	6	291	3645	2092	
51	538401	1126	909	229	134	33	15	1525	6	318	3963	2281	
52	538058	1221	984	248	145	36	17	1666	7	342	4306	2484	
53	537689	1321	1066	268	157	40	18	1817	7	370	4675	2706	
54	537285	1433	1155	287	171	43	20	1982	8	403	5079	2947	
55	536847	1554	1256	311	185	46	21	2157	8	438	5517	3211	
56	536375	1684	1360	337	200	50	24	2349	9	472	5989	3493	
57	535866	1822	1472	366	215	55	26	2557	10	508	6498	3797	
58	535316	1969	1598	396	234	59	28	2781	11	550	7048	4130	
59	534715	2131	1733	430	253	64	30	3025	12	601	7649	4490	
60	534065	2310	1877	467	274	70	33	3288	13	650	8299	4879	
61	533369	2498	2027	507	296	75	35	3578	14	697	8995	5297	
62	532609	2707	2192	551	321	81	38	3889	15	759	9755	5748	
63	531792	2924	2377	596	349	87	41	4223	17	818	10572	6242	
64	530910	3155	2574	647	379	94	44	4588	18	882	11454	6777	
65	529952	3417	2783	696	412	102	48	4984	19	958	12412	7353	
66	528919	3690	3011	754	446	111	52	5412	21	1032	13445	7977	
67	527811	3981	3341	733	483	119	56	5873	22	1109	14553	8734	
68	526613	4297	3697	709	523	130	61	6370	24	1198	15751	9548	
69	525315	4637	4079	685	567	140	65	6915	27	1298	17049	10434	
70	523929	4990	4489	657	614	152	71	7504	29	1385	18435	11389	
71	522426	5385	4926	632	661	166	77	8137	32	1504	19938	12411	
72	520811	5801	5398	598	715	180	83	8825	34	1614	21553	13519	
73	519076	6238	5831	646	774	196	91	9565	37	1735	23288	14703	
74	517210	6719	6285	695	837	213	99	10364	40	1866	25154	15968	
75	515205	7220	6774	753	904	231	107	11234	43	2005	27159	17337	
76	513058	7754	7297	811	975	251	116	12172	47	2148	29306	18810	
77	510756	8320	7864	870	1056	271	125	13175	51	2301	31608	20394	
78	508288	8923	8466	937	1138	294	136	14264	55	2469	34076	22097	
79	505651	9555	9101	1008	1227	318	147	15445	60	2637	36713	23925	
80	502829	10229	9786	1086	1322	343	158	16705	65	2822	39535	25884	
81	499817	10940	10506	1163	1426	370	170	18073	70	3012	42547	27984	
82	496616	11671	11273	1251	1540	399	183	19538	76	3200	45748	30236	
83	493199	12452	12083	1342	1654	431	198	21119	82	3418	49165	32641	
84	489562	13267	12945	1437	1780	466	214	22818	89	3636	52802	35219	
85	485703	14113	13854	1535	1915	503	231	24644	97	3859	56661	37970	
86	481617	15000	14804	1638	2060	541	249	26601	105	4087	60747	40893	
87	477296	15902	15807	1751	2212	585	268	28698	113	4320	65068	44012	
88	472734	16828	16857	1868	2372	632	290	30950	123	4562	69630	47332	
89	467920	17783	17958	1989	2541	681	312	33358	133	4814	74444	50856	
90	462864	18753	19094	2119	2723	734	337	35934	144	5056	79500	54586	
91	457565	19732	20267	2253	2918	788	362	38687	155	5299	84799	58530	
92	452006	20728	21491	2391	3116	849	390	41614	168	5559	90358	62696	
93	446201	21719	22752	2527	3324	913	420	44747	182	5805	96163	67095	
94	440159	22705	24032	2667	3543	981	451	48081	197	6043	102205	71715	
95	433877	23687	25328	2811	3775	1052	483	51621	213	6281	108487	76558	
96	427357	24649	26652	2959	4017	1127	518	55374	230	6520	115007	81638	
97	420624	25578	27992	3104	4263	1209	556	59347	248	6733	121740	86947	
98	413698	26461	29324	3252	4521	1289	592	63550	270	6926	128666	92472	
99	406559	27318	30641	3402	4791	1378	633	67984	291	7138	135805	98217	
100	399264	28093	31960	3547	5066	1472	676	72648	314	7295	143100	104182	
101	391817	28806	33252	3688	5346	1572	722	77544	338	7447	150547	110344	
102	384230	29468	34486	3822	5625	1677	773	82690	365	7588	158134	116688	
103	376540	30019	35682	3960	5909	1782	821	88077	395	7689	165824	123222	
104	368776	30488	36814	4081	6190	1892	871	93697	427	7764	173588	129909	
105	360953	30864	37861	4199	6466	2008	926	99554	459	7823	181411	136731	
106	353104	31125	38822	4306	6737	2129	981	105648	492	7849	189260	143684	
107	345278	31263	39677	4406	7002	2251	1035	111956	531	7826	197086	150730	
108	337470	31306	40429	4492	7255	2382	1098	118459	571	7808	204894	157851	
109	329711	31243	41044	4562	7503	2512	1158	125176	613	7760	212654	165025	
110	322057	31047	41537	4623	7749	2637	1214	132055	659	7653	220307	172226	
111	314498	30780	41883	4656	7972	2767	1273	139102	706	7560	227866	179413	
112	307086	30384	42076	4684	8179	2890	1328	146309	756	7411	235278	186582	
113	299821	29889	42141	4689	8364	3018	1386	153633	809	7265	242543	193714	
114	292738	29319	42043	4676	8529	3145	1444	161048	866	7083	249626	200754	
115	285865	28633	41807	4649	8661	3268	1502	168556	926	6873	256499	207706	
116	279195	27891	41412	4606	8761	3386	1555	176124	989	6670	263169	214523	
117	272763	27058	40908	4549	8831	3501	1611	183698	1056	6432	269601	221216	
118	266578	26160	40263	4469	8871	3610	1659	191288	1125	6185	275786	227744	
119	260638	25227	39462	4383	8883	3711	1704	198862	1197	5940	281726	234076	
120	254959	24236	38572	4290	8859	3805	1747	206373	1270	5679	287405	240220	
121	249535	23228	37559	4175	8801	3887	1786	213828	1350	5424	292829	246152	
122	244378	22200	36458	4050	8713	3962	1822	221173	1430	5157	297986	251859	
123	239495	21143	35261	3922	8609	4024	1850	228395	1515	4883	302869	257339	
124	234867	20092	33992	3787	8471	4075	1873	235480	1601	4628	307497	262580	
125	230519	19016	32691	3639	8299	4108	1887	242403	1689	4348	311845	267594	
126	226420	17958	31328	3489	8112	4126	1897	249151	1780	4099	315944	272356	
127	222561	16935	29932	3336	7904	4126	1896	255700	1872	3860	319803	276867	
128	218946	15921	28529	3182	7674	4113	1893	262032	1966	3614	323418	281146	
129	215554	14965	27096	3023	7419	4088	1882	268157	2062	3393	326810	285169	
130	212383	14037	25679	2860	7150	4054	1868	274041	2160	3170	329981	288968	
131	209437	13124	24274	2700	6883	3999	1843	279689	2258	2947	332927	292547	
132	206697	12249	22891	2540	6600	3936	1812	285096	2354	2740	335667	295898	
133	204154	11399	21552	2390	6311	3859	1780	290247	2452	2543	338210	299043	
134	201782	10601	20241	2242	6017	3767	1736	295164	2549	2372	340582	301985	
135	199596	9840	18983	2100	5717	3671	1689	299813	2644	2186	342768	304720	
136	197569	9128	17757	1966	5423	3568	1641	304213	2739	2027	344795	307264	
137	195691	8464	16570	1836	5126	3458	1592	308386	2833	1878	346673	309627	
138	193960	7822	15455	1709	4833	3337	1533	312321	2927	1730	348404	311834	
139	192359	7237	14373	1585	4548	3212	1473	316034	3017	1601	350005	313869	
140	190887	6682	13343	1471	4270	3078	1412	319529	3105	1472	351477	315752	
