Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542352	12	0	0	0	0	0	0	0	5	12	0	
4	542345	18	1	0	0	0	0	0	0	7	19	1	
5	542335	25	3	1	0	0	0	0	0	9	29	3	
6	542322	35	5	2	0	0	0	0	0	13	42	5	
7	542303	48	10	3	0	0	0	0	0	19	61	10	
8	542277	67	15	5	0	0	0	0	0	26	87	15	
9	542240	96	22	7	0	0	0	0	0	38	124	22	
10	542187	135	31	10	0	0	0	1	0	53	177	32	
11	542116	187	43	14	1	0	0	3	0	71	248	46	
12	542015	262	60	19	1	0	0	6	0	101	349	66	
13	541876	364	85	27	2	0	0	10	0	140	488	95	
14	541684	503	119	38	3	0	0	16	0	191	680	135	
15	541419	697	166	54	5	0	0	24	0	265	945	188	
16	541053	962	232	76	8	0	0	34	0	366	1311	264	
17	540547	1329	322	105	11	1	1	50	0	507	1817	370	
18	539847	1837	445	148	15	1	1	71	0	700	2517	514	
19	538884	2536	615	206	21	1	1	102	0	964	3480	714	
20	537543	3510	848	286	30	2	1	146	0	1340	4821	990	
21	535702	4845	1173	396	42	2	1	204	0	1842	6663	1372	
22	533163	6684	1621	547	59	3	2	287	0	2538	9201	1901	
23	529680	9204	2239	753	81	4	2	403	0	3483	12684	2629	
24	524909	12634	3101	1040	112	5	3	562	0	4771	17455	3642	
25	518377	17325	4284	1434	155	7	4	783	0	6532	23987	5035	
26	509536	23628	5916	1974	216	10	5	1085	0	8841	32828	6959	
27	497623	32057	8151	2716	298	13	6	1506	1	11913	44741	9596	
28	481719	43190	11202	3736	413	18	9	2085	1	15904	60645	13204	
29	460804	57573	15383	5124	571	25	12	2883	1	20915	81560	18155	
30	433858	75678	21007	7000	792	35	16	3993	1	26946	108506	24848	
31	399936	97687	28558	9520	1089	50	23	5523	1	33922	142428	33865	
32	358633	123086	38573	12871	1500	69	32	7630	1	41303	183731	45905	
33	310516	150288	51645	17230	2068	95	44	10520	2	48117	231848	61756	
34	257386	176472	68289	22761	2839	131	62	14483	2	53130	284978	82201	
35	202443	197493	88833	29607	3890	180	84	19915	2	54944	339921	107955	
36	150035	208598	113177	37726	5307	249	116	27269	3	52407	392329	139346	
37	104354	206162	140327	46781	7215	343	159	37179	4	45681	438010	175990	
38	68182	189204	168238	56095	9748	474	220	50418	5	36172	474182	216573	
39	42180	160262	193769	64593	13049	653	302	67851	7	26002	500184	258781	
40	25093	124942	212852	70971	17260	899	414	90338	9	17087	517271	299360	
41	14670	89684	221654	73928	22456	1233	569	118726	13	10424	527694	335218	
42	8649	59533	219616	70835	28634	1687	775	153393	18	6021	533715	366123	
43	5257	36923	204346	63990	35484	2293	1055	194047	24	3392	537107	389218	
44	3379	21714	178187	54105	42528	3101	1426	239316	33	1878	538985	405390	
45	2322	12348	145313	42460	48999	4166	1915	286711	45	1057	540042	416322	
46	1729	6921	110831	30555	53822	5530	2545	332915	61	594	540635	423625	
47	1387	3870	79301	19797	56042	7237	3326	374646	84	342	540977	428507	
48	1192	2187	51868	12935	55045	9312	4281	409710	116	195	541172	431392	
49	1079	1243	31903	7955	50870	11685	5371	437469	159	113	541285	433230	
50	1015	713	18703	4662	44055	14257	6556	458740	219	64	541349	434356	
51	980	407	10635	2648	35596	16840	7742	474957	301	36	541384	435028	
52	961	231	5972	1485	26802	19161	8813	487341	410	19	541403	435411	
53	950	129	3343	835	18795	20959	9634	496792	561	11	541414	435630	
54	944	71	1891	473	12295	22042	10131	503889	759	6	541420	435752	
55	941	39	1074	269	7565	22311	10254	509149	1016	4	541423	435821	
56	939	22	615	153	4434	21788	10012	513063	1350	2	541425	435860	
57	938	12	350	87	2522	20539	9442	516146	1771	1	541426	435880	
58	937	7	198	50	1413	18650	8572	518824	2285	0	541427	435892	
59	937	4	110	28	790	16272	7479	521345	2878	0	541427	435900	
60	937	2	62	15	447	13543	6222	523824	3535	0	541427	435904	
61	937	1	34	9	254	10667	4900	526242	4221	0	541427	435907	
62	936	1	19	5	145	7905	3629	528486	4868	0	541428	435908	
63	936	0	11	3	82	5491	2524	530408	5433	0	541428	435908	
64	936	0	6	1	47	3574	1644	531920	5879	0	541428	435909	
65	936	0	3	1	26	2195	1010	533003	6200	0	541428	435909	
66	936	0	2	0	15	1285	591	533715	6410	0	541428	435909	
67	936	0	1	0	8	731	336	534146	6542	0	541428	435909	
68	936	0	1	0	4	410	188	534396	6616	0	541428	435909	
69	936	0	0	0	3	229	106	534538	6658	0	541428	435909	
70	936	0	0	0	1	131	61	534614	6681	0	541428	435909	
71	936	0	0	0	1	75	35	534658	6695	0	541428	435909	
72	936	0	0	0	0	43	21	534682	6702	0	541428	435909	
73	936	0	0	0	0	24	12	534697	6706	0	541428	435909	
74	936	0	0	0	0	14	6	534705	6709	0	541428	435909	
75	936	0	0	0	0	8	4	534710	6710	0	541428	435909	
76	936	0	0	0	0	4	2	534712	6711	0	541428	435909	
77	936	0	0	0	0	2	1	534714	6711	0	541428	435909	
78	936	0	0	0	0	1	1	534715	6712	0	541428	435909	
79	936	0	0	0	0	1	0	534715	6712	0	541428	435909	
80	936	0	0	0	0	0	0	534715	6712	0	541428	435909	
81	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
82	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
83	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
84	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
85	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
86	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
87	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
88	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
89	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
90	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
91	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
92	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
93	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
94	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
95	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
96	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
97	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
98	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
99	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
100	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
101	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
102	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
103	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
104	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
105	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
106	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
107	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
108	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
109	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
110	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
111	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
112	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
113	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
114	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
115	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
116	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
117	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
118	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
119	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
120	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
121	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
122	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
123	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
124	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
125	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
126	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
127	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
128	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
129	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
130	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
131	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
132	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
133	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
134	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
135	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
136	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
137	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
138	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
139	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
140	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
141	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
142	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
143	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
144	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
145	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
146	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
147	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
148	936	0	0	0	0	0	0	534716	6712	0	541428	435909	
