Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542348	15	1	0	0	0	0	0	0	5	16	1	
5	542342	18	3	1	0	0	0	0	0	6	22	3	
6	542334	23	5	2	0	0	0	0	0	8	30	5	
7	542324	29	9	3	0	0	0	0	0	10	40	9	
8	542312	36	12	4	0	0	0	0	0	12	52	12	
9	542297	44	17	5	0	0	0	0	0	15	67	17	
10	542280	54	22	7	0	0	0	1	0	17	84	23	
11	542261	64	27	9	1	0	0	3	0	20	103	30	
12	542238	74	33	11	1	0	0	6	0	22	126	39	
13	542213	84	41	14	2	0	0	9	0	25	151	51	
14	542188	92	51	16	3	0	0	13	0	25	176	64	
15	542162	99	61	20	4	0	0	18	0	26	202	79	
16	542137	101	73	23	5	0	0	25	0	25	227	96	
17	542114	99	84	26	7	1	1	33	0	23	250	116	
18	542092	96	94	30	8	1	1	42	0	22	272	135	
19	542073	88	103	33	10	1	1	55	0	19	291	155	
20	542061	77	108	35	13	1	1	70	0	13	303	174	
21	542053	61	110	36	16	2	1	86	0	8	311	193	
22	542036	56	110	36	18	2	1	105	0	17	328	210	
23	542019	54	105	35	21	3	2	127	0	17	345	225	
24	542005	56	95	32	24	3	2	149	0	14	359	237	
25	541991	62	82	27	26	4	2	172	0	14	373	244	
26	541978	58	76	25	27	5	3	195	0	13	386	258	
27	541967	53	71	23	28	5	3	217	1	12	397	272	
28	541956	49	65	22	27	6	3	238	1	11	408	284	
29	541945	46	62	20	27	7	3	256	1	10	419	295	
30	541935	43	62	20	24	8	4	270	1	10	429	305	
31	541925	41	65	21	21	10	5	280	1	10	439	314	
32	541915	40	61	20	19	11	5	297	1	10	449	323	
33	541906	39	56	18	18	11	5	314	1	9	458	332	
34	541897	38	53	17	17	12	5	329	2	9	467	340	
35	541889	37	49	16	16	12	5	344	2	8	475	348	
36	541881	34	47	16	15	12	5	357	2	8	483	356	
37	541873	33	45	16	16	11	5	368	2	8	491	363	
38	541866	31	43	15	15	11	5	380	2	7	498	370	
39	541859	30	42	15	14	10	5	392	3	7	505	377	
40	541852	29	40	14	13	10	4	403	3	7	512	383	
41	541845	28	39	13	13	9	4	414	3	7	519	390	
42	541838	28	37	12	12	8	4	425	4	7	526	396	
43	541832	27	36	11	12	8	3	435	4	6	532	402	
44	541826	26	35	10	11	7	3	444	4	6	538	408	
45	541820	25	34	9	11	7	3	453	4	6	544	414	
46	541814	24	34	9	11	7	3	462	5	6	550	420	
47	541809	23	34	8	10	7	3	469	5	5	555	425	
48	541804	22	32	8	9	7	3	477	5	5	561	430	
49	541798	23	31	7	9	6	3	485	5	6	566	435	
50	541792	22	31	7	9	6	3	493	5	5	572	440	
51	541787	21	29	7	8	6	3	499	5	5	577	445	
52	541782	21	28	7	8	6	3	506	6	5	582	449	
53	541777	21	28	6	8	5	3	513	6	6	587	454	
54	541772	20	27	6	8	5	3	520	6	5	592	459	
55	541768	20	26	6	7	5	2	526	6	5	596	463	
56	541763	20	25	6	7	5	2	532	6	5	601	467	
57	541758	18	26	6	7	4	2	538	6	4	606	472	
58	541752	20	25	6	7	4	2	543	7	6	612	476	
59	541746	22	24	6	7	4	2	549	7	6	618	479	
60	541740	23	24	6	7	4	2	554	7	6	624	483	
61	541734	24	23	6	7	4	2	559	7	6	630	487	
62	541728	24	24	6	6	4	2	565	7	6	636	492	
63	541721	25	24	6	6	4	2	571	7	7	643	497	
64	541714	26	25	7	6	3	1	575	7	7	650	502	
65	541708	26	27	7	6	3	1	580	7	7	656	507	
66	541701	27	28	7	6	3	2	585	7	7	663	512	
67	541694	27	31	7	5	3	2	589	7	7	670	519	
68	541686	28	31	6	6	3	2	595	8	7	678	525	
69	541679	29	33	5	6	3	2	601	8	8	685	531	
70	541671	30	34	5	6	3	1	607	8	8	693	537	
71	541661	33	36	5	6	3	1	613	8	10	703	544	
72	541651	36	37	4	6	3	1	619	8	10	713	551	
73	541640	39	38	4	7	3	1	625	8	11	724	558	
74	541629	42	39	4	7	3	1	632	8	11	735	565	
75	541617	44	42	5	7	3	1	638	8	12	747	574	
76	541605	46	45	5	7	3	1	645	8	12	759	583	
77	541592	48	48	5	7	3	1	652	8	13	772	593	
78	541578	51	52	6	7	3	1	659	8	14	786	603	
79	541564	53	56	6	7	3	1	666	8	15	800	614	
80	541548	57	60	7	8	3	1	674	9	15	816	625	
81	541532	60	62	7	9	3	1	683	9	16	832	636	
82	541514	64	65	8	9	3	2	692	9	18	850	649	
83	541496	67	68	8	10	3	2	702	9	18	868	662	
84	541477	71	72	9	11	3	2	713	9	19	887	676	
85	541457	75	76	9	12	3	2	723	9	20	907	691	
86	541436	78	81	10	12	4	2	735	9	21	928	707	
87	541414	82	86	10	13	4	2	747	9	22	950	723	
88	541391	86	90	10	14	4	2	759	9	23	973	740	
89	541367	90	96	11	14	4	2	773	9	24	997	759	
90	541342	95	101	11	15	5	2	787	9	25	1022	778	
91	541315	100	106	12	16	5	2	802	9	27	1049	798	
92	541286	106	110	12	17	5	2	818	9	29	1078	819	
93	541256	111	116	13	18	5	2	835	9	29	1108	841	
94	541226	116	122	13	19	6	2	852	9	31	1138	864	
95	541193	122	128	14	20	6	3	871	10	33	1171	889	
96	541159	127	135	15	21	7	3	890	10	34	1205	915	
97	541123	134	142	16	23	7	3	910	10	36	1241	942	
98	541085	141	149	17	24	8	3	932	10	38	1279	970	
99	541045	148	157	18	25	8	4	954	10	40	1319	1000	
100	541004	155	165	18	26	8	4	978	10	42	1360	1031	
101	540961	162	173	19	27	9	4	1003	10	43	1403	1065	
102	540915	170	182	19	29	9	4	1030	10	46	1449	1100	
103	540867	178	191	20	30	10	5	1057	11	48	1497	1136	
104	540817	187	200	22	32	10	5	1086	11	50	1547	1174	
105	540765	196	209	23	33	11	5	1116	11	52	1599	1213	
106	540710	206	220	24	36	11	5	1147	11	55	1654	1255	
107	540653	215	230	26	37	12	6	1181	11	57	1711	1298	
108	540591	226	241	27	38	12	6	1217	12	61	1773	1345	
109	540529	236	252	29	40	13	6	1254	12	62	1835	1392	
110	540463	247	264	30	41	14	6	1293	12	66	1901	1442	
111	540392	260	277	31	43	15	7	1333	12	70	1972	1494	
112	540319	272	291	33	45	15	7	1376	13	73	2045	1550	
113	540244	285	304	35	48	16	7	1420	13	75	2120	1607	
114	540164	299	318	37	52	16	8	1466	13	80	2200	1668	
115	540079	313	334	38	54	17	8	1514	13	84	2285	1732	
116	539992	327	351	39	57	18	8	1565	14	87	2372	1799	
117	539900	344	367	41	60	19	9	1619	14	92	2464	1868	
118	539828	336	385	43	63	20	9	1676	14	72	2536	1941	
119	539753	327	404	45	66	21	10	1734	15	75	2611	2018	
120	539674	318	423	47	68	22	11	1796	15	79	2690	2098	
121	539593	307	443	49	71	23	11	1862	16	81	2771	2182	
122	539514	314	441	49	75	24	12	1930	16	79	2850	2248	
123	539434	319	442	49	79	26	13	1999	17	80	2930	2318	
124	539353	320	441	50	82	27	13	2074	17	81	3011	2390	
125	539272	321	438	49	86	29	14	2153	17	81	3092	2465	
126	539192	322	430	48	89	30	15	2234	18	80	3172	2537	
127	539110	324	419	47	94	32	15	2320	19	81	3254	2611	
128	539033	321	427	48	93	34	16	2390	19	78	3331	2685	
129	538952	320	432	49	92	35	17	2464	20	81	3412	2759	
130	538872	320	434	48	92	36	17	2542	21	80	3492	2834	
131	538793	317	433	49	92	37	17	2620	21	79	3571	2908	
132	538713	319	433	49	91	39	18	2698	22	80	3651	2980	
133	538631	320	434	49	89	41	19	2778	23	82	3733	3054	
134	538550	322	433	48	91	41	19	2855	24	81	3814	3128	
135	538470	323	431	48	92	42	19	2935	24	80	3894	3200	
136	538390	324	431	48	91	42	20	3013	25	80	3974	3274	
137	538308	323	432	48	91	43	20	3093	26	81	4056	3349	
138	538227	323	435	48	91	43	20	3171	27	81	4137	3424	
139	538147	323	435	47	91	42	20	3251	28	80	4217	3498	
140	538068	322	435	47	90	43	20	3331	29	79	4296	3572	
141	537988	320	437	47	91	43	20	3408	30	79	4376	3646	
142	537908	319	439	47	91	43	20	3486	31	80	4456	3721	
143	537827	320	437	47	91	42	20	3567	32	81	4537	3795	
144	537745	322	435	47	92	42	20	3647	33	81	4619	3868	
145	537665	324	434	48	92	43	20	3726	34	81	4699	3941	
146	537583	325	434	48	92	42	20	3805	35	82	4781	4015	
147	537503	323	434	48	92	42	20	3885	36	79	4861	4090	
148	537424	322	434	48	92	42	20	3966	37	80	4940	4164	
149	537344	321	435	48	91	43	20	4045	38	80	5020	4239	
150	537262	321	437	48	91	43	20	4123	39	82	5102	4314	
151	537180	323	437	48	91	43	20	4202	40	82	5184	4387	
152	537099	324	436	48	91	42	20	4282	41	81	5265	4460	
153	537018	326	434	49	92	42	19	4361	42	82	5346	4533	
154	536938	324	434	49	92	42	19	4442	43	80	5426	4608	
155	536855	325	435	49	92	42	19	4521	44	82	5509	4683	
156	536773	326	434	49	92	42	19	4602	45	82	5591	4758	
157	536692	326	437	49	91	42	19	4682	46	82	5672	4833	
158	536610	328	437	49	91	42	19	4760	47	82	5754	4907	
159	536526	329	440	48	91	42	19	4839	48	84	5838	4983	
160	536443	331	441	48	91	42	19	4920	49	83	5921	5058	
161	536361	331	441	48	92	42	19	5000	50	82	6003	5134	
