Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	24	0	0	0	0	0	0	0	9	24	0	
4	1.57621e+006	28	3	0	0	0	0	0	0	6	31	3	
5	1.5762e+006	28	7	2	0	0	0	0	0	7	37	7	
6	1.57619e+006	29	12	3	0	0	0	0	0	7	44	12	
7	1.57618e+006	28	19	5	0	0	0	0	0	7	52	19	
8	1.57618e+006	29	24	7	0	0	0	0	0	8	59	24	
9	1.57617e+006	30	29	9	0	0	0	0	0	8	67	29	
10	1.57616e+006	32	31	10	0	0	0	3	0	9	76	34	
11	1.57615e+006	32	32	11	1	0	0	8	0	8	84	40	
12	1.57614e+006	33	33	11	2	0	0	13	0	8	92	46	
13	1.57614e+006	34	32	11	4	0	0	20	0	9	101	52	
14	1.57613e+006	34	34	11	5	0	0	26	0	8	110	59	
15	1.57612e+006	34	35	12	6	0	0	31	0	9	119	65	
16	1.57611e+006	35	36	12	8	0	0	36	0	9	128	71	
17	1.5761e+006	35	37	13	8	1	1	42	0	9	136	78	
18	1.57609e+006	36	37	13	9	2	2	49	0	9	145	84	
19	1.57608e+006	35	38	13	9	3	3	56	0	8	154	91	
20	1.57607e+006	35	39	13	9	3	3	63	0	9	163	98	
21	1.57606e+006	36	39	13	9	4	3	71	0	9	172	105	
22	1.57606e+006	36	39	14	9	4	4	79	0	9	181	112	
23	1.57605e+006	36	39	14	10	5	4	87	0	9	190	119	
24	1.57604e+006	36	40	13	10	5	4	94	0	9	199	126	
25	1.57603e+006	36	40	13	11	6	4	102	0	9	208	134	
26	1.57602e+006	35	41	13	11	7	5	110	0	8	216	141	
27	1.57601e+006	36	40	13	11	6	4	119	1	9	225	148	
28	1.576e+006	35	41	13	11	5	3	127	2	9	234	156	
29	1.57599e+006	35	41	12	11	5	3	135	2	9	243	163	
30	1.57598e+006	36	41	12	11	5	3	144	3	9	252	170	
31	1.57598e+006	32	41	13	11	5	3	153	3	5	257	178	
32	1.57597e+006	29	40	13	11	5	2	161	3	6	263	184	
33	1.57597e+006	26	41	12	11	5	2	170	4	6	269	191	
34	1.57596e+006	22	40	13	11	6	3	179	4	5	274	198	
35	1.57596e+006	22	38	12	11	5	3	187	4	5	279	203	
36	1.57595e+006	22	36	11	11	5	3	195	4	6	285	208	
37	1.57595e+006	22	33	11	12	6	3	204	4	6	291	212	
38	1.57594e+006	22	31	9	11	6	3	213	4	5	296	217	
39	1.57594e+006	22	28	9	11	6	3	221	4	5	301	222	
40	1.57593e+006	21	27	7	11	6	3	230	4	5	306	227	
41	1.57593e+006	20	27	7	10	6	3	236	5	5	311	232	
42	1.57592e+006	20	26	7	10	6	3	243	5	5	316	236	
43	1.57592e+006	20	25	7	9	6	3	249	5	5	321	240	
44	1.57591e+006	19	25	7	8	6	3	256	5	4	325	244	
45	1.57591e+006	19	25	7	7	6	3	261	5	5	330	248	
46	1.5759e+006	19	23	7	7	6	3	267	5	5	335	251	
47	1.5759e+006	18	23	7	7	5	3	274	5	4	339	255	
48	1.57589e+006	19	23	6	6	5	2	279	6	5	344	259	
49	1.57589e+006	19	22	6	6	5	2	285	6	5	349	263	
50	1.57588e+006	18	22	6	6	4	2	290	6	5	353	267	
51	1.57588e+006	19	22	6	6	4	2	295	6	5	358	271	
52	1.57587e+006	18	22	6	6	4	2	300	6	4	362	275	
53	1.57587e+006	18	22	6	6	4	2	305	7	5	367	279	
54	1.57587e+006	18	23	6	6	4	2	309	7	5	371	283	
55	1.57586e+006	18	23	5	6	3	2	314	7	5	376	287	
56	1.57586e+006	18	22	5	6	3	1	319	7	4	380	290	
57	1.57585e+006	18	23	5	6	3	1	323	7	5	385	295	
58	1.57585e+006	18	23	5	6	3	1	327	7	4	390	299	
59	1.57584e+006	18	23	5	6	3	1	332	7	5	394	303	
60	1.57584e+006	18	22	5	6	3	1	336	8	5	399	306	
61	1.57583e+006	18	23	4	6	3	1	341	8	5	403	311	
62	1.57583e+006	18	23	5	6	3	1	345	8	5	408	314	
63	1.57582e+006	18	23	5	6	3	1	349	8	4	412	318	
64	1.57582e+006	18	23	5	6	3	1	354	8	5	417	322	
65	1.57581e+006	18	22	5	6	3	1	359	8	4	422	326	
66	1.57581e+006	18	23	5	6	3	1	363	8	5	426	330	
67	1.57581e+006	18	23	5	6	3	1	367	9	4	430	334	
68	1.5758e+006	18	23	4	7	3	1	371	9	4	435	338	
69	1.5758e+006	18	23	4	6	3	2	376	9	5	439	343	
70	1.57579e+006	18	24	4	6	3	1	380	9	5	444	347	
71	1.57579e+006	18	24	3	6	3	1	385	9	4	448	351	
72	1.57578e+006	18	24	3	6	3	2	390	9	5	453	355	
73	1.57578e+006	18	24	3	5	3	2	395	9	4	458	359	
74	1.57577e+006	18	24	3	5	3	2	399	9	4	462	364	
75	1.57577e+006	18	24	2	5	3	2	404	9	4	466	368	
76	1.57577e+006	18	24	2	5	3	1	409	9	5	471	372	
77	1.57576e+006	18	25	2	5	3	1	413	9	4	475	376	
78	1.57576e+006	18	25	2	5	3	1	417	10	4	480	380	
79	1.57575e+006	18	25	2	5	3	1	422	10	5	484	385	
80	1.57575e+006	17	25	2	5	3	1	427	10	4	489	389	
81	1.57574e+006	18	25	2	5	3	1	431	10	5	493	393	
82	1.57574e+006	18	24	2	5	3	1	435	10	4	498	397	
