Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	26	0	0	0	0	0	0	0	11	26	0	
4	1.5762e+006	33	3	0	0	0	0	0	0	10	36	3	
5	1.57619e+006	40	7	2	0	0	0	0	0	13	49	7	
6	1.57617e+006	52	12	3	0	0	0	0	0	18	67	12	
7	1.57615e+006	62	20	6	0	0	0	0	0	21	88	20	
8	1.57612e+006	79	28	8	0	0	0	0	0	27	115	28	
9	1.57609e+006	98	38	11	0	0	0	0	0	32	147	38	
10	1.57605e+006	123	48	15	0	0	0	3	0	43	190	51	
11	1.576e+006	153	59	20	1	0	0	8	0	51	241	67	
12	1.57593e+006	190	75	25	2	0	0	13	0	64	305	88	
13	1.57585e+006	239	91	31	4	0	0	22	0	81	387	112	
14	1.57576e+006	291	116	38	6	0	0	29	0	95	482	145	
15	1.57564e+006	357	146	47	9	0	0	40	0	116	598	184	
16	1.57549e+006	441	180	59	12	0	0	55	0	149	747	232	
17	1.57531e+006	536	227	72	15	1	1	72	0	176	922	295	
18	1.5751e+006	659	278	88	19	2	2	94	0	218	1140	368	
19	1.57483e+006	812	342	109	24	3	3	120	0	269	1410	458	
20	1.5745e+006	991	420	137	30	4	3	156	0	328	1738	570	
21	1.5741e+006	1217	514	167	38	5	4	198	0	401	2139	705	
22	1.5736e+006	1497	629	206	48	6	4	251	0	498	2637	872	
23	1.573e+006	1829	769	254	61	7	5	319	0	601	3238	1078	
24	1.57226e+006	2234	943	313	74	9	5	399	0	734	3972	1329	
25	1.57136e+006	2737	1154	386	92	11	6	496	0	903	4875	1636	
26	1.57026e+006	3335	1416	474	113	13	7	621	0	1096	5972	2016	
27	1.56893e+006	4069	1731	585	138	15	8	768	1	1336	7307	2472	
28	1.56728e+006	4989	2117	715	168	18	9	952	2	1653	8961	3032	
29	1.56527e+006	6091	2589	877	205	22	10	1180	2	2006	10967	3718	
30	1.56282e+006	7444	3161	1073	253	27	13	1455	3	2448	13415	4551	
31	1.55982e+006	9106	3863	1305	310	34	16	1792	3	2998	16413	5571	
32	1.55618e+006	11098	4731	1593	380	42	20	2211	4	3646	20059	6835	
33	1.55175e+006	13516	5791	1938	468	51	23	2715	4	4424	24483	8373	
34	1.54633e+006	16491	7078	2365	571	63	29	3334	5	5423	29906	10246	
35	1.53977e+006	20049	8648	2889	702	77	35	4091	5	6556	36462	12537	
36	1.53181e+006	24365	10563	3524	856	95	44	5015	6	7961	44424	15324	
37	1.52214e+006	29609	12875	4301	1043	117	54	6140	7	9668	54092	18705	
38	1.51043e+006	35903	15706	5240	1271	143	66	7539	8	11717	65809	22857	
39	1.49631e+006	43469	19126	6370	1549	177	82	9232	9	14122	79931	27886	
40	1.47934e+006	52472	23267	7741	1894	215	99	11296	11	16964	96895	33987	
41	1.45901e+006	63138	28266	9412	2316	263	122	13821	13	20334	117229	41383	
42	1.43475e+006	75681	34902	10848	2821	321	151	16901	15	24260	141489	50929	
43	1.40594e+006	90362	42882	12566	3432	389	184	20644	18	28804	170293	62442	
44	1.37194e+006	107405	52378	14611	4186	474	224	25225	21	34007	204300	76277	
45	1.33222e+006	126790	63722	17045	5096	578	271	30762	25	39719	244019	92871	
46	1.28606e+006	148684	77157	19908	6203	703	328	37487	31	46154	290173	112686	
47	1.23312e+006	172824	92954	23247	7540	860	400	45654	38	52944	343118	136209	
48	1.17313e+006	198811	110774	27718	9148	1049	486	55566	46	59994	403111	163863	
49	1.10605e+006	226166	131275	32814	11104	1277	593	67495	56	67074	470185	196220	
50	1.03249e+006	253574	154656	38622	13405	1558	722	81864	68	73562	543748	233843	
51	953099	280020	180732	45156	16159	1901	877	99087	83	79390	623137	277009	
52	869244	303881	209329	52294	19401	2317	1065	119671	100	83855	706992	325980	
53	782639	323412	239985	59907	23239	2829	1299	144104	122	86605	793597	380830	
54	695395	337094	271632	67815	27697	3437	1576	173018	148	87244	880841	441030	
55	609905	343193	303328	75790	32809	4171	1917	206861	179	85489	966331	506103	
56	528293	340951	333459	83359	38665	5047	2320	246245	216	81613	1.04794e+006	575036	
57	452558	330081	360365	90114	45195	6081	2794	291576	266	75735	1.12368e+006	646416	
58	384251	311144	382128	95602	52357	7317	3360	343114	323	68307	1.19199e+006	718589	
59	324229	285677	396814	99332	59983	8788	4039	401020	394	60022	1.25201e+006	789663	
60	272717	255576	403281	100915	67905	10510	4833	464855	478	51512	1.30352e+006	857928	
61	229522	223036	400412	100129	75811	12501	5748	534243	582	43195	1.34671e+006	921740	
62	194066	190185	387918	97076	83355	14795	6803	608134	709	35456	1.38217e+006	979677	
63	165324	158904	366659	91751	90025	17379	7995	685329	864	28741	1.41091e+006	1.03111e+006	
64	142448	130268	338090	84588	95470	20286	9332	764036	1050	22876	1.43379e+006	1.07578e+006	
65	124437	105084	304268	76115	99150	23463	10789	842443	1275	18011	1.4518e+006	1.11373e+006	
66	110341	83725	267337	66890	100763	26868	12358	918770	1543	14096	1.4659e+006	1.14535e+006	
67	99410	65915	232587	54647	100049	30402	13986	991357	1870	10932	1.47683e+006	1.17423e+006	
68	90964	51484	198589	43213	96925	33984	15625	1.05883e+006	2252	8445	1.48527e+006	1.19756e+006	
69	84469	39968	166819	32973	91634	37434	17208	1.12023e+006	2711	6495	1.49177e+006	1.21617e+006	
