Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	516	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	184	516	520	0	0	
4	8.39797e+006	8.39799e+006	732	747	16	16	0	0	0	0	0	0	0	0	0	0	0	0	230	245	748	763	16	16	
5	8.39766e+006	8.39769e+006	873	897	131	140	36	45	0	0	0	0	0	0	0	0	0	0	296	314	1049	1073	131	140	
6	8.39728e+006	8.39732e+006	1080	1121	251	262	74	85	0	0	0	0	0	0	0	0	0	0	363	389	1416	1457	251	262	
7	8.39679e+006	8.39685e+006	1366	1429	385	401	118	133	0	0	0	0	0	0	0	0	0	0	462	497	1885	1947	385	401	
8	8.39617e+006	8.39626e+006	1723	1803	558	581	177	195	0	0	0	0	0	0	0	0	0	0	584	622	2476	2562	559	580	
9	8.39539e+006	8.3955e+006	2181	2282	787	819	247	268	0	0	0	0	0	0	0	0	0	0	751	796	3235	3349	790	816	
10	8.39441e+006	8.39456e+006	2750	2873	1050	1097	335	359	0	0	0	0	0	0	16	16	0	0	927	985	4173	4324	1071	1109	
11	8.39317e+006	8.39338e+006	3461	3625	1278	1348	412	442	27	35	0	0	0	0	141	149	0	0	1172	1249	5352	5565	1429	1482	
12	8.39169e+006	8.39196e+006	4298	4487	1606	1699	513	548	56	67	0	0	0	0	269	280	0	0	1416	1489	6781	7042	1881	1951	
13	8.38988e+006	8.3902e+006	5295	5518	2036	2158	655	700	89	102	0	0	0	0	416	430	0	0	1744	1831	8537	8860	2456	2547	
14	8.38757e+006	8.38799e+006	6560	6852	2559	2715	826	887	133	150	0	0	0	0	604	624	0	0	2193	2319	10742	11168	3173	3286	
15	8.38479e+006	8.38533e+006	8049	8390	3206	3417	1053	1121	194	212	0	0	0	0	845	871	0	0	2658	2789	13410	13947	4071	4230	
16	8.38136e+006	8.38203e+006	9915	10341	4000	4249	1309	1391	269	293	0	0	0	0	1136	1175	0	0	3279	3442	16704	17375	5169	5368	
17	8.37718e+006	8.37802e+006	12173	12705	4959	5250	1634	1722	328	355	15	19	14	17	1530	1585	0	0	4006	4191	20719	21556	6503	6752	
18	8.37202e+006	8.37308e+006	14904	15559	6136	6505	2062	2168	416	447	25	30	19	22	2022	2098	0	0	4928	5169	25658	26714	8171	8500	
19	8.36563e+006	8.36698e+006	18336	19167	7557	8012	2536	2667	534	570	34	40	23	27	2652	2754	0	0	6088	6399	31757	33103	10228	10635	
20	8.35803e+006	8.3597e+006	22319	23343	9290	9847	3145	3299	668	712	46	54	29	34	3441	3575	0	0	7267	7615	39034	40706	12717	13230	
21	8.34872e+006	8.35079e+006	27216	28474	11397	12066	3855	4040	835	890	64	75	38	44	4435	4618	0	0	8899	9325	47948	50017	15789	16424	
22	8.33722e+006	8.33978e+006	33290	34812	13970	14814	4770	4996	1046	1105	84	97	46	54	5633	5857	0	0	11001	11509	58961	61514	19527	20328	
23	8.32318e+006	8.3263e+006	40662	42472	17182	18263	5868	6149	1285	1359	110	124	59	68	7120	7400	0	0	13457	14062	72433	75561	24159	25185	
24	8.30612e+006	8.30998e+006	49715	51923	20961	22275	7132	7464	1592	1674	143	160	74	86	8988	9354	0	0	16315	17070	88759	92620	29702	30975	
25	8.28532e+006	8.29007e+006	60704	63407	25616	27229	8678	9086	1950	2050	185	205	93	107	11254	11712	0	0	19889	20808	108662	113414	36523	38094	
26	8.25994e+006	8.26576e+006	74000	77296	31355	33326	10612	11104	2422	2547	233	256	115	130	14028	14592	0	0	24296	25400	132974	138798	44926	46877	
27	8.22898e+006	8.23616e+006	90127	94207	38405	40796	12968	13549	2988	3129	284	310	129	147	17408	18126	13	16	29587	30969	162572	169756	55232	57633	
28	8.19158e+006	8.20033e+006	109630	114552	46926	49845	15763	16473	3654	3830	358	389	161	183	21603	22501	17	20	35816	37417	198403	207158	67746	70699	
29	8.14609e+006	8.15678e+006	133278	139250	57181	60722	19230	20083	4496	4720	442	478	199	225	26776	27906	19	22	43538	45505	241953	252651	82941	86585	
30	8.09095e+006	8.10396e+006	161791	169007	69859	74168	23472	24532	5492	5768	561	601	252	278	32937	34336	21	25	52811	55154	294780	307790	101530	105984	
31	8.02428e+006	8.03996e+006	196186	204714	85246	90541	28648	29928	6729	7061	686	733	309	339	40484	42216	25	31	63979	66679	358774	374454	124179	129688	
32	7.94379e+006	7.96277e+006	237555	247798	103728	110145	34841	36372	8227	8614	852	909	387	421	49830	51976	30	37	77182	80504	435970	454944	151593	158330	
33	7.8472e+006	7.8701e+006	286665	298894	126091	133923	42352	44244	10067	10536	1052	1116	480	518	61254	63890	36	44	92649	96601	528633	551532	184932	193133	
34	7.73127e+006	7.75875e+006	345192	359688	153225	162694	51480	53792	12300	12874	1294	1375	593	639	75094	78346	44	52	111336	115949	639985	667464	225343	235294	
35	7.59347e+006	7.62613e+006	413819	430828	186036	197342	62504	65270	14995	15684	1581	1684	732	789	92003	96010	55	64	132607	137819	772605	805270	274283	286276	
36	7.43009e+006	7.46872e+006	494037	513720	225396	238987	75723	79036	18295	19128	1945	2065	905	970	112643	117556	65	74	157402	163394	930021	968651	333332	347846	
37	7.23744e+006	7.28268e+006	587415	609775	272257	288506	91534	95539	22316	23348	2375	2513	1106	1178	137776	143829	80	91	186024	192659	1.11606e+006	1.16129e+006	404218	421721	
38	7.0126e+006	7.06522e+006	693518	718684	328514	347882	110330	115163	27147	28415	2903	3068	1351	1435	168224	175592	99	113	217440	224857	1.33352e+006	1.38614e+006	489562	510525	
39	6.75242e+006	6.81324e+006	812871	841061	394780	417492	132677	138321	33041	34587	3562	3758	1657	1754	205199	214200	122	136	251957	260198	1.58549e+006	1.64631e+006	591118	616064	
40	6.45437e+006	6.52365e+006	945040	975743	472615	499096	158902	165489	40100	41944	4368	4603	2040	2157	250127	261107	153	169	289567	298081	1.87509e+006	1.94437e+006	711683	741149	
41	6.11776e+006	6.19558e+006	1.08707e+006	1.11972e+006	563695	594223	189327	196881	48685	50873	5345	5618	2489	2622	304523	317793	186	205	328051	336632	2.20316e+006	2.28098e+006	854337	888898	
42	5.74366e+006	5.82959e+006	1.23559e+006	1.26898e+006	679436	714089	213526	221687	58963	61587	6514	6834	3026	3184	370228	386308	229	251	365948	374136	2.56915e+006	2.65508e+006	1.03202e+006	1.07271e+006	
43	5.33499e+006	5.42828e+006	1.38492e+006	1.41748e+006	811289	850255	240650	249449	71217	74331	7936	8324	3681	3863	449158	468598	287	312	401265	408714	2.97046e+006	3.06374e+006	1.23822e+006	1.28564e+006	
44	4.89722e+006	4.99638e+006	1.5272e+006	1.55721e+006	959197	1.00206e+006	270744	280006	85876	89551	9665	10139	4465	4688	544061	567428	350	379	431838	437832	3.40236e+006	3.50151e+006	1.47539e+006	1.52983e+006	
45	4.43792e+006	4.54084e+006	1.65463e+006	1.67994e+006	1.12213e+006	1.16836e+006	303046	312724	103106	107410	11803	12365	5423	5690	657229	685060	433	469	455439	459401	3.85789e+006	3.96082e+006	1.74437e+006	1.80589e+006	
46	3.96735e+006	4.07166e+006	1.75776e+006	1.77648e+006	1.29694e+006	1.3453e+006	336793	346516	123385	128476	14347	15018	6591	6914	791711	824620	538	577	468892	470858	4.32707e+006	4.43139e+006	2.04481e+006	2.11315e+006	
47	3.49894e+006	3.60178e+006	1.82614e+006	1.83641e+006	1.47846e+006	1.52755e+006	370643	380201	147088	152948	17448	18255	8031	8408	950824	989429	659	703	468126	470164	4.79696e+006	4.89979e+006	2.37476e+006	2.44934e+006	
48	3.04567e+006	3.14417e+006	1.84992e+006	1.85384e+006	1.65003e+006	1.6976e+006	413652	422939	174371	181001	21142	22123	9710	10173	1.13716e+006	1.1822e+006	802	857	453176	457704	5.25457e+006	5.35306e+006	2.72868e+006	2.80828e+006	
