Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	513	0	0	0	0	0	0	0	177	513	0	
4	8.39805e+006	672	16	0	0	0	0	0	0	175	688	16	
5	8.39786e+006	703	136	40	0	0	0	0	0	191	879	136	
6	8.39765e+006	749	256	80	0	0	0	0	0	206	1085	256	
7	8.39743e+006	791	389	124	0	0	0	0	0	220	1304	389	
8	8.3972e+006	852	519	169	0	0	0	0	0	235	1539	519	
9	8.39694e+006	913	664	215	0	0	0	0	0	253	1792	664	
10	8.39668e+006	968	802	267	0	0	0	16	0	261	2053	818	
11	8.3964e+006	1033	851	277	31	0	0	145	0	284	2337	993	
12	8.3961e+006	1099	913	290	61	0	0	275	0	301	2638	1176	
13	8.3958e+006	1146	965	314	94	0	0	419	0	300	2938	1366	
14	8.39549e+006	1191	1035	330	127	0	0	560	0	306	3244	1573	
15	8.39516e+006	1235	1109	350	164	0	0	715	0	328	3572	1804	
16	8.39483e+006	1266	1182	371	207	0	0	878	0	331	3903	2037	
17	8.39449e+006	1308	1239	394	221	17	15	1067	0	342	4246	2274	
18	8.39414e+006	1351	1286	419	237	28	20	1275	0	349	4595	2511	
19	8.39377e+006	1391	1347	434	251	36	25	1505	0	368	4963	2769	
20	8.39353e+006	1301	1392	458	274	45	28	1733	0	241	5204	3025	
21	8.39329e+006	1199	1433	476	293	58	35	1986	0	241	5445	3297	
22	8.39305e+006	1094	1462	495	310	70	42	2258	0	244	5689	3579	
23	8.39281e+006	964	1512	513	327	84	47	2527	0	238	5927	3876	
24	8.39257e+006	963	1468	493	340	96	53	2807	0	240	6167	4079	
25	8.39234e+006	956	1403	469	353	112	60	3108	0	234	6401	4271	
26	8.39211e+006	936	1341	444	363	129	68	3412	0	224	6625	4472	
