Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39818e+006	559	0	0	0	0	0	0	0	223	559	0	
4	8.3977e+006	1016	16	0	0	0	0	0	0	473	1032	16	
5	8.39699e+006	1572	136	40	0	0	0	0	0	717	1748	136	
6	8.39589e+006	2507	256	80	0	0	0	0	0	1095	2843	256	
7	8.39405e+006	4130	423	136	0	0	0	0	0	1846	4689	423	
8	8.39106e+006	6644	781	250	0	0	0	0	0	2987	7676	781	
9	8.38632e+006	10669	1317	431	0	0	0	0	0	4742	12418	1317	
10	8.37865e+006	17243	2134	693	0	0	0	16	0	7668	20086	2150	
11	8.36622e+006	27824	3400	1113	31	0	0	145	0	12426	32512	3542	
12	8.34664e+006	44420	5527	1814	61	0	0	275	0	19584	52096	5790	
13	8.3152e+006	71122	8903	2956	104	0	0	455	0	31444	83540	9340	
14	8.26463e+006	114018	14285	4769	193	0	0	839	0	50564	134104	15101	
15	8.18459e+006	181637	23031	7733	332	0	0	1416	0	80046	214149	24415	
16	8.05784e+006	288801	36877	12376	552	0	0	2291	0	126748	340897	39158	
17	7.85909e+006	456104	59058	19794	880	17	15	3791	0	198747	539644	62817	
18	7.5521e+006	712534	94718	31710	1427	28	20	6222	0	306994	846638	100851	
19	7.08845e+006	1.09614e+006	151244	50488	2295	39	26	10084	0	463649	1.31029e+006	161121	
20	6.41283e+006	1.64501e+006	240595	80216	3729	65	38	16293	0	675615	1.9859e+006	256583	
21	5.48234e+006	2.37676e+006	380331	126800	6012	106	58	26394	0	930499	2.9164e+006	406202	
22	4.30491e+006	3.24719e+006	595770	198771	9620	169	87	42308	0	1.17742e+006	4.09382e+006	637289	
23	2.9872e+006	4.10125e+006	919969	306778	15410	270	132	67860	0	1.31771e+006	5.41154e+006	986584	
