Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542348	542349	14	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	15	16	1	1	
5	542343	542344	16	17	3	3	1	1	0	0	0	0	0	0	0	0	0	0	5	6	20	21	3	3	
6	542336	542338	19	21	5	6	1	2	0	0	0	0	0	0	0	0	0	0	6	6	26	28	5	6	
7	542329	542331	22	23	8	9	2	3	0	0	0	0	0	0	0	0	0	0	6	7	33	35	8	9	
8	542322	542324	25	27	11	12	3	4	0	0	0	0	0	0	0	0	0	0	7	8	40	42	11	12	
9	542314	542316	27	29	15	17	4	5	0	0	0	0	0	0	0	0	0	0	7	8	48	50	15	16	
10	542305	542308	29	31	19	20	6	7	0	0	0	0	0	0	1	1	0	0	8	9	56	59	20	21	
11	542297	542300	30	33	22	23	7	8	0	1	0	0	0	0	3	4	0	0	8	8	64	67	25	27	
12	542289	542293	30	33	25	27	8	9	1	1	0	0	0	0	6	6	0	0	7	8	71	75	31	32	
13	542282	542287	29	31	27	30	9	10	2	2	0	0	0	0	9	10	0	0	6	7	77	82	37	39	
14	542277	542282	26	28	30	33	10	11	3	3	0	0	0	0	12	13	0	0	5	5	82	87	43	45	
15	542270	542274	26	28	32	35	11	12	3	4	0	0	0	0	17	18	0	0	7	8	90	94	49	51	
16	542263	542269	24	26	33	36	11	12	4	5	0	0	0	0	22	23	0	0	6	7	95	101	54	57	
17	542257	542263	23	26	33	36	10	12	5	6	0	1	0	1	27	29	0	0	6	6	101	107	59	63	
18	542251	542257	24	27	31	34	10	11	6	7	1	1	1	1	33	35	0	0	5	6	107	113	63	67	
19	542246	542252	22	24	31	34	9	11	7	8	1	1	1	1	40	42	0	0	5	6	112	118	70	74	
20	542240	542246	22	24	29	33	9	10	7	8	1	2	1	1	47	49	0	0	5	6	118	124	74	79	
21	542234	542241	21	23	28	31	9	10	8	9	1	2	1	1	54	57	0	0	5	6	123	130	79	84	
22	542229	542237	20	22	26	29	9	10	9	10	2	2	1	1	60	64	0	0	5	6	127	135	83	88	
23	542224	542232	20	22	25	28	8	9	8	10	2	3	1	2	66	70	0	0	5	5	132	140	88	93	
24	542219	542227	20	21	26	29	8	10	8	9	3	3	2	2	71	75	0	0	5	6	137	145	92	98	
25	542213	542222	19	21	24	27	8	9	8	9	3	3	2	2	78	83	0	0	5	5	142	151	96	102	
26	542208	542217	19	21	23	27	8	9	8	9	3	4	2	2	84	89	0	0	4	5	147	156	100	106	
27	542204	542212	19	21	23	26	7	8	7	9	3	4	2	2	90	95	0	1	4	5	152	160	104	111	
28	542199	542208	18	20	23	26	7	8	7	8	3	4	1	2	96	101	1	1	4	5	156	165	108	115	
29	542194	542204	18	20	22	25	7	8	6	8	3	4	2	2	101	107	1	1	4	5	160	170	112	119	
30	542189	542199	18	19	22	25	6	8	7	8	4	4	2	2	106	112	1	1	4	5	165	175	116	123	
31	542185	542195	17	19	22	25	6	7	6	7	4	4	2	2	111	117	1	1	4	4	169	179	120	127	
32	542181	542191	17	19	21	24	6	7	6	7	4	4	2	2	116	123	1	1	4	5	173	183	123	131	
33	542176	542187	16	18	21	23	6	7	6	7	4	4	2	2	121	128	1	1	4	5	177	188	127	135	
34	542172	542182	16	18	20	23	6	7	6	7	3	4	2	2	126	134	1	1	4	5	182	192	131	138	
35	542168	542178	16	18	19	22	6	7	6	7	3	4	2	2	131	139	1	2	4	4	186	196	134	142	
36	542163	542174	16	18	19	21	6	7	6	7	3	4	1	2	136	144	1	2	4	5	190	201	137	145	
37	542159	542170	16	17	18	21	6	7	5	6	3	4	1	2	141	149	1	2	3	4	194	205	140	149	
38	542155	542166	16	17	18	21	6	7	5	6	3	4	1	2	145	154	2	2	4	5	198	209	144	152	
39	542151	542163	15	17	18	20	6	7	5	6	3	4	1	2	150	159	2	2	3	4	201	213	147	156	
40	542147	542159	15	17	18	20	6	7	5	6	3	3	1	2	155	164	2	2	3	4	205	217	151	160	
41	542144	542155	15	16	17	20	6	7	5	6	3	3	1	2	159	168	2	2	3	4	209	220	154	163	
42	542140	542152	14	16	18	20	6	7	5	6	3	3	1	2	163	173	2	2	3	4	212	224	157	166	
43	542136	542148	14	16	17	20	5	6	5	5	3	3	1	2	167	177	2	2	3	4	216	228	160	170	
44	542132	542144	14	16	17	20	5	6	4	5	3	3	1	2	172	182	2	2	3	4	220	232	164	173	
45	542129	542141	14	16	17	20	5	6	5	6	2	3	1	2	176	186	2	3	3	4	223	235	167	176	
46	542125	542137	14	16	17	19	4	6	5	6	2	3	1	2	180	190	2	3	3	4	227	239	170	180	
47	542121	542134	14	15	17	20	4	5	5	6	2	3	1	1	184	194	2	3	3	4	230	243	173	183	
48	542118	542130	13	15	17	19	4	5	4	6	2	3	1	1	188	199	2	3	3	4	234	246	176	186	
49	542114	542127	13	15	17	19	4	5	4	5	2	3	1	1	191	202	2	3	3	4	237	250	179	189	
50	542111	542124	13	15	17	19	4	5	4	5	2	3	1	1	195	206	2	3	3	4	240	253	183	192	
51	542106	542119	14	16	16	19	4	5	4	5	2	3	1	1	199	210	2	3	4	5	245	258	185	195	
52	542101	542114	15	17	16	19	4	5	4	5	2	3	1	1	203	214	3	3	4	5	250	263	188	198	
53	542097	542110	16	18	16	18	4	5	4	5	2	3	1	1	207	218	3	3	4	5	254	267	191	201	
54	542092	542106	17	20	16	18	4	5	4	5	2	2	1	1	210	222	3	3	4	5	258	272	194	204	
55	542087	542101	17	20	16	19	4	5	4	5	2	3	1	1	214	226	3	3	4	5	263	277	198	208	
56	542082	542097	17	20	17	20	4	5	4	5	2	2	1	1	218	230	3	3	4	5	267	282	202	212	
57	542077	542092	18	20	18	21	4	5	4	5	2	2	1	1	221	233	3	3	4	5	272	287	205	216	
58	542071	542087	18	21	19	22	5	6	3	4	2	2	1	1	225	237	3	3	5	6	277	293	209	220	
59	542066	542082	19	22	19	23	5	6	3	4	2	2	1	1	228	241	3	3	5	6	282	298	212	224	
60	542060	542076	20	23	21	24	5	6	3	4	2	2	1	1	232	244	3	4	5	6	288	304	217	228	
61	542054	542071	20	23	21	25	5	6	4	5	2	2	1	1	236	248	3	4	5	6	293	310	221	232	
62	542048	542065	21	24	21	25	5	6	4	5	2	2	1	1	240	253	3	4	6	7	299	316	225	237	
63	542042	542059	22	25	22	26	5	6	4	5	2	2	1	1	244	257	3	4	6	7	305	322	229	241	
64	542033	542052	24	27	23	27	5	6	4	5	2	2	1	1	248	261	3	4	7	9	312	331	234	246	
65	542025	542043	27	30	23	28	6	7	5	6	2	2	1	1	252	266	3	4	8	9	321	339	238	251	
66	542016	542036	29	33	24	29	6	7	5	6	2	2	1	1	257	271	3	4	8	9	328	348	243	257	
67	542007	542028	31	35	25	30	6	7	5	6	2	2	1	1	261	276	3	4	8	9	336	357	248	262	
68	541997	542018	32	37	28	33	6	7	5	6	2	2	1	1	266	281	3	4	9	11	346	367	255	270	
69	541986	542008	34	40	31	37	5	6	5	6	2	2	1	1	271	286	3	4	10	12	356	378	263	278	
70	541975	541998	36	42	34	40	5	6	5	6	2	3	1	1	276	292	3	4	9	11	366	389	270	286	
71	541964	541988	39	44	37	43	5	6	5	6	2	3	1	1	282	297	3	4	10	12	376	400	277	294	
72	541951	541976	41	47	41	47	4	5	6	7	2	3	1	1	287	303	4	4	11	13	388	413	286	304	
73	541938	541964	43	49	44	52	5	6	6	7	2	3	1	1	293	309	4	4	12	13	400	426	295	314	
74	541924	541952	45	51	47	54	5	6	6	7	2	3	1	1	300	317	4	4	12	14	412	440	304	324	
75	541909	541939	49	56	49	57	5	6	6	8	2	3	1	1	307	325	4	4	14	16	425	455	314	335	
76	541894	541925	51	58	52	60	5	6	7	9	3	3	1	1	314	333	4	4	13	15	439	470	324	346	
77	541878	541911	53	61	56	64	6	7	8	9	2	3	1	1	321	341	4	4	14	16	453	486	335	358	
78	541859	541894	57	66	58	67	6	8	9	10	2	3	1	1	330	350	4	5	16	19	470	505	346	370	
79	541842	541878	60	68	62	71	6	8	9	11	3	3	1	2	339	360	4	5	16	18	486	522	359	385	
80	541822	541861	63	72	65	75	7	9	10	12	3	4	1	2	348	370	4	5	17	20	503	542	371	399	
81	541802	541843	67	76	68	79	7	9	11	13	3	4	1	2	358	380	4	5	18	20	521	562	384	413	
82	541780	541823	70	80	72	84	8	9	11	13	3	4	1	2	368	392	4	5	19	22	541	584	399	430	
83	541758	541803	74	85	76	88	8	10	12	14	3	4	1	2	379	404	4	5	20	23	561	606	414	446	
84	541734	541782	78	89	81	94	9	10	12	14	4	4	1	2	391	417	4	5	21	24	582	630	430	464	
85	541709	541759	83	94	85	98	9	11	13	15	4	5	2	2	404	432	4	5	22	26	605	655	446	482	
86	541682	541736	87	99	90	104	10	12	14	16	4	5	2	2	417	446	4	5	23	27	628	682	464	502	
87	541654	541711	92	105	95	110	10	12	14	16	4	5	2	3	430	461	4	5	25	29	653	710	482	522	
88	541625	541685	97	110	99	115	11	13	15	17	5	6	2	3	445	477	4	5	26	29	679	739	501	544	
89	541592	541656	102	117	105	121	12	14	16	18	5	6	2	3	460	494	5	5	28	33	708	772	522	567	
90	541560	541628	108	122	111	128	12	14	17	19	5	6	2	3	476	512	5	5	28	33	736	804	543	591	
91	541526	541597	113	128	117	135	13	15	18	20	5	6	2	3	493	531	5	6	30	34	767	838	566	617	
92	541490	541564	120	135	123	141	14	16	19	22	5	7	2	3	511	551	5	6	33	37	800	874	589	643	
93	541451	541529	126	142	130	150	15	18	20	23	6	7	2	3	529	572	5	6	34	39	835	913	615	672	
94	541412	541494	133	149	136	157	16	18	21	24	6	7	3	3	549	594	5	6	35	39	870	952	641	702	
95	541369	541456	140	158	143	165	17	19	22	26	7	8	3	4	570	617	5	6	38	43	908	995	669	733	
96	541325	541417	146	166	152	174	18	20	23	27	7	8	3	4	592	641	5	6	39	45	947	1039	699	766	
97	541279	541376	153	172	160	184	19	22	25	29	7	9	3	4	615	668	5	6	41	46	988	1085	730	801	
98	541232	541334	159	180	169	193	19	22	26	30	8	9	4	4	639	694	5	6	41	47	1030	1132	763	837	
99	541182	541290	166	188	178	203	20	23	28	32	8	10	4	5	665	724	6	7	45	51	1074	1182	797	876	
100	541128	541242	175	197	187	213	21	24	29	34	9	11	4	5	692	754	6	7	48	54	1122	1236	833	916	
101	541071	541191	185	208	196	224	23	26	31	35	10	11	4	5	720	785	6	7	51	58	1173	1293	870	958	
102	541014	541140	194	219	204	234	23	26	32	37	10	12	5	6	751	819	6	7	51	58	1224	1350	908	1001	
103	540952	541085	204	230	214	244	24	27	34	39	11	13	5	6	782	855	6	7	54	62	1279	1412	950	1047	
104	540889	541028	213	240	225	257	25	29	35	40	11	13	5	6	815	892	7	8	57	64	1336	1475	993	1096	
105	540822	540969	221	250	237	271	26	30	37	42	12	14	6	7	851	932	7	8	59	67	1395	1542	1040	1148	
106	540752	540907	232	262	248	283	27	31	40	45	13	15	6	7	887	973	7	8	62	70	1457	1612	1087	1201	
107	540679	540841	244	274	260	297	28	32	42	47	13	16	6	7	924	1015	7	8	66	74	1523	1685	1137	1257	
108	540602	540772	255	287	274	312	29	34	44	50	14	16	6	8	963	1058	8	9	68	77	1592	1762	1189	1315	
109	540522	540701	267	301	287	327	31	36	46	52	15	17	7	8	1005	1105	8	9	71	81	1663	1842	1243	1376	
110	540438	540626	279	316	299	342	33	38	48	55	15	18	7	8	1050	1155	8	9	74	85	1738	1926	1300	1440	
111	540351	540549	291	329	312	356	35	40	50	57	16	19	7	9	1097	1209	8	9	77	87	1815	2013	1360	1507	
112	540257	540466	306	346	328	373	36	41	53	60	17	19	8	9	1145	1263	9	10	83	94	1898	2107	1423	1577	
113	540159	540379	322	364	342	391	38	44	55	62	18	20	8	9	1196	1320	9	10	87	99	1985	2205	1487	1650	
114	540058	540289	336	380	357	409	40	47	57	65	18	21	8	10	1250	1379	9	11	89	101	2075	2306	1556	1728	
115	539953	540196	352	398	373	427	42	49	60	68	19	22	9	10	1305	1441	10	11	93	105	2168	2411	1627	1807	
