Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542348	542348	15	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	16	16	1	1	
5	542341	542342	18	19	3	3	1	1	0	0	0	0	0	0	0	0	0	0	6	7	22	23	3	3	
6	542333	542335	22	24	5	6	1	2	0	0	0	0	0	0	0	0	0	0	7	8	29	31	5	6	
7	542323	542325	28	29	8	9	2	3	0	0	0	0	0	0	0	0	0	0	9	10	39	41	8	9	
8	542311	542314	34	37	12	13	3	4	0	0	0	0	0	0	0	0	0	0	11	13	50	53	12	13	
9	542295	542299	43	47	16	18	5	6	0	0	0	0	0	0	0	0	0	0	15	17	65	69	16	18	
10	542274	542280	55	60	21	23	7	8	0	0	0	0	0	0	1	1	0	0	19	21	84	90	22	23	
11	542249	542257	68	74	26	28	9	10	0	1	0	0	0	0	3	4	0	0	23	25	107	115	30	31	
12	542218	542227	86	93	32	35	11	12	1	1	0	0	0	0	6	6	0	0	29	32	137	146	38	40	
13	542179	542191	108	116	40	44	13	15	2	2	0	0	0	0	9	10	0	0	36	39	173	185	50	53	
14	542133	542148	131	141	51	57	16	18	3	3	0	0	0	0	13	13	0	0	42	46	216	231	64	69	
15	542075	542095	162	175	64	71	21	23	4	4	0	0	0	0	18	19	0	0	53	58	269	289	82	87	
16	542005	542030	197	213	80	89	26	28	5	6	0	0	0	0	24	25	0	0	64	70	334	359	104	112	
17	541920	541951	239	259	100	111	32	35	6	7	0	1	0	1	32	34	0	0	78	86	413	444	132	141	
18	541815	541854	294	319	123	136	40	44	8	9	1	1	1	1	41	44	0	0	97	106	510	549	165	176	
19	541685	541733	361	391	151	168	50	55	9	11	1	1	1	1	54	58	0	0	120	130	631	679	205	220	
20	541529	541589	441	477	185	205	61	67	13	14	1	2	1	1	70	75	0	0	144	156	775	835	255	274	
21	541335	541410	541	585	226	252	75	82	16	18	2	2	1	1	89	95	0	0	179	194	954	1029	315	339	
22	541099	541191	662	716	276	307	93	101	20	22	2	2	1	1	115	122	0	0	218	237	1173	1265	390	419	
23	540832	540944	789	854	338	377	114	124	25	27	2	3	1	2	145	155	0	0	247	268	1420	1532	482	519	
24	540529	540664	924	1001	413	460	140	152	31	34	3	4	2	2	181	194	0	0	279	304	1700	1835	592	638	
25	540190	540351	1058	1146	504	562	172	187	38	42	4	4	2	3	227	244	0	0	313	339	2013	2174	728	785	
26	539820	540008	1183	1280	618	688	210	228	47	51	5	5	3	3	282	303	0	0	343	370	2356	2544	895	965	
27	539420	539638	1305	1413	741	826	254	275	58	62	5	6	3	3	348	375	0	1	369	401	2726	2944	1083	1169	
28	539003	539254	1410	1526	873	974	301	327	71	77	6	7	3	4	431	465	1	1	384	416	3110	3361	1295	1398	
29	538583	538866	1485	1608	1015	1133	350	379	87	94	8	9	4	4	534	576	1	1	388	421	3498	3781	1534	1657	
30	538170	538484	1524	1650	1162	1296	399	433	106	114	10	12	5	6	658	709	1	1	381	413	3880	4194	1798	1942	
31	537787	538129	1509	1633	1304	1454	446	483	130	141	13	14	6	7	810	873	1	1	355	384	4235	4577	2084	2251	
32	537444	537811	1443	1560	1427	1592	486	527	159	172	16	18	7	9	995	1074	1	1	317	343	4553	4920	2383	2575	
33	537162	537550	1315	1421	1533	1710	521	564	191	207	20	22	9	10	1206	1303	1	2	261	282	4814	5202	2686	2904	
34	536959	537363	1121	1211	1610	1795	545	589	226	245	25	27	11	13	1447	1563	1	2	187	203	5001	5405	2986	3228	
35	536845	537256	873	943	1642	1829	555	599	263	284	30	33	14	15	1717	1856	1	2	106	115	5108	5519	3267	3532	
36	536593	537023	788	851	1623	1809	548	593	301	326	37	41	17	19	2015	2176	2	2	233	252	5341	5771	3521	3807	
37	536354	536802	748	808	1543	1719	521	563	337	365	46	50	21	23	2340	2528	2	3	221	239	5562	6010	3736	4038	
38	536141	536604	758	818	1396	1555	473	511	369	399	56	61	26	28	2681	2898	2	3	197	213	5760	6223	3894	4210	
39	535941	536420	836	904	1189	1322	402	435	396	428	67	74	31	34	3031	3277	3	3	184	201	5944	6423	3993	4315	
40	535756	536249	773	837	1079	1199	365	395	415	448	80	87	37	41	3381	3656	3	4	171	185	6115	6608	4186	4523	
41	535588	536091	710	767	980	1090	331	359	423	457	94	103	44	48	3713	4014	4	5	157	169	6273	6776	4369	4721	
42	535436	535951	652	706	902	1002	291	315	419	452	109	119	51	56	4019	4345	5	6	140	152	6413	6928	4543	4908	
43	535298	535823	597	644	854	948	264	285	398	430	124	135	58	64	4285	4632	6	7	128	139	6541	7066	4701	5081	
44	535166	535700	548	591	851	943	251	272	360	389	139	151	65	71	4494	4858	7	8	122	132	6664	7198	4846	5237	
45	535039	535583	508	550	896	991	257	277	306	332	154	167	72	79	4638	5013	8	9	117	128	6781	7325	4977	5377	
46	534911	535464	487	526	834	922	227	245	279	302	165	180	77	84	4885	5280	10	11	119	128	6900	7453	5099	5509	
47	534794	535355	467	504	772	852	198	214	254	275	175	190	81	89	5120	5533	12	14	108	117	7009	7570	5212	5631	
48	534686	535255	445	480	712	786	183	198	230	249	180	195	84	91	5333	5763	15	17	100	108	7109	7678	5317	5744	
49	534584	535161	421	455	660	728	169	184	216	233	180	196	84	92	5528	5975	18	20	94	102	7203	7780	5418	5853	
50	534487	535071	392	424	619	681	159	172	212	230	176	191	82	89	5704	6164	22	24	89	98	7293	7877	5519	5962	
51	534399	534989	366	396	580	640	148	161	221	239	164	178	76	82	5860	6332	26	28	82	89	7375	7965	5613	6062	
52	534314	534911	344	372	550	607	139	151	203	220	159	172	73	80	6019	6504	30	33	78	85	7453	8050	5699	6156	
53	534234	534835	325	351	523	577	132	144	186	201	151	164	70	76	6168	6665	35	38	75	81	7529	8130	5779	6242	
54	534160	534767	304	328	497	549	126	137	171	186	142	153	65	70	6310	6818	39	43	68	75	7597	8204	5855	6324	
55	534088	534700	288	311	469	517	119	129	159	172	130	141	60	65	6447	6965	44	48	66	72	7664	8276	5925	6399	
56	534021	534638	272	294	437	483	110	120	148	161	120	130	55	60	6582	7110	49	53	62	67	7726	8343	5992	6472	
57	533958	534580	255	276	411	454	103	112	140	153	109	118	50	55	6704	7243	54	59	58	64	7784	8406	6058	6542	
58	533899	534525	241	261	385	426	97	106	132	144	100	108	46	50	6817	7365	58	63	54	59	7839	8465	6116	6605	
59	533844	534474	226	245	364	402	91	100	125	136	93	101	43	47	6922	7478	61	66	51	56	7890	8520	6173	6666	
60	533792	534425	212	230	343	378	85	93	119	130	89	96	41	45	7020	7583	64	69	48	53	7939	8572	6227	6724	
61	533742	534380	199	217	325	358	80	87	112	122	90	97	41	45	7107	7677	65	71	45	50	7984	8622	6277	6778	
62	533695	534336	188	204	306	338	75	82	105	114	83	90	39	42	7195	7772	68	74	43	47	8028	8669	6324	6829	
63	533651	534294	178	193	287	317	71	77	97	106	78	85	36	39	7281	7864	71	77	41	45	8070	8713	6367	6876	
64	533610	534256	169	183	271	299	67	73	92	100	73	79	34	37	7358	7947	73	80	38	42	8108	8754	6409	6920	
65	533571	534219	159	172	253	281	63	69	87	95	68	74	31	35	7432	8026	75	82	36	40	8145	8793	6448	6962	
66	533534	534185	150	162	238	264	60	66	82	89	63	69	29	32	7501	8101	78	85	34	37	8179	8830	6485	7002	
67	533499	534152	142	153	229	253	53	58	78	85	60	66	27	30	7566	8170	80	87	33	36	8212	8865	6524	7044	
68	533465	534121	134	145	220	242	46	50	73	79	56	61	26	29	7627	8237	82	89	31	34	8243	8899	6561	7084	
69	533434	534092	127	138	212	233	39	43	68	74	53	58	24	27	7684	8298	83	91	29	32	8272	8930	6596	7121	
70	533405	534064	120	130	204	224	33	36	65	70	50	55	23	26	7738	8356	85	92	27	29	8300	8959	6628	7156	
71	533377	534039	112	122	198	217	26	29	60	66	48	52	22	25	7789	8411	86	94	25	28	8325	8987	6660	7190	
72	533338	534002	118	128	192	210	20	23	56	62	45	49	20	23	7838	8464	88	95	37	40	8362	9026	6691	7223	
73	533300	533967	123	135	181	198	19	22	53	58	41	45	19	21	7885	8514	89	97	34	38	8397	9064	6717	7252	
74	533265	533934	129	141	171	186	18	21	50	56	39	43	17	20	7928	8559	90	98	32	36	8430	9099	6742	7278	
75	533230	533902	136	148	161	176	17	20	48	53	36	40	16	19	7967	8602	92	100	32	35	8462	9134	6766	7304	
76	533196	533870	131	143	163	179	18	20	45	50	34	37	15	17	8006	8644	93	101	32	35	8494	9168	6800	7340	
77	533162	533837	128	140	164	180	18	21	42	47	32	35	15	16	8042	8683	94	102	31	35	8527	9202	6832	7374	
78	533129	533806	127	138	165	182	18	21	40	44	30	33	14	16	8077	8720	95	103	31	34	8558	9235	6862	7407	
79	533095	533774	126	137	168	185	19	21	37	41	29	32	13	15	8109	8755	96	104	31	35	8590	9269	6892	7438	
80	533060	533742	126	137	172	190	19	22	35	38	27	30	13	14	8140	8788	96	105	31	35	8622	9304	6921	7469	
81	533027	533710	126	137	178	196	20	23	32	36	26	28	12	13	8168	8818	97	106	31	34	8654	9337	6950	7500	
82	532991	533677	128	139	173	190	19	22	33	37	23	26	11	12	8206	8858	98	107	32	36	8687	9373	6979	7531	
83	532957	533644	128	140	171	188	19	21	34	37	22	25	10	12	8241	8895	99	108	32	36	8720	9407	7009	7563	
84	532921	533611	130	141	170	187	18	21	34	38	21	23	10	11	8274	8931	99	108	32	36	8753	9443	7038	7595	
85	532875	533568	141	153	170	187	18	20	35	39	20	22	9	10	8306	8965	100	109	42	47	8796	9489	7068	7626	
86	532829	533524	151	165	172	188	18	20	36	40	18	21	8	9	8337	8999	101	110	43	47	8840	9535	7099	7659	
87	532782	533481	162	177	173	189	17	20	38	42	17	20	8	9	8368	9032	101	110	43	47	8883	9582	7129	7691	
88	532734	533436	173	189	174	191	18	20	37	41	17	19	7	9	8401	9066	102	111	44	49	8928	9630	7160	7723	
89	532683	533387	178	195	184	201	19	21	36	40	16	18	7	8	8433	9101	102	111	47	52	8977	9681	7199	7765	
90	532631	533339	184	200	193	212	21	23	36	40	16	18	7	8	8466	9136	103	112	48	53	9025	9733	7238	7808	
91	532575	533286	192	209	204	224	22	25	35	39	16	18	7	8	8498	9170	103	112	51	57	9078	9789	7278	7850	
92	532518	533232	201	218	214	236	23	26	35	39	16	18	7	8	8530	9204	104	113	53	58	9132	9846	7320	7894	
93	532459	533176	208	227	227	250	25	28	36	40	16	18	7	8	8563	9238	104	113	55	61	9188	9905	7364	7941	
94	532395	533116	220	239	241	265	27	30	36	40	16	18	7	8	8595	9273	104	114	59	66	9248	9969	7408	7988	
95	532328	533054	229	250	249	274	28	31	38	42	17	19	7	9	8635	9315	105	114	61	67	9310	10036	7456	8040	
96	532258	532988	241	264	259	285	28	31	41	45	17	19	8	9	8675	9359	105	114	65	71	9376	10106	7506	8092	
97	532186	532919	253	277	269	296	29	33	43	47	17	19	8	9	8716	9402	106	115	67	74	9445	10178	7557	8146	
98	532110	532848	264	289	282	311	31	35	45	49	17	19	8	9	8759	9448	106	115	70	77	9516	10254	7612	8205	
99	532031	532773	277	302	294	324	33	37	47	52	17	19	8	9	8804	9496	107	116	73	80	9591	10333	7668	8265	
100	531949	532696	287	313	310	341	35	38	50	54	18	20	8	9	8849	9545	107	116	76	83	9668	10415	7728	8329	
101	531863	532615	300	327	324	356	36	40	51	56	18	20	8	10	8899	9597	107	117	80	87	9749	10501	7791	8395	
102	531774	532531	312	340	338	374	38	43	53	58	19	21	8	10	8950	9651	108	117	83	91	9833	10590	7856	8464	
103	531681	532442	327	355	355	392	40	44	56	61	19	21	8	10	9003	9707	108	118	87	95	9922	10683	7924	8537	
104	531582	532348	343	373	370	408	41	45	59	65	19	22	9	10	9059	9767	109	118	92	101	10016	10782	7995	8612	
105	531480	532252	357	389	387	426	43	47	61	68	20	22	9	10	9118	9829	109	119	94	104	10112	10884	8069	8690	
106	531374	532151	374	406	403	444	44	49	65	72	20	23	9	11	9179	9894	109	119	99	108	10213	10990	8146	8772	
