Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542348	15	1	0	0	0	0	0	0	5	16	1	
5	542342	18	3	1	0	0	0	0	0	6	22	3	
6	542334	23	5	2	0	0	0	0	0	8	30	5	
7	542324	29	9	3	0	0	0	0	0	10	40	9	
8	542312	36	12	4	0	0	0	0	0	12	52	12	
9	542297	45	17	5	0	0	0	0	0	16	67	17	
10	542277	57	22	7	0	0	0	1	0	20	87	23	
11	542253	71	27	9	1	0	0	3	0	24	111	30	
12	542223	90	33	11	1	0	0	6	0	31	142	39	
13	542185	112	42	14	2	0	0	9	0	38	179	51	
14	542141	136	54	17	3	0	0	13	0	44	223	67	
15	542085	168	67	22	4	0	0	18	0	56	279	85	
16	542018	205	85	27	5	0	0	25	0	67	346	108	
17	541936	249	106	34	7	1	1	33	0	82	428	137	
18	541834	306	130	42	8	1	1	42	0	101	530	170	
19	541709	376	160	52	10	1	1	56	0	125	655	213	
20	541559	459	195	64	13	1	1	72	0	150	805	264	
21	541373	563	239	78	17	2	1	92	0	186	991	327	
22	541145	689	292	97	21	2	1	118	0	227	1219	404	
23	540869	840	357	119	26	3	2	150	0	276	1495	501	
24	540530	1029	436	146	32	3	2	188	0	339	1834	615	
25	540116	1257	533	179	40	4	2	235	0	414	2248	756	
26	539612	1533	653	219	49	5	3	292	0	503	2752	930	
27	538997	1872	797	269	60	6	3	362	1	615	3367	1140	
28	538243	2287	974	330	74	7	3	448	1	754	4121	1397	
29	537327	2789	1190	403	90	9	4	555	1	917	5037	1712	
30	536206	3407	1456	491	110	11	5	683	1	1121	6158	2097	
31	534846	4151	1779	596	135	13	6	842	1	1360	7518	2568	
32	533181	5062	2174	729	166	17	8	1035	1	1665	9183	3143	
33	531161	6165	2656	887	203	21	10	1270	1	2019	11203	3845	
34	528700	7506	3243	1081	248	26	12	1559	2	2461	13664	4701	
35	525726	9120	3951	1319	303	32	15	1912	2	2974	16638	5738	
36	522120	11061	4825	1606	371	39	18	2340	2	3606	20244	7015	
37	518053	13108	5878	1958	452	48	22	2864	2	4067	24311	8559	
38	513522	15178	7158	2385	552	59	27	3508	3	4531	28842	10440	
39	508522	17204	8699	2902	674	71	33	4289	3	5000	33842	12712	
40	503124	18996	10565	3521	821	87	40	5246	4	5397	39240	15471	
41	497469	20584	12598	4195	1002	107	50	6405	4	5655	44895	18587	
42	491670	21852	14969	4690	1221	130	61	7827	5	5800	50694	22288	
43	485918	22604	17452	5188	1487	157	74	9553	6	5752	56446	26381	
44	480405	22719	19925	5651	1812	191	89	11654	8	5512	61959	30816	
45	475383	22086	22221	6036	2202	233	109	14195	9	5022	66981	35483	
46	471050	20620	24152	6298	2677	284	132	17273	11	4333	71314	40290	
47	467595	18323	25703	6432	3186	348	162	20763	13	3455	74769	45083	
48	465148	15258	26490	6627	3724	425	197	24677	16	2447	77216	49664	
49	463793	11590	26514	6625	4291	517	240	29015	20	1355	78571	53878	
50	460897	10153	25660	6415	4846	630	290	33740	24	2896	81467	57549	
51	458222	9373	23900	5975	5350	768	353	38748	29	2675	84142	60525	
52	455861	9287	21221	5301	5762	935	430	43962	35	2361	86503	62704	
53	453716	10077	17704	4421	6079	1120	514	49205	43	2145	88648	64004	
54	451790	9107	15610	3899	6266	1321	608	54320	52	1926	90574	66526	
55	450093	8129	13727	3435	6272	1543	709	59103	64	1697	92271	68853	
56	448593	7268	12155	3035	6075	1771	814	63392	77	1500	93771	70912	
57	447273	6443	11105	2774	5658	1996	918	67021	95	1320	95091	72758	
58	446074	5716	10685	2673	5025	2214	1018	69862	115	1199	96290	74390	
59	444944	5149	10961	2739	4194	2412	1109	71825	140	1130	97420	75802	
60	443812	4781	9847	2457	3705	2573	1185	75020	169	1132	98552	77117	
61	442804	4469	8766	2183	3263	2682	1236	77990	207	1008	99560	78277	
62	441902	4172	7831	1956	2885	2722	1253	80643	253	902	100462	79323	
63	441082	3862	7019	1753	2643	2688	1239	83014	303	820	101282	80309	
64	440342	3470	6386	1592	2541	2578	1187	85095	360	740	102022	81287	
65	439675	3129	5831	1458	2606	2381	1096	86861	423	667	102689	82156	
66	439066	2836	5350	1341	2342	2248	1034	88691	490	609	103298	82934	
67	438509	2573	5031	1160	2076	2093	963	90362	560	557	103855	83722	
68	437993	2349	4739	993	1855	1913	881	91890	632	516	104371	84433	
69	437521	2154	4438	831	1658	1723	793	93334	705	472	104843	85079	
70	437089	1977	4080	666	1506	1534	705	94740	772	432	105275	85669	
71	436695	1813	3779	517	1376	1354	622	95996	835	393	105669	86210	
72	436340	1652	3522	387	1259	1201	553	97113	888	355	106024	86708	
73	436018	1503	3207	354	1169	1087	499	98096	931	322	106346	87148	
74	435723	1366	2930	323	1083	1020	468	98959	961	295	106641	87550	
75	435454	1241	2682	297	995	1007	464	99709	978	269	106910	87917	
76	435206	1135	2453	273	899	912	421	100474	1014	248	107158	88247	
77	434983	1035	2239	251	814	821	380	101172	1048	222	107381	88547	
78	434780	943	2041	229	742	741	342	101810	1078	203	107584	88823	
79	434592	862	1860	207	676	670	309	102393	1104	188	107772	89075	
80	434423	783	1694	189	619	605	279	102923	1128	169	107941	89306	
81	434268	715	1541	171	567	551	254	103400	1150	155	108096	89515	
82	434128	652	1406	155	520	503	231	103833	1168	140	108236	89705	
83	433999	593	1286	140	474	465	214	104223	1184	129	108365	89881	
84	433882	541	1172	128	434	428	197	104581	1198	117	108482	90039	
85	433774	494	1069	117	393	393	181	104912	1213	108	108590	90183	
86	433629	499	971	106	356	356	164	105220	1226	145	108735	90314	
87	433496	503	887	98	324	324	148	105495	1238	133	108868	90434	
88	433374	509	809	89	296	296	136	105743	1249	123	108991	90543	
89	433259	516	736	82	270	269	124	105974	1259	115	109105	90644	
90	433147	482	714	80	245	247	113	106182	1268	112	109217	90778	
91	433041	455	694	77	224	226	103	106370	1276	106	109323	90901	
92	432940	433	679	76	204	206	94	106542	1284	101	109424	91013	
93	432842	417	666	74	186	188	86	106700	1291	98	109522	91120	
94	432744	403	662	73	169	172	78	106844	1297	98	109620	91222	
95	432649	393	660	73	155	156	70	106975	1303	95	109715	91319	
96	432552	388	620	68	150	142	65	107133	1309	96	109812	91413	
97	432464	377	589	65	147	129	58	107277	1314	88	109900	91504	
98	432379	366	567	63	144	118	53	107410	1319	86	109985	91594	
99	432268	380	549	61	141	107	48	107534	1323	110	110096	91682	
100	432161	392	535	59	139	96	44	107655	1327	108	110203	91771	
101	432058	406	519	58	139	88	40	107766	1330	102	110306	91852	
102	431956	423	505	56	130	83	38	107878	1333	103	110408	91931	
103	431850	418	516	58	124	78	36	107984	1336	106	110514	92032	
104	431745	415	525	59	120	74	34	108088	1338	105	110619	92131	
105	431640	418	531	60	116	70	32	108188	1340	105	110724	92225	
106	431533	423	536	61	115	67	30	108288	1342	107	110831	92319	
107	431424	426	553	61	111	64	29	108380	1344	109	110940	92416	
108	431313	432	570	63	108	62	28	108469	1346	111	111051	92512	
109	431198	442	567	62	110	61	27	108578	1347	115	111166	92610	
110	431085	448	566	61	112	60	27	108683	1349	113	111279	92709	
111	430969	455	573	61	113	60	27	108783	1350	116	111395	92809	
112	430852	461	580	63	113	57	26	108886	1352	117	111512	92910	
113	430737	461	588	64	116	55	25	108989	1353	115	111627	93016	
114	430618	467	596	65	120	53	24	109091	1355	119	111746	93119	
115	430498	471	604	67	119	52	23	109196	1357	120	111866	93226	
116	430376	476	613	68	118	53	24	109302	1358	122	111988	93333	
117	430253	483	618	69	120	52	24	109408	1359	123	112111	93439	
118	430161	457	626	70	122	52	23	109516	1361	93	112203	93548	
119	430067	431	630	70	124	52	24	109628	1362	94	112297	93658	
120	429973	403	639	70	125	53	24	109738	1363	93	112391	93770	
121	429880	373	645	71	129	53	24	109849	1364	94	112484	93883	
122	429791	370	624	68	131	54	25	109962	1365	89	112573	93969	
123	429701	365	605	65	132	55	25	110074	1366	90	112663	94057	
124	429615	359	581	63	133	56	26	110189	1367	86	112749	94142	
125	429532	348	558	60	134	57	26	110307	1369	83	112832	94230	
126	429450	341	528	57	135	57	27	110425	1370	82	112914	94312	
127	429374	327	498	54	135	59	27	110546	1371	75	112990	94395	
128	429301	313	492	54	130	60	28	110641	1373	73	113063	94475	
129	429230	301	482	53	126	60	28	110738	1374	71	113134	94551	
130	429160	289	472	52	121	61	28	110833	1375	70	113204	94626	
131	429093	281	455	51	116	62	28	110930	1377	67	113271	94696	
132	429028	274	440	50	110	62	28	111022	1378	65	113336	94763	
133	428963	267	423	48	105	62	28	111116	1380	64	113401	94829	
134	428902	259	409	46	104	61	27	111202	1381	62	113462	94893	
135	428842	251	394	44	103	60	27	111286	1383	59	113522	94956	
136	428783	244	380	42	101	59	27	111370	1384	59	113581	95016	
137	428727	236	370	41	97	57	26	111450	1386	56	113637	95076	
138	428674	227	360	40	94	56	26	111525	1387	53	113690	95132	
139	428623	219	349	39	91	55	25	111600	1388	52	113741	95187	
140	428572	212	339	38	88	53	24	111673	1390	51	113792	95241	
141	428522	206	329	36	84	52	24	111744	1391	50	113842	95293	
142	428474	200	318	36	81	49	23	111813	1393	48	113890	95342	
143	428428	195	307	34	79	48	22	111880	1394	46	113936	95390	
144	428384	187	298	32	78	47	22	111942	1396	44	113980	95438	
145	428340	182	289	31	76	45	21	112004	1397	44	114024	95484	
