Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	26	0	0	0	0	0	0	0	11	26	0	
4	1.5762e+006	33	3	0	0	0	0	0	0	10	36	3	
5	1.57619e+006	40	7	2	0	0	0	0	0	13	49	7	
6	1.57617e+006	52	12	3	0	0	0	0	0	18	67	12	
7	1.57615e+006	62	20	6	0	0	0	0	0	21	88	20	
8	1.57612e+006	79	28	8	0	0	0	0	0	27	115	28	
9	1.57609e+006	98	38	11	0	0	0	0	0	32	147	38	
10	1.57605e+006	123	48	15	0	0	0	3	0	43	190	51	
11	1.576e+006	153	59	20	1	0	0	8	0	51	241	67	
12	1.57593e+006	190	75	25	2	0	0	13	0	64	305	88	
13	1.57585e+006	239	91	31	4	0	0	22	0	81	387	112	
14	1.57576e+006	291	116	38	6	0	0	29	0	95	482	145	
15	1.57564e+006	357	146	47	9	0	0	40	0	116	598	184	
16	1.5755e+006	432	180	59	12	0	0	55	0	140	737	232	
17	1.57534e+006	506	227	72	15	1	1	72	0	155	893	295	
18	1.57516e+006	592	278	88	19	2	2	94	0	181	1074	368	
19	1.57496e+006	678	342	109	24	3	3	120	0	203	1276	458	
20	1.57474e+006	761	413	134	30	4	3	156	0	222	1498	564	
21	1.5745e+006	848	491	160	38	5	4	198	0	243	1741	683	
22	1.57424e+006	924	579	189	48	6	4	251	0	256	1997	822	
23	1.57397e+006	987	669	221	61	7	5	319	0	266	2263	977	
24	1.57371e+006	1033	764	253	74	9	5	399	0	268	2531	1150	
25	1.57345e+006	1046	857	286	92	11	6	496	0	257	2788	1339	
26	1.57316e+006	1074	944	315	111	13	7	614	0	284	3072	1537	
27	1.57286e+006	1117	1026	345	132	15	8	745	1	309	3380	1743	
28	1.57253e+006	1172	1090	367	155	18	9	898	2	322	3703	1952	
29	1.5722e+006	1248	1131	381	179	22	10	1073	2	333	4036	2153	
30	1.57185e+006	1319	1173	400	205	27	13	1264	3	355	4390	2373	
31	1.57148e+006	1380	1224	415	229	34	16	1475	3	370	4761	2615	
32	1.57109e+006	1441	1275	431	253	41	19	1700	4	383	5144	2869	
33	1.57069e+006	1511	1326	447	274	49	23	1935	4	403	5546	3132	
34	1.57027e+006	1571	1389	471	291	59	27	2177	5	415	5962	3408	
35	1.56984e+006	1638	1473	500	304	68	31	2410	5	437	6399	3698	
36	1.56938e+006	1716	1549	524	318	81	37	2667	6	461	6860	3998	
37	1.5689e+006	1790	1618	548	332	92	42	2949	7	476	7336	4314	
38	1.5684e+006	1879	1686	573	345	103	48	3246	8	505	7841	4641	
39	1.56787e+006	1968	1764	599	357	115	53	3555	9	526	8367	4985	
40	1.56731e+006	2064	1847	623	377	125	57	3877	11	557	8924	5349	
41	1.56674e+006	2164	1928	647	398	133	61	4216	13	576	9500	5726	
42	1.56643e+006	1962	2045	652	417	142	66	4570	15	303	9803	6148	
43	1.56612e+006	1753	2163	657	434	151	70	4944	18	317	10120	6587	
44	1.56579e+006	1522	2300	661	454	159	74	5329	20	326	10445	7056	
45	1.56547e+006	1265	2432	669	478	167	78	5731	23	320	10765	7537	
46	1.56516e+006	1272	2328	615	495	175	82	6163	27	310	11075	7803	
47	1.56472e+006	1400	2223	560	515	183	85	6607	31	445	11520	8079	
48	1.56429e+006	1504	2084	520	539	192	90	7075	35	430	11950	8363	
49	1.56388e+006	1593	1923	475	565	199	95	7564	39	409	12359	8643	
50	1.56348e+006	1677	1723	429	591	210	100	8079	44	394	12752	8910	
51	1.5631e+006	1613	1622	398	619	220	104	8614	47	380	13132	9293	
52	1.56274e+006	1542	1724	423	588	228	108	8936	52	360	13492	9650	
53	1.56238e+006	1502	1798	441	557	238	113	9269	57	368	13860	9989	
54	1.562e+006	1480	1851	456	519	248	119	9616	62	372	14232	10317	
55	1.56162e+006	1483	1897	471	476	260	123	9962	67	383	14615	10633	
56	1.56123e+006	1510	1937	480	426	270	128	10305	74	387	15002	10932	
57	1.56084e+006	1537	1873	468	401	281	132	10759	79	396	15398	11244	
58	1.56045e+006	1554	1826	456	429	274	128	11161	86	388	15786	11560	
59	1.56007e+006	1547	1805	452	447	270	124	11550	93	376	16163	11883	
60	1.55969e+006	1545	1800	450	462	262	120	11930	99	384	16547	12208	
61	1.55931e+006	1527	1813	453	476	253	116	12297	106	377	16924	12540	
62	1.55893e+006	1518	1836	458	486	246	113	12647	113	380	17304	12864	
63	1.55855e+006	1526	1841	461	470	245	112	13025	120	384	17689	13179	
64	1.55817e+006	1524	1850	465	455	241	111	13407	128	382	18071	13500	
65	1.55778e+006	1532	1846	463	452	235	109	13792	137	385	18456	13818	
66	1.5574e+006	1531	1840	463	451	224	104	14181	146	379	18835	14137	
67	1.55702e+006	1528	1869	422	454	213	99	14577	154	382	19217	14500	
68	1.55664e+006	1529	1902	383	461	216	100	14950	159	383	19600	14859	
69	1.55626e+006	1522	1949	344	462	220	102	15316	164	379	19978	15221	
70	1.55587e+006	1529	1984	305	465	223	103	15691	168	386	20364	15578	
71	1.5555e+006	1522	2026	267	464	229	106	16060	172	375	20739	15937	
72	1.55512e+006	1520	2065	230	459	234	107	16435	177	380	21120	16295	
73	1.55474e+006	1520	2059	230	457	230	106	16819	182	379	21498	16643	
74	1.55436e+006	1514	2063	231	458	228	105	17196	189	380	21878	16997	
