Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	520	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	189	520	525	0	0	
4	8.39794e+006	8.39796e+006	765	782	16	16	0	0	0	0	0	0	0	0	0	0	0	0	259	276	781	798	16	16	
5	8.39759e+006	8.39762e+006	937	966	131	140	36	45	0	0	0	0	0	0	0	0	0	0	327	349	1113	1142	131	140	
6	8.39722e+006	8.39726e+006	1136	1182	251	262	74	85	0	0	0	0	0	0	0	0	0	0	354	382	1472	1518	251	262	
7	8.39678e+006	8.39684e+006	1370	1434	388	404	118	134	0	0	0	0	0	0	0	0	0	0	414	444	1892	1956	388	404	
8	8.39633e+006	8.39641e+006	1541	1614	582	607	186	205	0	0	0	0	0	0	0	0	0	0	428	459	2327	2408	584	605	
9	8.39591e+006	8.39601e+006	1612	1689	835	872	263	285	0	0	0	0	0	0	0	0	0	0	397	424	2730	2825	839	868	
10	8.39542e+006	8.39553e+006	1731	1810	1092	1143	350	374	0	0	0	0	0	0	16	16	0	0	472	504	3210	3321	1112	1155	
11	8.39483e+006	8.39497e+006	1871	1955	1283	1354	414	444	27	35	0	0	0	0	141	149	0	0	554	588	3771	3903	1435	1488	
12	8.39425e+006	8.39439e+006	2007	2090	1497	1585	473	507	56	67	0	0	0	0	269	280	0	0	559	598	4342	4490	1771	1838	
13	8.39359e+006	8.39376e+006	2234	2327	1655	1756	531	569	89	103	0	0	0	0	419	433	0	0	624	662	4973	5144	2076	2152	
14	8.39286e+006	8.39307e+006	2453	2565	1817	1930	581	625	138	156	0	0	0	0	632	653	0	0	691	742	5671	5879	2450	2538	
15	8.39208e+006	8.39232e+006	2640	2757	1978	2102	646	694	207	226	0	0	0	0	896	927	0	0	738	783	6419	6652	2882	2984	
16	8.39127e+006	8.39152e+006	2866	2987	2132	2261	697	750	280	305	0	0	0	0	1180	1225	0	0	785	829	7214	7470	3329	3440	
17	8.39037e+006	8.39066e+006	3098	3236	2290	2422	754	803	331	359	15	19	14	17	1533	1591	0	0	856	910	8081	8369	3821	3950	
18	8.38942e+006	8.38974e+006	3308	3446	2481	2632	826	877	390	419	25	30	19	22	1899	1972	0	0	900	954	8992	9313	4368	4529	
19	8.38842e+006	8.38878e+006	3522	3679	2742	2907	903	963	437	468	34	40	23	27	2245	2331	0	0	952	1015	9954	10318	4963	5144	
20	8.38743e+006	8.38783e+006	3675	3847	2982	3154	979	1038	480	514	49	57	30	35	2665	2767	0	0	935	1000	10902	11305	5592	5791	
21	8.38638e+006	8.38682e+006	3824	4004	3213	3402	1049	1112	523	558	67	78	38	45	3163	3285	0	0	1003	1068	11918	12361	6275	6496	
22	8.38527e+006	8.38575e+006	3978	4172	3460	3662	1144	1208	556	597	87	100	48	56	3676	3815	0	0	1056	1121	12984	13471	6979	7230	
23	8.38408e+006	8.38461e+006	4157	4356	3701	3927	1229	1298	593	633	110	124	58	68	4247	4409	0	0	1129	1200	14125	14660	7730	8012	
24	8.38282e+006	8.38341e+006	4414	4623	3870	4106	1305	1376	651	695	135	150	70	80	4865	5055	0	0	1193	1267	15327	15918	8464	8778	
25	8.3815e+006	8.38214e+006	4666	4889	4065	4315	1377	1451	713	757	156	173	79	91	5530	5742	0	0	1260	1329	16598	17236	9255	9595	
26	8.38012e+006	8.38082e+006	4918	5157	4260	4533	1448	1529	777	825	183	202	91	104	6232	6465	0	0	1309	1387	17917	18613	10087	10463	
27	8.37871e+006	8.37946e+006	5134	5383	4458	4746	1522	1607	831	883	198	219	91	106	7014	7276	13	16	1344	1428	19273	20029	10976	11392	
28	8.37719e+006	8.37801e+006	5386	5646	4660	4973	1605	1703	890	945	218	242	101	116	7842	8131	17	20	1442	1533	20727	21550	11897	12353	
29	8.37563e+006	8.37654e+006	5587	5879	4897	5218	1677	1771	959	1016	244	268	110	125	8709	9035	19	22	1462	1561	22198	23102	12892	13388	
30	8.37398e+006	8.37495e+006	5858	6163	5189	5525	1753	1855	997	1053	270	297	122	140	9589	9955	21	25	1578	1672	23789	24761	13933	14469	
31	8.37222e+006	8.37328e+006	6170	6501	5443	5805	1833	1941	1049	1110	293	320	132	151	10527	10924	25	31	1656	1767	25460	26513	14997	15579	
32	8.3704e+006	8.37155e+006	6445	6801	5722	6111	1938	2051	1094	1155	319	346	141	161	11517	11956	30	37	1716	1834	27188	28335	16130	16766	
33	8.36942e+006	8.37062e+006	5903	6226	5958	6381	2024	2152	1154	1224	346	372	153	172	12565	13044	36	44	919	986	28116	29312	17279	17976	
34	8.36841e+006	8.36965e+006	5281	5584	6253	6688	2120	2245	1226	1299	369	396	165	185	13668	14193	43	51	959	1027	29085	30330	18516	19269	
35	8.36732e+006	8.36861e+006	4649	4914	6542	7014	2226	2357	1287	1365	403	434	180	203	14838	15403	48	57	1025	1096	30122	31414	19831	20651	
36	8.36629e+006	8.36763e+006	3902	4122	6835	7344	2338	2476	1360	1439	430	464	193	215	16049	16669	55	65	971	1040	31104	32443	21189	22079	
37	8.36528e+006	8.36668e+006	3933	4159	6508	7003	2240	2375	1431	1516	458	497	203	227	17294	17969	63	74	949	1024	32061	33459	21946	22875	
38	8.36429e+006	8.36573e+006	3908	4136	6148	6622	2119	2248	1510	1601	485	525	217	241	18636	19373	68	80	935	1002	33006	34451	22739	23709	
39	8.36333e+006	8.36482e+006	3779	4000	5829	6271	2007	2128	1573	1668	515	559	235	261	20007	20816	75	86	896	961	33912	35403	23583	24592	
40	8.36244e+006	8.36397e+006	3650	3863	5390	5810	1841	1956	1647	1745	539	584	246	271	21490	22363	84	97	843	903	34765	36295	24402	25447	
41	8.3616e+006	8.36317e+006	3489	3696	4862	5253	1662	1771	1724	1823	567	615	259	285	23048	23994	95	108	791	854	35564	37141	25194	26285	
42	8.36082e+006	8.36243e+006	3280	3481	4326	4667	1424	1517	1804	1918	596	645	273	302	24657	25681	104	118	728	785	36303	37916	26027	27164	
43	8.36013e+006	8.36177e+006	3035	3223	4370	4706	1361	1449	1718	1832	622	672	286	315	25632	26702	118	132	651	702	36963	38609	26809	27985	
44	8.35945e+006	8.36113e+006	2825	3005	4329	4657	1286	1373	1615	1729	657	709	303	334	26657	27770	130	146	632	686	37604	39286	27529	28741	
45	8.35878e+006	8.3605e+006	2658	2828	4186	4515	1192	1277	1526	1629	683	736	314	346	27746	28915	142	159	624	679	38238	39955	28209	29459	
46	8.35816e+006	8.3599e+006	2521	2678	4041	4355	1099	1178	1404	1501	717	772	330	362	28800	30020	158	175	589	637	38839	40580	28842	30123	
47	8.35755e+006	8.35932e+006	2438	2591	3848	4138	997	1068	1268	1362	754	809	351	384	29842	31122	173	191	570	612	39417	41184	29411	30720	
48	8.35698e+006	8.35877e+006	2343	2487	3610	3892	931	1000	1116	1198	790	850	366	402	30887	32223	187	206	538	582	39964	41756	29961	31301	
49	8.35645e+006	8.35826e+006	2217	2353	3387	3661	881	949	1112	1192	780	840	362	397	31791	33172	204	225	498	544	40473	42290	30505	31877	
50	8.35593e+006	8.35777e+006	2108	2238	3195	3454	821	889	1100	1176	770	832	358	395	32652	34072	218	240	480	522	40962	42803	31022	32413	
51	8.35546e+006	8.35732e+006	1979	2111	3033	3269	765	828	1054	1132	757	814	350	386	33494	34961	235	258	441	486	41413	43277	31519	32933	
52	8.35499e+006	8.35687e+006	1881	2011	2895	3116	717	774	999	1075	734	795	344	380	34289	35791	256	281	443	479	41865	43748	31993	33428	
53	8.35455e+006	8.35646e+006	1788	1910	2776	2996	681	738	945	1017	710	771	335	370	35010	36547	273	297	403	444	42279	44182	32429	33884	
54	8.35412e+006	8.35604e+006	1712	1832	2652	2863	650	709	877	950	681	740	320	353	35728	37301	294	320	405	442	42693	44615	32843	34317	
