Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	522	0	0	0	0	0	0	0	186	522	0	
4	8.39795e+006	774	16	0	0	0	0	0	0	267	790	16	
5	8.39761e+006	952	136	40	0	0	0	0	0	338	1128	136	
6	8.39724e+006	1159	256	80	0	0	0	0	0	368	1495	256	
7	8.39681e+006	1402	396	126	0	0	0	0	0	429	1924	396	
8	8.39637e+006	1578	594	195	0	0	0	0	0	443	2367	594	
9	8.39596e+006	1650	854	274	0	0	0	0	0	411	2778	854	
10	8.39547e+006	1771	1117	362	0	0	0	16	0	488	3266	1133	
11	8.3949e+006	1913	1319	429	31	0	0	145	0	571	3837	1461	
12	8.39432e+006	2048	1541	490	61	0	0	275	0	579	4416	1805	
13	8.39368e+006	2281	1705	550	96	0	0	426	0	643	5058	2114	
14	8.39296e+006	2509	1873	603	147	0	0	642	0	717	5775	2494	
15	8.3922e+006	2698	2040	670	216	0	0	911	0	760	6535	2933	
16	8.39139e+006	2927	2197	724	293	0	0	1203	0	807	7342	3385	
17	8.39051e+006	3167	2356	778	345	17	15	1562	0	883	8225	3885	
18	8.38958e+006	3377	2557	851	404	28	20	1935	0	927	9152	4449	
19	8.3886e+006	3600	2825	933	453	37	25	2288	0	984	10136	5054	
20	8.38763e+006	3761	3068	1008	497	53	33	2716	0	968	11104	5692	
21	8.3866e+006	3914	3308	1081	541	72	42	3224	0	1036	12140	6385	
22	8.38551e+006	4075	3561	1176	576	94	52	3746	0	1088	13228	7104	
23	8.38434e+006	4256	3814	1264	613	117	63	4328	0	1165	14392	7871	
24	8.38311e+006	4519	3988	1340	673	143	75	4960	0	1230	15622	8621	
25	8.38182e+006	4777	4190	1414	735	164	85	5636	0	1295	16917	9425	
