Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39827e+006	470	0	0	0	0	0	0	0	166	470	0	
4	8.39805e+006	668	16	0	0	0	0	0	0	214	684	16	
5	8.39778e+006	800	124	36	0	0	0	0	0	276	960	124	
6	8.39743e+006	998	232	72	0	0	0	0	0	342	1302	232	
7	8.397e+006	1263	357	113	0	0	0	0	0	432	1734	357	
8	8.39645e+006	1600	517	168	0	0	0	0	0	551	2284	517	
9	8.39577e+006	2009	724	236	0	0	0	0	0	685	2969	724	
10	8.39488e+006	2555	969	316	0	0	0	16	0	888	3857	985	
11	8.39381e+006	3197	1186	388	28	0	0	132	0	1074	4931	1316	
12	8.39249e+006	3960	1502	478	56	0	0	248	0	1314	6245	1741	
13	8.39085e+006	4920	1893	606	87	0	0	383	0	1644	7889	2261	
14	8.38882e+006	6056	2391	781	129	0	0	555	0	2024	9913	2929	
15	8.38634e+006	7468	2988	983	182	0	0	778	0	2486	12398	3746	
16	8.38328e+006	9212	3727	1216	252	0	0	1050	0	3059	15457	4761	
17	8.37952e+006	11328	4639	1516	303	16	15	1414	0	3760	19216	6013	
18	8.37494e+006	13883	5724	1904	387	25	20	1872	0	4579	23795	7549	
19	8.36925e+006	17083	7061	2368	492	34	24	2443	0	5686	29482	9449	
20	8.36244e+006	20836	8677	2923	619	48	29	3190	0	6811	36293	11767	
21	8.35409e+006	25430	10702	3584	768	64	38	4099	0	8354	44646	14649	
22	8.34383e+006	31109	13109	4441	953	82	47	5210	0	10258	54904	18109	
23	8.33118e+006	38073	16123	5471	1202	105	57	6582	0	12650	67555	22429	
24	8.31584e+006	46600	19704	6676	1479	136	72	8298	0	15338	82893	27607	
25	8.29708e+006	57010	24128	8120	1820	172	88	10406	0	18763	101656	33990	
26	8.27429e+006	69539	29533	9915	2264	222	111	12971	0	22787	124443	41824	
27	8.24622e+006	84961	36184	12154	2797	263	123	16142	14	28072	152515	51479	
28	8.21228e+006	103562	44301	14797	3438	331	153	20009	18	33939	186455	63232	
29	8.17105e+006	126026	54117	18057	4212	415	190	24835	20	41228	227682	77569	
30	8.12091e+006	153387	66112	22038	5144	512	237	30613	23	50148	277830	94984	
31	8.06005e+006	186168	80891	26978	6288	644	295	37687	27	60854	338684	116456	
32	7.98648e+006	225800	98695	32855	7677	795	366	46401	31	73571	412255	142445	
33	7.89791e+006	273149	120172	39956	9400	985	452	57132	37	88576	500831	174023	
34	7.79131e+006	329594	146246	48691	11503	1211	559	70133	45	106593	607424	212358	
35	7.66401e+006	396045	177793	59234	14047	1497	696	86058	54	127305	734728	258868	
36	7.51231e+006	474168	215830	71981	17155	1840	862	105381	67	151695	886423	315085	
37	7.3329e+006	565003	261222	87093	20970	2248	1058	129218	80	179411	1.06583e+006	382891	
38	7.12199e+006	669323	315716	105253	25590	2729	1275	158037	98	210912	1.27675e+006	464519	
39	6.87692e+006	787090	380196	126850	31172	3335	1558	193055	120	245072	1.52182e+006	561975	
40	6.5942e+006	918113	456267	152326	37938	4081	1902	235665	145	282718	1.80454e+006	678088	
41	6.2724e+006	1.0605e+006	545222	181928	46089	5001	2325	287410	183	321797	2.12633e+006	815566	
42	5.91172e+006	1.21027e+006	658867	205625	55927	6100	2837	350005	222	360679	2.48701e+006	987876	
43	5.51416e+006	1.36276e+006	788475	232513	67684	7461	3469	425415	270	397564	2.88458e+006	1.18827e+006	
44	5.08397e+006	1.51023e+006	934760	262353	81812	9096	4209	516183	334	430193	3.31477e+006	1.41975e+006	
45	4.62793e+006	1.64447e+006	1.0969e+006	294704	98502	11104	5111	624710	412	456033	3.7708e+006	1.68349e+006	
46	4.15553e+006	1.75619e+006	1.27192e+006	328670	118243	13535	6222	754140	505	472402	4.24321e+006	1.97952e+006	
47	3.67928e+006	1.83488e+006	1.4553e+006	363439	141235	16486	7588	907488	625	476248	4.71945e+006	2.30608e+006	
48	3.21269e+006	1.87128e+006	1.63057e+006	407459	168022	20024	9202	1.08795e+006	750	466595	5.18605e+006	2.65831e+006	
49	2.76842e+006	1.85951e+006	1.79931e+006	449677	198480	24276	11161	1.29815e+006	918	444265	5.63031e+006	3.0327e+006	
50	2.35704e+006	1.79849e+006	1.95086e+006	487808	232629	29404	13499	1.54138e+006	1120	411382	6.0417e+006	3.42147e+006	
51	1.98764e+006	1.69164e+006	2.07423e+006	518889	270634	35399	16245	1.81893e+006	1374	369398	6.41109e+006	3.815e+006	
52	1.66484e+006	1.54784e+006	2.15872e+006	540317	311142	42649	19594	2.13153e+006	1689	322799	6.73389e+006	4.20218e+006	
53	1.39028e+006	1.37815e+006	2.19629e+006	549451	353860	51075	23493	2.47757e+006	2070	274568	7.00846e+006	4.57336e+006	
54	1.16161e+006	1.19543e+006	2.18138e+006	545550	396364	61000	28054	2.85489e+006	2520	228668	7.23713e+006	4.91931e+006	
55	974980	1.01266e+006	2.11195e+006	528343	437422	72378	33279	3.25793e+006	3078	186628	7.42376e+006	5.2325e+006	
56	825171	839673	1.99226e+006	498429	474295	85277	39231	3.67987e+006	3768	149809	7.57357e+006	5.50881e+006	
57	706611	683665	1.83096e+006	458045	504292	99813	45880	4.11076e+006	4586	118560	7.69213e+006	5.74672e+006	
58	613464	548144	1.64071e+006	410366	525027	115871	53290	4.53957e+006	5581	93147	7.78527e+006	5.94771e+006	
59	540840	434140	1.43446e+006	358979	534059	133182	61217	4.9563e+006	6776	72624	7.8579e+006	6.11426e+006	
60	484455	340716	1.2253e+006	306567	530499	151212	69528	5.35175e+006	8231	56385	7.91428e+006	6.25016e+006	
61	440833	265778	1.02479e+006	256247	513606	169607	78048	5.71793e+006	9954	43622	7.9579e+006	6.35946e+006	
62	407217	206248	841196	210184	484642	187341	86152	6.04989e+006	12020	33616	7.99152e+006	6.44649e+006	
63	381201	159640	679638	169798	445107	203929	93734	6.34497e+006	14458	26016	8.01754e+006	6.5152e+006	
64	361226	123230	541835	135318	398752	218232	100339	6.60283e+006	17318	19975	8.03751e+006	6.56925e+006	
65	345657	95175	427473	106675	348522	229310	105452	6.82528e+006	20639	15568	8.05308e+006	6.61155e+006	
