Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	481	0	0	0	0	0	0	0	177	481	0	
4	8.39792e+006	802	16	0	0	0	0	0	0	337	818	16	
5	8.39741e+006	1165	124	36	0	0	0	0	0	507	1325	124	
6	8.3967e+006	1730	232	72	0	0	0	0	0	709	2034	232	
7	8.39557e+006	2685	365	116	0	0	0	0	0	1132	3166	365	
8	8.39387e+006	4045	616	202	0	0	0	0	0	1697	4863	616	
9	8.39135e+006	6064	1004	321	0	0	0	0	0	2526	7388	1004	
10	8.3875e+006	9207	1524	494	0	0	0	16	0	3852	11241	1540	
11	8.38166e+006	13912	2268	738	28	0	0	132	0	5836	17077	2398	
12	8.37309e+006	20779	3434	1125	56	0	0	248	0	8565	25642	3672	
13	8.36019e+006	31159	5209	1699	89	0	0	392	0	12905	38547	5585	
14	8.34075e+006	46750	7831	2592	156	0	0	661	0	19443	57991	8476	
15	8.31173e+006	69930	11797	3955	259	0	0	1066	0	29016	87007	12851	
16	8.26858e+006	104512	17665	5943	401	0	0	1633	0	43147	130154	19286	
17	8.20409e+006	156103	26462	8920	592	16	15	2557	0	64496	194651	29005	
18	8.10868e+006	232063	39777	13351	893	25	20	3944	0	95403	290054	43679	
19	7.96812e+006	343608	59635	19984	1348	35	24	6005	0	140561	430615	65549	
20	7.76297e+006	505613	89098	29816	2026	55	33	9160	0	205153	635768	98053	
21	7.46753e+006	736554	133170	44403	3057	82	47	13938	0	295437	931205	146755	
22	7.04961e+006	1.05907e+006	198368	66044	4588	124	65	20931	0	417923	1.34913e+006	218771	
23	6.47574e+006	1.49238e+006	294014	98053	6895	187	96	31465	0	573865	1.92299e+006	324701	
24	5.72048e+006	2.04249e+006	433306	144471	10363	285	139	47343	0	755264	2.67826e+006	479552	
25	4.78351e+006	2.68402e+006	633005	211192	15528	429	204	71050	0	936966	3.61522e+006	702445	
26	3.70955e+006	3.34006e+006	914142	304831	23184	652	306	106318	0	1.07396e+006	4.68919e+006	1.018e+006	
27	2.60956e+006	3.86618e+006	1.2962e+006	432138	34614	960	441	159063	14	1.09999e+006	5.78918e+006	1.45164e+006	
28	1.62819e+006	4.09229e+006	1.79122e+006	596982	51525	1432	664	237079	18	981366	6.77054e+006	2.02291e+006	
29	888380	3.89513e+006	2.38846e+006	796144	76338	2154	1009	352102	20	739814	7.51036e+006	2.73227e+006	
30	423841	3.28571e+006	3.03988e+006	1.01354e+006	112453	3215	1497	520075	25	464539	7.9749e+006	3.54759e+006	
31	180890	2.42867e+006	3.64358e+006	1.21439e+006	164259	4812	2245	762103	31	242952	8.21785e+006	4.38708e+006	
32	72050	1.55614e+006	4.06578e+006	1.35563e+006	237247	7191	3337	1.10465e+006	41	108840	8.32669e+006	5.14308e+006	
33	28324	860056	4.19011e+006	1.39726e+006	336312	10726	4954	1.5759e+006	56	43725	8.37041e+006	5.72586e+006	
34	11623	412218	3.97204e+006	1.3246e+006	464849	16001	7373	2.19733e+006	78	16701	8.38711e+006	6.11113e+006	
35	5168	175722	3.45172e+006	1.15091e+006	619690	23773	10942	2.97165e+006	114	6456	8.39357e+006	6.33927e+006	
36	2618	69431	2.72806e+006	909437	788360	35046	16126	3.86562e+006	165	2549	8.39612e+006	6.4726e+006	
37	1512	26813	1.93574e+006	645500	945166	51184	23568	4.79258e+006	242	1107	8.39722e+006	6.55873e+006	
38	1031	10592	1.21259e+006	403984	1.05455e+006	74206	34148	5.64142e+006	362	480	8.39771e+006	6.61902e+006	
39	797	4371	662621	220592	1.08678e+006	105423	48489	6.31761e+006	541	234	8.39794e+006	6.66014e+006	
40	683	1936	315991	105232	1.03006e+006	146684	67433	6.79735e+006	797	114	8.39805e+006	6.68465e+006	
41	627	884	134606	44772	895099	197351	90740	7.12421e+006	1185	55	8.39811e+006	6.69738e+006	
42	593	438	53348	17671	707733	254725	117111	7.36244e+006	1790	34	8.39814e+006	6.70303e+006	
43	570	227	20691	6837	501940	312587	143707	7.55323e+006	2659	23	8.39817e+006	6.70532e+006	
44	558	124	8257	2683	314441	362056	166415	7.70667e+006	3950	12	8.39818e+006	6.70624e+006	
45	547	80	3456	1085	171854	395481	181780	7.82036e+006	5875	11	8.39819e+006	6.70661e+006	
46	538	55	1565	460	81952	409903	188415	7.8956e+006	8664	9	8.3982e+006	6.70676e+006	
47	532	38	750	192	34943	407011	187072	7.94262e+006	12655	6	8.3982e+006	6.70683e+006	
48	526	32	377	96	13821	389608	179071	7.97595e+006	18328	6	8.39821e+006	6.70686e+006	
49	520	28	200	49	5398	360070	165500	8.00637e+006	26096	7	8.39822e+006	6.70688e+006	
50	514	25	117	28	2143	318666	146491	8.04085e+006	36395	6	8.39822e+006	6.70689e+006	
51	508	25	76	19	884	266736	122585	8.08146e+006	49034	6	8.39823e+006	6.7069e+006	
52	504	22	55	12	395	207082	95167	8.12713e+006	63532	3	8.39823e+006	6.70691e+006	
53	502	18	41	10	188	145684	66952	8.174e+006	78296	2	8.39823e+006	6.70691e+006	
54	499	14	35	10	97	90867	41794	8.2157e+006	91517	3	8.39824e+006	6.70692e+006	
55	498	9	31	9	49	49540	22800	8.24713e+006	101471	1	8.39824e+006	6.70692e+006	
56	497	8	26	8	29	23628	10883	8.26682e+006	107718	1	8.39824e+006	6.70693e+006	
57	497	5	24	7	19	10060	4635	8.27714e+006	110986	0	8.39824e+006	6.70693e+006	
58	497	3	21	6	13	3962	1829	8.28178e+006	112459	0	8.39824e+006	6.70693e+006	
59	497	1	16	5	10	1552	710	8.2836e+006	113057	0	8.39824e+006	6.70693e+006	
60	497	0	13	4	8	615	278	8.28432e+006	113281	0	8.39824e+006	6.70693e+006	
61	497	0	8	3	7	255	116	8.2846e+006	113363	0	8.39824e+006	6.70693e+006	
62	497	0	6	2	7	114	53	8.28471e+006	113399	0	8.39824e+006	6.70693e+006	
63	497	0	4	1	6	52	24	8.28476e+006	113414	0	8.39824e+006	6.70693e+006	
64	497	0	2	1	6	28	13	8.28478e+006	113421	0	8.39824e+006	6.70693e+006	
