Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	474	0	0	0	0	0	0	0	170	474	0	
4	8.39802e+006	699	16	0	0	0	0	0	0	240	715	16	
5	8.39772e+006	861	124	36	0	0	0	0	0	307	1021	124	
6	8.39738e+006	1055	232	72	0	0	0	0	0	337	1359	232	
7	8.39699e+006	1268	360	114	0	0	0	0	0	384	1742	360	
8	8.3966e+006	1426	539	175	0	0	0	0	0	399	2141	539	
9	8.39622e+006	1496	772	250	0	0	0	0	0	377	2518	772	
10	8.39579e+006	1592	1015	328	0	0	0	16	0	433	2951	1031	
11	8.39527e+006	1726	1192	390	28	0	0	132	0	517	3468	1322	
12	8.39473e+006	1870	1392	445	56	0	0	248	0	542	4011	1631	
13	8.39415e+006	2067	1548	495	88	0	0	387	0	575	4585	1920	
14	8.39352e+006	2270	1696	540	136	0	0	579	0	636	5221	2259	
15	8.39281e+006	2458	1846	600	195	0	0	827	0	706	5927	2654	
16	8.39207e+006	2651	1996	656	262	0	0	1097	0	735	6662	3079	
17	8.39127e+006	2880	2140	703	305	16	15	1421	0	803	7465	3524	
18	8.39041e+006	3103	2311	769	358	25	20	1757	0	858	8324	4020	
19	8.38951e+006	3295	2563	846	397	34	24	2086	0	898	9222	4578	
20	8.38865e+006	3426	2789	922	433	50	30	2468	0	866	10088	5164	
21	8.38769e+006	3583	3010	987	480	66	39	2922	0	960	11048	5796	
22	8.3867e+006	3716	3249	1064	510	84	47	3416	0	992	12040	6467	
23	8.38562e+006	3890	3488	1148	549	105	57	3931	0	1072	13112	7167	
24	8.3845e+006	4153	3657	1210	594	127	66	4500	0	1129	14241	7846	
25	8.3833e+006	4388	3829	1292	660	148	77	5119	0	1195	15436	8583	
26	8.38206e+006	4638	4021	1357	722	170	88	5770	0	1243	16678	9359	
27	8.38076e+006	4860	4219	1428	776	186	88	6489	14	1293	17972	10194	
28	8.37938e+006	5116	4416	1501	841	202	95	7263	18	1385	19356	11075	
29	8.37798e+006	5319	4625	1589	903	227	105	8072	20	1398	20755	11990	
30	8.37646e+006	5595	4909	1682	944	249	116	8872	24	1519	22274	12957	
31	8.37487e+006	5897	5180	1744	996	271	126	9753	27	1596	23869	13980	
32	8.3732e+006	6181	5473	1844	1038	293	137	10676	33	1669	25538	15059	
33	8.37231e+006	5673	5714	1929	1086	322	148	11665	38	890	26428	16150	
34	8.37137e+006	5095	6001	2032	1154	341	157	12703	44	940	27368	17338	
35	8.37038e+006	4489	6306	2127	1217	373	170	13795	50	990	28358	18580	
36	8.36942e+006	3774	6629	2231	1289	399	182	14936	54	954	29312	19897	
37	8.36848e+006	3828	6308	2148	1358	428	193	16123	63	944	30256	20622	
38	8.36757e+006	3795	5976	2036	1442	458	207	17389	67	907	31163	21396	
39	8.36669e+006	3691	5677	1926	1507	488	223	18687	72	886	32049	22207	
40	8.36584e+006	3582	5246	1792	1578	513	237	20100	82	845	32894	22987	
41	8.36505e+006	3432	4766	1621	1653	540	246	21585	91	793	33687	23770	
42	8.36432e+006	3258	4238	1387	1735	571	259	23132	99	734	34421	24571	
43	8.36365e+006	3033	4292	1330	1654	595	273	24068	110	661	35082	25328	
44	8.36299e+006	2854	4258	1268	1568	632	292	25048	120	666	35748	26045	
45	8.36235e+006	2701	4152	1177	1484	661	307	26079	133	641	36388	26730	
46	8.36173e+006	2586	4035	1075	1373	697	323	27095	146	618	37007	27366	
47	8.36115e+006	2509	3863	964	1242	725	341	28128	161	585	37591	27943	
48	8.36058e+006	2409	3656	929	1094	764	361	29130	175	565	38156	28497	
49	8.36005e+006	2300	3456	883	1089	754	355	30015	192	532	38688	29044	
50	8.35954e+006	2190	3280	833	1068	746	349	30873	206	508	39197	29569	
51	8.35906e+006	2084	3103	801	1036	736	348	31695	220	479	39675	30060	
52	8.3586e+006	1976	2968	768	985	722	345	32473	242	457	40132	30535	
53	8.35816e+006	1886	2861	746	930	700	334	33194	258	442	40574	30982	
54	8.35774e+006	1798	2746	703	893	667	318	33910	277	420	40994	31414	
55	8.35734e+006	1722	2616	671	845	635	303	34610	299	403	41397	31820	
56	8.35695e+006	1649	2486	640	802	599	284	35286	320	384	41782	32210	
57	8.35659e+006	1569	2379	604	761	555	264	35935	340	362	42144	32588	
58	8.35625e+006	1497	2268	570	734	501	234	36556	365	348	42491	32949	
59	8.35591e+006	1424	2167	542	705	485	228	37120	379	331	42822	33291	
60	8.3556e+006	1355	2070	515	663	467	222	37675	391	315	43136	33622	
61	8.35529e+006	1299	1975	493	637	446	211	38188	404	306	43442	33929	
62	8.355e+006	1246	1886	473	607	424	199	38684	417	295	43737	34224	
63	8.35472e+006	1197	1802	445	581	407	192	39157	429	282	44019	34514	
64	8.35445e+006	1150	1719	423	556	395	186	39605	439	268	44287	34784	
65	8.35418e+006	1114	1644	401	539	370	174	40035	453	269	44556	35048	
66	8.35393e+006	1071	1570	385	519	351	168	40448	463	252	44808	35300	
67	8.3537e+006	1022	1536	340	495	336	157	40837	475	233	45041	35565	
68	8.35346e+006	988	1500	295	473	319	153	41215	485	234	45275	35820	
69	8.35324e+006	940	1471	263	445	309	149	41573	495	220	45496	36072	
70	8.35303e+006	895	1445	227	417	298	142	41919	503	208	45704	36312	
71	8.35283e+006	866	1407	192	399	286	136	42244	513	204	45908	36534	
72	8.35264e+006	826	1385	153	381	268	129	42565	523	193	46101	36757	
73	8.35246e+006	785	1330	147	364	255	124	42868	532	179	46280	36962	
74	8.35227e+006	764	1274	143	346	244	117	43159	538	187	46468	37153	
75	8.3521e+006	734	1216	136	336	235	114	43440	545	174	46641	37343	
76	8.35193e+006	710	1163	130	324	224	108	43709	552	170	46811	37522	
77	8.35176e+006	699	1116	122	305	212	103	43964	560	168	46980	37690	
78	8.35159e+006	674	1073	120	290	202	96	44217	566	162	47142	37864	
79	8.35144e+006	651	1032	114	274	189	87	44459	573	151	47292	38025	
80	8.3513e+006	628	999	108	261	177	83	44684	581	147	47439	38183	
81	8.35116e+006	601	971	101	250	170	81	44899	589	142	47581	38342	
