Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	124	36	0	0	0	0	0	400	1162	124	
6	8.39703e+006	1400	232	72	0	0	0	0	0	542	1704	232	
7	8.39625e+006	2015	361	115	0	0	0	0	0	786	2491	361	
8	8.39512e+006	2857	574	189	0	0	0	0	0	1129	3619	574	
9	8.39354e+006	4030	879	283	0	0	0	0	0	1573	5192	879	
10	8.39131e+006	5725	1271	418	0	0	0	16	0	2237	7429	1287	
11	8.38815e+006	8097	1765	566	28	0	0	132	0	3158	10587	1895	
12	8.38377e+006	11346	2498	817	56	0	0	248	0	4378	14966	2737	
13	8.3777e+006	15839	3554	1162	88	0	0	388	0	6066	21032	3926	
14	8.3691e+006	22209	5028	1638	145	0	0	618	0	8606	29638	5628	
15	8.35715e+006	31001	7080	2345	224	0	0	939	0	11950	41588	8000	
16	8.34052e+006	43250	9936	3325	334	0	0	1370	0	16627	58215	11289	
17	8.31711e+006	60595	13875	4666	462	16	15	2012	0	23411	81626	15869	
18	8.28463e+006	84471	19460	6559	654	25	20	2940	0	32482	114108	22364	
19	8.2394e+006	117747	27215	9181	914	35	24	4244	0	45227	159335	31379	
20	8.17692e+006	163606	38012	12775	1302	52	31	6075	0	62486	221821	43957	
21	8.09051e+006	226601	53199	17840	1825	74	43	8688	0	86406	308227	61636	
22	7.97147e+006	313160	74291	24852	2567	105	56	12293	0	119042	427268	86195	
23	7.82509e+006	414310	103686	34617	3620	149	77	17262	0	146377	573645	120435	
24	7.64809e+006	528829	144166	48017	5077	209	106	24352	0	177005	750650	167764	
25	7.43915e+006	651361	200035	66604	7112	292	146	34183	0	208938	959588	233147	
26	7.20612e+006	765347	276738	92316	9933	425	203	47857	0	233028	1.19262e+006	323171	
27	6.96199e+006	863098	369020	122999	13875	583	269	67154	14	244128	1.43674e+006	434129	
28	6.72284e+006	925242	477356	159185	19338	825	380	93928	18	239149	1.67589e+006	568384	
29	6.50933e+006	929816	600049	200204	26882	1165	539	131268	20	213512	1.8894e+006	727172	
30	6.34573e+006	860388	727991	242804	37440	1636	764	182721	24	163600	2.053e+006	905117	
31	6.16425e+006	797740	846233	282283	51973	2282	1069	253942	29	181480	2.23448e+006	1.09239e+006	
32	5.97262e+006	750228	936397	312226	71787	3173	1482	352273	36	191637	2.42612e+006	1.27748e+006	
33	5.7815e+006	727835	986820	328939	95688	4434	2069	473477	47	191119	2.61724e+006	1.4449e+006	
34	5.59193e+006	753799	976871	325483	123785	6192	2875	620610	62	189564	2.8068e+006	1.5763e+006	
35	5.40666e+006	757597	956468	318427	155712	8628	4000	795165	82	185278	2.99208e+006	1.7226e+006	
36	5.22853e+006	744091	925337	308167	188860	12013	5532	991629	114	178130	3.17021e+006	1.8776e+006	
37	5.05983e+006	721664	885625	294871	219551	16700	7696	1.20034e+006	157	168692	3.3389e+006	2.03298e+006	
38	4.90183e+006	690105	848406	282504	242894	23085	10630	1.4097e+006	219	158005	3.49691e+006	2.1867e+006	
39	4.75371e+006	652945	827119	275557	255971	30929	14228	1.6022e+006	305	148118	3.64503e+006	2.33607e+006	
40	4.61349e+006	615033	837927	279280	253480	40315	18520	1.75878e+006	428	140218	3.78524e+006	2.47761e+006	
41	4.47771e+006	582124	828150	276270	247985	51370	23637	1.93453e+006	595	135783	3.92103e+006	2.61279e+006	
42	4.34863e+006	553203	810893	259895	239899	63586	29244	2.12182e+006	816	129084	4.05011e+006	2.7486e+006	
43	4.22743e+006	526283	785995	241792	229504	75959	34931	2.31065e+006	1127	121198	4.17131e+006	2.87635e+006	
44	4.11394e+006	499553	756020	222421	220069	87444	40206	2.49773e+006	1559	113488	4.2848e+006	2.99781e+006	
45	4.00837e+006	469339	725649	203297	214488	96811	44515	2.67861e+006	2169	105568	4.39037e+006	3.11544e+006	
46	3.91038e+006	438249	695333	184567	217209	102441	47120	2.84756e+006	3003	97994	4.48836e+006	3.22742e+006	
47	3.81973e+006	407702	665779	166627	214876	107644	49526	3.01222e+006	4167	90651	4.57901e+006	3.33263e+006	
48	3.73526e+006	378684	630092	157798	208390	111770	51394	3.17097e+006	5774	84470	4.66348e+006	3.42961e+006	
49	3.65735e+006	351017	596092	149248	199975	114261	52522	3.32303e+006	7760	77901	4.74138e+006	3.51983e+006	
50	3.5853e+006	325074	562314	140802	190276	114958	52867	3.46984e+006	10174	72052	4.81343e+006	3.60366e+006	
51	3.51876e+006	300963	526235	131749	180714	113539	52170	3.61378e+006	12998	66540	4.87997e+006	3.68143e+006	
52	3.45743e+006	277826	490531	122839	171125	110391	50743	3.75246e+006	16140	61333	4.94131e+006	3.75398e+006	
53	3.40124e+006	256115	455933	114141	161710	106130	48780	3.88403e+006	19440	56190	4.9975e+006	3.82092e+006	
54	3.37534e+006	209963	422815	105823	153030	101671	46763	4.00742e+006	22673	25900	5.0234e+006	3.88297e+006	
55	3.35153e+006	167234	391545	98063	144807	98017	45072	4.12199e+006	25556	23812	5.04721e+006	3.9402e+006	
56	3.3296e+006	127829	362229	90718	136544	96690	44465	4.22736e+006	27771	21927	5.06914e+006	3.99298e+006	
57	3.31027e+006	90973	334638	83848	127799	94174	43290	4.32682e+006	30219	19335	5.08847e+006	4.04136e+006	
58	3.29336e+006	81978	287790	72125	119163	90623	41691	4.42089e+006	32808	16904	5.10538e+006	4.06529e+006	
59	3.27861e+006	72915	244521	61305	110832	86645	39877	4.50855e+006	35358	14748	5.12012e+006	4.08728e+006	
60	3.26599e+006	63613	204416	51286	102726	82435	37929	4.59036e+006	37910	12626	5.13275e+006	4.10759e+006	
61	3.25521e+006	55053	166741	41755	95120	78024	35923	4.66644e+006	40395	10774	5.14352e+006	4.12567e+006	
62	3.24625e+006	47115	131208	32860	88014	73461	33811	4.73704e+006	42796	8966	5.15249e+006	4.14155e+006	
63	3.23896e+006	39649	98103	24523	81285	69109	31790	4.80202e+006	45080	7283	5.15977e+006	4.15552e+006	
