Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.39818e+006	8.39819e+006	547	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	106	547	554	0	0	
4	8.39808e+006	8.3981e+006	321	334	238	250	70	82	0	0	0	0	0	0	0	0	0	0	92	102	641	654	238	250	
5	8.39798e+006	8.398e+006	357	372	286	299	85	98	0	0	0	0	0	0	0	0	0	0	96	106	741	756	286	299	
6	8.39787e+006	8.39789e+006	399	416	333	348	100	115	0	0	0	0	0	0	0	0	0	0	102	111	847	864	333	348	
7	8.39776e+006	8.39778e+006	410	429	409	426	125	140	0	0	0	0	0	0	0	0	0	0	109	120	960	980	409	426	
8	8.39763e+006	8.39765e+006	438	459	479	499	150	167	0	0	0	0	0	0	0	0	0	0	121	132	1084	1109	479	499	
9	8.39749e+006	8.39752e+006	473	496	553	576	176	193	0	0	0	0	0	0	0	0	0	0	129	144	1218	1248	554	574	
10	8.39735e+006	8.39739e+006	498	527	390	413	127	141	51	60	0	0	0	0	260	269	0	0	128	141	1350	1386	644	665	
11	8.39722e+006	8.39726e+006	513	542	427	452	139	154	64	74	0	0	0	0	310	320	0	0	123	136	1477	1518	731	755	
12	8.39708e+006	8.39713e+006	517	548	475	504	152	167	76	88	0	0	0	0	360	372	0	0	125	138	1606	1652	828	856	
13	8.39694e+006	8.39699e+006	524	556	499	532	159	176	96	109	0	0	0	0	441	454	0	0	137	151	1746	1800	933	963	
14	8.39679e+006	8.39685e+006	532	566	527	565	165	184	113	128	0	0	0	0	519	535	0	0	136	151	1886	1947	1038	1073	
15	8.39664e+006	8.39671e+006	549	583	552	592	167	186	132	149	0	0	0	0	599	617	0	0	139	154	2031	2096	1142	1182	
16	8.39649e+006	8.39656e+006	562	598	567	611	174	195	100	115	24	29	18	22	712	731	0	0	137	154	2173	2244	1246	1289	
17	8.39634e+006	8.39641e+006	570	606	585	632	184	206	107	123	27	34	20	23	814	835	0	0	145	160	2323	2400	1352	1401	
18	8.39618e+006	8.39626e+006	584	619	593	643	192	213	119	135	30	38	21	25	923	948	0	0	149	165	2476	2560	1460	1514	
19	8.39602e+006	8.39611e+006	594	629	604	654	191	212	126	142	34	42	23	28	1045	1076	0	0	150	164	2630	2720	1579	1637	
20	8.3959e+006	8.396e+006	563	597	615	667	188	212	135	152	39	48	25	31	1164	1198	0	0	106	122	2741	2837	1698	1760	
21	8.39579e+006	8.39589e+006	520	557	628	684	195	221	139	155	45	54	29	35	1281	1321	0	0	103	119	2849	2951	1817	1882	
22	8.39567e+006	8.39578e+006	476	513	650	704	201	224	142	157	50	61	31	38	1401	1446	0	0	105	121	2959	3067	1937	2008	
23	8.39555e+006	8.39567e+006	432	470	663	716	202	224	147	164	56	67	34	40	1532	1582	0	0	105	122	3069	3183	2060	2135	
24	8.39544e+006	8.39556e+006	430	468	640	693	194	217	151	170	64	75	37	44	1657	1716	0	0	104	120	3178	3298	2151	2230	
25	8.39533e+006	8.39545e+006	426	465	608	662	190	213	155	175	72	83	41	48	1790	1852	0	0	100	115	3282	3409	2237	2321	
26	8.39522e+006	8.39535e+006	422	461	579	633	187	209	155	175	54	65	25	33	1931	2000	17	19	102	117	3388	3521	2325	2414	
27	8.39511e+006	8.39525e+006	413	454	545	601	181	203	159	180	56	67	26	34	2074	2148	18	20	96	114	3490	3629	2413	2509	
28	8.395e+006	8.39515e+006	401	440	508	565	172	195	165	185	60	70	28	35	2218	2299	18	21	92	107	3586	3732	2505	2605	
29	8.3949e+006	8.39505e+006	394	431	470	528	160	182	172	193	62	73	29	37	2361	2448	19	22	92	107	3683	3833	2595	2700	
30	8.39481e+006	8.39496e+006	378	417	466	524	160	182	165	186	65	77	29	38	2474	2569	20	23	86	102	3773	3931	2684	2791	
31	8.39473e+006	8.39489e+006	353	388	464	521	157	178	158	179	68	79	30	39	2585	2686	21	25	72	84	3850	4010	2770	2882	
32	8.39464e+006	8.39481e+006	337	370	453	510	153	176	152	170	69	81	31	40	2700	2806	21	25	76	89	3930	4094	2850	2966	
33	8.39456e+006	8.39472e+006	321	356	442	500	149	173	146	166	71	83	32	41	2813	2924	22	27	77	91	4013	4180	2929	3047	
34	8.39447e+006	8.39464e+006	314	345	429	486	146	168	135	155	70	82	31	41	2932	3048	24	29	78	92	4095	4268	3002	3123	
35	8.39439e+006	8.39456e+006	315	347	410	464	137	159	123	143	71	84	33	42	3045	3167	26	31	73	86	4172	4350	3066	3189	
36	8.39431e+006	8.3945e+006	304	337	392	444	129	151	118	137	71	84	31	41	3156	3284	27	33	64	79	4241	4424	3130	3256	
37	8.39423e+006	8.39442e+006	295	330	377	427	125	144	115	134	73	87	33	43	3256	3389	29	36	69	84	4315	4503	3199	3327	
38	8.39416e+006	8.39435e+006	282	314	367	417	121	140	113	133	71	84	33	42	3354	3494	32	38	65	76	4384	4575	3265	3397	
39	8.39408e+006	8.39428e+006	277	312	354	403	115	133	110	129	70	83	31	41	3453	3597	34	41	69	83	4458	4653	3328	3464	
40	8.39401e+006	8.39421e+006	273	307	341	390	105	125	107	126	69	83	30	41	3546	3695	36	42	61	73	4522	4723	3385	3525	
41	8.39395e+006	8.39415e+006	263	296	336	386	108	128	100	117	67	81	30	40	3630	3782	38	45	60	71	4586	4790	3442	3586	
42	8.39387e+006	8.39408e+006	262	295	330	379	103	123	100	115	66	78	28	38	3712	3868	39	46	63	76	4654	4862	3500	3647	
43	8.3938e+006	8.39402e+006	254	286	325	376	99	118	92	108	64	76	29	38	3801	3962	41	48	61	74	4719	4932	3563	3713	
44	8.39374e+006	8.39395e+006	254	284	314	364	94	111	90	106	62	74	27	36	3886	4052	42	50	61	72	4783	5000	3616	3773	
45	8.39367e+006	8.39389e+006	255	284	309	358	86	102	86	102	57	69	25	33	3970	4141	44	53	61	71	4849	5067	3673	3833	
46	8.39361e+006	8.39383e+006	248	275	308	357	85	100	86	102	53	65	23	32	4041	4216	47	56	55	67	4908	5130	3731	3894	
47	8.39354e+006	8.39376e+006	247	273	308	357	77	92	86	104	49	60	21	29	4117	4295	49	59	60	72	4972	5199	3788	3955	
48	8.39348e+006	8.39371e+006	239	268	308	355	74	88	84	101	48	59	20	28	4187	4368	51	61	54	66	5030	5261	3844	4013	
49	8.39341e+006	8.39365e+006	233	263	301	344	72	87	86	102	47	59	20	28	4258	4443	53	63	55	67	5088	5323	3899	4071	
50	8.39335e+006	8.39359e+006	234	265	297	339	71	86	81	97	45	56	19	27	4330	4520	54	64	56	70	5148	5389	3947	4121	
51	8.39329e+006	8.39354e+006	221	253	293	337	75	90	75	92	43	53	18	25	4400	4592	55	66	48	59	5200	5445	3996	4176	
52	8.39323e+006	8.39348e+006	217	249	287	329	72	86	72	89	43	53	18	25	4469	4666	57	67	51	61	5255	5502	4046	4229	
53	8.39317e+006	8.39342e+006	217	247	285	325	68	83	69	86	42	52	17	23	4536	4739	58	68	54	65	5312	5563	4099	4285	
54	8.39311e+006	8.39337e+006	214	242	280	324	67	82	69	85	42	52	17	23	4599	4806	60	69	53	64	5369	5624	4152	4342	
55	8.39305e+006	8.39331e+006	218	246	270	316	64	79	65	80	42	52	16	22	4668	4878	61	71	53	63	5426	5683	4196	4389	
56	8.39299e+006	8.39325e+006	220	251	268	312	62	76	64	79	41	52	16	23	4728	4941	62	72	52	66	5482	5745	4241	4437	
57	8.39294e+006	8.3932e+006	215	244	264	309	59	73	65	81	41	52	16	23	4790	5008	62	72	48	58	5534	5800	4289	4489	
