Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.39786e+006	8.39789e+006	850	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	429	850	877	0	0	
4	8.39738e+006	8.39743e+006	987	1035	238	250	70	82	0	0	0	0	0	0	0	0	0	0	449	486	1307	1355	238	250	
5	8.39682e+006	8.39689e+006	1466	1532	286	299	85	98	0	0	0	0	0	0	0	0	0	0	534	570	1850	1916	286	299	
6	8.39574e+006	8.39585e+006	2435	2544	333	348	100	115	0	0	0	0	0	0	0	0	0	0	1024	1086	2883	2992	333	348	
7	8.39414e+006	8.39432e+006	3553	3730	634	667	203	223	0	0	0	0	0	0	0	0	0	0	1518	1617	4412	4599	638	663	
8	8.39185e+006	8.39212e+006	5303	5538	982	1036	310	334	0	0	0	0	0	0	0	0	0	0	2194	2298	6617	6886	988	1030	
9	8.3883e+006	8.38872e+006	8163	8530	1385	1459	445	478	0	0	0	0	0	0	0	0	0	0	3388	3568	10019	10441	1395	1448	
10	8.38285e+006	8.3835e+006	12343	12899	1923	2039	615	658	51	60	0	0	0	0	260	269	0	0	5197	5461	15233	15885	2190	2278	
11	8.37515e+006	8.37615e+006	18170	18995	3006	3206	982	1050	64	74	0	0	0	0	310	320	0	0	7344	7715	22589	23587	3339	3479	
12	8.3633e+006	8.36483e+006	27287	28557	4610	4892	1508	1597	76	88	0	0	0	0	360	372	0	0	11308	11864	33911	35436	5002	5206	
13	8.34531e+006	8.34762e+006	41085	42999	6830	7259	2259	2383	152	170	0	0	0	0	690	716	0	0	17186	18011	51115	53428	7568	7887	
14	8.31878e+006	8.32227e+006	61224	64081	10336	10979	3481	3659	244	268	0	0	0	0	1052	1097	0	0	25339	26540	76464	79958	11470	11969	
15	8.27929e+006	8.2845e+006	91643	95869	15389	16370	5196	5455	348	376	0	0	0	0	1490	1551	0	0	37764	39501	114240	119448	17000	17756	
16	8.21983e+006	8.22769e+006	137119	143486	22987	24464	7825	8196	497	531	24	29	18	22	2348	2447	0	0	56786	59479	171042	178911	25510	26670	
17	8.13222e+006	8.14396e+006	203649	213098	34658	36866	11730	12278	772	822	27	34	20	23	3596	3761	0	0	83716	87621	254773	266517	38504	40253	
18	8.00319e+006	8.02039e+006	301873	315600	51842	55183	17544	18351	1188	1256	30	38	21	25	5384	5607	0	0	123562	129043	378346	395549	57594	60249	
19	7.81383e+006	7.83901e+006	445476	465472	77399	82359	26131	27339	1764	1858	53	63	31	38	8184	8537	0	0	181367	189372	559728	584907	86081	90007	
20	7.54043e+006	7.57675e+006	650934	679406	115802	123259	38984	40791	2669	2806	76	91	43	51	12469	13006	0	0	262241	273417	821985	858308	128929	134882	
21	7.15256e+006	7.20338e+006	940571	979668	172651	183740	58028	60696	4030	4224	106	121	56	66	18432	19264	0	0	373349	387888	1.19535e+006	1.24618e+006	192130	201021	
22	6.61576e+006	6.68523e+006	1.33516e+006	1.38743e+006	256115	272303	86101	90028	6022	6322	164	183	83	96	27704	28952	0	0	518140	536811	1.71351e+006	1.78297e+006	285296	298287	
23	5.90115e+006	5.99179e+006	1.8472e+006	1.9127e+006	378228	401825	127144	132895	9095	9535	250	272	120	136	41750	43642	0	0	693409	714642	2.40695e+006	2.49758e+006	422192	441180	
24	5.00227e+006	5.11315e+006	2.46357e+006	2.53819e+006	554464	588345	186379	194682	13590	14217	375	403	177	197	62476	65362	0	0	878585	898942	3.28559e+006	3.39647e+006	620086	647434	
25	3.95156e+006	4.07594e+006	3.12738e+006	3.20108e+006	804317	851389	270312	281824	20327	21254	564	602	261	288	93324	97616	0	0	1.03708e+006	1.05084e+006	4.3228e+006	4.44718e+006	901900	940176	
26	2.84462e+006	2.96884e+006	3.71615e+006	3.77138e+006	1.14804e+006	1.21158e+006	385684	401230	30335	31740	825	881	376	410	139839	146295	17	19	1.10519e+006	1.10884e+006	5.4299e+006	5.55411e+006	1.29322e+006	1.3456e+006	
27	1.82501e+006	1.93187e+006	4.05861e+006	4.07745e+006	1.60316e+006	1.68454e+006	537822	557724	45179	47271	1243	1320	569	615	208309	217931	18	20	1.01937e+006	1.03722e+006	6.46686e+006	6.57373e+006	1.81773e+006	1.88615e+006	
28	1.02587e+006	1.10319e+006	3.97558e+006	4.01077e+006	2.16726e+006	2.26389e+006	726711	750300	66956	69986	1874	1989	872	935	309472	323580	18	21	799051	828772	7.29554e+006	7.37287e+006	2.48245e+006	2.56629e+006	
29	503525	549833	3.4477e+006	3.52644e+006	2.8081e+006	2.91047e+006	940925	965843	98911	103378	2803	2961	1303	1387	457962	478571	22	26	522294	553411	7.8489e+006	7.89521e+006	3.26897e+006	3.36336e+006	
30	219684	242838	2.6248e+006	2.72614e+006	3.44325e+006	3.53407e+006	1.15222e+006	1.17418e+006	144935	151350	4172	4401	1938	2051	672817	702556	28	34	283822	307013	8.1559e+006	8.17905e+006	4.11187e+006	4.20679e+006	
31	88735	98778	1.73623e+006	1.83314e+006	3.94518e+006	4.00363e+006	1.31803e+006	1.33222e+006	210251	219157	6278	6590	2911	3061	978753	1.02042e+006	37	43	130940	144069	8.29996e+006	8.31e+006	4.90761e+006	4.99022e+006	
32	35109	39091	990743	1.06412e+006	4.1824e+006	4.196e+006	1.395e+006	1.39853e+006	300069	312117	9396	9860	4346	4561	1.40395e+006	1.46097e+006	52	62	53621	59693	8.35965e+006	8.36363e+006	5.55433e+006	5.61568e+006	
33	14333	15901	489184	533939	4.0407e+006	4.08785e+006	1.34967e+006	1.36136e+006	418646	434109	14012	14691	6448	6766	1.97418e+006	2.04874e+006	72	83	20772	23195	8.38284e+006	8.3844e+006	6.00307e+006	6.04222e+006	
34	6329	6944	213349	235900	3.57403e+006	3.66501e+006	1.1958e+006	1.21806e+006	565404	583833	20778	21755	9575	10018	2.69927e+006	2.79081e+006	99	112	7998	8963	8.39179e+006	8.39241e+006	6.27629e+006	6.29913e+006	
35	3145	3413	85584	95371	2.88092e+006	2.99901e+006	965634	994414	731717	751216	30753	32184	14148	14816	3.56014e+006	3.66367e+006	145	163	3177	3538	8.39532e+006	8.39559e+006	6.43469e+006	6.4483e+006	
36	1809	1941	33290	37160	2.09026e+006	2.21428e+006	702316	732409	895993	913380	45076	47115	20730	21683	4.48855e+006	4.59344e+006	213	236	1328	1480	8.3968e+006	8.39693e+006	6.53296e+006	6.54208e+006	
37	1218	1295	13102	14619	1.3433e+006	1.45188e+006	452548	478925	1.02512e+006	1.03638e+006	65607	68439	30184	31502	5.37572e+006	5.46865e+006	321	351	582	656	8.39744e+006	8.39752e+006	6.60074e+006	6.60723e+006	
38	937	994	5376	5967	754052	833136	254710	273890	1.08472e+006	1.0875e+006	93949	97790	43194	44973	6.11582e+006	6.18766e+006	470	512	273	309	8.39774e+006	8.3978e+006	6.64783e+006	6.65228e+006	
39	808	857	2319	2574	368969	416431	124959	136440	1.04927e+006	1.05821e+006	131643	136623	60531	62821	6.65852e+006	6.70838e+006	707	760	122	144	8.39788e+006	8.39793e+006	6.67755e+006	6.68037e+006	
40	756	802	1037	1155	160249	184002	54379	60142	929844	947074	179283	185341	82428	85243	7.02858e+006	7.06267e+006	1047	1118	47	60	8.39793e+006	8.39798e+006	6.69341e+006	6.69537e+006	
41	729	774	475	534	64252	74549	21859	24340	751095	773421	234961	241709	108028	111159	7.29004e+006	7.31551e+006	1564	1654	23	32	8.39796e+006	8.39801e+006	6.70072e+006	6.70241e+006	
