Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39842e+006	320	0	0	0	0	0	0	0	0	320	0	
1	8.39835e+006	384	0	0	0	0	0	0	0	64	384	0	
2	8.39829e+006	448	0	0	0	0	0	0	0	64	448	0	
3	8.39819e+006	550	0	0	0	0	0	0	0	102	550	0	
4	8.39809e+006	328	244	76	0	0	0	0	0	97	648	244	
5	8.39799e+006	365	292	92	0	0	0	0	0	101	749	292	
6	8.39788e+006	407	340	108	0	0	0	0	0	107	855	340	
7	8.39777e+006	420	418	133	0	0	0	0	0	115	970	418	
8	8.39764e+006	449	489	159	0	0	0	0	0	127	1096	489	
9	8.3975e+006	484	564	184	0	0	0	0	0	137	1233	564	
10	8.39737e+006	512	401	134	55	0	0	265	0	135	1368	654	
11	8.39724e+006	527	439	147	69	0	0	315	0	129	1497	743	
12	8.39711e+006	532	489	159	82	0	0	366	0	132	1629	842	
13	8.39696e+006	540	515	167	103	0	0	448	0	144	1773	948	
14	8.39682e+006	549	546	174	120	0	0	527	0	144	1917	1055	
15	8.39667e+006	566	572	177	141	0	0	608	0	147	2064	1162	
16	8.39653e+006	580	589	185	107	26	20	722	0	145	2209	1267	
17	8.39638e+006	588	608	195	115	30	22	825	0	152	2361	1376	
18	8.39622e+006	601	618	202	127	34	23	936	0	157	2518	1487	
19	8.39606e+006	612	629	202	134	38	26	1061	0	157	2675	1608	
20	8.39595e+006	580	641	200	144	44	28	1181	0	114	2789	1729	
21	8.39584e+006	538	656	208	147	50	32	1301	0	111	2900	1849	
22	8.39572e+006	495	677	212	150	56	35	1424	0	113	3013	1973	
23	8.39561e+006	451	689	213	155	61	37	1557	0	113	3126	2097	
24	8.3955e+006	449	667	206	161	69	41	1687	0	112	3238	2191	
25	8.39539e+006	446	635	201	165	78	44	1821	0	107	3345	2279	
26	8.39528e+006	442	606	198	165	59	29	1966	18	109	3455	2370	
