Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39842e+006	320	0	0	0	0	0	0	0	0	320	0	
1	8.39835e+006	384	0	0	0	0	0	0	0	64	384	0	
2	8.39829e+006	448	0	0	0	0	0	0	0	64	448	0	
3	8.39787e+006	864	0	0	0	0	0	0	0	416	864	0	
4	8.39741e+006	1011	244	76	0	0	0	0	0	467	1331	244	
5	8.39685e+006	1499	292	92	0	0	0	0	0	552	1883	292	
6	8.3958e+006	2490	340	108	0	0	0	0	0	1055	2938	340	
7	8.39423e+006	3642	651	213	0	0	0	0	0	1568	4505	651	
8	8.39198e+006	5421	1009	322	0	0	0	0	0	2246	6752	1009	
9	8.38851e+006	8347	1422	461	0	0	0	0	0	3478	10230	1422	
10	8.38318e+006	12621	1981	637	55	0	0	265	0	5329	15559	2234	
11	8.37565e+006	18583	3106	1016	69	0	0	315	0	7529	23088	3409	
12	8.36406e+006	27922	4751	1552	82	0	0	366	0	11586	34674	5104	
13	8.34646e+006	42042	7045	2321	161	0	0	703	0	17598	52272	7727	
14	8.32053e+006	62653	10658	3570	256	0	0	1075	0	25940	78211	11720	
15	8.28189e+006	93756	15880	5326	362	0	0	1521	0	38632	116844	17378	
16	8.22376e+006	140303	23725	8011	514	26	20	2397	0	58133	174976	26090	
17	8.13809e+006	208374	35762	12004	797	30	22	3678	0	85669	260645	39378	
18	8.01179e+006	308736	53512	17947	1222	34	23	5496	0	126302	386948	58921	
19	7.82642e+006	455474	79879	26735	1811	58	35	8360	0	185370	572317	88044	
20	7.55859e+006	665170	119530	39887	2737	84	47	12737	0	267829	840146	131906	
21	7.17797e+006	960120	178195	59362	4127	113	61	18848	0	380618	1.22077e+006	196576	
22	6.6505e+006	1.36129e+006	264209	88065	6172	174	89	28328	0	527476	1.74824e+006	291791	
23	5.94647e+006	1.87995e+006	390027	130019	9315	261	128	42696	0	704025	2.45227e+006	431686	
