Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.398e+006	8.39802e+006	714	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	286	714	734	0	0	
4	8.39773e+006	8.39776e+006	652	684	238	250	70	82	0	0	0	0	0	0	0	0	0	0	252	276	972	1004	238	250	
5	8.39746e+006	8.39751e+006	844	888	286	299	85	98	0	0	0	0	0	0	0	0	0	0	250	274	1228	1272	286	299	
6	8.3971e+006	8.39716e+006	1132	1193	333	348	100	115	0	0	0	0	0	0	0	0	0	0	346	376	1580	1641	333	348	
7	8.3967e+006	8.39678e+006	1238	1309	533	559	169	187	0	0	0	0	0	0	0	0	0	0	371	402	1958	2036	535	557	
8	8.39632e+006	8.39641e+006	1344	1418	726	764	232	253	0	0	0	0	0	0	0	0	0	0	357	387	2322	2416	730	760	
9	8.39597e+006	8.39608e+006	1417	1498	921	970	292	316	0	0	0	0	0	0	0	0	0	0	324	353	2652	2762	927	964	
10	8.39556e+006	8.39569e+006	1459	1538	943	1009	301	328	51	60	0	0	0	0	260	269	0	0	386	417	3046	3172	1205	1254	
11	8.39516e+006	8.3953e+006	1469	1548	1177	1261	379	409	64	74	0	0	0	0	310	320	0	0	380	414	3434	3578	1492	1554	
12	8.3947e+006	8.39486e+006	1545	1631	1410	1510	442	479	76	88	0	0	0	0	360	372	0	0	433	469	3873	4041	1776	1850	
13	8.39418e+006	8.39438e+006	1697	1798	1451	1563	456	497	125	141	0	0	0	0	580	601	0	0	478	518	4357	4553	2032	2120	
14	8.39364e+006	8.39386e+006	1820	1936	1551	1666	493	532	173	193	0	0	0	0	789	821	0	0	507	556	4873	5101	2336	2438	
15	8.39307e+006	8.39332e+006	1980	2098	1638	1762	534	579	224	247	0	0	0	0	994	1034	0	0	538	578	5420	5670	2634	2749	
16	8.39244e+006	8.39272e+006	2135	2261	1701	1831	557	604	235	259	24	29	18	22	1310	1363	0	0	586	634	6015	6296	2981	3109	
17	8.3918e+006	8.39211e+006	2263	2396	1776	1918	585	636	295	322	27	34	20	23	1624	1692	0	0	604	655	6629	6940	3360	3510	
18	8.39112e+006	8.39146e+006	2396	2531	1877	2034	636	688	354	383	30	38	21	25	1925	2009	0	0	643	688	7279	7621	3762	3937	
19	8.39041e+006	8.39078e+006	2523	2671	2045	2209	685	736	367	397	45	54	28	34	2226	2326	0	0	665	718	7952	8331	4202	4396	
20	8.38968e+006	8.39011e+006	2602	2767	2199	2379	728	787	396	429	57	68	34	40	2577	2691	0	0	667	729	8628	9052	4680	4895	
21	8.3889e+006	8.38936e+006	2734	2909	2375	2568	777	838	420	457	71	85	40	48	2925	3055	0	0	737	796	9374	9838	5166	5405	
22	8.38808e+006	8.38859e+006	2858	3047	2527	2729	835	896	436	473	88	102	48	57	3330	3484	0	0	764	828	10149	10656	5669	5932	
23	8.38721e+006	8.38776e+006	3018	3208	2672	2883	877	941	458	497	109	125	58	68	3770	3950	0	0	823	881	10980	11529	6202	6493	
24	8.3863e+006	8.38691e+006	3192	3391	2794	3024	911	978	482	523	130	147	68	79	4244	4449	0	0	841	912	11829	12433	6739	7067	
25	8.38536e+006	8.38602e+006	3332	3545	2922	3171	979	1051	524	568	147	165	75	87	4731	4955	0	0	877	949	12714	13375	7310	7669	
26	8.38436e+006	8.38508e+006	3503	3730	3048	3310	1031	1105	566	611	143	161	65	78	5271	5522	17	19	938	1011	13661	14377	7916	8305	
27	8.3833e+006	8.38407e+006	3672	3918	3205	3478	1088	1168	614	662	161	180	73	87	5819	6095	18	20	993	1068	14664	15435	8563	8986	
28	8.38221e+006	8.38304e+006	3854	4107	3351	3649	1140	1222	655	704	180	200	82	97	6408	6714	18	21	1022	1103	15695	16529	9225	9691	
29	8.38107e+006	8.38197e+006	4044	4300	3495	3813	1205	1293	685	737	196	217	89	104	7033	7371	20	24	1066	1143	16770	17663	9907	10420	
30	8.37987e+006	8.38084e+006	4225	4497	3700	4028	1269	1362	725	778	212	235	95	111	7650	8030	22	27	1117	1210	17897	18863	10656	11211	
31	8.37863e+006	8.37967e+006	4397	4684	3897	4240	1326	1423	764	818	226	250	101	117	8339	8760	26	31	1165	1256	19070	20110	11437	12035	
32	8.37731e+006	8.37844e+006	4591	4908	4075	4440	1402	1502	795	852	241	267	109	126	9063	9520	30	36	1219	1324	20296	21427	12228	12874	
33	8.37661e+006	8.37778e+006	4172	4476	4257	4642	1462	1564	832	889	257	285	115	134	9836	10333	35	43	648	710	20953	22128	13068	13762	
34	8.37589e+006	8.3771e+006	3724	3994	4462	4867	1527	1641	874	934	272	302	121	141	10622	11167	41	50	669	728	21632	22846	13952	14703	
35	8.37512e+006	8.37638e+006	3280	3519	4682	5105	1593	1711	919	982	292	324	130	151	11439	12035	45	54	719	783	22361	23619	14874	15680	
36	8.37436e+006	8.37566e+006	2765	2967	4885	5343	1663	1794	972	1041	309	343	136	159	12309	12953	51	60	704	769	23074	24380	15842	16718	
37	8.37364e+006	8.37498e+006	2784	2986	4628	5070	1581	1702	1029	1106	329	365	147	169	13230	13920	55	65	668	729	23752	25098	16375	17289	
38	8.37294e+006	8.37433e+006	2762	2963	4370	4793	1486	1606	1081	1160	350	390	155	179	14183	14929	61	71	646	705	24407	25795	16932	17874	
39	8.37226e+006	8.3737e+006	2669	2872	4110	4519	1401	1518	1127	1215	369	407	165	189	15184	15985	67	79	627	693	25041	26480	17530	18509	
40	8.37163e+006	8.37311e+006	2542	2742	3809	4193	1291	1402	1180	1272	389	428	174	199	16228	17099	75	88	578	639	25628	27110	18128	19146	
41	8.37103e+006	8.37254e+006	2427	2623	3439	3789	1172	1270	1236	1332	410	452	183	209	17316	18259	81	94	554	608	26192	27709	18684	19739	
42	8.37048e+006	8.37203e+006	2288	2480	3041	3342	1008	1088	1289	1387	432	474	196	221	18461	19489	88	102	510	559	26708	28261	19263	20355	
43	8.37e+006	8.37158e+006	2097	2270	3059	3368	966	1047	1222	1309	454	496	206	229	19158	20235	96	111	436	483	27153	28736	19800	20934	
44	8.36952e+006	8.37113e+006	1960	2117	3025	3336	911	988	1148	1229	478	523	215	240	19881	20998	103	118	442	485	27602	29214	20300	21470	
45	8.36905e+006	8.3707e+006	1835	1990	2934	3232	841	914	1084	1163	497	542	226	251	20644	21807	113	130	430	480	28038	29687	20787	21985	
46	8.36861e+006	8.37028e+006	1732	1883	2814	3100	768	834	997	1075	525	571	240	266	21405	22617	125	141	408	452	28455	30130	21234	22463	
47	8.36818e+006	8.36988e+006	1690	1837	2666	2940	685	747	902	977	547	596	251	278	22140	23396	138	155	394	437	28855	30561	21621	22876	
48	8.36777e+006	8.3695e+006	1625	1765	2503	2768	642	701	789	855	573	618	263	289	22872	24180	148	167	374	417	29237	30969	22003	23282	
49	8.36739e+006	8.36915e+006	1543	1674	2346	2598	601	658	781	846	564	612	258	286	23514	24869	158	178	347	389	29591	31351	22378	23686	
50	8.36703e+006	8.36881e+006	1459	1588	2214	2451	563	619	771	835	548	596	251	279	24117	25511	171	191	326	364	29924	31708	22733	24064	
51	8.36669e+006	8.36849e+006	1376	1499	2086	2312	531	586	736	801	540	588	250	277	24710	26137	184	205	313	346	30243	32047	23074	24431	
52	8.36638e+006	8.3682e+006	1289	1402	1977	2190	509	561	700	762	526	575	240	268	25264	26730	195	217	287	319	30538	32358	23396	24776	
53	8.36608e+006	8.36793e+006	1208	1312	1910	2119	486	538	655	712	505	553	231	260	25761	27259	210	234	266	300	30810	32652	23697	25100	
