Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.39796e+006	8.39798e+006	759	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	333	759	781	0	0	
4	8.3976e+006	8.39764e+006	775	815	238	250	70	82	0	0	0	0	0	0	0	0	0	0	331	360	1095	1135	238	250	
5	8.39718e+006	8.39723e+006	1118	1174	286	299	85	98	0	0	0	0	0	0	0	0	0	0	399	431	1502	1558	286	299	
6	8.39648e+006	8.39656e+006	1728	1809	333	348	100	115	0	0	0	0	0	0	0	0	0	0	664	708	2176	2257	333	348	
7	8.39547e+006	8.3956e+006	2370	2490	566	595	180	198	0	0	0	0	0	0	0	0	0	0	952	1016	3136	3264	569	592	
8	8.39413e+006	8.39433e+006	3307	3476	820	865	262	284	0	0	0	0	0	0	0	0	0	0	1264	1349	4409	4604	825	859	
9	8.39219e+006	8.39246e+006	4768	4992	1129	1192	356	383	0	0	0	0	0	0	0	0	0	0	1856	1951	6277	6543	1138	1183	
10	8.38942e+006	8.38981e+006	6747	7066	1396	1483	440	473	51	60	0	0	0	0	260	269	0	0	2639	2787	8929	9317	1659	1725	
11	8.38575e+006	8.38631e+006	9285	9727	2061	2197	663	710	64	74	0	0	0	0	310	320	0	0	3489	3677	12428	12984	2382	2484	
12	8.3805e+006	8.3813e+006	13021	13640	2951	3158	969	1038	76	88	0	0	0	0	360	372	0	0	4998	5264	17438	18236	3335	3481	
13	8.37307e+006	8.37421e+006	18246	19134	4119	4391	1343	1428	135	151	0	0	0	0	615	638	0	0	7081	7444	24530	25670	4760	4963	
14	8.3628e+006	8.36442e+006	25377	26626	5836	6216	1927	2036	200	220	0	0	0	0	887	923	0	0	9771	10278	34313	35937	6762	7057	
15	8.34857e+006	8.35086e+006	35441	37194	8112	8648	2721	2870	277	303	0	0	0	0	1215	1266	0	0	13550	14247	47878	50168	9385	9809	
16	8.32845e+006	8.33167e+006	49616	52061	11311	12067	3832	4033	360	388	24	29	18	22	1780	1852	0	0	19173	20133	67063	70290	13154	13763	
17	8.30046e+006	8.30496e+006	69237	72613	15845	16907	5385	5662	527	566	27	34	20	23	2567	2679	0	0	26702	27997	93776	98274	18515	19381	
18	8.26168e+006	8.26801e+006	96408	101126	22143	23635	7542	7916	762	812	30	38	21	25	3600	3771	0	0	36942	38790	130730	137053	25884	27116	
19	8.2077e+006	8.21655e+006	134302	140879	30841	32949	10453	10983	1065	1129	48	58	30	36	5148	5373	0	0	51446	53999	182189	191039	36166	37890	
20	8.13327e+006	8.14555e+006	186117	195183	43105	46051	14614	15335	1502	1586	65	77	37	43	7344	7673	0	0	70987	74437	253187	265465	50638	53080	
21	8.03059e+006	8.04752e+006	257426	269884	60385	64467	20399	21389	2097	2211	86	99	48	56	10225	10694	0	0	98017	102692	351214	368147	70829	74237	
22	7.88988e+006	7.9131e+006	354895	371809	84133	89849	28364	29762	2948	3101	123	140	64	75	14348	15014	0	0	134410	140716	485635	508852	98782	103567	
23	7.69819e+006	7.72975e+006	486784	509521	117182	125144	39397	41305	4155	4365	173	192	87	100	20183	21132	0	0	183336	191710	668982	700551	137762	144484	
24	7.4409e+006	7.48319e+006	662347	692379	162718	173715	54665	57306	5791	6082	244	268	119	135	28260	29604	0	0	246547	257298	915542	957836	191485	200808	
25	7.09948e+006	7.15492e+006	892597	931113	225435	240548	75834	79497	8076	8481	352	381	166	185	39432	41324	0	0	328261	341432	1.24382e+006	1.29925e+006	265638	278463	
26	6.65576e+006	6.72728e+006	1.18581e+006	1.23414e+006	311104	331736	104633	109662	11291	11851	473	510	213	237	55261	57929	17	19	427616	443744	1.67146e+006	1.74298e+006	367381	384934	
27	6.09448e+006	6.18383e+006	1.54591e+006	1.60372e+006	427608	455561	143719	150593	15831	16610	666	714	301	332	77239	80952	18	20	543430	561302	2.21491e+006	2.30426e+006	506261	530075	
28	5.41095e+006	5.51793e+006	1.96523e+006	2.02998e+006	583392	620509	196309	205385	22017	23097	945	1008	431	471	107725	112952	18	21	665851	683575	2.88081e+006	2.98778e+006	692770	724728	
29	4.61693e+006	4.73865e+006	2.4162e+006	2.48262e+006	789499	837570	265493	277282	30628	32159	1325	1411	606	657	150189	157469	21	25	779206	794091	3.66009e+006	3.7818e+006	941536	983452	
30	3.74583e+006	3.87532e+006	2.85182e+006	2.91007e+006	1.05511e+006	1.11624e+006	354719	369712	42526	44639	1853	1968	865	927	208760	218854	24	29	863119	871317	4.52342e+006	4.65291e+006	1.26569e+006	1.3198e+006	
31	2.86329e+006	2.99017e+006	3.19327e+006	3.23158e+006	1.38766e+006	1.46239e+006	465712	484035	58937	61810	2586	2741	1202	1282	289637	303586	29	35	881777	885910	5.40856e+006	5.53545e+006	1.67832e+006	1.74594e+006	
32	2.04502e+006	2.15796e+006	3.35746e+006	3.36843e+006	1.78472e+006	1.87115e+006	598546	619688	81347	85286	3596	3808	1672	1775	400624	419738	40	48	818054	832423	6.24077e+006	6.35371e+006	2.1843e+006	2.26546e+006	
33	1.35914e+006	1.44955e+006	3.25703e+006	3.28986e+006	2.23065e+006	2.32367e+006	747708	770332	111735	117033	5056	5337	2346	2478	552112	578148	51	61	685792	708503	6.94918e+006	7.0396e+006	2.77752e+006	2.8702e+006	
34	843348	908467	2.90213e+006	2.96721e+006	2.69353e+006	2.78361e+006	901955	923846	152405	159493	7041	7409	3273	3442	755994	790890	66	78	515733	541142	7.49027e+006	7.55539e+006	3.43669e+006	3.53576e+006	
35	494349	536609	2.36876e+006	2.45374e+006	3.11315e+006	3.18719e+006	1.04136e+006	1.05924e+006	206339	215470	9818	10341	4545	4781	1.02754e+006	1.07337e+006	91	105	348975	371882	7.86213e+006	7.90439e+006	4.11632e+006	4.21422e+006	
36	279524	304737	1.76542e+006	1.85331e+006	3.42042e+006	3.46425e+006	1.14235e+006	1.15303e+006	275662	287286	13629	14348	6275	6607	1.38201e+006	1.44124e+006	124	140	214809	231888	8.094e+006	8.11921e+006	4.76127e+006	4.84939e+006	
37	165923	180857	1.19318e+006	1.26873e+006	3.54472e+006	3.55635e+006	1.18267e+006	1.18588e+006	362302	376570	18922	19888	8738	9175	1.83347e+006	1.90765e+006	171	190	113592	123889	8.21788e+006	8.23281e+006	5.31882e+006	5.39096e+006	
38	105875	115005	737457	793477	3.41844e+006	3.46323e+006	1.14214e+006	1.15326e+006	465623	482140	26147	27470	12035	12646	2.38876e+006	2.47795e+006	236	260	60038	65861	8.28373e+006	8.29286e+006	5.75719e+006	5.81131e+006	
39	73786	79702	420553	456917	3.08002e+006	3.16267e+006	1.03086e+006	1.05108e+006	581618	599365	35970	37716	16547	17363	3.04212e+006	3.1444e+006	339	367	32082	35311	8.31903e+006	8.32495e+006	6.07421e+006	6.11188e+006	
40	56397	60513	223119	244232	2.58474e+006	2.6926e+006	866646	892901	701359	718453	49156	51482	22595	23683	3.77238e+006	3.88252e+006	470	509	17383	19196	8.33822e+006	8.34234e+006	6.28966e+006	6.31479e+006	
41	46929	50042	118985	130824	2.00723e+006	2.12279e+006	674309	702362	809665	823757	66902	69896	30782	32177	4.53126e+006	4.64116e+006	657	706	9461	10477	8.34869e+006	8.35181e+006	6.42541e+006	6.44283e+006	
42	41914	44487	63953	70527	1.44307e+006	1.55011e+006	481579	507351	888318	896698	89635	93474	41201	42991	5.26178e+006	5.36271e+006	901	968	5008	5561	8.35425e+006	8.35682e+006	6.51856e+006	6.53073e+006	
