Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39842e+006	320	0	0	0	0	0	0	0	0	320	0	
1	8.39835e+006	384	0	0	0	0	0	0	0	64	384	0	
2	8.39829e+006	448	0	0	0	0	0	0	0	64	448	0	
3	8.39801e+006	724	0	0	0	0	0	0	0	276	724	0	
4	8.39775e+006	668	244	76	0	0	0	0	0	264	988	244	
5	8.39749e+006	866	292	92	0	0	0	0	0	262	1250	292	
6	8.39713e+006	1163	340	108	0	0	0	0	0	361	1611	340	
7	8.39674e+006	1273	546	178	0	0	0	0	0	387	1997	546	
8	8.39637e+006	1381	745	243	0	0	0	0	0	372	2369	745	
9	8.39603e+006	1458	946	304	0	0	0	0	0	338	2707	946	
10	8.39563e+006	1498	976	314	55	0	0	265	0	402	3109	1229	
11	8.39523e+006	1509	1219	394	69	0	0	315	0	397	3506	1523	
12	8.39478e+006	1588	1460	461	82	0	0	366	0	451	3957	1813	
13	8.39428e+006	1748	1507	476	133	0	0	591	0	498	4455	2076	
14	8.39375e+006	1878	1608	513	183	0	0	805	0	532	4987	2387	
15	8.39319e+006	2039	1700	556	236	0	0	1014	0	558	5545	2691	
16	8.39258e+006	2198	1766	580	247	26	20	1337	0	610	6155	3045	
17	8.39195e+006	2330	1847	611	309	30	22	1658	0	630	6785	3435	
18	8.39129e+006	2464	1956	662	368	34	23	1967	0	665	7450	3850	
19	8.39059e+006	2597	2127	710	382	49	31	2276	0	691	8142	4299	
20	8.3899e+006	2684	2289	757	412	63	37	2634	0	698	8840	4788	
21	8.38913e+006	2821	2472	807	438	78	44	2990	0	767	9606	5285	
22	8.38833e+006	2952	2628	865	455	95	52	3407	0	796	10402	5801	
23	8.38748e+006	3113	2777	909	478	117	63	3860	0	852	11255	6348	
24	8.38661e+006	3292	2909	944	502	138	74	4346	0	877	12131	6903	
