Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	178	512	514	0	0	
4	8.39805e+006	8.39805e+006	685	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	177	685	690	0	0	
5	8.39785e+006	8.39786e+006	873	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	196	873	885	0	0	
6	8.39764e+006	8.39766e+006	1077	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	210	1077	1092	0	0	
7	8.39742e+006	8.39744e+006	1279	1298	16	16	0	0	0	0	0	0	0	0	0	0	0	0	214	225	1295	1314	16	16	
8	8.39719e+006	8.39721e+006	1351	1373	131	140	36	45	0	0	0	0	0	0	0	0	0	0	227	240	1527	1549	131	140	
9	8.39694e+006	8.39697e+006	1434	1464	251	262	74	85	0	0	0	0	0	0	0	0	0	0	240	255	1770	1800	251	262	
10	8.39669e+006	8.39672e+006	1502	1538	366	381	116	131	0	0	0	0	0	0	16	16	0	0	241	255	2015	2051	382	397	
11	8.39642e+006	8.39646e+006	1593	1632	375	391	122	136	27	35	0	0	0	0	141	149	0	0	259	275	2280	2320	516	534	
12	8.39614e+006	8.39619e+006	1674	1720	399	417	128	142	56	67	0	0	0	0	269	280	0	0	267	284	2551	2601	661	682	
13	8.39585e+006	8.3959e+006	1751	1802	419	439	136	150	88	101	0	0	0	0	412	425	0	0	277	295	2833	2890	819	841	
14	8.39556e+006	8.39562e+006	1813	1867	456	481	140	157	119	135	0	0	0	0	552	569	0	0	274	292	3113	3175	994	1018	
15	8.39527e+006	8.39534e+006	1866	1925	491	517	146	163	155	173	0	0	0	0	705	725	0	0	280	298	3398	3468	1185	1213	
16	8.39496e+006	8.39504e+006	1921	1980	516	545	161	179	198	216	0	0	0	0	867	888	0	0	293	312	3698	3773	1368	1402	
17	8.39465e+006	8.39473e+006	1980	2042	536	569	167	186	211	231	15	19	14	17	1054	1079	0	0	299	318	4003	4085	1568	1606	
18	8.39435e+006	8.39443e+006	2016	2078	561	595	174	195	227	248	25	30	19	22	1260	1285	0	0	294	313	4304	4391	1781	1824	
19	8.39403e+006	8.39412e+006	2056	2119	589	625	174	194	241	260	33	40	23	27	1482	1514	0	0	305	329	4616	4711	2000	2048	
20	8.39383e+006	8.39394e+006	1958	2023	610	648	190	209	262	282	42	49	26	31	1697	1734	0	0	179	198	4801	4903	2221	2275	
21	8.39363e+006	8.39374e+006	1878	1944	611	652	201	224	278	298	53	62	32	38	1932	1976	0	0	193	214	5001	5110	2439	2497	
22	8.39342e+006	8.39354e+006	1788	1854	620	660	206	228	286	308	64	75	38	45	2183	2235	0	0	188	209	5196	5312	2677	2739	
23	8.39323e+006	8.39335e+006	1674	1744	633	672	211	232	299	324	78	90	44	51	2436	2496	0	0	180	201	5382	5507	2923	2989	
24	8.39306e+006	8.39319e+006	1537	1603	655	696	213	236	307	334	90	103	49	58	2693	2761	0	0	160	178	5549	5678	3173	3242	
25	8.39289e+006	8.39303e+006	1394	1466	664	706	218	240	312	341	103	118	55	65	2960	3032	0	0	154	172	5708	5845	3410	3483	
26	8.39273e+006	8.39287e+006	1239	1304	670	712	226	249	319	348	120	135	63	74	3234	3314	0	0	150	167	5866	6004	3651	3729	
27	8.39258e+006	8.39273e+006	1198	1263	578	621	197	219	325	354	116	131	53	64	3523	3609	13	16	139	156	6010	6154	3805	3888	
28	8.39244e+006	8.39259e+006	1130	1197	507	553	167	190	331	361	121	137	56	68	3810	3898	17	20	128	145	6143	6295	3976	4063	
29	8.39231e+006	8.39247e+006	1063	1128	427	469	134	151	331	363	129	145	58	71	4113	4205	19	22	122	139	6271	6428	4140	4232	
30	8.39219e+006	8.39235e+006	993	1056	428	473	132	151	312	342	136	153	62	75	4310	4408	20	24	113	127	6389	6549	4289	4388	
31	8.39207e+006	8.39224e+006	938	1000	399	440	131	147	301	329	138	155	63	75	4516	4622	23	27	106	122	6500	6666	4423	4526	
32	8.39195e+006	8.39213e+006	889	949	377	416	117	134	279	306	144	161	65	78	4725	4837	25	31	106	120	6610	6782	4556	4665	
33	8.39184e+006	8.39202e+006	840	902	354	391	110	126	257	283	146	165	67	79	4927	5045	29	35	103	117	6718	6895	4683	4793	
34	8.39173e+006	8.39192e+006	799	860	338	376	104	120	230	254	152	171	69	81	5114	5238	32	37	98	114	6820	7004	4798	4913	
35	8.39163e+006	8.39182e+006	766	825	311	347	104	122	205	228	156	176	70	83	5290	5421	35	42	95	111	6921	7109	4901	5022	
36	8.39153e+006	8.39173e+006	730	787	285	324	101	118	201	223	152	171	67	79	5453	5586	40	47	87	99	7011	7205	5002	5125	
37	8.39143e+006	8.39162e+006	711	771	271	305	91	106	190	211	154	171	69	81	5604	5743	43	50	95	110	7112	7309	5099	5225	
38	8.39133e+006	8.39153e+006	695	752	260	293	80	94	180	200	150	167	66	78	5747	5892	47	55	89	103	7205	7408	5191	5323	
39	8.39123e+006	8.39144e+006	678	735	249	282	74	89	174	194	142	159	63	74	5886	6034	51	59	90	102	7300	7506	5279	5417	
40	8.39114e+006	8.39135e+006	658	713	237	273	74	90	167	187	135	152	59	71	6013	6166	55	64	82	95	7386	7596	5364	5505	
41	8.39105e+006	8.39127e+006	637	689	233	267	71	86	154	174	130	149	57	69	6137	6297	58	67	78	90	7468	7683	5448	5596	
42	8.39096e+006	8.39118e+006	625	677	232	265	63	77	144	165	122	140	52	65	6262	6425	63	72	84	97	7557	7775	5533	5684	
43	8.39087e+006	8.39109e+006	621	674	223	255	56	70	137	158	113	131	49	61	6382	6549	66	76	83	96	7644	7867	5608	5763	
44	8.39079e+006	8.39101e+006	602	653	222	253	54	67	132	152	104	120	45	57	6496	6670	70	80	76	88	7725	7950	5691	5849	
45	8.3907e+006	8.39093e+006	593	642	217	249	52	64	124	143	93	109	41	53	6610	6791	74	85	81	93	7809	8039	5771	5934	
46	8.39061e+006	8.39085e+006	580	629	221	252	52	64	117	136	89	105	39	50	6709	6893	78	89	76	89	7890	8124	5851	6017	
47	8.39053e+006	8.39077e+006	572	620	211	240	49	62	118	137	82	97	35	45	6813	7001	80	92	74	86	7969	8205	5924	6093	
48	8.39045e+006	8.39069e+006	567	613	201	229	48	60	115	132	75	90	32	42	6914	7109	83	94	73	83	8045	8285	5993	6165	
49	8.39037e+006	8.39061e+006	555	601	194	223	49	60	114	129	72	86	31	41	7012	7211	85	97	73	84	8123	8365	6067	6241	
50	8.39029e+006	8.39054e+006	543	589	196	225	48	60	106	122	70	83	30	39	7106	7309	87	99	72	84	8200	8444	6140	6318	
51	8.39021e+006	8.39046e+006	539	584	195	223	47	60	100	118	66	78	26	35	7196	7402	89	102	71	82	8275	8522	6207	6387	
52	8.39014e+006	8.39039e+006	527	572	193	221	46	57	100	118	61	73	24	33	7288	7497	92	104	69	81	8349	8599	6277	6461	
53	8.39007e+006	8.39032e+006	515	557	189	216	43	54	94	112	59	72	23	32	7381	7594	94	106	64	74	8417	8670	6347	6533	
54	8.39e+006	8.39025e+006	505	548	187	213	45	55	89	105	55	67	22	31	7469	7686	96	108	65	76	8486	8741	6411	6600	
55	8.38992e+006	8.39018e+006	501	544	176	203	45	57	86	103	53	66	20	29	7557	7777	97	109	69	79	8558	8817	6470	6662	
56	8.38984e+006	8.39011e+006	497	539	172	196	47	58	84	102	51	63	20	28	7638	7864	100	113	69	79	8631	8892	6534	6729	
57	8.38977e+006	8.39004e+006	489	530	171	196	46	57	82	98	48	60	20	27	7721	7949	101	114	65	75	8700	8963	6596	6794	
58	8.3897e+006	8.38997e+006	485	524	174	199	42	52	82	97	47	59	19	26	7798	8030	102	116	67	77	8771	9035	6661	6860	
