Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	830	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	0	0	
5	8.39743e+006	8.39748e+006	1260	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	455	1260	1302	0	0	
6	8.39683e+006	8.3969e+006	1839	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	613	1839	1908	0	0	
7	8.39593e+006	8.39604e+006	2681	2788	16	16	0	0	0	0	0	0	0	0	0	0	0	0	850	903	2697	2804	16	16	
8	8.39468e+006	8.39484e+006	3721	3881	131	140	36	45	0	0	0	0	0	0	0	0	0	0	1190	1263	3897	4057	131	140	
9	8.39305e+006	8.39329e+006	5111	5350	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1543	1637	5447	5686	251	262	
10	8.39083e+006	8.39116e+006	7055	7381	374	390	119	134	0	0	0	0	0	0	16	16	0	0	2120	2231	7579	7905	390	406	
11	8.38768e+006	8.38816e+006	9740	10205	485	512	157	175	27	35	0	0	0	0	141	149	0	0	2985	3158	10575	11052	629	653	
12	8.38345e+006	8.38413e+006	13344	13993	690	736	222	242	56	67	0	0	0	0	269	280	0	0	4023	4249	14611	15288	958	995	
13	8.37779e+006	8.37872e+006	18174	19043	981	1056	317	347	90	103	0	0	0	0	420	435	0	0	5399	5666	20020	20945	1401	1456	
14	8.36999e+006	8.37128e+006	24753	25954	1393	1498	444	483	147	165	0	0	0	0	673	697	0	0	7426	7818	27457	28750	2067	2152	
15	8.35936e+006	8.36118e+006	33650	35331	1960	2100	639	693	238	259	0	0	0	0	1012	1052	0	0	10085	10641	37554	39379	2988	3108	
16	8.34515e+006	8.34767e+006	45613	47908	2682	2873	886	945	347	374	0	0	0	0	1482	1543	0	0	13502	14219	51069	53585	4174	4357	
17	8.3257e+006	8.32914e+006	62007	65137	3635	3877	1198	1273	487	521	15	19	14	17	2182	2276	0	0	18515	19459	69596	73032	5835	6086	
18	8.29947e+006	8.3042e+006	83944	88232	4953	5297	1663	1760	685	732	25	30	19	22	3171	3310	0	0	24924	26251	94533	99270	8133	8497	
19	8.26411e+006	8.27064e+006	113472	119352	6780	7253	2300	2433	959	1018	34	40	23	27	4441	4641	0	0	33551	35369	128097	134626	11221	11739	
20	8.21641e+006	8.22533e+006	153368	161405	9200	9838	3133	3309	1317	1387	51	60	31	36	6195	6474	0	0	45293	47721	173406	182331	15364	16064	
21	8.15246e+006	8.16463e+006	206623	217545	12491	13355	4255	4480	1806	1902	77	88	44	51	8674	9081	0	0	60680	63959	234102	246274	21050	22033	
22	8.06662e+006	8.08314e+006	278019	292757	16978	18183	5787	6087	2481	2613	109	123	58	68	12001	12573	0	0	81479	85855	315598	332112	28779	30178	
23	7.95249e+006	7.97464e+006	373001	392684	23008	24672	7800	8209	3376	3542	159	177	80	93	16464	17247	0	0	108480	114149	424097	446243	39193	41124	
24	7.80096e+006	7.83067e+006	498442	524773	31272	33504	10553	11092	4592	4822	223	246	110	125	22621	23703	0	0	143954	151550	568071	597772	53440	56087	
25	7.60187e+006	7.6414e+006	662758	697635	42321	45347	14233	14968	6239	6563	316	343	150	169	30978	32494	0	0	189229	199124	757332	796865	72625	76275	
26	7.34318e+006	7.39484e+006	875748	920978	57178	61345	19259	20287	8480	8914	434	467	202	225	42135	44225	0	0	246530	258722	1.0039e+006	1.05555e+006	98474	103488	
27	7.01164e+006	7.078e+006	1.14726e+006	1.20483e+006	77119	82809	25904	27278	11500	12086	595	638	269	297	57465	60315	13	16	316795	331588	1.32074e+006	1.38709e+006	133410	140285	
28	6.59523e+006	6.67891e+006	1.48565e+006	1.55731e+006	103654	111350	34861	36708	15584	16367	806	864	366	401	78104	82042	17	20	399055	416447	1.71983e+006	1.8035e+006	180101	189490	
29	6.08474e+006	6.18695e+006	1.89609e+006	1.98198e+006	139241	149574	46839	49332	21022	22124	1102	1172	503	546	105930	111332	19	22	491925	510522	2.21179e+006	2.31399e+006	242822	255527	
30	5.4793e+006	5.59943e+006	2.37508e+006	2.47332e+006	186042	199727	62742	66091	28398	29911	1505	1597	696	748	143456	150821	22	26	587458	605504	2.7993e+006	2.91944e+006	326326	343364	
31	4.79e+006	4.92522e+006	2.90529e+006	3.01112e+006	247948	266092	83471	87957	38269	40315	2033	2156	948	1016	193746	203794	28	35	674125	689384	3.47352e+006	3.60874e+006	437384	460203	
32	4.04104e+006	4.18468e+006	3.45655e+006	3.56101e+006	327926	351754	110460	116347	51498	54237	2766	2923	1291	1372	261272	274936	35	43	740358	749142	4.21406e+006	4.3577e+006	583248	613594	
33	3.27557e+006	3.4185e+006	3.97611e+006	4.06784e+006	430528	461072	145004	152507	68983	72648	3736	3947	1735	1840	351303	369619	47	56	764307	767342	4.98023e+006	5.12317e+006	773313	813040	
34	2.54513e+006	2.67728e+006	4.40034e+006	4.46688e+006	559153	597104	188219	197511	92032	96907	5073	5350	2354	2489	470873	495470	64	75	730207	741449	5.72146e+006	5.8536e+006	1.01801e+006	1.06909e+006	
35	1.89669e+006	2.01019e+006	4.66768e+006	4.69958e+006	715487	761178	240650	251822	122285	128663	6850	7222	3182	3356	628080	660915	84	97	648307	667225	6.38854e+006	6.50205e+006	1.32652e+006	1.39102e+006	
36	1.36478e+006	1.45524e+006	4.71733e+006	4.73435e+006	899001	951301	301622	314408	161393	169641	9268	9784	4295	4528	833088	876033	113	128	531837	555029	6.9435e+006	7.03396e+006	1.70767e+006	1.78665e+006	
37	959055	1.02668e+006	4.51953e+006	4.57347e+006	1.10161e+006	1.15723e+006	369271	382808	211275	221726	12503	13203	5761	6081	1.09676e+006	1.15202e+006	159	178	405680	428603	7.37206e+006	7.43968e+006	2.16379e+006	2.257e+006	
38	669565	717655	4.12004e+006	4.20796e+006	1.30809e+006	1.36146e+006	438220	451151	272878	285898	16867	17779	7777	8192	1.42983e+006	1.49964e+006	210	234	289426	309086	7.68108e+006	7.72917e+006	2.68861e+006	2.79399e+006	
39	473713	507113	3.56702e+006	3.67787e+006	1.49544e+006	1.53852e+006	500802	511217	347493	363056	22635	23867	10424	10983	1.84133e+006	1.9268e+006	285	313	195774	210621	7.89162e+006	7.92502e+006	3.26774e+006	3.38037e+006	
40	346182	369248	2.92906e+006	3.04958e+006	1.63145e+006	1.65591e+006	545692	551607	433883	451519	30241	31853	13893	14638	2.33474e+006	2.43569e+006	389	424	127415	137981	8.02949e+006	8.05255e+006	3.8708e+006	3.98391e+006	
41	265000	281286	2.27971e+006	2.39641e+006	1.68039e+006	1.68877e+006	560675	562968	528143	546937	40242	42355	18477	19457	2.90456e+006	3.01893e+006	521	566	81029	88114	8.11745e+006	8.13374e+006	4.45984e+006	4.56556e+006	
42	213868	226013	1.68226e+006	1.78474e+006	1.63631e+006	1.66832e+006	503586	510624	623999	642066	53264	56015	24509	25777	3.53602e+006	3.65891e+006	709	764	50958	55447	8.17272e+006	8.18487e+006	5.02927e+006	5.12039e+006	
43	182113	191818	1.18194e+006	1.26414e+006	1.48566e+006	1.53991e+006	418606	429876	711282	726406	70010	73531	32202	33824	4.19791e+006	4.32228e+006	956	1023	31574	34377	8.20692e+006	8.21662e+006	5.50996e+006	5.58267e+006	
44	162226	170516	795940	857051	1.26138e+006	1.32754e+006	317352	330414	777993	787781	90853	95289	41795	43821	4.85119e+006	4.96929e+006	1291	1376	19699	21489	8.22822e+006	8.23651e+006	5.88866e+006	5.9426e+006	
