Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	518	0	0	0	0	0	0	0	182	518	0	
4	8.39798e+006	756	0	0	0	0	0	0	0	237	756	0	
5	8.39768e+006	1060	0	0	0	0	0	0	0	304	1060	0	
6	8.3973e+006	1436	0	0	0	0	0	0	0	376	1436	0	
7	8.39682e+006	1899	16	0	0	0	0	0	0	480	1915	16	
8	8.39622e+006	2337	136	40	0	0	0	0	0	597	2513	136	
9	8.39553e+006	2870	256	80	0	0	0	0	0	693	3206	256	
10	8.3947e+006	3518	377	125	0	0	0	16	0	831	4036	393	
11	8.39372e+006	4259	434	146	31	0	0	145	0	978	5015	576	
12	8.39253e+006	5147	546	178	61	0	0	275	0	1192	6207	810	
13	8.39113e+006	6166	696	221	96	0	0	423	0	1395	7602	1101	
14	8.38948e+006	7344	879	281	141	0	0	614	0	1657	9259	1472	
15	8.38747e+006	8749	1102	351	203	0	0	857	0	2002	11262	1941	
16	8.38519e+006	10339	1337	434	281	0	0	1155	0	2284	13545	2479	
17	8.38246e+006	12244	1599	523	341	17	15	1557	0	2735	16280	3121	
18	8.37929e+006	14436	1874	628	429	28	20	2056	0	3171	19451	3884	
19	8.37555e+006	16979	2255	746	533	37	25	2636	0	3734	23186	4834	
20	8.37128e+006	19851	2686	879	649	50	32	3338	0	4267	27452	5923	
21	8.36627e+006	23206	3195	1050	775	70	41	4170	0	5012	32465	7214	
22	8.36042e+006	27059	3778	1277	926	90	50	5190	0	5856	38320	8750	
23	8.35364e+006	31555	4436	1508	1112	117	64	6373	0	6780	45101	10519	
24	8.34571e+006	36747	5225	1795	1301	150	79	7808	0	7926	53027	12618	
25	8.33645e+006	42833	6125	2065	1549	189	98	9524	0	9258	62284	15090	
